"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Paul Pogba","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Rate team performance?","Rate final result?","Rate Ole Gunnar Solskjaer","Rate opponent - Wolves (only by this performance)","Did the referee do a good job? (optional)"
"2019/08/20 8:05:20 PM GMT+1","7","7","8","8","9","8","7","8","7","7","9","8","2","9","6","No"
"2019/08/20 8:06:20 PM GMT+1","7","7","8","7","9","8","7","7","6","6","8","7","7","7","8","No"
"2019/08/20 8:06:48 PM GMT+1","8","4","6","6","8","5","4","6","3","6","9","6","5","4","6","No"
"2019/08/20 8:08:34 PM GMT+1","7","7","7","6","8","7","4","7","5","3","7","6","6","7","7",""
"2019/08/20 8:08:42 PM GMT+1","7","6","7","7","9","8","5","7","4","5","7","7","6","6","7","No"
"2019/08/20 8:08:44 PM GMT+1","6","3","7","7","9","6","7","8","3","7","6","6","4","6","7","No"
"2019/08/20 8:11:26 PM GMT+1","9","7","9","8","9","8","8","8","6","8","9","9","4","7","8","No"
"2019/08/20 8:13:42 PM GMT+1","8","8","9","9","10","8","7","8","8","7","10","8","4","9","6","No"
"2019/08/20 8:15:45 PM GMT+1","6","6","7","7","8","8","6","9","6","7","9","7","5","9","5","No"
"2019/08/20 8:15:45 PM GMT+1","6","6","7","7","9","7","6","8","4","5","8","7","6","7","6","No"
"2019/08/20 8:16:32 PM GMT+1","7","7","6","7","8","7","6","8","5","6","8","7","6","7","6","No"
"2019/08/20 8:16:53 PM GMT+1","8","5","7","6","8","6","6","7","5","7","7","6","4","6","4","No"
"2019/08/20 8:17:32 PM GMT+1","8","6","8","8","9","7","6","8","4","5","7","7","6","7","6","No"
"2019/08/20 8:17:32 PM GMT+1","7","6","7","7","8","6","5","5","3","4","7","6","5","5","6","No"
"2019/08/20 8:17:46 PM GMT+1","6","6","6","8","8","7","6","6","5","6","7","7","5","6","7","No"
"2019/08/20 8:19:29 PM GMT+1","7","7","6","7","9","5","5","7","1","4","8","7","6","5","4","No"
"2019/08/20 8:20:46 PM GMT+1","7","6","7","7","9","8","6","5","5","5","6","7","6","4","8","No"
"2019/08/20 8:21:11 PM GMT+1","6","5","7","6","8","5","5","6","4","4","7","7","5","6","7","No"
"2019/08/20 8:23:40 PM GMT+1","7","7","7","7","8","7","5","6","4","7","7","6","5","4","6","No"
"2019/08/20 8:24:11 PM GMT+1","8","8","9","7","10","10","8","9","6","7","10","9","6","10","10","No"
"2019/08/20 8:24:20 PM GMT+1","9","7","9","8","9","7","7","8","7","8","9","8","7","8","8","No"
"2019/08/20 8:24:24 PM GMT+1","8","8","8","8","9","8","7","7","4","5","9","8","7","8","8","No"
"2019/08/20 8:24:30 PM GMT+1","8","8","10","7","10","6","8","7","7","7","8","8","7","10","7","No"
"2019/08/20 8:24:57 PM GMT+1","5","4","5","6","6","5","5","5","4","4","6","5","4","4","6","No"
"2019/08/20 8:25:04 PM GMT+1","6","5","7","6","8","7","6","8","4","5","7","6","6","5","8","No"
"2019/08/20 8:26:16 PM GMT+1","7","7","6","7","9","7","5","6","4","4","7","7","5","5","7","No"
"2019/08/20 8:30:11 PM GMT+1","8","7","7","7","9","6","7","9","6","6","7","7","4","5","8","No"
"2019/08/20 8:33:07 PM GMT+1","10","7","8","8","9","7","7","6","4","7","7","6","6","6","8","No"
"2019/08/20 8:39:34 PM GMT+1","7","6","7","6","8","7","6","7","5","6","8","6","5","6","6","No"
"2019/08/20 8:40:52 PM GMT+1","6","4","7","7","8","6","5","6","5","6","7","6","4","4","4",""
"2019/08/20 8:41:08 PM GMT+1","9","7","8","7","10","8","7","9","7","6","9","8","7","9","7","No"
"2019/08/20 8:41:26 PM GMT+1","8","8","8","7","9","7","8","7","5","6","7","7","6","6","6","No"
"2019/08/20 8:41:28 PM GMT+1","7","6","6","6","8","7","5","6","4","5","7","6","6","5","4","No"
"2019/08/20 8:42:17 PM GMT+1","7","5","6","6","6","5","5","6","5","4","8","6","4","4","7","No"
"2019/08/20 8:42:30 PM GMT+1","6","5","6","6","6","6","4","6","2","2","7","6","6","6","6","Yes"
"2019/08/20 8:45:36 PM GMT+1","6","6","7","7","8","6","6","6","5","1","8","7","5","4","7","No"
"2019/08/20 8:45:49 PM GMT+1","6","6","8","7","9","7","6","7","5","6","8","6","6","7","7","Yes"
"2019/08/20 8:48:17 PM GMT+1","6","6","7","7","8","4","6","6","3","6","8","7","5","6","6","No"
"2019/08/20 8:50:58 PM GMT+1","9","5","8","7","10","4","6","7","3","6","9","7","5","8","6","No"
"2019/08/20 9:00:51 PM GMT+1","8","6","7","7","8","5","5","5","5","6","7","7","5","6","10","No"
"2019/08/20 9:01:42 PM GMT+1","7","6","7","7","8","6","6","6","5","5","8","8","7","7","5","No"
"2019/08/20 9:05:56 PM GMT+1","6","5","6","6","7","5","7","7","5","6","8","8","1","10","5","No"
"2019/08/20 9:06:04 PM GMT+1","6","6","7","7","8","7","6","7","5","6","7","6","4","7","7","No"
"2019/08/20 9:07:13 PM GMT+1","7","7","6","6","8","8","6","7","5","5","8","6","4","4","6","Yes"
"2019/08/20 9:07:51 PM GMT+1","6","6","6","7","7","7","5","6","5","4","7","6","5","5","6","Yes"
"2019/08/20 9:08:08 PM GMT+1","7","8","7","7","9","6","5","6","5","6","8","7","7","4","7","No"
"2019/08/20 9:09:02 PM GMT+1","5","6","6","7","7","6","6","6","4","5","7","6","5","5","6","No"
"2019/08/20 9:10:30 PM GMT+1","8","7","7","7","8","7","6","6","5","6","8","7","5","7","8","No"
"2019/08/20 9:11:24 PM GMT+1","7","8","8","7","9","5","6","7","6","5","8","7","6","6","4","No"
"2019/08/20 9:16:22 PM GMT+1","8","6","8","7","9","7","7","8","4","4","7","7","5","8","7","No"
"2019/08/20 9:17:40 PM GMT+1","6","6","7","7","8","8","7","6","4","6","7","8","1","4","4","No"
"2019/08/20 9:17:54 PM GMT+1","6","5","7","7","8","7","6","6","4","4","7","6","3","5","6",""
"2019/08/20 9:18:11 PM GMT+1","6","7","7","6","7","7","5","7","4","5","7","7","5","7","6","Yes"
"2019/08/20 9:18:20 PM GMT+1","8","7","8","7","9","5","7","9","7","7","8","8","7","8","7","No"
"2019/08/20 9:18:27 PM GMT+1","6","5","8","8","9","8","6","7","4","5","7","7","6","6","7","No"
"2019/08/20 9:19:27 PM GMT+1","7","4","7","7","8","7","6","5","1","5","7","5","3","2","7","No"
"2019/08/20 9:19:50 PM GMT+1","8","6","7","7","9","8","7","7","6","8","8","8","6","7","7","No"
"2019/08/20 9:23:52 PM GMT+1","8","6","7","6","8","7","7","6","4","6","8","7","5","5","3","No"
"2019/08/20 9:26:25 PM GMT+1","7","7","7","7","7","6","6","7","5","6","7","7","5","6","6",""
"2019/08/20 9:27:14 PM GMT+1","8","7","8","9","9","8","6","6","5","8","8","7","4","7","8","No"
