"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Paul Pogba","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Rate team performance?","Rate final result?","Rate Ole Gunnar Solskjaer","Rate opponent - Wolves (only by this performance)","Did the referee do a good job? (optional)"
"2019/08/21 4:57:21 AM GMT+1","6","6","6","7","8","7","6","7","6","6","8","7","4","7","8","No"
"2019/08/21 5:01:43 AM GMT+1","8","6","7","6","8","7","6","6","5","5","7","7","5","6","6","No"
"2019/08/21 5:20:53 AM GMT+1","7","6","8","7","7","7","5","6","3","4","8","5","6","3","8","No"
"2019/08/21 5:26:06 AM GMT+1","7","6","7","7","8","7","5","8","4","6","8","7","8","7","8",""
"2019/08/21 5:30:43 AM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","7","10","6","No"
"2019/08/21 5:35:32 AM GMT+1","6","7","7","7","9","7","7","7","7","7","8","8","6","7","8","No"
"2019/08/21 5:59:58 AM GMT+1","7","6","7","8","9","1","6","6","1","6","8","6","6","6","8","No"
"2019/08/21 6:07:01 AM GMT+1","6","8","7","7","8","7","7","8","5","6","9","7","4","5","7","No"
"2019/08/21 6:07:27 AM GMT+1","7","7","8","8","8","7","7","7","5","8","8","7","7","7","8","No"
"2019/08/21 6:08:00 AM GMT+1","7","6","6","6","8","5","6","8","2","6","6","6","2","7","8","No"
"2019/08/21 6:15:37 AM GMT+1","7","5","7","6","7","5","6","6","5","6","8","6","4","9","7","No"
"2019/08/21 6:18:32 AM GMT+1","8","4","9","7","10","6","7","6","4","7","8","6","5","5","9","No"
"2019/08/21 6:40:20 AM GMT+1","7","7","7","7","8","7","5","6","5","7","8","7","7","7","7","No"
"2019/08/21 6:52:26 AM GMT+1","9","7","7","7","9","8","5","6","3","6","7","6","5","6","7","No"
"2019/08/21 6:55:58 AM GMT+1","7","6","7","7","7","5","4","5","4","6","7","4","4","4","7","No"
"2019/08/21 6:57:29 AM GMT+1","6","6","9","9","10","6","6","8","4","8","9","8","1","8","8","No"
"2019/08/21 7:01:15 AM GMT+1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Yes"
"2019/08/21 7:13:57 AM GMT+1","8","7","8","8","9","8","7","7","5","6","9","8","7","9","9","Yes"
"2019/08/21 7:14:47 AM GMT+1","7","2","8","7","8","8","5","7","1","5","7","6","7","5","7","No"
"2019/08/21 7:29:51 AM GMT+1","7","6","8","8","9","7","7","8","5","6","8","7","7","8","9","No"
"2019/08/21 7:33:38 AM GMT+1","9","7","7","7","9","7","6","7","6","6","9","7","4","7","5","No"
"2019/08/21 7:52:14 AM GMT+1","7","7","7","7","8","7","6","7","6","6","9","8","6","6","6","No"
"2019/08/21 7:55:34 AM GMT+1","7","6","7","7","8","8","7","7","5","6","8","7","7","5","6","No"
"2019/08/21 8:08:19 AM GMT+1","6","7","6","6","7","8","6","6","6","7","8","7","4","6","7","No"
"2019/08/21 8:14:23 AM GMT+1","9","7","10","10","10","8","9","9","6","7","8","8","7","8","6","No"
"2019/08/21 8:15:34 AM GMT+1","9","7","10","10","10","9","9","9","7","7","8","8","8","8","6","No"
"2019/08/21 8:19:22 AM GMT+1","8","6","7","7","8","7","6","8","4","2","8","8","5","8","7","Yes"
"2019/08/21 8:20:33 AM GMT+1","7","7","9","9","9","6","7","8","7","7","8","8","3","8","7","No"
"2019/08/21 8:37:13 AM GMT+1","6","6","7","7","8","7","6","6","5","5","8","7","6","7","7","No"
"2019/08/21 8:38:47 AM GMT+1","7","6","5","8","8","5","5","5","4","4","7","5","4","4","6","No"
"2019/08/21 8:40:33 AM GMT+1","7","7","7","8","9","9","8","7","6","6","7","7","5","5","10","No"
"2019/08/21 8:46:03 AM GMT+1","6","6","6","7","7","7","7","7","5","6","8","6","5","5","7","No"
"2019/08/21 9:12:32 AM GMT+1","7","6","7","6","8","6","5","7","5","6","8","7","6","6","6","No"
"2019/08/21 9:15:33 AM GMT+1","7","7","8","7","9","6","6","7","5","7","8","7","7","6","6","No"
"2019/08/21 10:04:45 AM GMT+1","10","7","7","7","9","7","5","7","4","7","8","7","6","3","7","No"
"2019/08/21 10:05:51 AM GMT+1","6","6","7","7","8","7","6","6","6","6","8","7","6","6","8","No"
"2019/08/21 10:15:44 AM GMT+1","8","7","8","8","9","6","7","7","5","7","8","7","3","6","8","Yes"
"2019/08/21 10:30:48 AM GMT+1","7","6","7","6","9","8","6","6","4","2","7","8","6","6","8","Yes"
"2019/08/21 10:33:12 AM GMT+1","7","6","7","7","8","7","6","7","5","6","7","7","5","7","8","No"
"2019/08/21 11:12:05 AM GMT+1","6","6","7","7","8","7","6","7","5","6","8","6","6","6","7","Yes"
"2019/08/21 11:20:26 AM GMT+1","8","6","5","5","5","6","6","8","5","7","7","6","7","6","9","No"
"2019/08/21 11:24:31 AM GMT+1","8","7","7","7","8","8","6","7","6","6","8","7","6","6","6","No"
"2019/08/21 11:25:20 AM GMT+1","5","4","5","5","9","7","4","6","4","5","8","6","5","6","7","Yes"
"2019/08/21 11:26:03 AM GMT+1","6","6","6","6","6","6","6","7","6","6","6","6","6","5","7","Yes"
"2019/08/21 11:39:20 AM GMT+1","8","7","8","8","9","7","7","7","6","6","8","9","6","7","8","No"
"2019/08/21 11:46:55 AM GMT+1","7","6","7","7","8","7","7","8","3","6","8","7","5","5","6","Yes"
"2019/08/21 11:47:20 AM GMT+1","6","8","6","6","8","5","5","7","5","8","7","6","3","3","7","No"
"2019/08/21 11:50:32 AM GMT+1","6","4","5","5","7","4","4","7","3","6","6","6","4","3","5","No"
"2019/08/21 12:04:04 PM GMT+1","8","5","8","5","9","7","6","7","5","6","8","7","6","8","7","No"
"2019/08/21 12:16:36 PM GMT+1","7","7","6","6","8","7","5","6","6","7","7","8","6","6","4","No"
"2019/08/21 12:36:17 PM GMT+1","7","6","7","7","9","7","5","7","4","6","6","7","3","6","5","No"
"2019/08/21 12:37:16 PM GMT+1","6","6","7","7","8","6","6","7","5","5","7","6","6","5","6","No"
"2019/08/21 12:37:17 PM GMT+1","8","7","8","7","8","7","6","7","6","7","8","7","7","6","8","No"
"2019/08/21 12:56:13 PM GMT+1","6","7","7","7","8","7","6","7","5","7","8","7","6","5","5","No"
"2019/08/21 12:59:14 PM GMT+1","7","7","8","8","8","8","7","7","6","6","8","7","7","6","7","No"
"2019/08/21 1:03:50 PM GMT+1","8","7","8","7","9","6","6","6","5","6","8","7","7","6","7","No"
"2019/08/21 1:12:16 PM GMT+1","7","7","8","8","8","6","7","7","6","6","8","6","4","6","8","No"
"2019/08/21 1:22:08 PM GMT+1","6","5","7","7","8","6","6","5","5","6","7","6","5","5","6","No"
"2019/08/21 1:25:47 PM GMT+1","6","7","7","7","9","6","6","6","5","5","8","7","5","5","8","Yes"
"2019/08/21 2:04:08 PM GMT+1","10","10","10","10","10","10","10","10","7","6","10","6","5","7","6","No"
"2019/08/21 2:10:57 PM GMT+1","6","6","7","6","7","6","6","8","6","6","9","7","5","6","7","Yes"
"2019/08/21 3:09:20 PM GMT+1","6","6","7","7","7","7","6","6","6","7","7","7","6","5","7","No"
"2019/08/21 3:27:37 PM GMT+1","7","6","8","7","9","7","6","5","4","6","8","6","7","4","5","No"
"2019/08/21 3:46:22 PM GMT+1","6","5","6","5","6","6","6","5","3","6","7","5","6","5","4","No"
"2019/08/21 3:58:35 PM GMT+1","6","5","5","5","7","7","4","4","2","4","7","4","3","4","6","No"
"2019/08/21 4:03:06 PM GMT+1","8","4","7","7","8","9","8","5","5","5","9","7","4","6","7","No"
"2019/08/21 4:04:18 PM GMT+1","7","7","8","7","9","8","5","8","3","7","9","8","4","8","6","No"
"2019/08/21 4:13:49 PM GMT+1","6","6","7","8","9","9","7","8","4","4","8","7","6","9","6",""
"2019/08/21 4:20:24 PM GMT+1","8","6","8","7","10","8","6","7","5","5","8","8","6","8","7","No"
"2019/08/21 4:35:36 PM GMT+1","6","5","7","7","8","6","5","6","5","5","7","8","7","6","7","No"
"2019/08/21 4:38:04 PM GMT+1","6","6","7","7","9","6","6","6","5","6","7","6","5","5","6",""
"2019/08/21 4:38:24 PM GMT+1","6","4","6","6","7","6","5","6","3","5","7","6","7","6","7","No"
"2019/08/21 5:25:54 PM GMT+1","8","6","7","7","10","7","4","6","3","3","7","7","5","4","5","No"
"2019/08/21 5:39:45 PM GMT+1","7","5","7","7","7","4","2","7","1","4","8","6","3","6","8","No"
"2019/08/21 5:41:37 PM GMT+1","5","7","8","8","7","7","6","6","3","4","8","7","4","7","7","No"
"2019/08/21 6:07:01 PM GMT+1","7","6","7","7","8","9","5","7","2","6","9","8","6","7","8","No"
"2019/08/21 6:18:47 PM GMT+1","6","6","6","6","7","6","6","8","4","6","8","7","5","3","6","No"
"2019/08/21 6:35:15 PM GMT+1","9","6","9","8","10","8","7","7","2","7","9","8","6","7","9","No"
"2019/08/21 6:48:49 PM GMT+1","7","7","8","8","9","7","8","7","6","7","9","7","7","7","8","No"
"2019/08/21 7:12:34 PM GMT+1","7","5","5","7","7","4","5","7","8","7","8","6","4","5","8","No"
"2019/08/21 7:15:33 PM GMT+1","7","7","7","7","8","8","4","7","4","6","7","7","5","7","8","No"
"2019/08/21 7:58:58 PM GMT+1","8","7","8","8","9","8","7","8","6","7","9","7","4","5","7","No"
"2019/08/21 8:50:16 PM GMT+1","8","5","6","6","8","8","5","6","3","6","7","7","4","5","8","No"
"2019/08/21 8:55:22 PM GMT+1","4","5","10","10","10","5","6","8","1","5","6","9","1","1","10","No"
"2019/08/21 9:08:26 PM GMT+1","7","7","8","7","8","8","6","8","6","7","8","8","7","8","7","No"
