"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Fred","Andreas Pereira","Daniel James","Marcus Rashford","Anthony Martial","Mason Greenwood (optional)","Team Performance","Final Result","Rate Ole","Rate Opponent - Norwich","Did the referee/VAR do their job correctly? (optional)"
"2019/10/28 3:56:53 PM GMT+1","7","7","8","7","9","9","7","9","9","10","10","6","8","8","10","5","No"
"2019/10/28 3:56:58 PM GMT+1","7","6","7","7","10","10","8","8","9","8","9","","9","8","9","5","No"
"2019/10/28 3:57:06 PM GMT+1","7","6","7","7","8","8","7","6","8","8","7","","7","7","6","3","No"
"2019/10/28 3:57:09 PM GMT+1","6","6","6","6","7","7","7","6","8","8","8","4","7","7","7","3","No"
"2019/10/28 3:57:13 PM GMT+1","6","7","7","7","9","9","7","7","7","8","8","","8","8","7","5","No"
"2019/10/28 3:57:14 PM GMT+1","7","7","6","6","8","7","6","6","6","8","8","6","8","8","8","4","No"
"2019/10/28 3:57:16 PM GMT+1","5","7","8","6","9","9","4","6","8","8","8","6","7","8","8","4","No"
"2019/10/28 3:58:23 PM GMT+1","7","5","6","7","9","8","8","6","8","9","8","6","8","9","10","6","No"
"2019/10/28 3:58:37 PM GMT+1","7","7","5","8","8","9","8","7","8","8","8","5","8","10","5","5","Yes"
"2019/10/28 3:58:38 PM GMT+1","6","6","7","7","9","8","7","6","7","7","8","5","8","9","8","4","Yes"
"2019/10/28 3:58:48 PM GMT+1","7","7","8","7","8","9","7","7","7","8","7","","7","9","10","5","No"
"2019/10/28 3:59:07 PM GMT+1","8","7","9","8","9","9","8","8","9","8","8","7","7","8","7","6","Yes"
"2019/10/28 4:00:01 PM GMT+1","7","6","7","6","9","8","5","8","8","8","8","3","8","8","7","5","No"
"2019/10/28 4:00:31 PM GMT+1","7","7","8","7","9","9","6","7","9","9","9","","8","7","8","4","Yes"
"2019/10/28 4:01:09 PM GMT+1","7","6","7","7","9","8","6","7","7","8","7","","8","8","8","4","No"
"2019/10/28 4:01:38 PM GMT+1","8","5","7","7","8","8","6","7","7","9","8","3","7","10","8","3","No"
"2019/10/28 4:02:20 PM GMT+1","6","6","7","6","8","8","7","7","7","8","7","6","8","7","8","4","No"
"2019/10/28 4:03:47 PM GMT+1","6","5","6","6","8","7","6","6","8","8","8","","7","8","7","6",""
"2019/10/28 4:03:52 PM GMT+1","6","5","8","7","10","10","7","6","8","10","8","6","9","9","9","3","Yes"
"2019/10/28 4:04:39 PM GMT+1","7","7","7","6","9","8","7","7","9","10","10","","9","9","9","4","No"
"2019/10/28 4:05:18 PM GMT+1","7","6","6","6","8","8","7","7","8","8","7","","7","8","7","3","No"
"2019/10/28 4:07:15 PM GMT+1","6","6","6","6","8","9","7","7","7","8","8","6","8","8","6","2","No"
"2019/10/28 4:07:32 PM GMT+1","7","7","6","7","8","8","7","7","7","8","7","","9","8","8","2","No"
"2019/10/28 4:08:15 PM GMT+1","6","5","5","5","8","8","6","6","7","7","7","5","7","7","8","4","No"
"2019/10/28 4:08:29 PM GMT+1","6","6","8","7","8","8","6","6","8","9","9","5","9","7","10","1","No"
"2019/10/28 4:08:38 PM GMT+1","7","6","7","6","8","7","7","6","7","8","7","6","8","8","7","3","No"
"2019/10/28 4:08:41 PM GMT+1","6","6","6","6","8","9","7","8","7","8","9","5","8","6","7","2","No"
"2019/10/28 4:08:43 PM GMT+1","7","6","7","7","9","9","8","7","9","8","8","","7","7","7","5","Yes"
"2019/10/28 4:09:34 PM GMT+1","8","7","9","9","9","9","8","8","9","9","9","6","9","8","9","6","Yes"
"2019/10/28 4:10:57 PM GMT+1","6","6","6","6","8","9","8","8","8","8","8","7","9","8","6","2","No"
"2019/10/28 4:11:49 PM GMT+1","5","4","6","6","8","8","8","7","8","8","8","4","8","7","8","3","No"
"2019/10/28 4:12:06 PM GMT+1","6","5","5","6","8","7","6","6","8","8","8","5","8","8","8","4","Yes"
"2019/10/28 4:12:20 PM GMT+1","7","6","7","7","8","9","6","6","8","8","7","","8","9","8","5","Yes"
"2019/10/28 4:13:53 PM GMT+1","8","6","7","6","10","7","6","6","9","9","8","","8","7","9","3","Yes"
"2019/10/28 4:15:18 PM GMT+1","7","7","7","7","9","8","7","7","8","9","8","","8","8","8","5",""
"2019/10/28 4:15:38 PM GMT+1","6","4","6","6","8","8","6","7","7","8","7","5","7","7","7","5","No"
"2019/10/28 4:15:51 PM GMT+1","7","6","8","8","10","10","7","8","9","9","8","","9","9","9","4","No"
"2019/10/28 4:15:57 PM GMT+1","5","5","6","6","8","7","5","5","7","7","7","","7","7","7","3","No"
"2019/10/28 4:16:19 PM GMT+1","7","7","8","7","8","9","8","7","8","9","8","6","8","8","8","6","Yes"
"2019/10/28 4:16:19 PM GMT+1","8","7","8","8","9","9","8","7","9","9","10","","8","7","8","5","No"
"2019/10/28 4:17:27 PM GMT+1","8","6","8","7","10","10","7","7","9","9","9","","9","9","8","1","No"
"2019/10/28 4:17:57 PM GMT+1","8","5","7","7","8","10","7","5","7","8","8","5","8","8","7","6","Yes"
"2019/10/28 4:18:10 PM GMT+1","7","5","7","7","7","9","4","7","9","8","7","5","7","7","6","3","Yes"
"2019/10/28 4:18:13 PM GMT+1","7","5","7","6","9","8","8","8","7","8","7","","8","8","8","5","No"
"2019/10/28 4:19:21 PM GMT+1","7","2","5","6","9","9","7","6","7","7","8","5","8","7","8","1","Yes"
"2019/10/28 4:19:25 PM GMT+1","7","7","7","7","8","8","8","7","9","9","7","5","8","8","9","5","No"
"2019/10/28 4:19:25 PM GMT+1","8","7","7","8","9","8","7","7","8","8","8","","8","9","8","5","No"
"2019/10/28 4:19:39 PM GMT+1","7","7","8","8","9","8","7","7","9","9","8","","7","7","7","5",""
"2019/10/28 4:20:08 PM GMT+1","6","6","6","7","8","9","8","6","8","8","9","5","8","8","7","5","No"
"2019/10/28 4:23:44 PM GMT+1","7","7","7","8","10","8","7","7","8","10","10","7","9","10","8","7","No"
"2019/10/28 4:23:50 PM GMT+1","6","5","6","6","9","8","7","7","9","9","8","6","8","7","7","3","Yes"
"2019/10/28 4:23:57 PM GMT+1","7","5","6","6","9","8","7","7","7","7","7","","7","8","7","3","No"
"2019/10/28 4:24:16 PM GMT+1","7","7","7","7","8","8","7","6","6","8","8","","8","7","7","6","No"
"2019/10/28 4:24:26 PM GMT+1","6","5","6","6","8","8","7","7","7","8","8","5","6","6","6","5","No"
"2019/10/28 4:24:33 PM GMT+1","7","5","7","6","8","9","6","7","8","8","7","6","7","7","7","6","No"
"2019/10/28 4:25:40 PM GMT+1","6","5","7","6","8","10","7","6","8","9","8","6","8","7","6","2","No"
"2019/10/28 4:25:52 PM GMT+1","7","6","6","8","9","7","6","6","8","8","8","5","8","8","9","9","Yes"
"2019/10/28 4:27:26 PM GMT+1","6","6","7","7","8","9","8","8","9","9","10","7","9","9","8","4","Yes"
"2019/10/28 4:27:29 PM GMT+1","6","6","5","6","8","9","8","7","9","8","8","","7","8","6","4","Yes"
"2019/10/28 4:27:33 PM GMT+1","7","6","7","6","10","10","8","8","10","9","9","6","8","6","7","1","No"
"2019/10/28 4:28:06 PM GMT+1","7","7","6","7","8","9","8","7","7","8","7","5","8","10","8","4","No"
"2019/10/28 4:28:41 PM GMT+1","7","6","7","7","9","9","7","8","8","9","9","6","7","8","8","3","No"
"2019/10/28 4:30:29 PM GMT+1","6","6","7","6","8","9","8","8","9","9","8","7","10","9","10","7","No"
"2019/10/28 4:30:59 PM GMT+1","6","5","6","7","8","9","8","7","9","10","9","7","8","10","8","4","No"
"2019/10/28 4:32:35 PM GMT+1","8","6","7","7","9","9","7","8","8","8","8","6","8","8","7","4","Yes"
"2019/10/28 4:33:46 PM GMT+1","7","8","6","6","10","10","8","6","10","10","10","7","7","8","8","3","No"
"2019/10/28 4:34:05 PM GMT+1","7","7","8","7","8","8","6","6","7","8","9","7","9","10","10","3","Yes"
"2019/10/28 4:36:00 PM GMT+1","8","8","9","9","10","10","7","9","9","9","10","8","9","9","9","8","No"
"2019/10/28 4:36:20 PM GMT+1","8","8","8","7","9","8","8","8","9","9","9","","8","7","8","5","No"
"2019/10/28 4:36:48 PM GMT+1","7","8","8","8","8","9","8","9","7","9","8","6","8","8","9","6","Yes"
"2019/10/28 4:37:02 PM GMT+1","7","7","8","7","9","9","7","8","9","9","8","6","8","9","8","4","No"
"2019/10/28 4:37:29 PM GMT+1","9","8","8","8","10","10","8","6","10","10","10","5","10","10","10","8","No"
"2019/10/28 4:37:57 PM GMT+1","5","6","6","6","8","8","7","6","8","8","9","5","8","6","8","3","No"
"2019/10/28 4:38:04 PM GMT+1","7","6","7","7","9","8","7","7","10","9","8","6","8","9","9","3","No"
"2019/10/28 4:38:46 PM GMT+1","6","7","7","7","9","9","8","8","9","8","8","","9","6","10","2","Yes"
"2019/10/28 4:39:32 PM GMT+1","6","6","7","7","8","8","7","7","7","8","8","5","7","7","7","3",""
"2019/10/28 4:39:36 PM GMT+1","6","6","7","6","8","9","7","7","8","9","8","6","8","7","8","4","No"
"2019/10/28 4:39:58 PM GMT+1","7","7","7","7","9","9","8","7","9","9","9","7","9","8","8","4","No"
"2019/10/28 4:40:29 PM GMT+1","7","8","7","7","8","9","6","7","8","9","8","","7","8","8","5",""
"2019/10/28 4:41:53 PM GMT+1","6","6","7","7","9","9","8","8","8","9","9","6","9","9","8","4","No"
"2019/10/28 4:42:00 PM GMT+1","6","6","6","6","8","9","7","7","8","8","8","6","9","8","10","4","Yes"
"2019/10/28 4:43:52 PM GMT+1","6","6","6","6","8","9","7","7","8","9","9","5","8","8","7","4","No"
"2019/10/28 4:43:58 PM GMT+1","8","5","7","7","9","8","7","7","8","8","8","6","7","8","6","6","No"
"2019/10/28 4:44:56 PM GMT+1","7","6","6","6","8","9","6","8","8","8","9","","8","6","7","4","Yes"
