"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Fred","Andreas Pereira","Daniel James","Marcus Rashford","Anthony Martial","Mason Greenwood (optional)","Team Performance","Final Result","Rate Ole","Rate Opponent - Norwich","Did the referee/VAR do their job correctly? (optional)"
"2019/10/28 6:05:14 PM GMT+1","8","8","7","8","9","9","7","7","8","9","9","","8","9","7","6","No"
"2019/10/28 6:05:40 PM GMT+1","6","4","5","5","9","8","7","7","8","8","8","","8","7","7","2","No"
"2019/10/28 6:05:44 PM GMT+1","7","5","6","6","8","7","6","7","7","8","8","7","7","7","7","4","Yes"
"2019/10/28 6:05:51 PM GMT+1","6","6","8","7","9","8","7","7","8","7","7","","8","8","8","6","No"
"2019/10/28 6:05:55 PM GMT+1","7","7","8","7","8","9","7","6","8","9","8","","8","8","10","4","Yes"
"2019/10/28 6:08:37 PM GMT+1","8","6","6","7","8","7","7","6","7","8","9","","7","9","8","5","No"
"2019/10/28 6:12:21 PM GMT+1","7","6","7","7","8","7","7","6","8","8","8","6","7","7","7","3","No"
"2019/10/28 6:12:37 PM GMT+1","7","6","7","6","7","9","7","7","7","9","8","","8","6","8","4","No"
"2019/10/28 6:15:29 PM GMT+1","7","6","5","10","7","8","6","7","8","8","8","","8","7","10","5","Yes"
"2019/10/28 6:18:04 PM GMT+1","6","5","6","6","7","7","6","6","7","8","8","5","6","6","7","3","No"
"2019/10/28 6:20:32 PM GMT+1","7","6","8","7","9","9","6","7","8","8","9","","7","6","7","5","No"
"2019/10/28 6:23:24 PM GMT+1","6","7","7","8","9","10","7","7","9","10","10","","8","7","8","4","Yes"
"2019/10/28 6:24:06 PM GMT+1","7","6","7","7","8","8","6","6","7","8","8","6","7","8","8","3","Yes"
"2019/10/28 6:24:30 PM GMT+1","6","5","7","7","8","7","4","6","8","9","7","4","7","8","7","4","No"
"2019/10/28 6:25:59 PM GMT+1","7","6","7","7","8","9","5","6","8","8","8","","8","7","7","5",""
"2019/10/28 6:28:52 PM GMT+1","6","5","6","7","8","9","7","7","7","8","8","6","8","9","9","6","Yes"
"2019/10/28 6:30:17 PM GMT+1","7","5","8","8","9","8","7","6","8","7","9","","7","8","6","6","No"
"2019/10/28 6:31:14 PM GMT+1","10","1","1","10","10","10","5","6","10","10","7","6","10","10","10","7","Yes"
"2019/10/28 6:31:15 PM GMT+1","6","6","6","6","8","8","7","7","7","8","9","","8","9","9","4","No"
"2019/10/28 6:31:42 PM GMT+1","7","7","6","6","8","7","7","6","9","8","8","6","7","7","7","6","No"
"2019/10/28 6:33:27 PM GMT+1","7","4","6","6","7","8","7","7","8","5","7","7","8","8","6","4","No"
"2019/10/28 6:33:49 PM GMT+1","6","5","6","6","8","8","7","8","8","8","8","","8","8","8","3","No"
"2019/10/28 6:35:13 PM GMT+1","7","7","7","7","8","9","5","5","8","9","7","5","8","8","8","4","No"
"2019/10/28 6:36:45 PM GMT+1","6","6","6","6","7","6","6","7","8","9","8","6","7","8","7","7","No"
"2019/10/28 6:36:55 PM GMT+1","6","6","7","6","8","7","7","5","7","7","7","4","7","7","7","2","No"
"2019/10/28 6:36:55 PM GMT+1","6","5","7","7","9","8","7","7","7","8","7","6","7","7","7","5","No"
"2019/10/28 6:40:31 PM GMT+1","5","5","7","7","7","8","7","7","7","8","7","6","8","6","7","4","No"
"2019/10/28 6:40:40 PM GMT+1","8","7","8","8","9","9","6","6","8","9","10","","8","8","9","4","Yes"
"2019/10/28 6:41:08 PM GMT+1","7","5","6","6","8","9","5","5","7","8","7","","7","7","7","4","No"
"2019/10/28 6:41:17 PM GMT+1","7","6","6","6","7","8","6","6","8","8","8","6","7","8","7","2","No"
"2019/10/28 6:41:36 PM GMT+1","7","7","7","7","9","7","7","6","8","7","7","5","7","8","7","6","No"
"2019/10/28 6:44:16 PM GMT+1","7","6","7","7","9","8","7","8","8","8","9","6","9","9","8","1","No"
"2019/10/28 6:45:05 PM GMT+1","7","6","8","7","9","10","7","6","8","8","9","6","8","8","10","4","Yes"
"2019/10/28 6:46:26 PM GMT+1","7","7","8","7","7","8","6","6","7","8","8","","8","9","7","3","No"
"2019/10/28 6:46:32 PM GMT+1","8","6","7","7","8","8","7","7","8","9","9","","7","7","7","4","No"
"2019/10/28 6:46:44 PM GMT+1","7","5","7","6","10","10","8","7","9","10","10","6","8","10","10","6","No"
"2019/10/28 6:48:19 PM GMT+1","8","6","5","7","9","7","6","6","8","8","8","3","7","7","5","3","Yes"
"2019/10/28 6:48:24 PM GMT+1","5","10","5","5","6","5","10","4","8","8","8","8","5","10","10","3","Yes"
"2019/10/28 6:51:42 PM GMT+1","6","5","6","5","8","9","7","6","7","8","9","6","7","7","7","4","No"
"2019/10/28 6:54:58 PM GMT+1","7","6","6","8","8","8","7","7","8","8","7","6","8","8","7","5","Yes"
"2019/10/28 6:55:16 PM GMT+1","6","6","7","7","9","8","5","7","8","7","8","","8","7","7","3","No"
"2019/10/28 6:56:06 PM GMT+1","6","7","7","7","8","9","8","7","7","8","8","5","9","8","8","5","No"
"2019/10/28 6:56:49 PM GMT+1","6","5","6","6","7","9","6","6","8","8","8","6","8","10","7","3",""
"2019/10/28 6:57:52 PM GMT+1","8","7","7","8","9","9","8","8","8","9","9","6","8","8","8","5","Yes"
"2019/10/28 6:59:02 PM GMT+1","7","7","7","6","8","6","6","8","8","9","10","7","8","7","8","2","No"
"2019/10/28 7:00:14 PM GMT+1","6","6","7","6","9","9","7","6","8","8","8","","8","9","8","5","No"
"2019/10/28 7:00:20 PM GMT+1","5","5","7","5","8","7","6","5","7","7","6","5","7","10","8","2","No"
"2019/10/28 7:01:05 PM GMT+1","9","9","8","8","10","9","8","8","9","9","9","","9","7","10","6","No"
"2019/10/28 7:03:19 PM GMT+1","7","7","6","7","8","8","7","7","8","8","8","","8","9","7","3","No"
"2019/10/28 7:04:16 PM GMT+1","10","6","6","6","6","6","6","6","6","7","7","6","7","7","6","2","No"
"2019/10/28 7:05:01 PM GMT+1","7","4","6","6","8","8","7","7","7","8","8","5","8","8","6","3","No"
"2019/10/28 7:05:28 PM GMT+1","6","6","7","8","7","8","7","8","7","8","7","6","8","8","8","6","Yes"
"2019/10/28 7:09:29 PM GMT+1","6","5","7","6","8","7","6","6","8","7","8","6","7","7","7","5",""
"2019/10/28 7:10:05 PM GMT+1","7","5","6","6","8","8","6","6","8","7","8","","7","6","7","6","No"
"2019/10/28 7:11:19 PM GMT+1","7","7","7","7","9","5","6","7","9","8","8","5","8","8","8","4","Yes"
"2019/10/28 7:11:21 PM GMT+1","6","6","6","6","9","9","6","6","8","8","7","5","7","8","7","5","No"
"2019/10/28 7:13:40 PM GMT+1","7","5","8","7","9","8","10","6","8","8","7","","8","9","9","4","Yes"
"2019/10/28 7:13:51 PM GMT+1","7","6","7","7","9","9","7","6","8","9","8","","7","7","7","5","No"
"2019/10/28 7:14:12 PM GMT+1","6","6","7","7","8","9","6","7","7","9","7","6","8","8","7","5","Yes"
"2019/10/28 7:23:16 PM GMT+1","6","6","7","6","7","8","6","6","8","8","8","5","7","8","6","5","No"
"2019/10/28 7:24:40 PM GMT+1","6","7","7","5","10","8","8","7","7","8","8","","7","8","10","5","Yes"
"2019/10/28 7:26:19 PM GMT+1","8","7","7","7","8","9","8","8","9","9","9","7","8","9","9","7","Yes"
"2019/10/28 7:27:19 PM GMT+1","7","6","6","6","7","9","8","8","7","8","8","6","8","9","8","4","No"
"2019/10/28 7:27:20 PM GMT+1","8","6","8","8","10","10","7","7","9","9","10","","8","7","8","5","Yes"
"2019/10/28 7:27:37 PM GMT+1","6","5","7","5","9","9","7","8","8","8","7","6","8","8","10","4","No"
"2019/10/28 7:28:48 PM GMT+1","8","8","7","8","10","10","9","7","9","9","8","","8","9","8","6","No"
"2019/10/28 7:29:12 PM GMT+1","6","6","6","7","8","7","6","6","7","7","8","","7","6","8","5","Yes"
"2019/10/28 7:33:17 PM GMT+1","6","6","8","7","9","9","5","6","7","7","7","5","7","7","8","3","No"
"2019/10/28 7:33:49 PM GMT+1","6","5","9","7","10","8","7","6","9","8","9","6","9","10","9","3","Yes"
"2019/10/28 7:35:14 PM GMT+1","6","6","6","5","8","8","6","7","7","7","7","6","7","5","8","3","No"
"2019/10/28 7:36:56 PM GMT+1","7","7","7","7","8","9","8","7","8","8","8","6","8","10","8","5","No"
"2019/10/28 7:39:00 PM GMT+1","7","7","7","7","7","7","5","6","7","8","7","5","7","8","7","5","No"
"2019/10/28 7:40:39 PM GMT+1","7","7","8","8","9","9","6","6","9","9","9","","8","8","8","5","No"
"2019/10/28 7:44:30 PM GMT+1","8","7","8","8","10","10","7","8","9","9","10","6","8","8","8","5","Yes"
"2019/10/28 7:53:04 PM GMT+1","7","6","7","6","8","8","6","5","10","8","8","5","8","7","7","3","Yes"
"2019/10/28 7:54:03 PM GMT+1","7","7","7","7","8","8","7","7","8","9","8","","9","8","9","6","No"
"2019/10/28 7:55:18 PM GMT+1","8","7","8","7","10","8","7","7","9","8","8","","9","8","9","7","No"
"2019/10/28 7:55:20 PM GMT+1","8","7","8","8","9","9","7","7","8","9","9","","8","8","8","7","Yes"
"2019/10/28 7:55:25 PM GMT+1","6","6","6","6","8","8","7","7","7","8","8","6","7","8","7","2","No"
"2019/10/28 7:55:27 PM GMT+1","7","6","7","7","7","8","9","5","7","7","9","","8","9","8","2","Yes"
"2019/10/28 7:58:04 PM GMT+1","6","5","6","6","8","8","6","7","7","8","8","","7","7","7","4","Yes"
"2019/10/28 8:01:14 PM GMT+1","6","6","7","6","8","9","7","6","7","9","9","5","9","8","10","6","Yes"
"2019/10/28 8:02:10 PM GMT+1","7","7","7","7","8","7","6","6","6","7","7","6","7","7","7","4","No"
"2019/10/28 8:04:41 PM GMT+1","7","7","6","6","10","9","8","7","8","8","8","6","7","9","7","4",""
"2019/10/28 8:04:58 PM GMT+1","8","7","9","8","10","9","1","1","9","9","10","10","10","10","10","7","No"
"2019/10/28 8:06:07 PM GMT+1","7","6","7","7","8","9","8","8","8","9","9","7","8","9","8","4","Yes"
"2019/10/28 8:09:40 PM GMT+1","7","6","7","7","10","9","7","7","8","8","9","","8","8","8","3","Yes"
"2019/10/28 8:09:56 PM GMT+1","6","6","6","6","8","8","7","6","8","8","8","6","7","7","7","5","No"
"2019/10/28 8:10:58 PM GMT+1","5","5","6","6","7","7","5","6","7","8","8","","7","7","8","4","Yes"
"2019/10/28 8:11:27 PM GMT+1","7","7","7","6","8","9","6","7","8","8","8","6","8","8","8","3","No"
"2019/10/28 8:17:23 PM GMT+1","6","6","8","7","8","8","7","7","9","9","9","","8","9","8","5","No"
"2019/10/28 8:17:31 PM GMT+1","6","6","6","6","7","7","7","6","7","8","8","","8","9","8","4","Yes"
"2019/10/28 8:18:05 PM GMT+1","7","7","8","7","9","8","8","7","8","8","8","8","8","8","10","7","Yes"
"2019/10/28 8:18:10 PM GMT+1","6","6","6","6","7","8","7","7","7","8","8","","7","7","8","4","No"
"2019/10/28 8:19:11 PM GMT+1","8","6","7","8","9","10","8","8","9","10","10","9","9","9","10","6","Yes"
"2019/10/28 8:19:31 PM GMT+1","7","6","8","7","9","8","6","7","9","9","9","","9","8","8","4","No"
"2019/10/28 8:20:56 PM GMT+1","7","7","7","6","8","8","3","5","7","7","7","","7","8","7","2","No"
"2019/10/28 8:21:02 PM GMT+1","7","7","7","7","9","8","7","8","8","8","8","6","8","8","8","6","No"
"2019/10/28 8:21:02 PM GMT+1","7","7","8","8","9","9","8","7","9","9","9","6","8","8","10","5","Yes"
"2019/10/28 8:23:46 PM GMT+1","7","7","7","2","8","1","7","7","8","8","8","","7","10","8","6","Yes"
"2019/10/28 8:24:40 PM GMT+1","7","5","7","6","8","7","5","6","7","7","8","6","7","7","7","4","Yes"
"2019/10/28 8:24:52 PM GMT+1","5","6","7","7","8","9","8","7","10","10","10","4","10","9","10","7","Yes"
"2019/10/28 8:33:27 PM GMT+1","6","6","6","6","7","8","7","7","6","8","7","","8","8","7","3","No"
"2019/10/28 8:33:44 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","3","Yes"
"2019/10/28 8:37:26 PM GMT+1","7","7","7","6","8","9","7","7","8","8","8","","9","9","8","6","No"
"2019/10/28 8:38:48 PM GMT+1","9","7","7","8","9","9","8","8","9","9","9","","9","8","9","3",""
"2019/10/28 8:41:43 PM GMT+1","7","7","7","8","8","8","7","8","9","9","9","7","9","10","8","6","Yes"
"2019/10/28 8:43:37 PM GMT+1","7","6","7","7","8","8","7","7","8","8","8","6","8","8","8","5","Yes"
"2019/10/28 8:44:34 PM GMT+1","7","7","8","7","9","10","9","9","7","10","9","6","9","10","7","5","No"
"2019/10/28 8:48:38 PM GMT+1","6","5","6","7","8","7","7","6","7","7","8","6","7","7","7","5","Yes"
"2019/10/28 8:49:54 PM GMT+1","6","7","6","7","8","8","6","6","7","8","8","3","8","8","8","3","No"
"2019/10/28 8:54:18 PM GMT+1","8","6","6","6","8","9","7","8","9","9","9","7","8","7","7","4","Yes"
"2019/10/28 9:00:40 PM GMT+1","7","6","6","7","8","8","6","7","8","8","8","6","7","8","7","4","Yes"
"2019/10/28 9:03:13 PM GMT+1","7","7","7","7","10","9","8","8","9","9","10","7","8","7","8","3","No"
"2019/10/28 9:03:54 PM GMT+1","7","6","7","7","8","8","7","8","8","8","8","","8","8","8","4","No"
"2019/10/28 9:05:40 PM GMT+1","7","5","6","6","9","8","6","7","8","8","8","5","8","8","8","5","No"
"2019/10/28 9:05:43 PM GMT+1","6","5","6","6","7","8","6","6","8","9","9","","7","8","8","4","Yes"
"2019/10/28 9:06:49 PM GMT+1","7","5","7","7","8","8","7","7","8","8","8","5","7","8","8","4","No"
"2019/10/28 9:07:54 PM GMT+1","6","7","7","7","9","9","6","6","7","10","10","","9","10","8","4","Yes"
"2019/10/28 9:07:55 PM GMT+1","7","7","7","7","8","8","7","7","8","9","9","","7","7","7","4","No"
"2019/10/28 9:08:22 PM GMT+1","7","6","7","6","8","9","7","7","9","8","8","","8","8","6","4","No"
"2019/10/28 9:10:11 PM GMT+1","7","6","8","7","8","8","7","7","8","8","7","6","9","9","9","2","No"
"2019/10/28 9:10:57 PM GMT+1","5","4","7","5","7","7","6","6","8","8","9","5","7","8","7","3","No"
"2019/10/28 9:13:13 PM GMT+1","7","6","7","7","8","9","8","7","8","9","9","7","9","10","8","6","Yes"
"2019/10/28 9:17:03 PM GMT+1","7","7","7","7","8","7","7","7","8","9","9","","7","8","8","5",""
"2019/10/28 9:17:48 PM GMT+1","6","6","7","7","8","8","5","6","8","8","8","6","8","7","7","3","No"
"2019/10/28 9:22:28 PM GMT+1","6","6","7","7","10","7","7","7","9","10","10","","9","10","9","3","No"
"2019/10/28 9:26:00 PM GMT+1","8","7","7","7","9","9","7","7","8","9","9","","8","7","8","5","No"
"2019/10/28 9:26:10 PM GMT+1","7","6","8","7","8","9","8","6","7","8","7","","8","7","7","4",""
"2019/10/28 9:27:16 PM GMT+1","8","8","8","8","9","9","8","8","8","9","9","8","9","7","7","5","Yes"
"2019/10/28 9:29:50 PM GMT+1","7","5","6","6","8","9","9","7","9","8","9","6","10","10","10","5","No"
"2019/10/28 9:30:07 PM GMT+1","6","5","7","5","8","8","7","6","7","8","7","4","9","9","9","3","No"
"2019/10/28 9:31:15 PM GMT+1","7","7","8","8","9","9","6","7","8","8","8","","7","7","7","3","No"
"2019/10/28 9:34:25 PM GMT+1","6","6","7","7","9","8","6","6","9","9","9","","9","9","9","7","No"
"2019/10/28 9:39:47 PM GMT+1","6","6","6","6","7","7","7","6","7","8","7","","8","7","6","5",""
"2019/10/28 9:46:39 PM GMT+1","7","6","7","7","9","9","8","6","7","8","8","","8","7","7","5","Yes"
"2019/10/28 9:49:03 PM GMT+1","6","6","7","6","8","8","7","6","8","8","8","","7","7","7","4","Yes"
"2019/10/28 9:52:01 PM GMT+1","6","7","7","7","9","9","7","7","8","9","8","7","9","8","10","4","Yes"
"2019/10/28 9:59:28 PM GMT+1","6","7","7","5","9","10","7","6","7","8","7","","7","7","8","4","No"
"2019/10/28 10:02:13 PM GMT+1","6","6","6","6","8","9","6","7","8","8","9","","8","7","7","5","No"
"2019/10/28 10:03:07 PM GMT+1","6","5","6","7","9","8","7","7","8","8","8","","8","7","7","3","Yes"
"2019/10/28 10:06:47 PM GMT+1","8","6","7","7","9","10","8","8","9","9","10","7","9","9","10","6","Yes"
"2019/10/28 10:11:44 PM GMT+1","6","6","6","6","8","7","8","6","7","8","9","","9","7","7","3","No"
"2019/10/28 10:13:56 PM GMT+1","6","6","7","7","9","9","7","8","8","8","8","","9","9","8","3","Yes"
"2019/10/28 10:15:12 PM GMT+1","7","7","8","8","9","9","8","7","8","9","9","6","8","9","8","5","Yes"
"2019/10/28 10:16:34 PM GMT+1","8","6","8","8","10","9","6","7","8","9","8","","8","8","9","5","No"
"2019/10/28 10:18:38 PM GMT+1","6","6","7","7","8","8","7","6","6","7","7","5","7","7","7","3","No"
"2019/10/28 10:28:18 PM GMT+1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Yes"
"2019/10/28 10:28:35 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2019/10/28 10:33:35 PM GMT+1","6","5","6","6","8","8","7","8","8","8","8","7","8","8","8","3","No"
"2019/10/28 10:39:49 PM GMT+1","7","7","8","8","9","8","7","7","8","8","8","7","8","9","8","5","Yes"
"2019/10/28 10:43:03 PM GMT+1","7","6","7","6","8","8","7","7","7","8","8","","8","6","7","3","No"
"2019/10/28 10:47:29 PM GMT+1","7","6","6","6","8","8","7","7","7","8","9","5","8","8","7","3","No"
"2019/10/28 11:06:33 PM GMT+1","7","7","7","8","8","8","8","8","8","7","8","4","8","8","8","7","Yes"
"2019/10/28 11:08:58 PM GMT+1","6","6","6","7","9","8","6","7","8","8","8","","8","8","7","3","No"
"2019/10/28 11:09:14 PM GMT+1","7","5","6","6","7","8","6","5","6","8","7","5","8","10","6","3","No"
"2019/10/28 11:09:51 PM GMT+1","7","7","8","7","8","8","7","7","7","8","7","5","7","8","7","5","No"
"2019/10/28 11:10:14 PM GMT+1","6","6","7","7","8","8","7","7","8","9","9","","8","7","6","3","No"
"2019/10/28 11:10:56 PM GMT+1","7","6","6","6","8","7","8","9","8","8","8","5","8","8","7","6","No"
"2019/10/28 11:22:13 PM GMT+1","7","6","7","7","8","8","7","9","8","8","9","","8","8","8","5","No"
"2019/10/28 11:26:33 PM GMT+1","6","6","7","6","8","8","6","6","7","7","8","5","8","8","7","4","No"
"2019/10/28 11:31:01 PM GMT+1","7","6","7","7","8","9","7","7","8","8","9","","9","9","7","2","Yes"
"2019/10/28 11:42:50 PM GMT+1","6","6","6","6","7","8","5","6","7","8","7","","8","8","7","3","Yes"
"2019/10/28 11:46:32 PM GMT+1","6","5","7","6","8","9","8","7","7","7","9","","7","8","8","4","No"
"2019/10/28 11:50:50 PM GMT+1","7","5","6","6","8","9","6","7","9","9","9","6","8","9","9","2","No"
"2019/10/28 11:58:54 PM GMT+1","5","5","7","5","9","9","5","8","7","8","4","","7","7","6","7",""
"2019/10/29 12:12:44 AM GMT+1","6","4","6","6","8","8","6","7","7","9","9","","8","7","6","5","No"
"2019/10/29 12:17:49 AM GMT+1","7","5","7","5","8","8","6","7","8","8","8","","7","7","7","4","No"
"2019/10/29 12:19:14 AM GMT+1","6","5","7","7","8","7","7","7","7","8","8","","8","9","8","3",""
"2019/10/29 12:20:51 AM GMT+1","6","6","6","6","7","8","6","6","8","8","8","","7","7","7","5","No"
"2019/10/29 12:30:14 AM GMT+1","7","6","7","6","8","8","6","6","8","9","9","","8","8","8","1","Yes"
"2019/10/29 12:39:26 AM GMT+1","9","8","8","8","9","9","8","8","9","9","9","7","9","8","7","8","Yes"
"2019/10/29 12:42:20 AM GMT+1","8","7","7","7","9","8","6","6","8","8","9","8","8","8","7","6","No"
"2019/10/29 12:45:11 AM GMT+1","6","6","6","6","8","8","7","7","7","8","8","","8","7","9","6","No"
"2019/10/29 12:49:31 AM GMT+1","7","7","7","7","8","7","7","7","7","9","8","6","8","10","7","2","No"
"2019/10/29 12:55:21 AM GMT+1","6","7","7","7","8","8","6","7","8","7","7","","7","8","8","4","No"
"2019/10/29 12:58:53 AM GMT+1","7","9","8","8","10","9","8","7","7","9","9","","8","7","9","3","Yes"
"2019/10/29 1:00:25 AM GMT+1","6","4","7","7","8","8","7","6","7","8","7","","7","8","7","5","No"
"2019/10/29 1:29:07 AM GMT+1","7","5","6","7","9","9","7","6","8","9","9","7","8","9","8","6","Yes"
"2019/10/29 1:48:40 AM GMT+1","6","6","7","8","9","9","8","8","7","9","9","4","8","9","6","2","Yes"
"2019/10/29 1:49:35 AM GMT+1","7","6","6","6","7","9","8","6","7","8","8","","9","9","9","4","No"
"2019/10/29 1:50:35 AM GMT+1","7","6","7","7","9","8","6","7","7","8","8","","7","7","8","4","No"
"2019/10/29 1:54:02 AM GMT+1","8","7","8","7","9","6","6","4","7","9","9","","9","10","8","4","Yes"
"2019/10/29 1:55:46 AM GMT+1","4","4","6","7","8","9","7","7","8","9","8","","8","8","10","5","Yes"
"2019/10/29 2:06:27 AM GMT+1","7","7","8","8","10","9","9","8","9","10","10","","9","9","9","4","No"
"2019/10/29 2:12:23 AM GMT+1","7","8","7","6","7","9","8","7","8","8","9","","7","7","7","4","No"
"2019/10/29 2:14:08 AM GMT+1","9","2","7","5","8","10","8","5","10","10","10","6","7","10","10","1","Yes"
"2019/10/29 2:22:18 AM GMT+1","7","1","6","6","9","3","3","3","7","1","8","","6","6","5","4","Yes"
"2019/10/29 2:22:52 AM GMT+1","7","1","6","6","10","1","1","4","8","1","8","","5","5","5","4","Yes"
"2019/10/29 2:23:22 AM GMT+1","6","6","7","7","8","7","6","6","8","8","8","5","7","7","7","3","Yes"
"2019/10/29 2:25:21 AM GMT+1","7","1","6","6","9","2","2","4","7","1","8","","5","5","4","5","Yes"
"2019/10/29 2:26:03 AM GMT+1","7","1","6","6","9","1","3","4","8","1","8","","5","5","5","5","Yes"
"2019/10/29 2:28:47 AM GMT+1","7","6","8","7","9","9","6","6","8","7","8","","7","8","8","8","No"
"2019/10/29 2:52:03 AM GMT+1","7","6","7","7","8","9","7","8","9","9","9","","8","9","8","4","No"
"2019/10/29 2:58:00 AM GMT+1","6","6","7","7","7","8","7","7","8","8","7","6","8","8","8","3","No"
"2019/10/29 3:02:13 AM GMT+1","8","5","6","6","9","8","6","6","9","9","9","","7","8","8","3","No"
"2019/10/29 3:07:37 AM GMT+1","8","8","9","8","9","10","7","8","10","10","10","","8","8","8","6","No"
"2019/10/29 3:10:33 AM GMT+1","6","6","6","6","6","8","7","5","7","7","8","","8","7","8","4","No"
"2019/10/29 3:16:42 AM GMT+1","7","4","7","7","9","9","8","7","8","9","9","6","8","7","7","5","Yes"
"2019/10/29 3:16:50 AM GMT+1","7","7","7","7","8","9","6","7","8","8","8","6","8","8","8","5","No"
"2019/10/29 3:29:33 AM GMT+1","6","6","7","6","6","8","6","6","8","8","8","6","7","7","7","5",""
"2019/10/29 3:36:08 AM GMT+1","7","6","8","8","9","9","8","8","9","9","9","7","8","8","8","7","No"
"2019/10/29 3:42:23 AM GMT+1","6","8","6","7","9","9","8","7","10","9","10","6","8","7","8","5","Yes"
"2019/10/29 3:43:32 AM GMT+1","7","5","7","5","8","8","5","5","9","10","10","","8","9","8","5",""
"2019/10/29 3:51:40 AM GMT+1","6","7","6","6","8","9","7","7","7","8","8","7","7","7","8","5","No"
"2019/10/29 4:09:40 AM GMT+1","7","7","7","6","9","8","7","8","9","8","8","7","8","8","8","3","Yes"
"2019/10/29 4:12:25 AM GMT+1","7","5","7","6","9","9","7","7","8","7","7","6","7","7","7","5","No"
"2019/10/29 4:15:12 AM GMT+1","8","6","8","7","9","9","7","7","8","8","8","7","8","8","9","5","No"
"2019/10/29 4:19:52 AM GMT+1","7","7","7","8","9","9","7","9","8","9","9","6","8","9","8","2","No"
"2019/10/29 4:23:39 AM GMT+1","6","6","7","7","9","7","6","7","9","7","7","5","8","8","7","5",""
"2019/10/29 4:31:48 AM GMT+1","8","8","8","8","9","10","8","7","10","9","9","","8","8","8","4","No"
"2019/10/29 4:31:49 AM GMT+1","8","7","7","7","8","9","6","7","9","9","9","","8","9","8","3",""
"2019/10/29 4:31:55 AM GMT+1","8","8","8","8","9","10","8","7","10","9","9","","8","8","8","4","No"
"2019/10/29 4:33:25 AM GMT+1","8","6","7","7","9","8","6","6","10","8","8","7","8","9","10","7","Yes"
"2019/10/29 4:43:43 AM GMT+1","5","6","7","6","6","7","6","5","7","6","7","5","6","7","5","3","Yes"
"2019/10/29 4:48:51 AM GMT+1","8","6","5","6","7","10","7","6","7","9","9","6","7","8","5","5","No"
"2019/10/29 4:57:15 AM GMT+1","7","6","7","7","7","7","7","7","8","8","8","","8","10","10","6","No"
"2019/10/29 5:09:09 AM GMT+1","6","5","8","7","9","9","7","7","9","8","9","6","7","9","7","3","Yes"
"2019/10/29 5:09:13 AM GMT+1","6","6","6","7","8","8","7","7","8","8","9","5","8","6","7","3","No"
"2019/10/29 5:10:57 AM GMT+1","7","4","7","6","9","9","7","6","8","9","9","","7","4","6","8","No"
"2019/10/29 5:14:03 AM GMT+1","6","6","6","6","7","8","5","6","7","7","8","5","7","9","7","5","No"
"2019/10/29 5:29:50 AM GMT+1","6","5","6","6","7","8","7","7","8","8","8","6","7","8","7","5","No"
"2019/10/29 5:35:18 AM GMT+1","7","6","8","7","9","10","7","8","9","9","9","","8","9","9","2","Yes"
"2019/10/29 5:40:37 AM GMT+1","9","6","6","7","8","9","6","5","7","8","8","5","8","9","7","3","Yes"
"2019/10/29 5:44:38 AM GMT+1","9","8","8","8","10","10","8","7","10","10","10","","7","10","10","6","No"
"2019/10/29 6:09:59 AM GMT+1","7","7","7","7","8","9","8","8","8","9","8","","9","10","8","3","No"
"2019/10/29 6:16:48 AM GMT+1","6","6","6","6","8","9","6","9","8","9","9","","9","6","8","4","No"
"2019/10/29 6:17:04 AM GMT+1","7","7","8","7","8","9","8","7","9","9","9","","9","10","10","3","No"
"2019/10/29 6:28:10 AM GMT+1","6","6","6","6","7","8","7","7","8","8","8","5","7","8","8","3","No"
"2019/10/29 6:34:27 AM GMT+1","8","7","8","8","9","9","7","8","8","9","10","7","8","10","8","6","No"
"2019/10/29 6:39:44 AM GMT+1","6","4","7","7","9","8","6","5","7","8","8","5","7","10","8","3","No"
"2019/10/29 6:46:25 AM GMT+1","6","6","6","7","10","10","3","8","8","7","8","4","8","9","8","3","No"
"2019/10/29 6:49:45 AM GMT+1","6","5","8","7","9","9","7","7","9","8","8","","8","7","7","3","No"
"2019/10/29 6:58:05 AM GMT+1","7","7","8","7","9","9","7","8","8","9","9","6","8","8","7","7","Yes"
"2019/10/29 7:22:15 AM GMT+1","7","6","8","7","8","8","7","6","7","8","8","6","8","7","7","3","Yes"
"2019/10/29 7:28:53 AM GMT+1","7","7","7","8","9","7","7","5","7","6","7","","6","7","1","1","Yes"
"2019/10/29 7:29:12 AM GMT+1","7","7","8","7","10","10","8","8","10","8","8","","8","10","7","8","No"
"2019/10/29 7:31:36 AM GMT+1","7","6","6","10","8","8","6","5","7","8","8","7","7","5","6","4","No"
"2019/10/29 7:32:01 AM GMT+1","7","6","7","7","8","8","7","7","8","9","9","2","8","6","7","3","No"
"2019/10/29 7:33:18 AM GMT+1","7","6","8","7","9","9","8","7","8","8","9","7","9","8","9","6","No"
"2019/10/29 7:41:21 AM GMT+1","7","5","7","6","9","8","7","7","9","8","8","6","7","7","7","6","No"
"2019/10/29 7:41:36 AM GMT+1","6","5","7","6","8","8","7","7","8","8","9","6","8","8","7","6","No"
