"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Fred (optional)","Tahith Chong (optional)","Team performance","Final result","Ole Gunnar Solskjaer (only this match)","Leicester City (only this match)","Were you happy with the ref? (optional)"
"2019/09/15 7:41:06 PM GMT+1","7","7","7","6","8","7","4","6","5","6","6","6","6","6","6","6","4","Yes"
"2019/09/15 7:41:26 PM GMT+1","7","8","8","7","7","8","6","7","9","7","6","8","7","7","4","9","7","No"
"2019/09/15 7:41:58 PM GMT+1","10","8","8","8","9","9","7","7","7","6","8","10","8","7","10","8","7","Yes"
"2019/09/15 7:42:16 PM GMT+1","10","6","9","9","10","10","3","9","7","5","8","8","8","8","8","10","1","Yes"
"2019/09/15 7:42:44 PM GMT+1","7","7","7","7","8","8","6","7","6","6","7","","","7","8","7","7","Yes"
"2019/09/15 7:43:44 PM GMT+1","7","6","9","7","8","9","6","5","5","6","6","7","5","7","7","9","5","Yes"
"2019/09/15 7:43:51 PM GMT+1","5","6","7","6","6","8","5","6","3","4","4","5","4","4","6","4","4","Yes"
"2019/09/15 7:43:51 PM GMT+1","8","7","7","6","7","8","7","6","7","7","7","6","6","6","4","4","5","Yes"
"2019/09/15 7:44:50 PM GMT+1","8","8","10","9","9","10","7","8","8","7","7","7","8","7","10","7","4","Yes"
"2019/09/15 7:44:51 PM GMT+1","7","7","8","7","7","8","6","7","6","6","7","","","7","8","7","5","Yes"
"2019/09/15 7:44:53 PM GMT+1","8","7","8","7","7","7","6","6","6","6","7","7","7","7","6","8","6","Yes"
"2019/09/15 7:45:06 PM GMT+1","8","6","7","7","8","10","7","7","5","7","7","8","8","6","6","7","8","Yes"
"2019/09/15 7:45:24 PM GMT+1","7","8","7","7","7","7","7","6","6","7","7","7","6","7","7","6","6","Yes"
"2019/09/15 7:45:39 PM GMT+1","10","1","6","5","4","6","7","5","5","2","2","","","3","3","1","7","No"
"2019/09/15 7:45:45 PM GMT+1","9","8","9","8","9","10","7","7","7","7","7","8","7","8","7","8","6","Yes"
"2019/09/15 7:46:40 PM GMT+1","6","6","6","5","6","7","6","6","6","7","6","6","6","6","7","7","4","Yes"
