"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Fred (optional)","Tahith Chong (optional)","Team performance","Final result","Ole Gunnar Solskjaer (only this match)","Leicester City (only this match)","Were you happy with the ref? (optional)"
"2019/09/15 8:34:50 PM GMT+1","9","6","9","7","8","9","5","7","4","4","5","6","7","7","7","7","7","Yes"
"2019/09/15 8:35:37 PM GMT+1","10","8","9","8","9","10","8","9","6","7","8","7","7","8","7","9","6","No"
"2019/09/15 8:36:41 PM GMT+1","6","7","8","7","7","8","5","5","5","5","6","6","7","6","7","6","7","Yes"
"2019/09/15 8:36:59 PM GMT+1","6","6","8","6","7","8","4","5","5","5","7","7","5","6","8","7","5","Yes"
"2019/09/15 8:37:28 PM GMT+1","8","7","9","8","7","9","6","7","5","5","6","","","7","8","6","4",""
"2019/09/15 8:37:32 PM GMT+1","8","8","9","8","7","9","6","6","5","4","7","6","6","6","7","7","3","Yes"
"2019/09/15 8:37:52 PM GMT+1","8","7","10","7","7","9","4","7","6","5","5","7","7","7","7","6","5","Yes"
"2019/09/15 8:39:32 PM GMT+1","7","7","7","8","7","8","6","6","5","6","7","6","5","6","4","8","5","Yes"
"2019/09/15 8:40:06 PM GMT+1","7","7","8","7","9","10","3","8","7","6","6","6","4","7","6","6","5","Yes"
"2019/09/15 8:40:11 PM GMT+1","10","8","9","8","10","9","7","7","7","7","6","7","8","6","8","8","8","Yes"
"2019/09/15 8:40:11 PM GMT+1","10","7","8","7","7","9","6","7","7","8","8","7","8","8","9","7","7","Yes"
"2019/09/15 8:41:10 PM GMT+1","8","7","8","8","7","6","5","7","6","6","6","7","7","6","6","5","4","Yes"
"2019/09/15 8:41:12 PM GMT+1","7","7","8","6","8","7","6","9","7","7","7","","","7","7","6","7","Yes"
"2019/09/15 8:41:25 PM GMT+1","7","7","8","6","7","9","6","7","6","6","7","7","6","6","10","8","8","Yes"
"2019/09/15 8:41:34 PM GMT+1","8","7","8","6","7","9","5","7","6","6","7","7","6","7","8","7","5","Yes"
"2019/09/15 8:41:37 PM GMT+1","8","8","10","8","7","7","8","8","7","6","7","7","8","7","7","7","7","Yes"
"2019/09/15 8:41:55 PM GMT+1","8","7","9","7","8","8","6","7","6","7","6","6","7","7","8","8","6","Yes"
"2019/09/15 8:41:58 PM GMT+1","7","6","8","7","8","9","4","8","7","6","8","7","7","5","8","7","6",""
"2019/09/15 8:41:59 PM GMT+1","6","8","8","7","9","10","5","7","8","8","5","7","8","6","9","6","7","Yes"
"2019/09/15 8:42:22 PM GMT+1","8","4","8","5","8","10","5","7","6","7","7","","","6","5","6","6",""
"2019/09/15 8:42:27 PM GMT+1","8","7","8","7","7","7","6","6","5","5","6","","","6","10","7","4","Yes"
"2019/09/15 8:42:36 PM GMT+1","10","7","8","8","10","10","7","8","8","7","8","","","8","7","8","8","Yes"
"2019/09/15 8:42:59 PM GMT+1","7","7","8","6","7","8","4","6","4","6","6","7","7","6","8","7","5","Yes"
"2019/09/15 8:43:00 PM GMT+1","7","7","8","6","7","8","4","6","2","6","5","6","6","5","8","7","4","Yes"
"2019/09/15 8:43:19 PM GMT+1","7","7","7","8","7","8","5","7","5","5","6","7","6","6","8","6","6","Yes"
"2019/09/15 8:43:23 PM GMT+1","8","6","7","7","6","7","5","7","5","7","6","","","5","6","7","6","Yes"
"2019/09/15 8:43:29 PM GMT+1","7","7","8","7","9","9","5","7","5","5","5","6","6","6","7","7","5","Yes"
"2019/09/15 8:43:41 PM GMT+1","6","6","6","6","6","9","5","8","4","6","6","6","6","7","8","6","5","Yes"
"2019/09/15 8:43:47 PM GMT+1","8","7","7","7","8","9","6","7","6","7","7","8","8","8","8","10","8","Yes"
"2019/09/15 8:44:03 PM GMT+1","7","6","8","7","9","10","6","6","5","4","6","6","7","6","7","5","5","Yes"
"2019/09/15 8:44:23 PM GMT+1","8","6","7","7","7","9","3","6","6","7","7","7","","8","8","7","5","Yes"
"2019/09/15 8:44:40 PM GMT+1","8","7","7","7","8","8","5","7","5","6","6","7","7","8","7","8","7","Yes"
"2019/09/15 8:44:48 PM GMT+1","8","7","8","8","7","8","6","8","7","6","7","10","9","5","7","6","7","Yes"
"2019/09/15 8:44:55 PM GMT+1","9","8","9","7","8","9","5","8","7","7","8","7","7","7","8","8","5","Yes"
"2019/09/15 8:45:00 PM GMT+1","7","6","7","6","7","8","6","8","5","6","6","6","7","6","9","6","5","Yes"
"2019/09/15 8:45:08 PM GMT+1","7","7","7","7","7","8","6","7","6","7","7","7","7","7","8","8","4","Yes"
"2019/09/15 8:46:06 PM GMT+1","7","6","8","6","7","9","6","6","5","6","6","","","7","7","6","4","Yes"
"2019/09/15 8:46:14 PM GMT+1","8","7","9","8","7","7","5","6","6","6","8","7","7","8","10","8","7","Yes"
"2019/09/15 8:46:23 PM GMT+1","7","7","8","6","7","7","2","7","3","4","5","7","5","6","8","7","5","Yes"
"2019/09/15 8:46:35 PM GMT+1","9","7","7","5","5","9","7","7","6","6","7","6","4","8","7","8","8","Yes"
"2019/09/15 8:46:46 PM GMT+1","8","7","9","7","8","8","6","7","7","6","7","","","7","8","8","6","Yes"
"2019/09/15 8:46:56 PM GMT+1","8","7","9","8","8","8","5","7","4","5","8","8","7","7","8","8","5","Yes"
"2019/09/15 8:47:16 PM GMT+1","8","7","8","7","7","9","6","6","6","5","4","7","7","7","8","8","4","Yes"
"2019/09/15 8:47:32 PM GMT+1","8","8","9","7","8","9","7","7","7","7","7","7","7","7","8","7","7","Yes"
"2019/09/15 8:47:45 PM GMT+1","8","7","7","7","8","8","6","8","6","6","8","5","5","4","7","5","3","Yes"
"2019/09/15 8:48:16 PM GMT+1","8","7","8","7","7","9","6","7","6","7","7","7","7","8","7","8","6","Yes"
"2019/09/15 8:48:46 PM GMT+1","8","7","7","6","8","9","4","7","4","6","6","6","6","6","7","7","8","Yes"
"2019/09/15 8:48:54 PM GMT+1","8","7","9","7","8","8","6","7","7","6","7","","","7","8","8","6","Yes"
"2019/09/15 8:49:12 PM GMT+1","7","7","8","7","7","9","5","6","5","6","6","7","6","6","7","7","6","Yes"
"2019/09/15 8:49:20 PM GMT+1","7","7","9","8","9","9","4","7","6","4","4","","","6","8","8","4","Yes"
"2019/09/15 8:49:27 PM GMT+1","9","8","9","8","10","10","5","8","4","7","7","","","7","5","7","7","Yes"
"2019/09/15 8:49:53 PM GMT+1","7","6","9","7","7","9","6","6","6","5","7","7","6","7","7","6","4","Yes"
"2019/09/15 8:50:14 PM GMT+1","8","7","8","7","9","9","5","7","6","6","7","8","8","7","10","8","5","Yes"
"2019/09/15 8:50:33 PM GMT+1","6","7","7","6","6","7","5","6","6","5","7","6","5","6","7","7","5","Yes"
"2019/09/15 8:51:14 PM GMT+1","8","7","8","7","6","9","5","6","5","6","6","6","4","6","10","8","6","Yes"
"2019/09/15 8:51:33 PM GMT+1","8","8","8","7","8","9","6","8","5","7","7","","","7","9","9","6","Yes"
"2019/09/15 8:51:53 PM GMT+1","9","9","10","9","10","10","7","8","6","6","9","7","6","7","8","8","8","Yes"
"2019/09/15 8:52:00 PM GMT+1","7","7","8","8","7","8","6","7","6","7","7","7","7","7","8","7","8","Yes"
"2019/09/15 8:52:00 PM GMT+1","9","8","9","8","9","9","7","8","7","7","7","","","7","10","8","8","Yes"
"2019/09/15 8:52:09 PM GMT+1","8","8","8","7","8","9","5","7","5","7","7","8","8","7","7","7","5","Yes"
"2019/09/15 8:52:28 PM GMT+1","7","8","8","7","7","9","6","7","6","6","7","7","7","8","8","9","8","Yes"
"2019/09/15 8:53:09 PM GMT+1","8","6","7","7","8","8","6","6","5","6","7","","","7","10","8","4","Yes"
"2019/09/15 8:53:35 PM GMT+1","9","7","8","8","9","8","7","7","6","7","7","7","7","7","7","7","6","Yes"
"2019/09/15 8:55:01 PM GMT+1","7","7","9","8","8","10","7","8","7","7","8","6","7","8","8","7","6","Yes"
"2019/09/15 8:55:50 PM GMT+1","7","7","8","7","7","9","6","7","7","7","7","7","7","7","8","8","4","Yes"
"2019/09/15 8:56:32 PM GMT+1","9","5","8","6","8","9","5","6","5","5","6","7","6","5","9","7","6","Yes"
"2019/09/15 8:57:14 PM GMT+1","7","8","9","7","10","7","3","7","6","5","6","10","6","7","7","10","1",""
"2019/09/15 8:57:16 PM GMT+1","7","7","8","6","8","9","7","7","7","5","6","6","6","6","7","7","8","Yes"
"2019/09/15 8:57:37 PM GMT+1","8","7","8","8","8","9","7","8","6","7","6","7","7","6","10","10","7","Yes"
"2019/09/15 8:58:06 PM GMT+1","8","6","9","6","7","10","7","8","6","7","7","8","","7","7","7","6","Yes"
"2019/09/15 8:58:28 PM GMT+1","7","7","7","8","7","9","6","6","6","8","6","7","7","6","10","10","6","Yes"
"2019/09/15 8:59:02 PM GMT+1","10","8","9","8","8","10","7","7","7","8","8","6","7","7","10","10","7","Yes"
"2019/09/15 9:00:33 PM GMT+1","7","6","7","6","8","9","5","7","5","5","7","6","6","7","10","9","6","Yes"
"2019/09/15 9:00:35 PM GMT+1","9","6","8","7","8","7","5","7","6","6","6","7","7","6","7","7","6","Yes"
"2019/09/15 9:00:43 PM GMT+1","8","5","8","7","8","9","6","7","6","8","8","7","7","7","5","6","3","Yes"
"2019/09/15 9:00:51 PM GMT+1","10","1","10","7","10","1","6","8","7","1","10","6","10","5","10","7","5","No"
"2019/09/15 9:01:17 PM GMT+1","10","7","9","8","8","9","6","7","5","6","6","7","6","7","10","8","6","Yes"
"2019/09/15 9:01:21 PM GMT+1","5","5","6","5","8","8","3","5","4","4","3","","","5","5","5","3","Yes"
"2019/09/15 9:02:00 PM GMT+1","8","4","9","7","8","7","3","7","7","7","5","9","6","7","8","7","4","Yes"
"2019/09/15 9:02:08 PM GMT+1","7","6","8","8","7","8","7","8","7","6","8","5","6","6","5","8","5","Yes"
"2019/09/15 9:02:11 PM GMT+1","8","7","8","7","8","9","6","7","6","6","7","","","9","10","10","4","Yes"
"2019/09/15 9:02:58 PM GMT+1","10","8","8","7","10","9","7","9","8","6","8","8","8","9","10","10","9","Yes"
"2019/09/15 9:03:13 PM GMT+1","9","8","9","9","10","10","6","8","6","7","7","7","8","8","9","9","5","Yes"
"2019/09/15 9:03:43 PM GMT+1","6","7","8","6","7","6","5","6","2","2","7","8","8","6","7","6","6","Yes"
"2019/09/15 9:05:11 PM GMT+1","8","6","8","8","8","9","6","7","7","7","8","7","7","8","8","8","6","Yes"
"2019/09/15 9:06:04 PM GMT+1","8","7","9","7","8","10","6","6","4","5","7","8","6","6","10","8","6","Yes"
"2019/09/15 9:06:23 PM GMT+1","8","7","9","7","8","9","7","7","7","6","6","6","6","7","7","6","6","Yes"
"2019/09/15 9:06:28 PM GMT+1","8","7","8","8","7","9","6","7","6","6","7","7","7","7","4","5","7","Yes"
"2019/09/15 9:06:36 PM GMT+1","8","8","7","7","8","8","7","7","6","6","7","","","7","10","8","5",""
"2019/09/15 9:06:44 PM GMT+1","7","8","9","7","8","10","6","7","5","6","7","7","6","7","9","6","6","Yes"
"2019/09/15 9:06:57 PM GMT+1","8","8","8","7","8","10","6","10","6","7","5","8","7","7","8","6","4","Yes"
"2019/09/15 9:07:09 PM GMT+1","8","6","8","8","7","8","6","8","4","6","5","7","","8","8","9","8","Yes"
"2019/09/15 9:07:19 PM GMT+1","7","6","8","7","7","8","5","7","5","6","7","7","7","7","8","8","4","Yes"
"2019/09/15 9:07:38 PM GMT+1","8","8","8","6","7","8","3","6","4","4","3","7","7","5","5","7","7","Yes"
"2019/09/15 9:07:51 PM GMT+1","8","7","9","7","8","8","6","8","7","6","8","","","6","9","6","8",""
"2019/09/15 9:08:12 PM GMT+1","8","5","7","5","6","8","6","6","6","5","6","6","5","5","8","6","7","Yes"
"2019/09/15 9:08:33 PM GMT+1","7","7","8","8","7","9","6","6","5","5","4","6","6","6","10","8","5","Yes"
"2019/09/15 9:09:05 PM GMT+1","6","8","7","7","8","9","3","7","6","7","7","8","5","6","8","8","2","Yes"
"2019/09/15 9:09:14 PM GMT+1","8","7","9","8","8","9","7","8","7","7","8","","","7","8","7","7","Yes"
"2019/09/15 9:09:58 PM GMT+1","8","7","8","7","8","9","6","8","6","5","6","5","6","7","6","6","7","Yes"
"2019/09/15 9:10:10 PM GMT+1","6","7","8","7","8","8","4","7","4","5","7","7","6","6","10","8","4","Yes"
"2019/09/15 9:10:36 PM GMT+1","7","4","7","7","8","8","5","6","3","4","5","7","7","6","7","7","5","Yes"
"2019/09/15 9:10:42 PM GMT+1","9","8","9","8","8","9","5","7","6","5","5","","","6","5","5","6",""
"2019/09/15 9:11:08 PM GMT+1","9","8","8","8","8","9","6","7","6","7","6","7","7","8","8","8","7","Yes"
"2019/09/15 9:11:09 PM GMT+1","7","6","9","7","7","8","6","6","5","5","7","7","6","7","8","8","5","Yes"
"2019/09/15 9:11:26 PM GMT+1","7","7","8","7","7","8","7","7","6","6","6","7","6","7","7","7","5","Yes"
"2019/09/15 9:11:27 PM GMT+1","8","7","8","7","7","8","7","7","7","8","7","7","6","7","10","7","6","Yes"
"2019/09/15 9:12:18 PM GMT+1","9","5","8","7","8","7","5","8","7","7","7","9","7","7","6","7","7","Yes"
"2019/09/15 9:12:54 PM GMT+1","7","7","7","6","7","9","6","7","4","6","7","7","6","6","9","8","5","Yes"
"2019/09/15 9:13:00 PM GMT+1","8","7","8","4","8","9","7","8","7","6","6","8","5","7","8","8","7","Yes"
"2019/09/15 9:13:17 PM GMT+1","7","9","9","5","8","10","6","6","3","5","7","7","7","7","8","7","5","Yes"
"2019/09/15 9:13:23 PM GMT+1","9","7","9","7","10","9","6","6","7","2","4","2","4","6","7","6","8","Yes"
"2019/09/15 9:13:36 PM GMT+1","7","7","8","7","7","8","7","6","7","7","8","6","6","7","7","7","7",""
"2019/09/15 9:13:46 PM GMT+1","7","7","8","8","7","9","6","7","7","7","8","7","7","7","9","9","7","Yes"
"2019/09/15 9:14:17 PM GMT+1","8","6","8","8","9","10","4","7","4","6","6","6","7","7","10","9","7","Yes"
"2019/09/15 9:14:27 PM GMT+1","6","7","8","7","7","7","6","7","4","5","6","6","5","6","7","9","4","Yes"
"2019/09/15 9:14:30 PM GMT+1","7","7","7","7","7","7","5","6","6","5","6","7","6","6","6","7","6","Yes"
"2019/09/15 9:14:48 PM GMT+1","9","6","8","7","7","9","7","7","7","7","8","","","6","10","8","8","Yes"
"2019/09/15 9:14:50 PM GMT+1","8","6","8","7","8","10","5","6","5","4","6","6","7","5","10","8","6",""
"2019/09/15 9:15:38 PM GMT+1","8","7","10","8","9","7","6","7","7","7","6","","","7","8","8","6","Yes"
"2019/09/15 9:16:21 PM GMT+1","7","8","7","6","6","8","5","6","6","6","6","6","","6","6","6","4","Yes"
"2019/09/15 9:17:55 PM GMT+1","8","7","8","7","8","8","5","7","6","6","7","7","7","7","7","8","6","Yes"
"2019/09/15 9:18:15 PM GMT+1","8","7","8","6","8","9","4","7","5","6","7","7","6","7","6","7","2","Yes"
"2019/09/15 9:18:19 PM GMT+1","7","7","8","7","8","9","6","7","6","6","9","8","7","6","7","8","3","Yes"
"2019/09/15 9:19:44 PM GMT+1","9","7","8","8","8","9","3","6","5","5","5","8","7","6","10","8","8","Yes"
"2019/09/15 9:20:45 PM GMT+1","7","6","8","7","7","8","5","6","5","6","7","6","6","6","8","6","5","Yes"
"2019/09/15 9:20:53 PM GMT+1","8","8","9","8","9","9","1","6","5","5","5","8","7","4","10","9","6","Yes"
"2019/09/15 9:21:46 PM GMT+1","7","5","9","8","9","9","2","6","5","2","7","6","5","5","7","5","5","Yes"
"2019/09/15 9:22:37 PM GMT+1","8","7","9","6","8","8","6","8","7","7","7","7","6","7","7","7","7","Yes"
"2019/09/15 9:22:50 PM GMT+1","8","8","8","8","9","10","6","7","6","6","7","8","7","8","9","8","5","Yes"
"2019/09/15 9:22:51 PM GMT+1","7","6","8","7","8","9","5","8","6","5","6","7","5","7","6","8","6","Yes"
"2019/09/15 9:23:01 PM GMT+1","7","6","8","8","8","9","6","7","5","6","6","7","7","7","8","7","5","Yes"
"2019/09/15 9:23:09 PM GMT+1","7","6","7","7","8","8","5","7","5","6","5","7","7","7","8","8","6","No"
"2019/09/15 9:23:18 PM GMT+1","7","7","8","6","8","9","5","7","6","6","7","7","6","8","7","9","6","Yes"
"2019/09/15 9:23:54 PM GMT+1","7","6","7","7","6","8","3","6","5","7","6","6","6","6","9","8","3","Yes"
"2019/09/15 9:24:17 PM GMT+1","8","7","8","6","7","8","6","7","6","7","6","7","7","7","9","7","5",""
"2019/09/15 9:24:54 PM GMT+1","7","7","7","6","7","6","5","6","5","6","7","6","5","7","5","5","5",""
"2019/09/15 9:25:01 PM GMT+1","7","7","7","7","8","9","6","7","4","6","5","7","6","6","7","7","6","Yes"
"2019/09/15 9:25:06 PM GMT+1","8","6","7","8","7","9","6","6","4","7","8","7","6","6","10","9","7","Yes"
"2019/09/15 9:25:33 PM GMT+1","9","8","9","10","10","10","7","10","7","8","8","7","7","9","10","7","8","Yes"
"2019/09/15 9:25:56 PM GMT+1","9","9","8","7","9","9","6","7","6","6","6","9","7","7","10","9","5","Yes"
"2019/09/15 9:25:57 PM GMT+1","8","6","9","8","8","9","4","7","5","6","7","7","6","7","7","8","3","Yes"
"2019/09/15 9:26:01 PM GMT+1","7","8","8","6","8","9","6","7","5","6","6","8","7","6","9","7","5","Yes"
"2019/09/15 9:26:43 PM GMT+1","8","6","9","7","9","8","6","8","6","7","6","7","7","7","10","9","8","Yes"
"2019/09/15 9:26:54 PM GMT+1","7","7","8","7","8","9","5","6","6","6","7","7","7","7","7","8","5","Yes"
"2019/09/15 9:30:20 PM GMT+1","8","7","9","9","7","8","6","7","6","5","7","5","5","8","7","9","8","Yes"
"2019/09/15 9:31:12 PM GMT+1","7","8","8","7","8","10","4","7","5","4","5","","","5","6","6","5","Yes"
"2019/09/15 9:31:44 PM GMT+1","8","7","9","8","9","10","4","6","5","6","6","7","6","7","7","7","3","Yes"
"2019/09/15 9:32:13 PM GMT+1","7","7","8","7","7","9","4","7","7","8","7","7","7","7","9","9","7","Yes"
"2019/09/15 9:32:43 PM GMT+1","7","7","7","6","7","7","5","7","6","5","5","6","7","6","5","6","3","Yes"
"2019/09/15 9:33:08 PM GMT+1","7","6","7","6","7","7","5","6","5","6","7","6","5","7","7","8","6","Yes"
"2019/09/15 9:33:48 PM GMT+1","8","5","8","6","7","8","5","7","5","6","7","6","6","6","7","7","5","Yes"
"2019/09/15 9:34:10 PM GMT+1","9","9","9","7","8","9","1","6","5","5","7","8","9","7","10","10","7","Yes"
"2019/09/15 9:34:50 PM GMT+1","9","6","8","7","8","10","5","8","7","7","7","8","7","7","7","7","6",""
"2019/09/15 9:35:35 PM GMT+1","8","7","8","6","7","9","4","8","5","7","6","8","7","7","10","8","6","Yes"
"2019/09/15 9:35:43 PM GMT+1","7","6","8","7","7","9","6","7","7","6","6","","","6","5","7","6","No"
"2019/09/15 9:35:54 PM GMT+1","7","6","7","6","7","8","6","7","6","8","6","6","6","7","10","8","5","Yes"
"2019/09/15 9:36:02 PM GMT+1","8","7","9","7","8","8","4","6","3","4","5","7","6","6","10","8","5","Yes"
"2019/09/15 9:36:40 PM GMT+1","8","7","8","7","8","9","7","7","6","6","7","7","6","7","8","7","7","Yes"
"2019/09/15 9:36:47 PM GMT+1","8","7","9","7","8","8","4","6","3","4","5","7","6","7","9","8","4","Yes"
"2019/09/15 9:36:52 PM GMT+1","8","9","9","8","10","10","7","8","7","7","7","7","8","8","10","10","7","Yes"
"2019/09/15 9:37:12 PM GMT+1","10","8","9","6","7","9","5","8","6","6","7","7","8","6","8","8","6","Yes"
"2019/09/15 9:37:51 PM GMT+1","8","7","8","8","6","7","5","7","6","6","7","7","8","6","8","8","6",""
"2019/09/15 9:39:47 PM GMT+1","7","7","8","7","6","8","4","6","4","4","6","7","7","6","6","9","3","Yes"
"2019/09/15 9:40:33 PM GMT+1","9","6","7","6","7","9","7","7","6","6","7","6","6","7","7","8","6","Yes"
"2019/09/15 9:40:46 PM GMT+1","7","7","8","6","7","9","6","7","7","6","7","7","6","6","8","8","1","Yes"
"2019/09/15 9:40:47 PM GMT+1","8","4","8","6","8","9","4","8","5","6","6","5","6","4","5","6","5","Yes"
"2019/09/15 9:40:51 PM GMT+1","8","6","9","8","7","10","5","6","6","4","8","8","7","8","7","8","8","Yes"
"2019/09/15 9:40:57 PM GMT+1","8","7","8","7","8","9","5","7","7","6","7","7","5","7","7","8","6","Yes"
"2019/09/15 9:41:09 PM GMT+1","6","6","8","7","8","10","3","7","3","6","8","8","7","8","10","10","7","Yes"
"2019/09/15 9:41:24 PM GMT+1","7","6","8","7","7","9","7","8","6","7","7","5","4","6","10","8","7","Yes"
"2019/09/15 9:41:24 PM GMT+1","7","6","7","7","8","7","4","6","1","4","3","4","4","6","6","3","2","Yes"
"2019/09/15 9:41:53 PM GMT+1","6","7","8","7","7","8","6","7","5","6","7","6","6","6","8","7","3","Yes"
"2019/09/15 9:42:09 PM GMT+1","7","7","8","7","7","9","6","7","6","6","8","7","7","7","8","7","2","Yes"
"2019/09/15 9:42:18 PM GMT+1","8","7","8","6","8","9","4","6","7","7","6","7","6","6","6","7","6","Yes"
"2019/09/15 9:42:22 PM GMT+1","9","7","8","6","8","9","5","7","6","6","7","7","7","7","9","8","6","Yes"
"2019/09/15 9:42:27 PM GMT+1","8","6","8","8","8","9","7","7","7","7","6","7","6","8","7","9","7","Yes"
"2019/09/15 9:42:54 PM GMT+1","8","8","9","8","7","9","6","7","6","6","7","7","7","8","7","8","6","Yes"
"2019/09/15 9:43:45 PM GMT+1","8","8","8","7","7","10","5","7","6","7","7","8","7","8","8","9","6","Yes"
"2019/09/15 9:44:19 PM GMT+1","9","7","9","8","7","8","6","6","6","7","8","6","","7","8","8","5","Yes"
"2019/09/15 9:44:19 PM GMT+1","7","8","8","8","8","8","6","6","8","7","7","","","8","8","8","5","Yes"
"2019/09/15 9:44:37 PM GMT+1","6","6","7","5","6","7","4","5","4","5","5","6","6","4","8","7","4","Yes"
"2019/09/15 9:44:54 PM GMT+1","8","7","7","6","7","9","4","6","4","3","6","5","5","8","8","10","7","Yes"
"2019/09/15 9:44:56 PM GMT+1","8","7","7","7","8","8","6","7","6","6","6","7","6","6","8","6","6","Yes"
"2019/09/15 9:45:30 PM GMT+1","8","6","7","7","9","9","5","7","6","6","6","7","7","8","9","8","6","Yes"
"2019/09/15 9:45:54 PM GMT+1","7","8","7","7","7","8","6","6","5","5","6","","","7","8","9","4","Yes"
"2019/09/15 9:46:23 PM GMT+1","10","9","10","8","10","10","8","8","8","8","8","10","10","8","9","9","6","Yes"
"2019/09/15 9:46:59 PM GMT+1","9","8","9","7","9","8","6","7","7","6","6","7","7","7","7","7","6","Yes"
"2019/09/15 9:47:04 PM GMT+1","10","8","10","8","8","10","7","7","4","5","7","8","7","6","8","8","6","Yes"
"2019/09/15 9:47:28 PM GMT+1","7","6","7","7","7","7","6","7","6","5","6","","","6","8","7","6","Yes"
"2019/09/15 9:47:43 PM GMT+1","6","6","6","6","6","7","4","6","4","5","5","6","6","5","6","4","4","Yes"
"2019/09/15 9:48:06 PM GMT+1","7","7","8","7","7","9","1","7","3","6","6","7","6","7","8","10","6","Yes"
"2019/09/15 9:48:34 PM GMT+1","7","6","8","7","6","9","6","7","6","6","7","7","7","7","10","8","5","Yes"
"2019/09/15 9:48:56 PM GMT+1","8","7","8","7","8","8","6","7","6","6","6","6","5","6","7","8","6","Yes"
"2019/09/15 9:50:55 PM GMT+1","8","6","7","5","7","7","6","8","6","6","6","","","6","6","6","5","Yes"
"2019/09/15 9:50:57 PM GMT+1","7","7","9","6","8","9","3","6","5","5","4","6","7","7","10","7","6","Yes"
"2019/09/15 9:51:07 PM GMT+1","7","8","8","6","7","8","6","6","6","7","7","6","6","6","8","7","7","Yes"
"2019/09/15 9:51:17 PM GMT+1","7","5","6","5","5","6","5","5","4","7","4","","","4","6","5","4",""
"2019/09/15 9:52:19 PM GMT+1","8","7","8","6","8","8","6","7","7","7","8","7","7","7","8","7","6","Yes"
"2019/09/15 9:52:22 PM GMT+1","8","7","8","7","8","8","6","7","6","6","6","6","4","6","7","8","3","Yes"
"2019/09/15 9:53:02 PM GMT+1","7","5","8","6","7","9","5","5","4","4","3","6","7","6","4","4","5","Yes"
"2019/09/15 9:53:45 PM GMT+1","10","7","7","7","7","8","4","6","6","5","6","6","5","5","10","8","6","Yes"
"2019/09/15 9:53:45 PM GMT+1","8","5","8","5","6","8","4","6","6","2","6","5","6","7","8","4","7","Yes"
"2019/09/15 9:53:51 PM GMT+1","8","9","8","7","8","9","6","7","5","6","8","7","7","8","9","8","5","Yes"
"2019/09/15 9:53:55 PM GMT+1","8","7","7","6","7","8","5","7","6","6","6","7","5","6","7","6","6","No"
"2019/09/15 9:53:56 PM GMT+1","8","9","9","10","9","9","8","7","6","6","7","6","7","8","7","7","6","Yes"
"2019/09/15 9:54:15 PM GMT+1","7","7","9","7","7","9","6","8","8","7","7","7","6","7","7","9","7","Yes"
"2019/09/15 9:54:54 PM GMT+1","8","7","7","7","8","9","6","6","7","7","6","6","7","6","6","7","7","Yes"
"2019/09/15 9:55:09 PM GMT+1","5","7","6","5","7","4","6","6","6","6","7","5","5","5","7","8","6","Yes"
"2019/09/15 9:55:09 PM GMT+1","8","2","9","7","8","8","6","8","6","7","7","5","5","7","8","6","7","No"
"2019/09/15 9:55:23 PM GMT+1","8","1","10","8","9","10","6","7","5","6","6","8","10","1","1","1","10","Yes"
"2019/09/15 9:55:28 PM GMT+1","9","9","9","9","9","8","6","6","6","4","7","","","6","7","7","7","Yes"
"2019/09/15 9:55:53 PM GMT+1","8","7","8","7","8","8","6","8","6","7","7","7","7","7","9","8","7","Yes"
"2019/09/15 9:56:01 PM GMT+1","7","8","9","8","8","9","2","7","6","7","7","8","6","8","8","10","4","Yes"
"2019/09/15 9:56:12 PM GMT+1","7","7","8","7","7","8","5","6","6","5","7","6","6","7","7","7","5","Yes"
"2019/09/15 9:56:29 PM GMT+1","9","8","8","8","8","9","7","7","7","7","7","8","8","7","6","7","7","Yes"
"2019/09/15 9:57:50 PM GMT+1","9","6","8","5","9","10","7","10","8","3","7","","","6","4","7","7","Yes"
"2019/09/15 9:58:10 PM GMT+1","6","7","8","5","7","8","7","6","5","6","7","7","6","7","10","8","6","Yes"
"2019/09/15 9:59:03 PM GMT+1","8","7","8","6","7","7","4","7","5","5","5","7","7","4","6","8","3","Yes"
"2019/09/15 9:59:51 PM GMT+1","8","7","8","7","8","9","6","7","6","6","8","8","8","7","10","8","5","Yes"
"2019/09/15 10:00:52 PM GMT+1","7","7","8","6","7","9","5","6","5","6","6","6","6","7","10","7","2","Yes"
"2019/09/15 10:00:55 PM GMT+1","7","7","8","7","7","8","5","6","4","6","6","7","","7","8","6","4","Yes"
"2019/09/15 10:00:58 PM GMT+1","7","7","8","9","7","9","6","6","5","6","6","7","7","6","7","7","5","No"
"2019/09/15 10:01:48 PM GMT+1","8","7","8","7","8","9","6","6","5","6","8","","","7","7","6","5",""
"2019/09/15 10:02:19 PM GMT+1","8","8","8","8","8","9","5","7","6","6","7","8","8","7","8","9","6","Yes"
"2019/09/15 10:03:23 PM GMT+1","10","4","8","7","10","8","6","10","7","7","10","","","6","8","7","3","Yes"
"2019/09/15 10:04:13 PM GMT+1","7","7","8","6","6","8","5","7","5","6","5","7","6","6","7","9","5","Yes"
"2019/09/15 10:04:31 PM GMT+1","8","7","8","7","7","9","6","7","6","7","7","8","7","6","5","7","4","Yes"
