"Timestamp","De Gea","Fosu Mensah","Lindelof","Maguire","Wan-Bissaka","McTominay","Pogba","Bruno","Rashford","Greenwood","Martial","Lingard","Matic","Team Performance","Final Result","Ole","Crystal Palace","Did the ref do a good job?"
"2020/07/17 8:33:57 PM GMT+2","10","7","8","7","7","6","7","8","10","6","9","6","7","7","10","10","7","No"
"2020/07/17 8:34:41 PM GMT+2","9","6","7","7","7","6","7","7","9","6","10","6","7","7","7","7","7","Yes"
"2020/07/17 8:35:22 PM GMT+2","9","7","7","6","6","6","5","7","8","5","9","8","7","7","9","7","7","Yes"
"2020/07/17 8:35:37 PM GMT+2","8","7","6","6","6","5","7","7","8","6","8","5","7","6","10","7","5","No"
"2020/07/17 8:36:10 PM GMT+2","8","5","8","6","7","6","7","7","9","6","9","7","7","6","9","6","6","No"
"2020/07/17 8:36:33 PM GMT+2","7","7","7","7","6","6","6","7","8","6","8","5","8","5","8","6","7","No"
"2020/07/17 8:37:17 PM GMT+2","8","7","8","7","7","7","6","6","9","6","8","7","7","7","8","7","8","Yes"
"2020/07/17 8:38:00 PM GMT+2","9","6","8","7","7","5","8","7","8","6","9","7","8","7","9","8","7","Yes"
"2020/07/17 8:38:32 PM GMT+2","8","6","8","8","6","4","6","4","8","4","8","7","7","6","8","8","6","Yes"
"2020/07/17 8:38:38 PM GMT+2","8","7","7","8","7","7","8","8","10","6","9","6","7","9","10","8","7","No"
"2020/07/17 8:38:56 PM GMT+2","9","6","7","7","6","5","6","6","10","5","9","5","8","7","8","7","6","Yes"
"2020/07/17 8:39:20 PM GMT+2","8","6","8","6","6","6","6","7","9","6","9","6","7","7","10","8","8","Yes"
"2020/07/17 8:39:58 PM GMT+2","8","7","7","6","8","7","7","8","9","6","9","7","6","6","8","8","7","Yes"
"2020/07/17 8:40:20 PM GMT+2","8","7","8","6","8","6","8","7","8","6","9","6","7","7","8","7","7","Yes"
"2020/07/17 8:40:30 PM GMT+2","7","7","7","7","6","5","7","7","10","5","10","7","8","7","7","6","7","No"
"2020/07/17 8:40:56 PM GMT+2","9","6","8","6","7","5","7","6","9","4","9","8","8","6","8","9","5","Yes"
"2020/07/17 8:41:31 PM GMT+2","8","6","7","6","5","5","6","5","8","5","9","5","6","6","8","6","6","Yes"
"2020/07/17 8:41:36 PM GMT+2","8","7","7","6","6","6","6","7","8","6","8","6","7","8","7","7","6","No"
"2020/07/17 8:42:10 PM GMT+2","8","6","7","7","5","5","7","7","8","5","8","7","6","7","10","7","5","Yes"
"2020/07/17 8:42:36 PM GMT+2","8","6","7","8","7","6","7","6","8","6","8","5","6","6","8","7","6","Yes"
"2020/07/17 8:42:48 PM GMT+2","8","7","7","7","6","5","6","6","8","5","9","6","7","7","8","7","5","No"
"2020/07/17 8:43:10 PM GMT+2","9","7","7","7","7","6","8","8","9","6","9","6","7","8","8","8","7","Yes"
"2020/07/17 8:43:13 PM GMT+2","9","6","7","7","7","6","6","7","9","7","8","7","8","6","8","9","7","No"
"2020/07/17 8:43:51 PM GMT+2","8","6","7","6","5","5","6","7","8","5","8","6","7","7","7","8","7","Yes"
"2020/07/17 8:44:13 PM GMT+2","9","6","9","8","7","5","8","8","10","6","10","9","9","7","10","10","5","Yes"
"2020/07/17 8:44:26 PM GMT+2","8","6","7","6","6","5","6","6","8","6","8","6","7","5","9","7","7","Yes"
"2020/07/17 8:45:50 PM GMT+2","8","7","8","6","7","6","6","6","8","6","9","6","7","5","7","6","6","No"
"2020/07/17 8:46:06 PM GMT+2","8","6","6","5","5","3","5","6","9","5","8","6","8","7","7","7","6","No"
"2020/07/17 8:46:14 PM GMT+2","8","6","7","7","6","5","6","6","10","4","10","6","8","6","9","10","8","Yes"
"2020/07/17 8:46:22 PM GMT+2","10","6","7","8","8","5","6","5","8","3","7","10","7","5","8","8","8","Yes"
"2020/07/17 8:47:50 PM GMT+2","8","4","7","6","6","5","7","6","9","6","9","5","7","6","7","5","6","Yes"
"2020/07/17 8:48:28 PM GMT+2","10","7","8","7","7","7","8","9","9","7","9","6","7","8","8","9","5","Yes"
"2020/07/17 8:49:02 PM GMT+2","8","7","7","6","7","6","7","7","8","6","8","6","7","7","8","7","5","Yes"
"2020/07/17 8:49:03 PM GMT+2","9","7","9","6","7","6","7","7","9","7","8","6","7","6","6","7","7","No"
"2020/07/17 8:49:54 PM GMT+2","8","7","6","7","7","6","7","8","9","6","9","6","7","6","10","7","7","Yes"
"2020/07/17 8:53:23 PM GMT+2","10","5","5","6","5","5","7","7","9","5","9","6","8","7","10","7","7","Yes"
"2020/07/17 8:53:27 PM GMT+2","8","6","7","5","5","5","7","7","7","4","8","5","7","6","8","7","7","No"
"2020/07/17 8:55:10 PM GMT+2","9","7","7","7","6","6","6","7","9","6","9","7","8","7","9","8","7","No"
"2020/07/17 8:56:04 PM GMT+2","7","6","7","7","6","5","6","6","8","5","9","5","7","6","8","8","7","Yes"
"2020/07/17 8:56:04 PM GMT+2","8","6","7","7","6","5","6","6","8","6","7","6","7","6","8","7","7","Yes"
"2020/07/17 8:56:32 PM GMT+2","9","7","10","9","7","6","5","7","10","6","9","6","7","7","10","7","7","No"
"2020/07/17 8:56:39 PM GMT+2","7","6","7","5","6","6","6","7","8","5","8","6","6","6","9","7","8","No"
"2020/07/17 8:59:50 PM GMT+2","8","6","7","7","6","6","6","7","9","6","9","6","7","8","8","8","6","Yes"
"2020/07/17 8:59:53 PM GMT+2","9","6","6","7","5","5","7","7","8","4","8","3","7","6","7","6","6","No"
"2020/07/17 8:59:54 PM GMT+2","8","6","7","6","4","4","7","6","8","5","9","5","6","6","7","7","7","Yes"
"2020/07/17 9:00:39 PM GMT+2","7","7","8","7","7","7","8","8","9","7","9","7","8","7","8","8","7","No"
