"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Jesse Lingard","Marcus Rashford","Anthony Martial","Daniel James (optional)","From 1 to 10 how much are you pleased with the result?","From 1 to 10 how much are you pleased with the performance?"
"2019/08/13 4:25:05 PM GMT+1","9","7","10","9","10","7","7","6","6","9","7","7","10","9"
"2019/08/13 4:25:22 PM GMT+1","9","6","9","9","9","7","9","7","6","10","9","7","10","7"
"2019/08/13 4:25:24 PM GMT+1","8","7","9","9","9","7","8","6","6","8","7","10","10","8"
"2019/08/13 4:25:31 PM GMT+1","10","6","9","7","9","7","9","8","8","9","9","10","10","9"
"2019/08/13 4:25:32 PM GMT+1","8","6","8","7","8","7","8","6","7","9","7","7","10","9"
"2019/08/13 4:25:32 PM GMT+1","8","6","9","8","8","7","7","6","4","8","8","7","10","8"
"2019/08/13 4:26:30 PM GMT+1","7","5","8","8","7","7","7","7","6","8","8","","10","7"
"2019/08/13 4:26:33 PM GMT+1","8","7","9","8","8","7","8","7","7","8","7","8","10","8"
"2019/08/13 4:26:42 PM GMT+1","9","7","9","9","9","7","8","6","7","9","8","8","8","8"
"2019/08/13 4:26:50 PM GMT+1","8","8","9","8","8","6","7","6","6","7","7","8","8","8"
"2019/08/13 4:26:52 PM GMT+1","8","7","8","8","8","7","7","6","6","9","8","7","10","6"
"2019/08/13 4:27:26 PM GMT+1","9","7","8","8","7","7","8","6","7","9","9","9","10","7"
"2019/08/13 4:27:31 PM GMT+1","9","6","7","7","8","5","7","6","6","7","7","6","10","7"
"2019/08/13 4:27:54 PM GMT+1","8","6","9","7","8","7","8","6","7","8","8","7","8","6"
"2019/08/13 4:28:43 PM GMT+1","9","7","9","8","8","7","6","6","7","8","8","8","10","8"
"2019/08/13 4:28:54 PM GMT+1","7","7","8","8","9","7","8","6","6","9","8","8","10","8"
"2019/08/13 4:29:16 PM GMT+1","7","7","9","9","9","7","7","6","7","9","8","7","10","8"
"2019/08/13 4:29:40 PM GMT+1","7","7","8","8","9","8","9","7","7","9","9","8","10","7"
"2019/08/13 4:29:57 PM GMT+1","10","7","10","10","10","8","9","7","8","9","10","9","10","9"
"2019/08/13 4:30:00 PM GMT+1","8","7","9","8","8","7","7","7","7","8","8","8","10","7"
"2019/08/13 4:30:00 PM GMT+1","7","6","8","7","8","7","7","6","6","8","7","7","10","8"
"2019/08/13 4:30:02 PM GMT+1","9","6","9","8","7","7","8","6","6","8","8","8","10","8"
"2019/08/13 4:30:15 PM GMT+1","9","7","9","8","8","7","9","5","5","9","8","8","10","10"
"2019/08/13 4:30:27 PM GMT+1","7","5","9","8","9","6","7","6","7","9","7","7","10","7"
"2019/08/13 4:31:09 PM GMT+1","9","7","9","8","9","7","8","7","7","7","7","6","10","8"
"2019/08/13 4:31:20 PM GMT+1","8","6","7","8","8","8","7","6","6","7","8","7","10","8"
"2019/08/13 4:31:28 PM GMT+1","7","6","8","7","8","7","7","6","5","8","7","7","10","8"
"2019/08/13 4:31:39 PM GMT+1","8","7","8","8","8","7","9","7","7","8","7","7","10","8"
"2019/08/13 4:32:09 PM GMT+1","10","9","10","10","10","10","9","9","9","10","10","10","10","9"
"2019/08/13 4:32:45 PM GMT+1","8","6","9","9","8","7","7","6","7","8","7","6","10","5"
"2019/08/13 4:33:02 PM GMT+1","8","7","10","9","10","7","9","6","6","8","8","8","10","10"
"2019/08/13 4:33:30 PM GMT+1","8","7","8","8","8","7","8","6","6","8","8","7","10","7"
"2019/08/13 4:33:57 PM GMT+1","8","7","9","9","10","7","7","7","7","8","8","8","9","8"
"2019/08/13 4:34:17 PM GMT+1","8","6","8","8","8","6","8","7","6","9","7","10","10","7"
"2019/08/13 4:34:25 PM GMT+1","8","7","9","9","8","7","8","6","5","9","7","8","10","7"
"2019/08/13 4:34:42 PM GMT+1","9","6","10","9","9","8","9","8","6","9","8","8","10","8"
"2019/08/13 4:35:15 PM GMT+1","7","6","8","8","8","6","7","6","6","8","8","7","9","8"
"2019/08/13 4:35:16 PM GMT+1","7","7","8","8","7","8","8","6","7","8","8","7","10","9"
"2019/08/13 4:35:22 PM GMT+1","7","7","8","8","8","7","8","6","7","8","8","8","10","8"
"2019/08/13 4:35:32 PM GMT+1","8","6","9","8","9","7","6","5","5","8","8","7","10","8"
"2019/08/13 4:35:43 PM GMT+1","8","6","9","9","8","7","7","5","5","8","7","7","9","7"
"2019/08/13 4:36:18 PM GMT+1","9","8","10","9","9","7","8","7","8","9","9","10","10","10"
"2019/08/13 4:36:21 PM GMT+1","9","6","9","7","8","6","8","6","6","9","7","7","10","8"
"2019/08/13 4:36:36 PM GMT+1","9","8","10","10","9","8","7","7","7","8","7","8","10","8"
"2019/08/13 4:36:46 PM GMT+1","10","7","10","9","10","8","9","7","7","9","9","9","10","7"
"2019/08/13 4:36:48 PM GMT+1","9","7","9","9","10","8","8","7","7","9","8","8","10","8"
"2019/08/13 4:37:09 PM GMT+1","9","7","9","8","9","7","8","7","6","9","8","8","10","7"
"2019/08/13 4:37:12 PM GMT+1","8","7","7","7","7","7","7","7","7","9","8","7","10","7"
"2019/08/13 4:37:19 PM GMT+1","8","8","10","9","10","9","9","8","9","9","8","9","10","9"
"2019/08/13 4:37:34 PM GMT+1","9","7","10","8","8","8","7","6","6","8","8","7","10","8"
"2019/08/13 4:37:37 PM GMT+1","8","7","10","9","10","8","8","6","7","9","9","8","10","10"
"2019/08/13 4:38:05 PM GMT+1","8","6","9","9","9","8","8","7","7","8","8","7","10","7"
"2019/08/13 4:38:16 PM GMT+1","9","7","9","9","8","7","8","7","7","9","8","7","10","8"
"2019/08/13 4:38:36 PM GMT+1","8","6","8","7","9","8","7","6","8","10","9","8","10","6"
"2019/08/13 4:39:33 PM GMT+1","9","7","10","9","9","7","8","6","6","9","9","10","10","8"
"2019/08/13 4:39:48 PM GMT+1","9","6","8","7","9","6","7","6","6","8","7","7","10","7"
"2019/08/13 4:39:48 PM GMT+1","8","7","8","8","8","6","7","6","6","7","7","7","8","7"
"2019/08/13 4:39:53 PM GMT+1","9","6","8","8","8","7","8","6","6","9","8","8","10","8"
"2019/08/13 4:39:55 PM GMT+1","8","6","6","7","7","6","8","5","4","9","8","6","9","7"
"2019/08/13 4:40:25 PM GMT+1","8","5","9","8","9","6","8","6","5","8","7","7","10","7"
"2019/08/13 4:41:56 PM GMT+1","8","6","9","8","10","6","7","6","6","7","7","7","10","7"
"2019/08/13 4:42:20 PM GMT+1","9","6","9","8","10","7","7","7","8","9","9","8","10","7"
"2019/08/13 4:42:24 PM GMT+1","7","5","9","7","8","7","8","7","7","8","8","7","10","6"
"2019/08/13 4:43:51 PM GMT+1","8","6","8","8","7","8","7","6","6","8","8","7","10","8"
"2019/08/13 4:44:06 PM GMT+1","8","7","8","8","8","7","8","6","6","9","8","","10","8"
"2019/08/13 4:46:12 PM GMT+1","8","7","8","8","8","7","8","6","7","9","8","8","10","8"
"2019/08/13 4:46:17 PM GMT+1","9","5","7","6","6","6","7","6","6","9","8","","10","6"
"2019/08/13 4:46:23 PM GMT+1","8","7","9","8","9","7","8","7","7","9","9","8","10","7"
"2019/08/13 4:46:37 PM GMT+1","7","6","8","8","9","8","7","5","5","7","6","6","10","5"
"2019/08/13 4:46:42 PM GMT+1","8","7","9","9","9","7","9","8","6","7","8","8","10","7"
"2019/08/13 4:48:56 PM GMT+1","9","7","9","9","10","8","8","7","7","8","8","8","10","8"
"2019/08/13 4:49:26 PM GMT+1","10","8","10","10","10","8","8","7","8","9","9","10","10","8"
"2019/08/13 4:49:39 PM GMT+1","8","7","8","8","7","7","7","6","7","7","7","7","10","8"
"2019/08/13 4:49:40 PM GMT+1","7","6","9","9","10","7","8","7","6","9","9","8","10","8"
"2019/08/13 4:49:47 PM GMT+1","8","7","9","8","9","7","8","7","7","9","9","8","10","10"
"2019/08/13 4:51:22 PM GMT+1","9","7","10","10","10","9","10","7","8","10","9","10","10","10"
"2019/08/13 4:51:56 PM GMT+1","9","6","8","8","9","8","10","7","9","9","9","8","10","10"
"2019/08/13 4:53:04 PM GMT+1","8","6","8","8","7","6","7","6","5","8","8","7","10","6"
"2019/08/13 4:55:08 PM GMT+1","7","7","8","7","8","7","8","6","6","7","7","7","10","7"
"2019/08/13 4:55:37 PM GMT+1","7","6","8","8","8","7","8","6","6","7","7","7","9","8"
"2019/08/13 4:55:39 PM GMT+1","9","7","8","8","8","7","8","6","7","8","8","7","10","7"
"2019/08/13 4:56:08 PM GMT+1","8","7","9","8","8","7","8","6","6","8","8","","10","8"
"2019/08/13 4:56:43 PM GMT+1","7","6","9","8","7","7","7","6","8","7","7","7","10","6"
"2019/08/13 4:56:44 PM GMT+1","7","5","8","7","8","7","8","7","6","8","7","6","10","8"
"2019/08/13 4:57:46 PM GMT+1","9","6","8","8","8","8","8","6","6","7","7","7","10","6"
"2019/08/13 4:58:11 PM GMT+1","8","6","9","8","8","7","8","7","7","9","7","7","9","9"
"2019/08/13 4:59:00 PM GMT+1","7","6","8","9","9","7","8","7","6","8","7","8","10","8"
"2019/08/13 4:59:13 PM GMT+1","8","7","9","8","8","7","7","7","7","7","8","8","10","7"
"2019/08/13 4:59:21 PM GMT+1","8","5","9","9","8","7","6","5","6","7","8","8","10","8"
"2019/08/13 4:59:37 PM GMT+1","8","5","8","8","8","6","7","6","6","8","7","6","10","8"
"2019/08/13 5:01:26 PM GMT+1","8","7","8","8","8","8","7","7","7","8","8","7","10","8"
"2019/08/13 5:02:19 PM GMT+1","8","7","9","8","8","8","8","6","6","8","7","10","10","8"
"2019/08/13 5:02:42 PM GMT+1","7","7","9","9","9","8","8","7","7","8","8","8","10","8"
"2019/08/13 5:02:50 PM GMT+1","6","6","8","7","8","6","8","6","7","8","7","7","10","10"
"2019/08/13 5:03:26 PM GMT+1","8","6","10","8","10","7","8","7","7","9","9","7","10","8"
"2019/08/13 5:03:46 PM GMT+1","9","7","7","7","9","8","8","8","7","9","8","8","10","8"
"2019/08/13 5:04:20 PM GMT+1","8","7","10","9","9","8","8","7","7","9","8","8","10","8"
"2019/08/13 5:04:51 PM GMT+1","9","8","9","8","8","8","8","7","8","7","8","9","10","8"
"2019/08/13 5:05:59 PM GMT+1","10","5","9","8","10","6","8","3","4","9","8","10","10","6"
"2019/08/13 5:08:46 PM GMT+1","7","6","9","8","9","6","7","6","7","8","7","7","10","9"
"2019/08/13 5:09:12 PM GMT+1","8","6","9","8","9","8","8","7","7","9","9","9","10","7"
"2019/08/13 5:09:50 PM GMT+1","7","6","8","8","8","6","7","5","6","7","7","7","9","6"
"2019/08/13 5:10:15 PM GMT+1","10","7","10","8","10","8","7","8","8","9","8","9","10","10"
"2019/08/13 5:10:28 PM GMT+1","9","6","8","7","8","7","7","7","7","8","8","7","10","7"
"2019/08/13 5:10:36 PM GMT+1","10","8","10","10","10","9","9","7","8","9","9","8","10","10"
"2019/08/13 5:10:44 PM GMT+1","8","6","9","9","9","6","8","4","7","7","8","8","10","7"
"2019/08/13 5:11:12 PM GMT+1","7","6","8","7","8","7","7","6","6","7","8","7","10","7"
"2019/08/13 5:11:12 PM GMT+1","7","6","8","7","8","7","8","6","6","8","9","7","10","8"
"2019/08/13 5:11:40 PM GMT+1","7","6","7","7","8","8","7","6","6","7","6","6","8","7"
"2019/08/13 5:11:51 PM GMT+1","7","6","8","7","8","8","8","6","6","8","8","7","10","8"
"2019/08/13 5:13:13 PM GMT+1","9","8","9","9","9","9","9","8","8","9","8","8","10","9"
"2019/08/13 5:14:09 PM GMT+1","9","7","10","8","8","7","9","7","8","9","10","8","10","9"
"2019/08/13 5:14:43 PM GMT+1","8","5","9","8","9","6","8","5","7","8","8","7","7","7"
"2019/08/13 5:15:03 PM GMT+1","6","6","8","7","8","7","9","6","6","9","7","7","10","10"
"2019/08/13 5:15:25 PM GMT+1","8","7","9","8","9","8","8","7","7","9","9","8","10","7"
"2019/08/13 5:15:34 PM GMT+1","9","8","10","10","9","8","5","5","5","8","8","10","10","7"
"2019/08/13 5:15:45 PM GMT+1","8","7","8","8","8","7","8","6","6","8","7","7","10","8"
"2019/08/13 5:15:45 PM GMT+1","8","6","8","7","8","7","8","7","7","8","8","8","10","8"
"2019/08/13 5:16:30 PM GMT+1","7","5","8","7","8","6","7","7","6","8","7","","10","8"
"2019/08/13 5:16:46 PM GMT+1","7","7","9","8","8","7","8","6","7","8","8","8","10","8"
"2019/08/13 5:16:54 PM GMT+1","8","6","9","8","9","7","7","7","7","8","8","","10","8"
"2019/08/13 5:16:55 PM GMT+1","8","8","9","9","9","9","9","7","7","9","8","9","10","8"
"2019/08/13 5:17:26 PM GMT+1","8","7","8","8","8","6","6","5","6","7","7","7","10","7"
"2019/08/13 5:18:06 PM GMT+1","8","6","9","8","9","8","7","6","7","8","8","8","9","8"
"2019/08/13 5:18:14 PM GMT+1","7","6","8","7","7","7","7","6","6","8","6","7","10","8"
"2019/08/13 5:19:24 PM GMT+1","8","7","9","8","9","8","7","7","6","8","8","8","9","4"
"2019/08/13 5:20:21 PM GMT+1","9","8","9","8","9","9","8","8","7","9","8","8","9","9"
"2019/08/13 5:20:36 PM GMT+1","7","5","8","7","8","7","7","6","6","7","7","7","10","7"
"2019/08/13 5:20:47 PM GMT+1","7","7","8","7","8","7","8","7","7","8","8","8","9","7"
"2019/08/13 5:21:04 PM GMT+1","9","7","9","8","9","8","8","7","7","8","7","8","10","8"
"2019/08/13 5:23:22 PM GMT+1","8","7","8","9","7","6","7","6","5","9","6","6","10","6"
"2019/08/13 5:24:28 PM GMT+1","8","6","8","8","7","6","7","6","6","8","7","7","10","6"
"2019/08/13 5:24:32 PM GMT+1","7","6","8","9","8","7","8","6","7","7","7","6","10","8"
"2019/08/13 5:24:42 PM GMT+1","10","6","9","7","8","7","9","7","7","9","8","10","10","8"
"2019/08/13 5:26:48 PM GMT+1","8","7","9","9","9","8","8","7","7","9","9","9","10","9"
"2019/08/13 5:27:06 PM GMT+1","9","7","9","9","8","8","7","7","9","9","8","7","10","8"
"2019/08/13 5:27:30 PM GMT+1","7","6","7","7","7","7","7","6","5","8","8","7","10","8"
"2019/08/13 5:27:51 PM GMT+1","8","7","10","8","9","7","9","7","7","9","8","7","10","8"
"2019/08/13 5:27:59 PM GMT+1","7","7","8","8","9","7","7","7","6","7","7","6","10","8"
"2019/08/13 5:28:27 PM GMT+1","7","7","8","7","7","7","8","7","7","9","9","8","10","10"
"2019/08/13 5:29:16 PM GMT+1","7","7","8","8","9","6","8","6","7","8","7","7","10","8"
"2019/08/13 5:29:47 PM GMT+1","8","6","9","8","8","8","7","6","7","8","8","8","10","7"
"2019/08/13 5:30:10 PM GMT+1","8","6","8","8","7","7","7","6","6","8","7","8","10","8"
"2019/08/13 5:32:03 PM GMT+1","7","6","9","8","8","6","9","7","6","8","8","7","10","8"
"2019/08/13 5:34:39 PM GMT+1","7","7","8","7","9","7","9","8","7","9","8","","10","8"
"2019/08/13 5:34:45 PM GMT+1","7","7","8","7","8","6","7","7","6","8","8","7","10","8"
"2019/08/13 5:34:46 PM GMT+1","8","7","9","8","8","7","9","7","7","8","8","8","10","6"
"2019/08/13 5:35:33 PM GMT+1","7","7","9","7","8","6","8","6","5","8","8","7","10","7"
"2019/08/13 5:35:52 PM GMT+1","8","7","10","9","9","8","8","7","7","9","8","9","9","9"
"2019/08/13 5:37:04 PM GMT+1","8","7","9","8","8","7","8","7","6","9","8","8","9","7"
"2019/08/13 5:37:16 PM GMT+1","9","7","8","8","9","7","8","7","6","8","8","","10","7"
"2019/08/13 5:37:23 PM GMT+1","9","7","9","8","9","7","7","8","7","8","8","8","10","8"
"2019/08/13 5:37:51 PM GMT+1","7","7","8","7","8","9","10","7","7","9","9","8","9","8"
"2019/08/13 5:38:37 PM GMT+1","7","6","8","7","9","7","7","5","4","8","8","7","10","6"
"2019/08/13 5:38:53 PM GMT+1","9","7","10","10","9","7","7","5","6","9","8","9","10","7"
"2019/08/13 5:39:15 PM GMT+1","8","7","9","8","8","7","8","7","7","9","8","7","10","8"
"2019/08/13 5:40:40 PM GMT+1","8","5","8","7","8","7","7","5","7","7","7","7","10","6"
"2019/08/13 5:41:02 PM GMT+1","7","5","9","8","8","7","9","7","7","9","8","7","10","7"
"2019/08/13 5:43:25 PM GMT+1","8","6","8","7","8","6","8","7","8","8","7","8","7","7"
"2019/08/13 5:43:31 PM GMT+1","7","7","9","8","9","8","9","7","7","8","7","7","10","7"
"2019/08/13 5:45:57 PM GMT+1","10","6","9","9","8","7","8","6","6","8","7","7","10","10"
"2019/08/13 5:46:17 PM GMT+1","8","6","8","9","9","7","8","7","7","10","9","8","9","8"
"2019/08/13 5:46:56 PM GMT+1","10","5","8","8","9","6","6","4","7","8","8","9","10","10"
"2019/08/13 5:47:31 PM GMT+1","9","8","10","9","10","7","6","6","7","9","9","10","9","8"
"2019/08/13 5:48:41 PM GMT+1","8","6","8","7","8","7","8","6","6","8","7","8","10","8"
"2019/08/13 5:49:10 PM GMT+1","8","7","8","7","7","7","7","7","7","8","7","7","9","7"
"2019/08/13 5:50:23 PM GMT+1","7","6","9","8","8","7","8","7","8","8","8","7","9","7"
"2019/08/13 5:51:34 PM GMT+1","8","6","7","7","9","7","7","5","6","7","7","8","10","8"
"2019/08/13 5:51:40 PM GMT+1","10","8","9","9","9","8","8","7","7","9","9","10","10","9"
"2019/08/13 5:52:34 PM GMT+1","8","7","9","8","8","7","8","6","6","8","7","7","10","7"
"2019/08/13 5:54:13 PM GMT+1","9","8","10","8","10","7","8","7","7","8","8","7","10","7"
"2019/08/13 5:54:47 PM GMT+1","6","6","8","8","8","6","8","6","6","7","7","","10","8"
"2019/08/13 5:54:54 PM GMT+1","8","6","10","9","9","6","8","6","7","7","8","7","10","10"
"2019/08/13 5:57:14 PM GMT+1","8","6","9","8","9","8","8","6","6","7","7","8","10","6"
"2019/08/13 5:58:46 PM GMT+1","9","6","9","9","10","8","9","8","7","9","8","9","10","8"
"2019/08/13 5:59:59 PM GMT+1","9","9","9","9","10","8","8","7","7","9","9","9","10","9"
"2019/08/13 6:00:22 PM GMT+1","9","7","9","8","9","7","8","6","7","10","8","8","10","8"
"2019/08/13 6:00:26 PM GMT+1","8","5","7","8","9","7","8","5","9","7","7","7","10","7"
"2019/08/13 6:01:44 PM GMT+1","7","7","9","7","8","7","8","6","6","9","9","10","10","10"
"2019/08/13 6:03:08 PM GMT+1","8","7","9","8","9","7","8","7","7","9","8","8","10","8"
"2019/08/13 6:03:49 PM GMT+1","9","4","9","7","7","5","6","4","6","7","7","10","9","4"
"2019/08/13 6:04:51 PM GMT+1","8","7","9","8","10","7","7","6","7","9","8","8","10","10"
"2019/08/13 6:05:07 PM GMT+1","9","7","10","8","10","7","8","7","6","9","8","8","10","9"
"2019/08/13 6:05:11 PM GMT+1","8","6","9","7","9","8","8","5","6","8","8","8","10","8"
"2019/08/13 6:05:23 PM GMT+1","10","6","10","9","10","8","6","5","6","8","8","8","10","8"
"2019/08/13 6:06:12 PM GMT+1","7","7","9","8","8","8","8","7","7","9","8","","10","9"
"2019/08/13 6:06:14 PM GMT+1","7","7","8","8","8","7","7","5","6","8","7","7","10","7"
"2019/08/13 6:06:19 PM GMT+1","8","6","9","9","8","7","6","6","6","7","8","7","10","8"
"2019/08/13 6:07:40 PM GMT+1","7","5","9","8","9","7","8","6","7","8","8","7","10","7"
"2019/08/13 6:08:04 PM GMT+1","7","6","9","8","9","7","7","6","6","8","8","7","10","6"
"2019/08/13 6:09:10 PM GMT+1","7","7","9","9","10","8","8","7","6","9","9","9","10","8"
"2019/08/13 6:09:17 PM GMT+1","10","10","10","10","10","10","10","8","8","10","10","8","10","10"
"2019/08/13 6:10:50 PM GMT+1","9","6","8","7","8","7","7","5","7","8","7","7","10","7"
