"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Jesse Lingard","Marcus Rashford","Anthony Martial","Daniel James (optional)","From 1 to 10 how much are you pleased with the result?","From 1 to 10 how much are you pleased with the performance?"
"2019/08/13 6:27:47 PM GMT+1","7","6","8","7","9","6","6","5","5","7","7","7","9","6"
"2019/08/13 6:28:17 PM GMT+1","8","6","7","7","8","7","7","6","6","8","8","7","9","7"
"2019/08/13 6:29:59 PM GMT+1","10","8","9","9","8","7","7","7","6","7","7","8","10","8"
"2019/08/13 6:32:26 PM GMT+1","7","6","8","8","8","6","7","6","7","8","7","7","10","8"
"2019/08/13 6:32:43 PM GMT+1","7","6","9","7","7","6","6","5","5","6","6","6","10","10"
"2019/08/13 6:32:57 PM GMT+1","8","6","9","8","8","7","8","4","4","9","8","8","8","6"
"2019/08/13 6:33:17 PM GMT+1","8","6","9","8","9","7","8","6","7","8","8","8","10","8"
"2019/08/13 6:34:53 PM GMT+1","8","6","8","8","9","7","8","7","7","8","9","8","10","8"
"2019/08/13 6:35:13 PM GMT+1","7","6","9","7","9","7","7","6","7","8","9","8","10","7"
"2019/08/13 6:35:22 PM GMT+1","7","7","8","8","8","7","8","6","7","8","7","7","10","8"
"2019/08/13 6:36:22 PM GMT+1","8","8","10","8","9","9","9","7","7","9","8","8","10","8"
"2019/08/13 6:38:47 PM GMT+1","7","6","8","8","7","7","8","6","7","7","7","","6","8"
"2019/08/13 6:40:17 PM GMT+1","7","6","8","8","8","6","7","6","6","8","7","7","10","7"
"2019/08/13 6:41:38 PM GMT+1","8","7","9","8","9","7","8","6","5","8","7","7","10","8"
"2019/08/13 6:41:47 PM GMT+1","9","6","9","8","9","7","8","7","7","8","8","8","10","10"
"2019/08/13 6:42:47 PM GMT+1","9","7","8","9","7","7","7","6","7","7","7","10","10","10"
"2019/08/13 6:43:20 PM GMT+1","9","7","8","7","8","7","9","6","6","7","8","9","10","7"
"2019/08/13 6:43:47 PM GMT+1","7","6","8","7","7","6","7","8","6","8","8","7","10","10"
"2019/08/13 6:47:19 PM GMT+1","8","6","8","7","7","6","8","5","5","7","7","8","10","6"
"2019/08/13 6:48:41 PM GMT+1","7","7","8","7","9","7","8","7","7","8","8","8","10","9"
"2019/08/13 6:49:17 PM GMT+1","8","7","9","8","8","7","8","7","6","8","8","7","10","7"
"2019/08/13 6:51:32 PM GMT+1","9","7","8","8","8","7","6","7","5","9","8","9","10","8"
"2019/08/13 6:53:23 PM GMT+1","8","7","10","8","10","9","9","7","7","9","8","8","10","8"
"2019/08/13 6:53:29 PM GMT+1","7","6","8","8","8","7","7","6","6","8","7","7","10","7"
"2019/08/13 6:55:28 PM GMT+1","10","7","10","8","10","8","9","8","8","9","9","10","10","9"
"2019/08/13 6:56:56 PM GMT+1","7","6","8","8","8","7","7","6","7","9","7","8","10","8"
"2019/08/13 7:02:09 PM GMT+1","9","8","10","9","10","9","9","8","8","10","9","10","10","8"
"2019/08/13 7:02:44 PM GMT+1","8","7","8","8","9","8","7","6","6","7","7","9","9","7"
"2019/08/13 7:04:17 PM GMT+1","9","6","8","7","7","7","8","7","6","10","9","8","10","8"
"2019/08/13 7:04:38 PM GMT+1","9","7","9","9","9","7","8","5","6","9","9","9","9","9"
"2019/08/13 7:06:44 PM GMT+1","8","7","9","9","9","7","7","6","7","8","8","8","10","8"
"2019/08/13 7:11:13 PM GMT+1","8","6","8","8","8","7","8","6","6","8","7","6","10","7"
"2019/08/13 7:12:56 PM GMT+1","9","6","10","9","9","7","9","7","6","9","8","7","10","9"
"2019/08/13 7:14:23 PM GMT+1","8","6","9","8","9","9","8","7","8","9","8","8","9","9"
"2019/08/13 7:16:46 PM GMT+1","8","6","9","7","9","7","7","6","7","8","8","8","10","8"
"2019/08/13 7:21:29 PM GMT+1","7","6","8","8","8","7","8","7","7","8","7","7","10","6"
"2019/08/13 7:25:00 PM GMT+1","8","8","9","8","9","8","9","7","7","8","8","8","10","8"
"2019/08/13 7:27:30 PM GMT+1","8","7","9","8","8","6","7","5","6","7","7","7","10","9"
"2019/08/13 7:28:15 PM GMT+1","8","7","9","8","9","7","8","6","6","8","7","6","9","8"
"2019/08/13 7:28:22 PM GMT+1","8","7","8","8","9","8","8","7","7","8","8","8","9","8"
"2019/08/13 7:29:02 PM GMT+1","7","7","8","8","8","7","7","6","6","8","8","7","10","7"
"2019/08/13 7:29:52 PM GMT+1","7","5","8","7","8","6","8","6","6","9","8","7","10","7"
"2019/08/13 7:32:06 PM GMT+1","8","7","9","10","9","8","9","2","2","9","8","8","10","7"
"2019/08/13 7:32:28 PM GMT+1","7","6","8","7","8","7","7","6","6","7","7","7","10","7"
"2019/08/13 7:34:00 PM GMT+1","6","7","8","6","7","6","6","6","6","8","7","7","10","8"
"2019/08/13 7:36:26 PM GMT+1","7","6","8","8","9","7","6","5","5","7","8","10","10","8"
