"Timestamp","David De Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard(optional)","Fred(optional)","Rate our performance","Rate final result","Rate Ole (only this match)","Rate West Ham (only this match)","Were you happy with the referee? (optional)"
"2019/09/23 1:49:35 PM GMT+1","4","3","5","5","7","6","2","5","3","5","4","","6","3","3","4","5","Yes"
"2019/09/23 1:49:58 PM GMT+1","8","7","6","6","7","8","8","5","2","6","3","6","8","3","1","8","6","No"
"2019/09/23 1:50:19 PM GMT+1","3","4","3","3","6","5","3","3","3","4","2","","","2","1","2","8","No"
"2019/09/23 1:50:22 PM GMT+1","5","4","5","4","7","6","4","4","3","6","4","4","6","2","2","1","5","Yes"
"2019/09/23 1:50:59 PM GMT+1","6","6","6","6","7","7","5","4","3","7","5","5","6","3","1","2","6","Yes"
"2019/09/23 1:51:09 PM GMT+1","8","6","6","5","8","7","4","4","5","9","4","3","5","4","2","3","7","Yes"
"2019/09/23 1:52:38 PM GMT+1","6","5","5","5","5","5","4","3","4","5","4","5","5","2","1","4","7","Yes"
"2019/09/23 1:53:01 PM GMT+1","7","7","6","5","8","5","4","4","4","6","4","4","4","3","1","5","7","Yes"
"2019/09/23 1:53:06 PM GMT+1","5","5","5","5","6","6","4","4","4","5","4","","","4","1","5","5","No"
"2019/09/23 1:53:09 PM GMT+1","6","5","5","5","6","7","4","4","3","4","3","4","4","3","3","3","7","Yes"
"2019/09/23 1:53:39 PM GMT+1","5","4","5","5","6","5","5","4","4","6","3","4","5","1","1","5","7","Yes"
"2019/09/23 1:54:22 PM GMT+1","5","4","6","5","5","5","3","3","3","4","2","3","4","4","3","3","6","Yes"
"2019/09/23 1:54:57 PM GMT+1","3","2","4","3","6","4","3","2","1","3","2","1","1","1","1","1","1","No"
"2019/09/23 1:56:03 PM GMT+1","5","4","4","4","4","6","3","3","3","6","3","3","6","1","1","2","8","Yes"
"2019/09/23 1:56:29 PM GMT+1","6","6","6","4","6","5","3","3","3","3","3","4","4","4","3","2","7","Yes"
"2019/09/23 1:56:42 PM GMT+1","6","6","6","5","5","4","3","2","2","4","2","","6","2","3","2","8","Yes"
"2019/09/23 1:57:21 PM GMT+1","7","6","6","6","6","7","6","5","5","6","6","5","6","5","2","5","6","Yes"
"2019/09/23 1:57:30 PM GMT+1","5","5","4","5","9","4","6","3","1","3","1","3","7","2","1","1","9","Yes"
"2019/09/23 1:58:11 PM GMT+1","7","4","5","5","8","6","3","5","3","6","4","5","6","2","2","2","7","Yes"
"2019/09/23 1:58:27 PM GMT+1","6","6","7","6","7","7","6","5","5","6","5","5","6","5","1","5","6","No"
"2019/09/23 1:58:29 PM GMT+1","4","6","5","5","7","6","5","4","4","5","5","4","5","3","1","2","5",""
"2019/09/23 1:58:51 PM GMT+1","5","3","5","4","4","3","2","2","2","3","2","2","2","1","1","2","6","Yes"
"2019/09/23 1:59:00 PM GMT+1","6","4","7","5","8","6","4","6","5","6","5","","","5","3","4","5","Yes"
"2019/09/23 1:59:03 PM GMT+1","3","4","4","3","4","2","3","2","1","4","1","3","3","1","1","1","8","Yes"
"2019/09/23 1:59:26 PM GMT+1","3","3","5","3","7","5","2","2","2","6","2","2","5","3","1","5","7","Yes"
"2019/09/23 2:00:56 PM GMT+1","5","4","5","4","5","4","3","1","1","5","1","1","3","1","1","1","6","Yes"
"2019/09/23 2:01:02 PM GMT+1","5","5","4","3","6","6","4","2","1","6","2","1","6","1","1","1","8","Yes"
"2019/09/23 2:01:16 PM GMT+1","5","5","5","4","6","5","5","4","3","7","5","5","5","1","1","4","8","Yes"
"2019/09/23 2:01:43 PM GMT+1","7","7","7","7","8","9","7","5","4","6","2","4","8","1","1","3","8","Yes"
"2019/09/23 2:02:54 PM GMT+1","6","7","6","4","7","6","7","3","3","5","3","4","","2","1","1","5","Yes"
"2019/09/23 2:02:59 PM GMT+1","4","7","6","5","6","6","6","5","2","4","4","4","3","1","1","3","3","Yes"
"2019/09/23 2:03:22 PM GMT+1","4","4","4","4","6","5","2","2","2","7","2","4","4","2","1","2","3","Yes"
"2019/09/23 2:03:29 PM GMT+1","7","7","8","6","7","6","5","6","6","8","4","","7","4","3","5","6","Yes"
"2019/09/23 2:03:32 PM GMT+1","5","5","5","5","6","5","4","6","4","5","3","4","4","4","3","5","6","No"
"2019/09/23 2:03:51 PM GMT+1","5","6","6","6","7","6","3","6","6","6","4","6","7","4","1","5","5","Yes"
"2019/09/23 2:04:07 PM GMT+1","6","5","5","5","6","4","5","2","2","5","2","1","5","3","1","3","5","Yes"
"2019/09/23 2:04:10 PM GMT+1","4","4","4","3","7","4","3","1","1","6","3","","","2","2","2","7","Yes"
"2019/09/23 2:04:16 PM GMT+1","6","5","5","5","6","4","4","3","2","4","1","1","","3","1","1","6","Yes"
"2019/09/23 2:04:34 PM GMT+1","6","4","7","5","7","6","4","5","3","5","3","3","5","3","1","4","6","Yes"
"2019/09/23 2:04:39 PM GMT+1","5","6","6","5","7","6","6","5","3","5","4","3","5","2","1","4","8","Yes"
"2019/09/23 2:04:45 PM GMT+1","4","5","6","4","6","5","6","4","5","7","3","","","4","4","7","7",""
"2019/09/23 2:05:43 PM GMT+1","5","5","4","3","6","5","5","4","4","6","4","","","3","1","3","5","Yes"
"2019/09/23 2:06:08 PM GMT+1","6","7","6","6","6","6","4","3","5","4","5","7","6","2","1","4","7","Yes"
"2019/09/23 2:06:43 PM GMT+1","6","5","7","7","9","4","5","2","2","7","6","1","1","3","1","5","8","No"
"2019/09/23 2:06:52 PM GMT+1","7","6","6","6","6","6","5","5","5","7","5","5","5","3","1","5","7","Yes"
"2019/09/23 2:08:04 PM GMT+1","4","4","6","5","6","5","6","4","6","5","4","4","6","4","1","2","6","Yes"
"2019/09/23 2:08:09 PM GMT+1","6","6","5","5","6","5","5","4","3","4","1","1","5","1","1","1","6","Yes"
"2019/09/23 2:08:12 PM GMT+1","4","4","6","5","6","5","6","4","6","5","4","4","6","4","1","2","6","Yes"
"2019/09/23 2:08:51 PM GMT+1","6","4","5","6","8","7","5","5","5","7","5","6","6","4","2","3","5","Yes"
"2019/09/23 2:09:19 PM GMT+1","6","6","6","6","7","6","4","4","4","5","4","5","6","3","2","1","6","Yes"
"2019/09/23 2:10:43 PM GMT+1","6","4","4","5","5","5","4","4","2","5","4","5","4","3","2","5","6","Yes"
"2019/09/23 2:11:03 PM GMT+1","8","5","7","5","7","5","7","2","1","6","2","3","6","1","1","3","5","No"
"2019/09/23 2:11:20 PM GMT+1","6","5","6","5","6","6","4","5","5","6","6","5","5","5","4","5","6","Yes"
"2019/09/23 2:11:25 PM GMT+1","5","4","5","3","6","5","3","3","3","6","1","2","4","2","2","1","5","Yes"
"2019/09/23 2:12:16 PM GMT+1","6","6","5","5","7","6","5","3","4","7","4","3","4","1","1","4","8","Yes"
"2019/09/23 2:13:00 PM GMT+1","6","6","6","3","4","3","5","4","4","3","1","3","2","3","1","4","6","Yes"
"2019/09/23 2:13:16 PM GMT+1","3","2","1","1","3","1","1","1","1","5","1","1","2","1","1","1","9","Yes"
"2019/09/23 2:13:30 PM GMT+1","6","4","4","5","5","4","3","3","3","2","1","3","","2","1","2","5","Yes"
"2019/09/23 2:13:31 PM GMT+1","5","7","4","4","5","4","3","3","3","6","6","3","4","4","4","5","6","Yes"
"2019/09/23 2:13:38 PM GMT+1","5","5","4","4","5","6","3","3","3","5","3","","","1","1","1","7","No"
"2019/09/23 2:14:19 PM GMT+1","5","3","4","3","5","4","2","3","2","6","3","5","5","1","1","2","4","Yes"
"2019/09/23 2:14:21 PM GMT+1","5","4","5","6","7","5","6","6","2","5","4","6","6","4","3","2","7","Yes"
"2019/09/23 2:14:35 PM GMT+1","7","7","6","6","7","8","5","2","2","4","2","4","4","3","10","1","6","No"
"2019/09/23 2:14:49 PM GMT+1","6","7","6","6","7","6","6","5","5","6","5","","5","5","4","5","7","Yes"
"2019/09/23 2:15:15 PM GMT+1","5","4","5","5","6","6","4","5","4","6","5","5","5","4","1","5","6","Yes"
"2019/09/23 2:16:04 PM GMT+1","6","6","6","5","7","5","5","4","3","5","3","","","2","2","3","7",""
"2019/09/23 2:17:17 PM GMT+1","6","6","5","5","7","6","6","6","4","5","4","","","5","2","4","5","Yes"
"2019/09/23 2:18:13 PM GMT+1","5","6","6","5","7","5","5","5","5","6","3","","","3","4","4","6","Yes"
"2019/09/23 2:18:50 PM GMT+1","4","3","5","3","7","4","2","1","1","6","4","4","4","3","6","4","7","Yes"
"2019/09/23 2:18:53 PM GMT+1","6","4","5","5","7","6","3","4","4","6","4","3","5","2","2","4","5","Yes"
"2019/09/23 2:19:31 PM GMT+1","6","7","7","6","8","7","6","3","1","6","2","6","6","3","2","4","6","Yes"
"2019/09/23 2:19:35 PM GMT+1","6","3","4","4","5","4","3","4","3","5","4","5","5","3","3","3","8","Yes"
"2019/09/23 2:19:40 PM GMT+1","5","6","6","6","7","6","4","5","4","4","5","","","5","3","4","6","Yes"
"2019/09/23 2:20:19 PM GMT+1","5","5","4","5","7","6","5","4","4","5","3","4","5","2","1","3","7","Yes"
"2019/09/23 2:20:30 PM GMT+1","6","5","6","4","7","5","4","5","4","5","5","5","5","4","1","5","7","Yes"
"2019/09/23 2:20:52 PM GMT+1","6","7","6","7","8","5","6","4","4","7","5","","","4","4","5","7","Yes"
"2019/09/23 2:21:16 PM GMT+1","7","5","6","4","8","4","4","4","4","6","5","5","7","4","3","5","7","Yes"
"2019/09/23 2:21:26 PM GMT+1","5","6","5","4","5","7","2","1","3","4","1","2","3","1","1","1","5","Yes"
