"Timestamp","de Gea","Shaw","Maguire","Lindelof","AWB","Matic","Pogba","Bruno","Martial","Rashford","Greenwood","Williams","McTominay","Fred","Team Performance","Final Result","Ole","Aston Villa","Did the ref do a good job?","Did you get to the survey because you saw the post or because of notifications?"
"2020/07/13 1:12:08 PM GMT+2","7","8","8","8","8","8","9","9","9","9","10","8","7","7","9","9","10","4","No","Saw the post"
"2020/07/13 1:12:47 PM GMT+2","7","8","7","7","7","7","9","7","9","8","9","","","","7","8","9","4","No","Saw the post"
"2020/07/13 1:13:11 PM GMT+2","7","9","8","8","9","8","10","9","9","9","10","6","6","6","9","9","9","6","No","Saw the post"
"2020/07/13 1:13:20 PM GMT+2","7","8","7","7","8","8","9","9","9","8","8","7","7","7","9","8","9","3","No","Saw the post"
"2020/07/13 1:13:27 PM GMT+2","7","8","8","8","8","7","8","9","9","8","8","7","7","7","10","10","10","5","Yes","Saw the post"
"2020/07/13 1:14:20 PM GMT+2","7","8","7","7","7","7","8","9","9","8","9","7","7","7","9","10","10","3","No","Saw the post"
"2020/07/13 1:14:37 PM GMT+2","7","7","7","8","7","8","9","9","8","8","9","","","","8","8","9","5","No","Saw the post"
"2020/07/13 1:15:02 PM GMT+2","8","8","8","8","9","8","10","10","7","8","9","","","","8","10","9","4","No","Saw the post"
"2020/07/13 1:15:40 PM GMT+2","6","7","6","6","5","6","9","8","8","7","9","6","5","5","7","10","9","6","No","Saw the post"
"2020/07/13 1:16:08 PM GMT+2","6","7","7","7","7","7","8","7","7","7","9","7","6","6","8","9","9","7","No","Saw the post"
"2020/07/13 1:16:50 PM GMT+2","7","8","7","7","7","8","9","9","10","8","8","","","","9","9","9","4","Yes","Saw the post"
"2020/07/13 1:17:45 PM GMT+2","6","8","7","7","5","6","8","7","8","7","8","7","6","7","7","8","8","6","No",""
"2020/07/13 1:17:49 PM GMT+2","5","7","7","6","6","7","9","8","5","7","8","5","5","6","8","10","9","2","No","Saw the post"
"2020/07/13 1:18:31 PM GMT+2","7","8","7","7","7","8","9","9","8","8","10","6","6","6","9","10","10","7","No","Saw the post"
"2020/07/13 1:19:57 PM GMT+2","6","6","6","6","6","6","8","7","7","7","9","6","6","6","7","7","8","4","Yes","Saw the post"
"2020/07/13 1:20:09 PM GMT+2","9","10","9","9","9","9","10","10","9","9","10","9","8","8","10","10","10","5","No",""
"2020/07/13 1:20:19 PM GMT+2","7","9","7","7","8","9","9","10","7","8","9","6","6","7","8","10","9","6","No","Saw the post"
"2020/07/13 1:21:03 PM GMT+2","6","9","7","7","6","7","10","7","8","9","8","","","","8","10","9","4","","Saw the post"
"2020/07/13 1:22:02 PM GMT+2","6","7","6","7","6","7","8","7","7","7","8","6","6","6","8","9","9","7","No",""
"2020/07/13 1:22:17 PM GMT+2","7","7","7","7","7","7","9","8","9","8","8","7","7","7","8","10","9","5","No","Saw the post"
"2020/07/13 1:22:35 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","9","9","10","9","10","10","6","No","Saw the post"
"2020/07/13 1:22:58 PM GMT+2","7","7","8","7","7","7","8","8","8","8","9","","","","9","9","9","5","No",""
"2020/07/13 1:23:06 PM GMT+2","6","8","7","7","5","8","8","7","7","7","9","6","6","6","6","10","7","6","No","Saw the post"
"2020/07/13 1:23:21 PM GMT+2","7","8","8","8","8","8","8","7","7","7","9","","","","7","9","9","6","No","Saw the post"
"2020/07/13 1:23:34 PM GMT+2","7","8","7","8","7","7","8","9","7","7","9","7","7","7","8","8","8","4","No","Saw the post"
"2020/07/13 1:23:48 PM GMT+2","6","9","6","7","7","7","7","7","8","7","8","6","6","6","7","8","7","4","No","Saw the post"
"2020/07/13 1:24:22 PM GMT+2","6","7","7","7","7","7","8","7","7","7","8","6","6","7","7","9","9","4","No","Saw the post"
"2020/07/13 1:24:24 PM GMT+2","7","8","7","7","7","6","8","8","9","7","9","","","","7","10","9","4","No","Saw the post"
"2020/07/13 1:24:32 PM GMT+2","9","8","8","8","8","9","10","9","8","8","10","7","7","7","9","10","10","6","No","Saw the post"
"2020/07/13 1:24:54 PM GMT+2","8","9","8","8","8","9","10","9","9","9","10","9","8","8","10","10","8","7","No","Saw the post"
"2020/07/13 1:25:08 PM GMT+2","7","9","8","8","8","7","9","8","9","8","8","","","","7","10","8","5","No","Saw the post"
"2020/07/13 1:26:07 PM GMT+2","7","9","7","8","6","8","9","9","9","8","9","7","6","7","7","8","9","7","No","Saw the post"
