"Timestamp","De Gea","Maguire","Lindelof","Shaw","Williams","Wan-Bissaka","Matic","Fred","Bruno","Martial","James","Bailly (optional)","McTominay (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Man City","Did the ref do a good job?"
"2020/03/09 11:43:27 PM GMT+2","7","8","8","7","7","9","8","9","8","8","7","6","8","8","9","9","9","3","No"
"2020/03/09 11:43:35 PM GMT+2","9","8","8","9","8","10","10","9","8","9","8","8","8","8","10","8","10","7","No"
"2020/03/09 11:44:00 PM GMT+2","6","8","7","10","8","9","8","9","9","8","8","","10","","8","10","8","1","No"
"2020/03/09 11:44:31 PM GMT+2","8","8","9","9","7","9","9","9","9","9","8","7","9","8","10","10","10","1","No"
"2020/03/09 11:45:00 PM GMT+2","9","8","8","9","7","10","8","10","10","9","8","7","9","8","9","10","10","4","Yes"
"2020/03/09 11:45:26 PM GMT+2","8","8","8","8","7","8","8","8","8","8","7","7","8","8","9","10","10","5","No"
"2020/03/09 11:45:32 PM GMT+2","7","8","7","8","7","10","8","9","9","9","8","8","9","9","9","10","8","8","No"
"2020/03/09 11:45:43 PM GMT+2","7","7","7","7","6","9","8","8","7","9","6","7","7","7","8","10","10","3","No"
"2020/03/09 11:45:44 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","No"
"2020/03/09 11:46:41 PM GMT+2","6","8","7","8","7","9","9","8","7","7","6","6","7","8","9","10","8","6","Yes"
"2020/03/09 11:46:57 PM GMT+2","6","7","7","8","7","8","8","9","8","8","7","7","8","7","8","8","8","5","No"
"2020/03/09 11:48:23 PM GMT+2","9","9","8","9","8","10","9","9","10","9","7","8","9","8","9","10","10","5","No"
"2020/03/09 11:48:23 PM GMT+2","9","9","9","10","8","10","8","9","9","9","7","6","8","8","10","10","10","3","No"
"2020/03/09 11:48:25 PM GMT+2","8","8","8","7","7","10","8","9","9","10","8","7","8","8","10","10","10","4","No"
"2020/03/09 11:48:26 PM GMT+2","8","7","7","8","8","9","8","8","9","8","7","","","","10","10","10","3","No"
"2020/03/09 11:48:40 PM GMT+2","9","9","9","10","9","10","10","10","10","9","9","","10","10","10","10","10","4","No"
"2020/03/09 11:49:15 PM GMT+2","8","8","8","9","7","9","9","9","10","10","9","","10","9","10","10","10","6","No"
"2020/03/09 11:49:22 PM GMT+2","6","7","6","7","7","9","6","7","7","8","7","6","6","6","9","9","9","3","No"
"2020/03/09 11:50:18 PM GMT+2","6","7","7","7","6","8","7","7","8","8","7","","","","8","9","8","5",""
"2020/03/09 11:50:27 PM GMT+2","8","9","8","9","7","9","9","8","9","9","6","7","8","7","10","10","10","6","No"
"2020/03/09 11:50:53 PM GMT+2","7","7","8","8","6","8","7","9","8","8","7","6","7","7","9","8","8","6","No"
"2020/03/09 11:51:55 PM GMT+2","8","9","8","9","7","10","8","10","9","9","7","","","6","10","10","10","1","No"
"2020/03/09 11:52:11 PM GMT+2","8","7","7","8","7","9","9","8","7","8","6","7","9","7","10","10","10","1","No"
"2020/03/09 11:52:28 PM GMT+2","10","9","9","9","8","10","8","9","8","10","8","8","8","8","10","10","10","1","No"
"2020/03/09 11:52:54 PM GMT+2","8","8","8","9","7","10","8","8","10","8","7","5","7","7","10","10","8","5","No"
"2020/03/09 11:52:57 PM GMT+2","8","8","8","9","6","9","7","8","9","7","3","7","10","8","8","10","9","1","No"
"2020/03/09 11:53:18 PM GMT+2","8","8","8","9","8","9","8","8","8","8","8","7","8","8","10","10","10","5","Yes"
"2020/03/09 11:53:27 PM GMT+2","8","8","8","8","7","10","8","10","10","8","6","8","8","8","8","10","9","6","Yes"
"2020/03/09 11:53:30 PM GMT+2","8","9","8","8","7","10","8","9","9","9","8","8","8","8","10","10","10","6","No"
"2020/03/09 11:54:02 PM GMT+2","7","7","7","7","7","8","8","8","8","7","6","7","8","7","8","10","8","6","No"
"2020/03/09 11:54:04 PM GMT+2","7","8","8","8","8","9","8","9","9","9","7","","","","9","9","9","5","No"
"2020/03/09 11:54:04 PM GMT+2","8","9","8","8","7","10","8","8","8","8","8","8","8","8","8","9","10","6","No"
"2020/03/09 11:54:07 PM GMT+2","7","8","7","9","7","10","9","8","8","9","8","7","7","7","10","10","10","2","Yes"
"2020/03/09 11:54:42 PM GMT+2","8","8","8","9","9","10","9","10","10","9","7","8","10","9","10","10","10","1","No"
"2020/03/09 11:54:49 PM GMT+2","7","8","8","9","6","9","8","8","8","8","7","7","8","","9","9","10","6","No"
"2020/03/09 11:55:09 PM GMT+2","7","8","7","9","7","9","8","8","7","8","9","","","10","9","10","9","5","No"
"2020/03/09 11:55:22 PM GMT+2","8","8","8","8","7","10","9","8","9","8","7","9","9","10","9","10","10","6","No"
"2020/03/09 11:55:27 PM GMT+2","8","7","8","9","7","9","9","10","8","8","7","6","7","7","9","10","9","2","No"
"2020/03/09 11:55:30 PM GMT+2","6","6","7","6","6","8","7","9","8","7","7","7","8","7","8","10","10","1","No"
"2020/03/09 11:55:38 PM GMT+2","9","9","9","9","8","10","8","10","10","8","8","8","9","9","10","10","10","6","No"
"2020/03/09 11:55:50 PM GMT+2","7","8","8","8","8","9","8","9","8","8","7","7","8","8","9","9","10","6","No"
"2020/03/09 11:55:58 PM GMT+2","7","8","7","8","7","9","7","8","7","8","7","6","7","7","9","10","8","3","No"
"2020/03/09 11:56:21 PM GMT+2","7","8","9","9","8","10","8","10","9","9","9","","","","9","10","9","6","No"
"2020/03/09 11:56:24 PM GMT+2","7","8","7","8","7","9","9","8","8","8","8","7","8","7","10","9","9","4","No"
"2020/03/09 11:56:29 PM GMT+2","9","9","9","10","9","10","9","10","10","9","8","","","","10","10","10","5","No"
"2020/03/09 11:56:43 PM GMT+2","7","8","8","8","7","9","8","8","8","9","6","6","8","7","9","10","9","1","No"
"2020/03/09 11:56:46 PM GMT+2","7","8","7","8","7","10","7","8","8","9","8","6","7","7","9","10","10","5","No"
"2020/03/09 11:56:47 PM GMT+2","6","6","8","8","7","7","8","8","9","9","8","6","7","7","10","10","9","5","No"
"2020/03/09 11:58:11 PM GMT+2","8","9","8","9","8","10","8","9","10","9","8","8","8","7","9","9","10","5","No"
"2020/03/09 11:58:13 PM GMT+2","7","7","7","7","8","9","7","8","8","8","7","6","7","7","8","8","8","4","Yes"
"2020/03/09 11:58:13 PM GMT+2","8","7","8","9","6","10","8","9","8","9","8","7","8","8","10","10","10","3","Yes"
"2020/03/09 11:58:19 PM GMT+2","8","6","8","7","5","10","9","10","7","9","7","8","9","8","10","10","10","4","No"
"2020/03/09 11:58:23 PM GMT+2","8","8","8","7","7","8","7","7","9","8","7","7","8","7","8","9","9","7","No"
"2020/03/09 11:58:25 PM GMT+2","8","8","8","8","7","9","8","8","8","8","7","7","7","7","10","10","10","5","No"
"2020/03/09 11:58:26 PM GMT+2","8","8","8","9","6","10","9","9","9","8","7","","9","8","10","10","10","6","No"
"2020/03/09 11:58:37 PM GMT+2","8","9","8","8","7","10","8","9","10","8","7","7","8","9","10","9","10","8","No"
"2020/03/09 11:58:38 PM GMT+2","9","8","8","7","7","10","8","7","8","8","7","9","10","10","9","9","10","4","No"
"2020/03/09 11:59:21 PM GMT+2","7","7","7","8","7","8","8","8","8","8","7","7","8","8","10","10","9","8","No"
"2020/03/09 11:59:56 PM GMT+2","7","9","8","9","7","9","7","10","10","9","8","7","8","7","9","10","10","1","No"
"2020/03/10 12:00:38 AM GMT+2","9","10","8","9","6","10","9","9","8","8","7","7","8","8","10","10","10","5","No"
"2020/03/10 12:01:01 AM GMT+2","8","7","7","8","6","9","8","9","8","8","6","7","10","8","9","10","9","6","No"
"2020/03/10 12:01:06 AM GMT+2","8","9","8","9","8","10","8","10","9","8","7","","","","10","9","10","5","No"
"2020/03/10 12:01:28 AM GMT+2","8","8","7","8","6","9","9","8","8","8","7","7","8","7","9","10","9","5","No"
"2020/03/10 12:02:16 AM GMT+2","8","8","7","9","7","9","8","10","8","8","7","6","7","8","10","10","10","1","No"
"2020/03/10 12:02:36 AM GMT+2","6","7","8","8","7","9","8","9","8","8","8","8","8","8","8","9","9","5","No"
"2020/03/10 12:02:51 AM GMT+2","7","8","7","8","7","8","8","8","8","7","6","7","8","8","8","10","8","7","No"
"2020/03/10 12:03:08 AM GMT+2","9","9","8","9","8","10","9","10","10","9","8","","","10","9","10","10","5","No"
"2020/03/10 12:03:23 AM GMT+2","8","8","8","7","7","9","8","9","10","9","6","5","7","7","8","8","8","4","Yes"
"2020/03/10 12:03:31 AM GMT+2","7","9","9","9","7","9","8","9","8","9","8","7","9","8","10","10","10","4","Yes"
"2020/03/10 12:04:01 AM GMT+2","9","8","8","9","8","9","7","9","10","9","7","7","9","8","10","9","10","5","No"
"2020/03/10 12:04:07 AM GMT+2","9","8","9","9","8","10","9","9","9","10","8","9","10","9","10","10","10","6","No"
"2020/03/10 12:04:09 AM GMT+2","8","8","7","9","6","9","8","7","8","8","6","7","8","7","10","10","9","4","No"
"2020/03/10 12:04:14 AM GMT+2","7","9","8","7","7","10","9","9","7","9","7","8","8","8","10","10","10","6","No"
"2020/03/10 12:04:44 AM GMT+2","8","8","7","8","7","9","8","8","8","8","7","7","8","7","10","10","10","3","No"
