"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Team Performance","Final Result","Ole","Sheffield Utd","Did the ref do a good job?"
"2020/06/25 7:05:40 PM GMT+2","6","7","8","7","9","8","9","7","7","8","10","10","9","9","2","Yes"
"2020/06/25 7:06:11 PM GMT+2","6","6","5","10","10","8","8","10","10","10","9","7","6","10","6","Yes"
"2020/06/25 7:06:22 PM GMT+2","6","7","6","6","8","9","10","7","9","8","8","9","10","10","3","Yes"
"2020/06/25 7:07:05 PM GMT+2","7","7","8","8","9","10","9","8","9","8","10","9","10","10","5","Yes"
"2020/06/25 7:07:15 PM GMT+2","8","9","9","9","9","9","10","9","8","8","10","9","9","9","7","Yes"
"2020/06/25 7:08:04 PM GMT+2","7","7","8","7","8","9","9","8","9","8","10","10","9","9","3","Yes"
"2020/06/25 7:08:29 PM GMT+2","6","7","7","7","8","9","7","8","8","7","10","8","9","8","4","Yes"
"2020/06/25 7:08:36 PM GMT+2","6","8","8","7","9","8","9","8","7","6","10","9","10","10","3","Yes"
"2020/06/25 7:08:41 PM GMT+2","7","7","8","8","9","9","9","9","9","8","10","10","10","10","5","Yes"
"2020/06/25 7:08:48 PM GMT+2","7","8","8","7","8","10","8","9","8","7","10","9","8","9","3","Yes"
"2020/06/25 7:09:23 PM GMT+2","7","7","7","7","8","9","8","9","8","7","10","9","10","10","4","Yes"
"2020/06/25 7:09:38 PM GMT+2","7","8","8","8","9","10","10","8","9","8","10","9","9","9","6","Yes"
"2020/06/25 7:09:44 PM GMT+2","5","5","6","7","8","9","7","7","8","6","10","9","9","9","1","Yes"
"2020/06/25 7:10:33 PM GMT+2","7","8","8","8","8","10","9","9","10","9","10","10","10","10","2","Yes"
"2020/06/25 7:10:41 PM GMT+2","6","7","7","7","8","10","9","8","9","7","10","10","10","9","5","Yes"
"2020/06/25 7:10:48 PM GMT+2","7","7","7","7","8","9","8","8","8","7","10","9","9","9","6","Yes"
"2020/06/25 7:12:11 PM GMT+2","10","8","10","9","9","10","10","8","10","9","10","9","10","10","1","Yes"
"2020/06/25 7:12:18 PM GMT+2","7","7","8","7","8","8","8","7","8","7","9","9","9","8","4","Yes"
"2020/06/25 7:13:39 PM GMT+2","6","7","7","7","8","8","8","7","8","6","10","9","9","9","3","Yes"
"2020/06/25 7:13:49 PM GMT+2","7","8","8","8","9","9","9","9","9","8","10","10","9","10","4","Yes"
"2020/06/25 7:14:06 PM GMT+2","8","8","8","8","9","9","9","9","9","8","10","10","10","10","5","Yes"
"2020/06/25 7:14:37 PM GMT+2","5","5","6","6","8","9","8","7","7","6","10","10","10","9","3","Yes"
"2020/06/25 7:14:39 PM GMT+2","6","8","8","8","9","10","9","9","10","8","10","10","10","10","1","Yes"
"2020/06/25 7:14:40 PM GMT+2","6","5","6","6","7","8","8","5","7","6","9","8","9","7","2","Yes"
"2020/06/25 7:15:01 PM GMT+2","7","7","8","8","9","9","9","9","9","8","10","8","8","8","3","Yes"
"2020/06/25 7:15:19 PM GMT+2","6","5","7","7","8","8","8","8","8","6","10","9","8","9","2","Yes"
"2020/06/25 7:15:53 PM GMT+2","6","8","9","8","8","10","8","7","8","7","10","9","7","10","3","Yes"
"2020/06/25 7:16:37 PM GMT+2","8","8","8","8","9","9","9","7","8","8","10","9","9","9","3","Yes"
"2020/06/25 7:17:41 PM GMT+2","6","7","8","7","7","9","8","8","8","8","10","9","9","8","5",""
"2020/06/25 7:17:51 PM GMT+2","5","6","7","8","8","9","8","7","8","6","10","8","7","7","3","Yes"
"2020/06/25 7:18:20 PM GMT+2","7","8","7","9","8","9","8","7","7","7","10","8","7","10","3","Yes"
"2020/06/25 7:19:29 PM GMT+2","6","6","6","7","6","9","9","8","8","7","10","8","8","10","4","Yes"
"2020/06/25 7:19:51 PM GMT+2","7","8","8","8","8","9","9","8","8","7","10","10","10","10","6","Yes"
"2020/06/25 7:20:35 PM GMT+2","9","7","7","7","8","8","8","8","8","8","10","9","9","9","3","Yes"
"2020/06/25 7:21:19 PM GMT+2","7","8","8","8","8","9","9","8","9","7","10","9","9","9","3","Yes"
"2020/06/25 7:22:59 PM GMT+2","5","6","6","6","7","8","9","7","9","7","10","8","8","9","5","Yes"
"2020/06/25 7:23:04 PM GMT+2","7","7","8","8","8","10","9","9","9","8","10","9","9","10","3","Yes"
"2020/06/25 7:23:49 PM GMT+2","6","7","7","7","8","9","8","7","8","6","10","9","7","8","4","Yes"
"2020/06/25 7:23:51 PM GMT+2","7","6","7","7","8","9","8","8","8","7","10","9","10","9","3","Yes"
"2020/06/25 7:25:33 PM GMT+2","6","7","7","7","8","9","8","8","8","6","10","9","9","9","2","Yes"
"2020/06/25 7:25:43 PM GMT+2","6","7","7","7","8","9","9","8","9","7","10","9","10","10","4","Yes"
"2020/06/25 7:25:47 PM GMT+2","7","6","9","8","8","9","7","6","8","7","10","8","9","10","3","Yes"
"2020/06/25 7:26:01 PM GMT+2","6","8","6","7","8","9","9","8","8","5","10","10","10","10","1","Yes"
"2020/06/25 7:26:02 PM GMT+2","6","7","7","7","8","9","9","7","7","7","10","9","9","9","5","Yes"
"2020/06/25 7:26:08 PM GMT+2","6","8","9","9","9","10","9","8","8","7","10","10","10","9","7","Yes"
"2020/06/25 7:26:14 PM GMT+2","8","9","9","9","10","10","9","9","8","8","10","10","10","10","6",""
"2020/06/25 7:26:54 PM GMT+2","7","7","8","8","9","9","9","8","8","7","10","10","9","10","4","Yes"
"2020/06/25 7:27:04 PM GMT+2","6","5","7","6","8","9","8","7","7","7","10","10","10","10","6","Yes"
"2020/06/25 7:28:37 PM GMT+2","8","6","9","8","9","10","8","8","8","7","10","10","10","10","3","Yes"
"2020/06/25 7:28:53 PM GMT+2","7","6","7","7","8","8","9","8","8","8","10","9","8","8","4","Yes"
"2020/06/25 7:29:04 PM GMT+2","7","7","7","7","8","9","8","8","8","7","10","10","10","10","3","Yes"
"2020/06/25 7:31:06 PM GMT+2","6","6","8","8","9","9","9","9","9","8","10","10","10","10","4","Yes"
"2020/06/25 7:31:42 PM GMT+2","7","8","7","7","9","9","9","8","8","7","10","8","9","9","4","Yes"
"2020/06/25 7:31:51 PM GMT+2","5","6","8","7","8","8","8","2","8","6","10","9","10","9","10","Yes"
"2020/06/25 7:32:41 PM GMT+2","8","6","8","8","9","10","9","7","9","8","10","9","10","8","6","Yes"
"2020/06/25 7:32:48 PM GMT+2","7","8","8","7","8","9","8","8","8","6","10","9","10","9","5","Yes"
"2020/06/25 7:33:06 PM GMT+2","5","6","6","6","7","8","8","6","7","5","9","8","7","10","2","Yes"
"2020/06/25 7:33:46 PM GMT+2","7","8","9","9","9","9","9","8","9","8","10","10","9","9","3","Yes"
"2020/06/25 7:34:44 PM GMT+2","7","5","8","8","8","10","8","6","9","8","10","9","9","10","6","Yes"
"2020/06/25 7:35:41 PM GMT+2","6","6","7","8","7","9","9","8","9","8","10","9","9","8","4","Yes"
"2020/06/25 7:36:56 PM GMT+2","8","8","8","8","8","9","9","8","9","8","10","9","10","10","8","Yes"
"2020/06/25 7:37:15 PM GMT+2","7","7","7","7","8","8","8","9","8","7","10","10","8","8","3","Yes"
"2020/06/25 7:37:39 PM GMT+2","7","7","7","7","8","9","8","8","8","7","10","9","9","10","4","Yes"
"2020/06/25 7:37:50 PM GMT+2","6","8","8","7","8","9","9","8","7","6","10","10","7","9","5","Yes"
"2020/06/25 7:38:07 PM GMT+2","5","6","7","7","6","9","9","7","9","7","10","9","10","9","3","Yes"
"2020/06/25 7:38:33 PM GMT+2","6","7","6","6","7","8","7","6","6","6","8","10","9","8","1","Yes"
"2020/06/25 7:39:17 PM GMT+2","7","8","8","8","7","7","8","8","7","8","10","10","10","8","1","Yes"
"2020/06/25 7:40:56 PM GMT+2","7","8","8","8","8","10","8","7","8","8","10","9","9","10","3","Yes"
"2020/06/25 7:41:32 PM GMT+2","7","7","7","7","7","9","9","8","9","8","10","9","9","10","2","Yes"
"2020/06/25 7:43:05 PM GMT+2","7","7","8","7","9","9","8","6","10","7","10","8","10","8","5","Yes"
"2020/06/25 7:44:11 PM GMT+2","5","7","9","9","9","8","8","7","7","6","10","10","10","10","4","Yes"
"2020/06/25 7:44:22 PM GMT+2","7","6","6","6","7","9","8","7","8","7","10","9","10","8","5","Yes"
"2020/06/25 7:45:34 PM GMT+2","6","6","6","6","6","8","7","7","7","6","9","9","9","8","5","Yes"
"2020/06/25 7:45:56 PM GMT+2","10","6","7","7","8","9","8","6","7","7","10","8","10","10","3","Yes"
"2020/06/25 7:46:49 PM GMT+2","6","7","8","8","8","9","8","8","9","8","10","9","10","9","6","Yes"
"2020/06/25 7:47:54 PM GMT+2","6","7","6","6","8","9","8","8","8","7","10","9","9","10","4","Yes"
"2020/06/25 7:48:03 PM GMT+2","6","7","8","7","8","9","8","7","8","6","10","9","10","8","3","Yes"
"2020/06/25 7:48:09 PM GMT+2","7","7","7","7","8","9","8","8","8","7","10","8","9","9","5","Yes"
"2020/06/25 7:48:33 PM GMT+2","9","8","9","9","9","10","10","7","9","7","10","10","9","10","4","Yes"
"2020/06/25 7:48:49 PM GMT+2","7","7","7","7","8","9","8","8","7","7","10","9","9","9","4","Yes"
