"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Mason Greenwood","Andreas Pereira(optional)","Team Performance","Final Result","Ole","Tottenham","Did the ref/VAR do a good job (optional, please be unbiased)"
"2019/12/06 3:03:32 PM GMT+1","7","6","6","8","6","8","7","9","7","6","6","","10","6","9","3","Yes"
"2019/12/06 3:03:39 PM GMT+1","6","7","6","7","8","9","8","8","7","7","6","4","8","9","9","6","Yes"
"2019/12/06 3:03:46 PM GMT+1","7","7","8","9","8","9","7","10","8","8","8","6","9","8","9","3","Yes"
"2019/12/06 3:04:02 PM GMT+1","8","7","7","8","8","9","9","10","8","8","8","7","9","9","9","8","Yes"
"2019/12/06 3:04:08 PM GMT+1","7","6","7","7","7","8","7","9","6","6","6","","8","9","8","6","Yes"
"2019/12/06 3:04:38 PM GMT+1","8","6","7","9","9","9","9","10","8","8","8","3","9","9","10","7","Yes"
"2019/12/06 3:04:45 PM GMT+1","7","7","7","7","7","8","7","8","7","7","7","5","9","10","9","4","Yes"
"2019/12/06 3:04:50 PM GMT+1","7","5","7","7","7","8","8","9","6","7","7","6","8","8","8","6","Yes"
"2019/12/06 3:05:48 PM GMT+1","7","7","7","7","8","9","6","9","7","7","8","","7","8","8","5","Yes"
"2019/12/06 3:06:30 PM GMT+1","8","8","8","9","7","9","8","9","7","7","7","5","8","9","10","7","Yes"
"2019/12/06 3:06:34 PM GMT+1","8","7","7","8","8","9","7","10","7","7","6","6","10","10","9","6","Yes"
"2019/12/06 3:07:10 PM GMT+1","7","7","7","8","8","9","8","9","7","7","7","","9","9","8","6","Yes"
"2019/12/06 3:07:16 PM GMT+1","7","5","6","7","6","7","6","9","6","7","7","5","7","7","7","5","Yes"
"2019/12/06 3:07:21 PM GMT+1","4","2","7","6","9","10","8","9","7","7","7","6","8","10","9","5","Yes"
"2019/12/06 3:07:27 PM GMT+1","7","8","7","7","8","8","9","9","7","7","6","","7","10","8","6","No"
"2019/12/06 3:07:27 PM GMT+1","9","8","7","9","10","10","9","10","7","6","5","3","8","9","8","6","Yes"
"2019/12/06 3:08:11 PM GMT+1","6","6","6","8","8","9","7","10","6","6","5","","10","10","8","4",""
"2019/12/06 3:08:39 PM GMT+1","7","6","6","7","7","8","7","9","7","7","6","5","8","8","7","3","Yes"
"2019/12/06 3:09:37 PM GMT+1","8","6","7","8","7","8","8","9","6","6","7","","9","9","7","4","Yes"
"2019/12/06 3:09:57 PM GMT+1","7","6","5","4","8","9","7","9","7","6","6","6","6","9","6","6","Yes"
"2019/12/06 3:10:32 PM GMT+1","9","3","5","7","8","8","8","9","7","7","5","","9","9","9","6","Yes"
"2019/12/06 3:10:38 PM GMT+1","6","7","6","7","6","8","7","8","7","6","6","5","7","8","7","5","Yes"
"2019/12/06 3:11:00 PM GMT+1","6","5","5","6","6","7","7","9","6","6","6","","10","10","10","3","No"
"2019/12/06 3:11:09 PM GMT+1","6","8","7","7","7","8","9","10","8","6","7","","9","10","10","6","Yes"
"2019/12/06 3:11:17 PM GMT+1","8","6","7","8","7","8","9","10","7","7","7","4","8","9","7","3","Yes"
"2019/12/06 3:12:18 PM GMT+1","6","5","6","7","6","9","7","9","6","6","6","","7","8","7","3","Yes"
"2019/12/06 3:12:37 PM GMT+1","8","6","6","8","8","8","8","9","7","6","6","4","8","10","9","5","Yes"
"2019/12/06 3:12:38 PM GMT+1","7","7","7","8","8","9","8","9","7","7","5","5","9","8","9","7","Yes"
"2019/12/06 3:13:03 PM GMT+1","7","7","7","8","8","8","8","9","8","7","8","6","8","8","9","4","Yes"
"2019/12/06 3:14:29 PM GMT+1","7","7","7","8","8","8","7","8","6","6","6","5","8","9","9","5","Yes"
"2019/12/06 3:14:53 PM GMT+1","9","6","8","8","8","9","9","9","5","6","7","4","7","7","8","4","Yes"
"2019/12/06 3:15:31 PM GMT+1","8","6","6","6","7","8","8","10","7","8","6","","8","8","7","5","Yes"
"2019/12/06 3:15:36 PM GMT+1","8","6","7","7","8","8","8","10","7","8","7","","9","7","9","3","Yes"
"2019/12/06 3:15:45 PM GMT+1","8","8","8","7","7","9","9","9","7","6","5","4","8","8","8","3","Yes"
"2019/12/06 3:16:40 PM GMT+1","8","7","8","8","8","9","8","9","8","8","7","6","8","8","9","6","Yes"
"2019/12/06 3:16:58 PM GMT+1","7","7","7","7","7","9","8","9","7","7","6","5","8","7","8","4","Yes"
"2019/12/06 3:18:04 PM GMT+1","8","7","7","7","7","8","8","10","7","7","6","5","9","8","8","6","Yes"
"2019/12/06 3:18:53 PM GMT+1","7","7","6","7","7","8","8","9","7","6","6","6","8","8","8","6","Yes"
"2019/12/06 3:20:04 PM GMT+1","7","6","6","8","8","9","8","10","7","7","7","5","10","10","9","5","Yes"
"2019/12/06 3:20:06 PM GMT+1","6","6","7","7","8","8","7","9","8","6","6","","8","8","9","4","Yes"
