"Timestamp","David de Gea","Brandon Williams","Harry Maguire","Victor Lindelof","Ashley Young","Nemanja Matic","Fred","Marcus Rashford","Andreas Pereira","Daniel James","Anthony Martial","Jesse Lingard (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref/VAR do a good job? (optional)"
"2019/12/29 7:13:00 PM GMT+1","6","8","2","6","6","6","7","7","8","6","9","5","10","8","8","3","No"
"2019/12/29 7:13:08 PM GMT+1","6","7","7","7","5","6","9","7","2","6","8","1","7","9","5","5","No"
"2019/12/29 7:13:29 PM GMT+1","6","7","6","6","6","6","7","6","6","7","8","4","8","7","8","5","No"
"2019/12/29 7:14:00 PM GMT+1","8","9","8","8","8","7","9","9","5","7","8","5","7","9","6","3","No"
"2019/12/29 7:14:41 PM GMT+1","8","9","8","8","8","8","9","8","8","9","9","7","9","9","8","1","No"
"2019/12/29 7:16:21 PM GMT+1","9","9","8","9","10","9","8","7","8","8","9","","8","9","9","1","No"
"2019/12/29 7:16:21 PM GMT+1","6","8","6","6","6","6","7","7","6","8","7","6","7","9","7","3","No"
"2019/12/29 7:16:23 PM GMT+1","8","8","6","8","7","7","9","8","7","8","9","5","8","9","9","1","No"
"2019/12/29 7:16:29 PM GMT+1","10","9","9","9","9","8","9","9","9","10","10","5","9","9","10","3","No"
"2019/12/29 7:17:51 PM GMT+1","7","7","8","7","6","5","7","8","5","6","8","2","7","9","8","4","No"
"2019/12/29 7:17:53 PM GMT+1","7","8","7","8","7","7","7","7","8","8","8","5","8","10","9","1","No"
"2019/12/29 7:18:32 PM GMT+1","7","7","7","7","7","7","8","8","7","7","8","7","8","7","8","5","No"
"2019/12/29 7:19:09 PM GMT+1","6","7","6","7","6","8","7","7","7","8","7","6","7","9","8","2","No"
"2019/12/29 7:19:11 PM GMT+1","7","8","7","6","6","7","8","8","7","6","8","7","7","9","7","6","No"
"2019/12/29 7:19:51 PM GMT+1","7","8","7","7","7","7","8","7","8","8","8","5","7","8","7","4","No"
"2019/12/29 7:20:58 PM GMT+1","10","9","8","8","8","8","10","9","8","10","10","","10","10","10","1","No"
"2019/12/29 7:22:07 PM GMT+1","7","8","7","7","7","7","9","8","7","6","8","6","8","8","6","6","Yes"
"2019/12/29 7:23:29 PM GMT+1","9","9","8","8","8","8","9","8","8","8","9","5","9","10","9","5","No"
"2019/12/29 7:24:22 PM GMT+1","8","10","8","7","7","7","10","9","8","7","9","6","9","8","8","4","No"
"2019/12/29 7:24:56 PM GMT+1","6","8","7","6","5","6","7","8","8","7","8","5","7","8","8","3","No"
"2019/12/29 7:25:50 PM GMT+1","7","8","7","7","7","7","7","7","7","8","8","5","7","7","6","1","No"
"2019/12/29 7:26:01 PM GMT+1","8","8","8","9","7","8","8","7","8","7","8","6","9","10","10","5","No"
"2019/12/29 7:26:41 PM GMT+1","7","9","7","7","7","7","9","6","6","7","8","3","7","10","7","1","No"
"2019/12/29 7:26:57 PM GMT+1","10","10","10","10","6","7","10","10","10","10","10","5","10","10","10","1","No"
"2019/12/29 7:28:05 PM GMT+1","8","10","8","8","10","7","9","8","10","9","8","8","10","10","10","5","Yes"
"2019/12/29 7:29:28 PM GMT+1","7","8","7","8","7","7","7","7","7","9","8","7","7","8","7","6","No"
"2019/12/29 7:29:49 PM GMT+1","9","10","8","8","9","8","9","9","9","10","9","6","9","9","9","7","No"
"2019/12/29 7:29:59 PM GMT+1","7","9","8","9","8","7","9","7","9","7","9","6","8","8","8","6","Yes"
"2019/12/29 7:30:06 PM GMT+1","7","7","7","8","7","6","7","6","6","6","8","","7","8","8","2","No"
"2019/12/29 7:30:09 PM GMT+1","7","10","9","10","7","7","9","8","9","9","10","6","8","6","7","4","No"
"2019/12/29 7:33:22 PM GMT+1","9","9","8","8","8","7","8","8","8","8","8","8","9","9","9","6","No"
"2019/12/29 7:34:19 PM GMT+1","7","9","7","9","8","8","9","7","7","8","8","6","8","8","7","3","No"
"2019/12/29 7:35:39 PM GMT+1","8","9","7","7","8","8","8","8","8","8","8","5","8","8","8","5","No"
"2019/12/29 7:36:22 PM GMT+1","7","8","6","6","7","8","8","8","7","7","8","5","8","8","7","4","No"
"2019/12/29 7:37:51 PM GMT+1","7","8","7","7","7","7","8","7","7","7","8","6","8","7","8","6","No"
"2019/12/29 7:39:17 PM GMT+1","8","9","7","8","6","5","10","8","9","9","9","5","9","9","8","3","No"
"2019/12/29 7:41:20 PM GMT+1","7","8","7","7","6","7","9","7","6","8","8","","7","10","7","6","No"
"2019/12/29 7:41:48 PM GMT+1","7","8","8","7","7","7","7","9","7","8","8","6","8","7","8","6","Yes"
"2019/12/29 7:42:11 PM GMT+1","8","9","9","8","9","7","7","8","10","8","8","7","8","9","10","6","Yes"
"2019/12/29 7:42:38 PM GMT+1","8","8","10","8","7","7","8","7","8","7","9","2","8","10","10","5","Yes"
"2019/12/29 7:43:23 PM GMT+1","8","9","8","7","8","7","8","8","8","8","9","7","10","10","10","3","No"
"2019/12/29 7:44:02 PM GMT+1","8","10","9","7","8","8","9","10","9","10","10","7","9","8","10","6","No"
"2019/12/29 7:45:05 PM GMT+1","8","10","7","8","4","7","8","9","7","7","8","4","7","8","8","1","No"
"2019/12/29 7:45:41 PM GMT+1","8","7","7","7","7","6","7","8","8","8","9","6","7","8","10","2","No"
"2019/12/29 7:45:43 PM GMT+1","8","9","8","8","7","7","8","8","8","7","8","1","8","9","9","1","No"
"2019/12/29 7:47:18 PM GMT+1","7","9","8","8","8","7","9","8","7","8","9","5","8","7","9","5","No"
"2019/12/29 7:47:41 PM GMT+1","7","9","8","8","8","7","8","8","8","8","8","7","8","9","8","5","No"
"2019/12/29 7:48:36 PM GMT+1","8","10","8","7","8","8","9","6","8","9","9","","9","8","9","5","No"
"2019/12/29 7:49:08 PM GMT+1","8","9","7","7","6","6","7","7","7","10","8","2","8","8","8","1","No"
"2019/12/29 7:51:54 PM GMT+1","9","9","8","7","7","6","8","8","8","7","9","6","9","9","8","5","No"
"2019/12/29 7:52:02 PM GMT+1","8","8","8","9","8","9","10","9","7","7","9","8","8","7","9","1","No"
"2019/12/29 7:52:06 PM GMT+1","7","8","7","7","7","7","8","8","9","8","8","7","8","8","8","6","Yes"
"2019/12/29 7:52:18 PM GMT+1","8","8","7","7","6","7","8","6","7","7","8","5","8","8","7","4","No"
"2019/12/29 7:52:45 PM GMT+1","7","8","7","7","8","8","9","8","8","8","9","6","7","7","8","2","No"
"2019/12/29 7:52:45 PM GMT+1","8","9","8","8","7","7","8","9","8","8","9","7","8","9","8","7","No"
"2019/12/29 7:53:29 PM GMT+1","8","9","8","7","8","8","9","9","9","9","10","4","9","10","10","1","No"
"2019/12/29 7:54:15 PM GMT+1","8","9","8","7","8","7","8","8","8","7","9","6","8","9","8","1","No"
"2019/12/29 7:54:44 PM GMT+1","6","7","7","6","7","8","9","7","6","7","8","5","7","10","8","1","No"
"2019/12/29 7:55:03 PM GMT+1","6","8","6","6","7","7","9","7","7","6","8","","7","8","7","2","No"
"2019/12/29 7:55:29 PM GMT+1","7","9","8","7","7","7","8","7","8","9","8","7","10","8","9","1",""
"2019/12/29 7:57:04 PM GMT+1","7","8","8","7","7","6","8","7","7","7","8","5","8","8","8","3","No"
"2019/12/29 7:58:23 PM GMT+1","8","7","7","7","7","6","8","7","7","7","7","4","8","10","8","4","No"
"2019/12/29 7:58:35 PM GMT+1","7","9","7","7","8","7","7","8","7","8","9","7","8","7","7","1","No"
"2019/12/29 8:00:04 PM GMT+1","6","6","6","7","4","6","7","6","6","7","7","4","6","7","5","3","No"
"2019/12/29 8:01:44 PM GMT+1","9","8","7","7","7","6","9","8","10","8","8","6","8","7","8","1","No"
"2019/12/29 8:02:32 PM GMT+1","8","8","7","7","7","7","8","8","9","7","9","6","9","9","9","1","No"
"2019/12/29 8:03:06 PM GMT+1","8","9","8","9","8","8","9","9","9","9","9","7","8","9","8","5","No"
"2019/12/29 8:03:29 PM GMT+1","8","8","7","8","6","7","8","7","7","8","7","3","7","8","7","6","No"
"2019/12/29 8:03:40 PM GMT+1","8","9","6","7","7","7","8","8","10","9","10","","9","9","8","4","No"
"2019/12/29 8:03:50 PM GMT+1","7","8","7","8","9","9","9","7","8","7","8","7","9","9","8","7","Yes"
"2019/12/29 8:05:45 PM GMT+1","7","8","7","6","7","7","8","8","8","9","9","","8","9","8","2","No"
"2019/12/29 8:05:50 PM GMT+1","8","9","8","9","8","8","8","8","8","9","8","6","8","8","8","8","Yes"
"2019/12/29 8:07:33 PM GMT+1","8","8","8","8","8","8","8","8","8","8","8","7","8","8","8","7","No"
"2019/12/29 8:08:35 PM GMT+1","8","9","7","8","8","7","9","8","7","8","8","","7","9","9","6","No"
"2019/12/29 8:11:01 PM GMT+1","7","8","6","6","6","5","5","8","7","7","7","","7","8","7","4","No"
"2019/12/29 8:13:47 PM GMT+1","7","9","8","6","4","2","8","7","8","7","8","4","7","10","7","3","No"
"2019/12/29 8:13:50 PM GMT+1","7","8","7","7","7","8","8","8","8","8","8","7","8","8","8","5","No"
"2019/12/29 8:13:50 PM GMT+1","8","10","8","8","8","7","9","10","9","9","9","4","8","8","9","4","No"
"2019/12/29 8:13:54 PM GMT+1","7","8","7","8","7","7","9","8","7","7","9","5","7","10","7","4","No"
"2019/12/29 8:14:50 PM GMT+1","8","9","7","7","7","7","7","8","8","7","8","3","7","10","7","2","No"
"2019/12/29 8:16:08 PM GMT+1","8","8","9","9","9","7","8","7","7","8","9","6","9","10","10","2","No"
"2019/12/29 8:17:09 PM GMT+1","8","9","7","7","7","7","8","8","7","8","8","6","8","9","9","2","No"
"2019/12/29 8:17:19 PM GMT+1","6","8","6","7","6","6","8","7","7","7","8","","8","8","8","4","No"
"2019/12/29 8:17:22 PM GMT+1","8","9","8","8","8","7","9","8","9","8","9","","8","9","9","4","No"
"2019/12/29 8:19:25 PM GMT+1","7","7","7","8","7","6","8","7","7","7","7","5","8","9","6","6","No"
"2019/12/29 8:19:29 PM GMT+1","8","9","7","8","7","7","7","8","6","8","9","5","8","9","6","3","No"
"2019/12/29 8:21:06 PM GMT+1","8","8","8","7","7","7","7","8","7","8","7","7","8","8","8","5","No"
"2019/12/29 8:21:47 PM GMT+1","7","8","7","7","7","6","9","7","7","6","7","1","7","8","7","1","No"
"2019/12/29 8:21:52 PM GMT+1","7","9","8","7","7","7","8","8","8","9","8","6","7","6","7","4","No"
"2019/12/29 8:22:40 PM GMT+1","7","8","8","6","7","6","7","8","7","7","8","","7","8","8","7","No"
"2019/12/29 8:23:13 PM GMT+1","8","8","7","7","7","7","8","9","7","9","7","6","7","7","8","4","No"
"2019/12/29 8:23:18 PM GMT+1","8","10","9","9","10","8","9","8","8","9","9","","8","8","10","1","No"
"2019/12/29 8:24:20 PM GMT+1","8","7","7","7","7","6","7","8","8","8","8","6","7","7","8","5","Yes"
"2019/12/29 8:24:31 PM GMT+1","7","9","7","7","6","6","10","8","7","7","8","4","8","8","9","4","No"
"2019/12/29 8:25:50 PM GMT+1","7","8","7","7","7","7","9","7","7","7","8","","7","9","7","5","No"
"2019/12/29 8:26:43 PM GMT+1","8","9","8","8","7","7","8","7","9","8","10","6","9","10","8","4","No"
"2019/12/29 8:30:31 PM GMT+1","8","10","8","7","6","8","9","8","8","8","8","5","10","10","10","6","No"
"2019/12/29 8:30:54 PM GMT+1","7","8","7","7","7","7","8","8","8","8","8","","8","10","9","7","No"
"2019/12/29 8:32:15 PM GMT+1","8","9","8","8","7","6","8","8","8","8","8","","8","7","7","6","No"
"2019/12/29 8:33:24 PM GMT+1","7","9","7","9","8","6","7","7","8","8","9","4","7","8","7","5","No"
"2019/12/29 8:35:53 PM GMT+1","9","9","8","7","7","7","8","8","7","8","9","7","9","10","10","7","No"
"2019/12/29 8:36:01 PM GMT+1","9","10","9","9","9","8","9","8","8","8","9","6","8","10","9","6","Yes"
"2019/12/29 8:37:00 PM GMT+1","7","8","8","8","8","7","8","7","8","7","9","","8","7","8","6","Yes"
"2019/12/29 8:37:03 PM GMT+1","7","9","7","7","8","7","8","8","7","8","7","7","8","9","8","4","No"
"2019/12/29 8:37:36 PM GMT+1","6","8","6","6","6","6","7","7","7","8","7","3","7","7","7","2","Yes"
"2019/12/29 8:38:30 PM GMT+1","8","9","7","7","6","6","8","8","8","6","8","5","7","8","7","1","Yes"
"2019/12/29 8:38:49 PM GMT+1","7","8","7","7","7","5","7","9","8","9","9","7","7","6","7","5","No"
"2019/12/29 8:39:13 PM GMT+1","7","8","7","8","7","7","8","9","6","7","8","","7","8","7","4","No"
"2019/12/29 8:39:28 PM GMT+1","8","9","6","6","5","5","7","7","6","8","7","4","8","10","7","5","Yes"
"2019/12/29 8:40:09 PM GMT+1","7","7","6","6","5","6","8","7","7","6","7","5","7","8","6","3","Yes"
"2019/12/29 8:43:05 PM GMT+1","7","8","7","7","7","8","9","7","7","8","8","3","8","7","8","7","No"
"2019/12/29 8:43:27 PM GMT+1","8","8","8","8","7","7","8","9","7","9","9","6","8","9","9","2","No"
"2019/12/29 8:43:39 PM GMT+1","7","8","7","6","6","5","8","8","9","8","9","6","8","7","8","2","No"
"2019/12/29 8:44:24 PM GMT+1","7","8","8","7","7","7","7","6","8","7","8","5","8","10","9","5","No"
"2019/12/29 8:44:34 PM GMT+1","8","8","9","8","9","9","10","8","9","9","10","5","8","9","9","1","No"
"2019/12/29 8:45:19 PM GMT+1","7","8","7","7","7","6","9","7","7","8","8","4","7","9","8","7","No"
"2019/12/29 8:46:07 PM GMT+1","8","9","7","8","7","7","8","9","8","9","8","6","8","8","8","5","No"
"2019/12/29 8:46:29 PM GMT+1","7","9","8","8","7","6","8","8","8","7","9","7","9","9","9","2","No"
"2019/12/29 8:48:13 PM GMT+1","8","9","8","7","7","7","8","7","7","7","7","6","8","8","8","4","Yes"
"2019/12/29 8:49:20 PM GMT+1","8","9","7","7","4","7","7","8","8","6","8","5","7","8","7","3","No"
"2019/12/29 8:49:32 PM GMT+1","9","8","8","7","6","7","8","7","8","7","8","5","7","8","8","6","No"
"2019/12/29 8:49:56 PM GMT+1","8","9","8","8","8","8","9","8","8","8","8","5","8","10","8","4","No"
"2019/12/29 8:51:19 PM GMT+1","8","9","7","7","6","7","9","7","6","7","8","2","9","10","8","5","No"
"2019/12/29 8:52:30 PM GMT+1","8","9","8","8","8","8","9","9","8","9","9","6","9","9","8","6","No"
"2019/12/29 8:53:28 PM GMT+1","8","8","7","7","7","7","9","8","7","7","7","","7","8","9","3","No"
"2019/12/29 8:53:35 PM GMT+1","8","8","8","8","8","5","8","8","6","8","8","3","7","7","6","6","No"
"2019/12/29 8:53:51 PM GMT+1","7","8","7","7","8","7","7","8","7","8","7","6","7","8","8","2","No"
"2019/12/29 8:54:08 PM GMT+1","8","7","6","6","6","6","9","7","7","6","8","6","7","9","8","6","Yes"
"2019/12/29 8:54:47 PM GMT+1","8","10","9","8","7","7","8","10","9","10","9","5","9","10","10","1","No"
"2019/12/29 8:55:10 PM GMT+1","8","8","8","7","7","7","9","7","7","7","8","6","8","9","9","2","No"
"2019/12/29 8:55:14 PM GMT+1","8","8","8","7","7","7","8","7","7","7","8","4","9","10","9","3","No"
"2019/12/29 8:55:36 PM GMT+1","7","9","7","7","7","7","8","7","7","7","8","4","8","9","8","6","No"
"2019/12/29 8:56:28 PM GMT+1","8","8","7","8","7","8","9","9","8","7","8","4","8","10","9","1","No"
"2019/12/29 8:57:11 PM GMT+1","7","9","7","7","7","7","8","8","8","8","8","","8","9","8","3","No"
"2019/12/29 8:58:02 PM GMT+1","7","9","7","8","8","7","8","8","7","8","8","6","8","7","9","3","No"
"2019/12/29 9:04:40 PM GMT+1","7","9","7","7","8","7","8","7","8","9","8","6","8","9","9","5","No"
"2019/12/29 9:07:14 PM GMT+1","7","10","7","7","7","8","10","8","8","8","8","6","7","10","8","5","No"
"2019/12/29 9:10:12 PM GMT+1","8","7","7","7","6","7","8","8","7","7","9","7","7","8","8","8","No"
"2019/12/29 9:10:27 PM GMT+1","7","9","8","8","8","7","8","9","9","9","9","7","8","10","9","7","No"
"2019/12/29 9:11:09 PM GMT+1","8","8","8","9","8","9","9","8","9","8","9","5","9","9","9","3","No"
"2019/12/29 9:12:33 PM GMT+1","8","8","8","8","7","6","9","8","8","8","9","4","9","8","10","1","No"
"2019/12/29 9:14:06 PM GMT+1","7","9","7","7","7","6","8","7","7","8","9","5","8","10","7","1","No"
"2019/12/29 9:15:47 PM GMT+1","7","7","7","6","6","7","8","7","7","9","8","","8","10","8","3","No"
"2019/12/29 9:16:57 PM GMT+1","8","7","8","8","6","6","7","8","7","8","9","5","8","7","7","3","No"
"2019/12/29 9:17:58 PM GMT+1","7","6","7","6","6","6","6","6","7","6","7","5","6","8","5","6","No"
"2019/12/29 9:18:16 PM GMT+1","6","7","6","6","6","6","7","6","6","6","7","1","6","8","7","3","Yes"
"2019/12/29 9:18:28 PM GMT+1","7","9","8","7","7","6","7","8","8","7","8","6","8","9","8","6","No"
"2019/12/29 9:19:15 PM GMT+1","6","8","7","6","6","6","7","6","7","7","7","","7","8","7","3",""
"2019/12/29 9:19:21 PM GMT+1","8","8","8","8","8","7","7","9","8","7","8","","8","10","7","2","No"
"2019/12/29 9:19:31 PM GMT+1","7","8","7","7","7","8","7","10","7","8","10","9","7","6","7","1","No"
"2019/12/29 9:20:36 PM GMT+1","8","8","8","7","7","6","8","8","7","7","9","","8","9","7","5","No"
"2019/12/29 9:21:54 PM GMT+1","8","9","8","7","8","7","9","8","8","9","8","6","8","10","9","5","No"
"2019/12/29 9:22:56 PM GMT+1","7","7","7","7","8","6","7","8","7","7","9","1","8","8","6","5","Yes"
"2019/12/29 9:26:50 PM GMT+1","7","7","7","7","7","7","7","8","8","8","8","6","8","8","8","1","No"
"2019/12/29 9:26:57 PM GMT+1","6","8","6","5","7","6","8","6","7","7","7","6","7","8","6","5","No"
"2019/12/29 9:28:18 PM GMT+1","9","9","7","8","7","7","8","9","8","9","9","6","8","10","9","4","No"
"2019/12/29 9:29:06 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","8","10","2","No"
"2019/12/29 9:29:46 PM GMT+1","6","7","7","8","6","6","7","7","7","7","7","","8","10","8","7","No"
"2019/12/29 9:30:33 PM GMT+1","9","8","9","9","8","7","9","8","9","9","9","6","9","10","9","5","No"
"2019/12/29 9:36:03 PM GMT+1","7","8","7","6","6","7","7","7","7","7","8","6","8","10","9","3","No"
"2019/12/29 9:38:11 PM GMT+1","8","7","8","7","6","6","7","7","8","8","8","5","7","9","9","2","No"
"2019/12/29 9:40:07 PM GMT+1","8","8","8","7","7","7","7","8","7","8","8","6","9","9","8","5","No"
"2019/12/29 9:44:03 PM GMT+1","7","9","7","7","8","7","9","7","8","7","9","6","8","9","8","5","No"
"2019/12/29 9:44:07 PM GMT+1","8","8","8","7","7","7","7","7","8","8","8","1","7","10","8","6","No"
"2019/12/29 9:44:51 PM GMT+1","7","8","6","7","7","6","8","7","7","7","8","6","7","8","7","3","No"
"2019/12/29 9:49:05 PM GMT+1","7","7","6","4","8","6","8","2","7","6","8","5","6","10","9","5","No"
"2019/12/29 9:49:21 PM GMT+1","9","8","8","8","7","5","7","7","8","9","9","5","8","10","7","3","No"
"2019/12/29 9:52:21 PM GMT+1","9","7","7","6","5","7","8","8","8","9","10","5","8","7","7","3","No"
"2019/12/29 9:53:35 PM GMT+1","5","8","7","9","7","8","8","7","8","7","8","5","7","9","7","4","Yes"
"2019/12/29 9:56:23 PM GMT+1","7","8","7","7","6","7","8","7","8","7","9","7","9","9","8","4","No"
"2019/12/29 9:58:27 PM GMT+1","8","8","8","8","7","7","9","8","7","9","9","6","7","9","8","4","No"
"2019/12/29 9:59:07 PM GMT+1","7","9","7","7","8","8","9","7","7","8","9","5","8","8","8","3","No"
"2019/12/29 10:00:24 PM GMT+1","8","8","8","8","7","9","10","7","8","8","10","1","10","10","10","1","No"
"2019/12/29 10:04:44 PM GMT+1","7","9","8","7","7","7","8","8","7","7","7","6","7","7","8","6","No"
"2019/12/29 10:05:43 PM GMT+1","9","10","8","8","9","8","9","9","9","9","9","8","10","10","8","1","No"
"2019/12/29 10:06:20 PM GMT+1","8","8","6","6","7","7","7","8","7","7","6","4","7","7","6","3","No"
"2019/12/29 10:06:41 PM GMT+1","7","8","7","7","8","7","8","6","7","9","8","5","7","8","8","2","No"
"2019/12/29 10:07:47 PM GMT+1","8","9","8","8","8","8","8","9","8","8","8","","9","9","8","3","No"
"2019/12/29 10:08:21 PM GMT+1","7","8","8","7","8","7","7","8","6","6","8","5","7","7","8","6","No"
"2019/12/29 10:08:58 PM GMT+1","7","9","8","6","6","7","7","7","7","8","9","","8","9","6","1","No"
"2019/12/29 10:09:37 PM GMT+1","7","8","6","6","7","7","8","8","7","6","7","6","7","8","5","5","No"
"2019/12/29 10:11:07 PM GMT+1","8","7","5","7","4","8","9","5","7","8","9","3","7","7","5","2","No"
"2019/12/29 10:11:17 PM GMT+1","8","9","8","8","7","7","9","8","8","9","8","7","8","8","8","4","No"
"2019/12/29 10:12:09 PM GMT+1","8","9","7","7","5","7","8","9","7","7","8","6","8","8","8","1","No"
"2019/12/29 10:12:58 PM GMT+1","7","8","6","6","6","7","7","7","7","8","8","","8","9","8","6","No"
"2019/12/29 10:13:04 PM GMT+1","7","8","7","7","6","7","8","7","6","7","7","3","7","7","6","1","No"
"2019/12/29 10:14:06 PM GMT+1","7","8","7","6","7","7","8","7","7","7","8","3","8","8","8","4","No"
"2019/12/29 10:15:49 PM GMT+1","7","8","7","7","7","7","9","8","8","7","8","5","10","10","10","4","No"
"2019/12/29 10:19:07 PM GMT+1","6","9","7","6","6","7","6","8","7","8","7","6","7","7","8","7","Yes"
"2019/12/29 10:22:15 PM GMT+1","8","8","8","8","8","8","8","6","6","7","8","","8","8","8","4","No"
"2019/12/29 10:23:17 PM GMT+1","7","9","8","8","8","7","9","8","8","7","8","6","5","7","8","2","No"
"2019/12/29 10:24:04 PM GMT+1","7","8","7","7","7","7","7","7","7","7","8","","9","9","8","4","No"
"2019/12/29 10:26:19 PM GMT+1","7","9","7","7","7","6","7","8","7","8","8","","9","10","9","2","No"
"2019/12/29 10:27:50 PM GMT+1","7","9","8","7","6","6","8","8","9","8","9","6","8","9","9","5","No"
"2019/12/29 10:28:10 PM GMT+1","8","8","8","8","6","6","8","8","7","8","9","5","7","8","8","6","No"
"2019/12/29 10:31:49 PM GMT+1","7","8","7","7","7","7","8","7","8","6","7","5","7","8","8","6","Yes"
"2019/12/29 10:33:35 PM GMT+1","8","9","8","8","7","6","7","7","7","8","8","6","8","9","8","4","Yes"
"2019/12/29 10:35:38 PM GMT+1","7","9","7","7","7","6","8","8","8","8","8","6","8","8","8","7","Yes"
"2019/12/29 10:36:31 PM GMT+1","7","8","7","7","7","7","7","7","8","8","8","6","7","9","8","4","No"
"2019/12/29 10:37:36 PM GMT+1","7","8","8","8","7","7","9","7","8","9","8","6","8","8","9","7","No"
"2019/12/29 10:38:07 PM GMT+1","9","8","7","7","6","7","8","9","9","8","10","4","9","10","10","1","No"
"2019/12/29 10:38:24 PM GMT+1","8","9","7","7","8","7","9","8","6","7","8","7","8","8","9","9","Yes"
"2019/12/29 10:38:40 PM GMT+1","8","8","7","7","7","6","8","7","7","8","8","","7","8","7","4",""
"2019/12/29 10:39:20 PM GMT+1","7","8","9","8","7","8","8","8","8","8","8","6","9","10","10","6","No"
"2019/12/29 10:41:16 PM GMT+1","8","9","8","8","8","7","8","7","7","7","8","","8","10","9","3","No"
"2019/12/29 10:42:04 PM GMT+1","7","8","8","8","5","6","8","7","8","7","8","5","9","8","10","6","No"
"2019/12/29 10:42:32 PM GMT+1","7","9","8","7","7","7","8","7","7","8","9","","9","10","8","2","No"
"2019/12/29 10:43:33 PM GMT+1","7","8","7","7","7","6","7","7","7","8","8","6","7","7","8","3","No"
"2019/12/29 10:44:59 PM GMT+1","5","8","7","7","6","6","6","7","6","8","7","5","7","8","7","5","No"
"2019/12/29 10:45:06 PM GMT+1","7","9","7","7","6","7","7","7","7","7","8","6","7","7","8","5","No"
"2019/12/29 10:45:55 PM GMT+1","8","8","8","8","9","7","8","7","8","9","8","7","8","9","8","6","Yes"
"2019/12/29 10:47:24 PM GMT+1","6","9","6","7","9","5","9","10","8","9","7","6","8","9","7","5","No"
"2019/12/29 10:47:38 PM GMT+1","8","8","7","8","8","7","8","7","8","8","7","5","8","6","9","6","No"
"2019/12/29 10:50:43 PM GMT+1","6","7","6","8","7","7","8","8","7","8","7","5","8","8","8","5","No"
"2019/12/29 10:52:10 PM GMT+1","7","9","8","7","7","7","9","7","8","8","7","7","7","9","7","2","No"
"2019/12/29 10:52:37 PM GMT+1","7","8","7","7","8","7","7","8","8","8","9","6","8","10","10","6","No"
"2019/12/29 10:53:58 PM GMT+1","9","9","8","10","8","9","8","7","9","10","10","5","9","9","7","3","No"
"2019/12/29 10:54:03 PM GMT+1","7","9","8","7","7","6","9","9","7","7","8","4","7","10","7","3","No"
"2019/12/29 10:55:48 PM GMT+1","9","10","9","9","9","7","8","8","8","9","8","5","8","7","8","2","No"
"2019/12/29 10:59:10 PM GMT+1","7","9","7","6","6","6","8","7","7","7","8","1","8","10","7","1","No"
"2019/12/29 11:00:15 PM GMT+1","7","8","7","8","8","7","9","7","7","8","9","6","8","10","8","6","No"
"2019/12/29 11:06:42 PM GMT+1","6","7","7","6","5","4","5","7","7","8","6","","7","8","6","3","Yes"
"2019/12/29 11:07:25 PM GMT+1","8","10","9","8","8","6","10","8","8","8","10","7","9","9","10","3","No"
"2019/12/29 11:07:28 PM GMT+1","6","8","7","8","7","7","7","8","6","7","8","5","8","9","9","8","Yes"
"2019/12/29 11:11:12 PM GMT+1","8","10","8","7","8","8","9","8","8","8","9","6","9","9","9","7","No"
"2019/12/29 11:18:56 PM GMT+1","7","8","7","7","7","7","8","6","7","7","8","5","8","9","8","6","No"
"2019/12/29 11:19:14 PM GMT+1","8","9","8","8","8","8","8","8","8","8","8","6","9","10","9","1","No"
"2019/12/29 11:19:43 PM GMT+1","7","8","7","7","7","6","8","8","7","8","8","","7","8","7","6","No"
"2019/12/29 11:23:05 PM GMT+1","7","9","8","8","7","7","8","8","8","9","9","7","9","10","9","7","No"
"2019/12/29 11:23:27 PM GMT+1","9","9","8","8","9","9","10","8","6","8","8","3","8","8","7","7","No"
"2019/12/29 11:26:28 PM GMT+1","8","10","8","9","9","7","8","9","8","9","9","6","9","9","10","4","No"
"2019/12/29 11:26:35 PM GMT+1","7","9","6","6","7","6","9","7","7","8","8","4","7","8","7","2","No"
"2019/12/29 11:27:13 PM GMT+1","8","9","10","7","7","8","10","8","8","8","9","4","8","10","9","1","No"
"2019/12/29 11:27:22 PM GMT+1","7","8","7","8","7","7","8","7","7","7","7","","8","8","7","1","No"
"2019/12/29 11:28:35 PM GMT+1","7","8","7","6","6","6","7","7","7","7","9","","6","6","7","5","No"
"2019/12/29 11:30:55 PM GMT+1","8","8","8","7","7","6","8","8","6","8","7","4","7","7","5","2","No"
"2019/12/29 11:31:20 PM GMT+1","7","9","7","8","8","7","8","7","7","9","8","","8","8","9","3","No"
"2019/12/29 11:31:54 PM GMT+1","7","8","7","8","7","7","9","8","7","8","8","6","8","8","9","6","Yes"
"2019/12/29 11:34:27 PM GMT+1","9","9","8","8","9","8","8","7","7","7","8","5","8","9","8","7","No"
"2019/12/29 11:34:51 PM GMT+1","7","10","9","10","8","9","10","8","8","8","7","7","7","10","7","9","No"
"2019/12/29 11:36:52 PM GMT+1","7","8","7","7","7","7","8","7","7","8","8","5","7","8","8","6","No"
"2019/12/29 11:37:33 PM GMT+1","8","8","7","7","7","7","8","8","8","9","8","","8","8","8","6","No"
