"Timestamp","David de Gea","Brandon Williams","Harry Maguire","Victor Lindelof","Ashley Young","Nemanja Matic","Fred","Marcus Rashford","Andreas Pereira","Daniel James","Anthony Martial","Jesse Lingard (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref/VAR do a good job? (optional)"
"2019/12/29 5:54:20 PM GMT+1","7","8","7","7","7","7","8","8","8","8","7","","8","8","9","1","No"
"2019/12/29 5:54:41 PM GMT+1","6","7","7","7","7","6","6","8","6","9","8","5","8","9","7","6","Yes"
"2019/12/29 5:54:58 PM GMT+1","7","8","7","8","7","7","9","8","7","8","8","6","8","8","8","2","No"
"2019/12/29 5:55:03 PM GMT+1","7","8","7","8","8","7","8","7","7","9","8","6","8","8","7","1","No"
"2019/12/29 5:55:36 PM GMT+1","7","8","7","8","7","6","8","7","8","7","8","6","8","9","9","1",""
"2019/12/29 5:56:04 PM GMT+1","8","9","8","7","8","7","8","7","6","8","9","5","8","7","8","4","No"
"2019/12/29 5:56:20 PM GMT+1","8","9","8","8","7","8","9","8","8","9","9","4","8","8","6","1","No"
"2019/12/29 5:56:29 PM GMT+1","8","9","7","8","6","6","8","7","7","8","8","","7","8","9","3","Yes"
"2019/12/29 5:56:33 PM GMT+1","7","9","7","8","8","7","9","7","8","7","8","6","9","8","9","4","No"
"2019/12/29 5:56:34 PM GMT+1","7","8","7","7","8","7","7","8","7","8","8","5","8","10","8","4","No"
"2019/12/29 5:57:47 PM GMT+1","8","6","8","8","8","8","8","7","6","8","9","6","8","9","9","4","No"
"2019/12/29 5:58:00 PM GMT+1","8","7","7","7","7","6","8","9","8","8","9","6","7","7","7","5","No"
"2019/12/29 5:58:10 PM GMT+1","7","7","8","8","7","7","9","7","8","6","8","7","8","8","7","5","No"
"2019/12/29 5:58:11 PM GMT+1","6","8","7","7","7","7","8","7","7","8","8","4","7","8","8","5","No"
"2019/12/29 5:58:28 PM GMT+1","7","9","7","7","7","7","8","8","7","6","8","6","8","8","9","6","No"
"2019/12/29 5:58:29 PM GMT+1","7","7","8","7","8","7","8","7","7","8","7","7","8","10","10","4","No"
"2019/12/29 5:58:58 PM GMT+1","7","9","7","7","7","6","8","8","7","7","8","","8","7","8","3","No"
"2019/12/29 5:59:03 PM GMT+1","6","8","7","6","6","6","7","7","6","7","7","3","7","7","7","5","No"
"2019/12/29 5:59:28 PM GMT+1","9","10","9","10","9","9","10","8","9","8","9","6","9","9","8","6","Yes"
