"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Paul Pogba (optional)","Juan Mata (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job (optional) (be unbiased)"
"2019/12/24 10:08:37 PM GMT+1","4","4","4","4","5","5","5","5","4","5","4","3","6","4","3","1","1","5","Yes"
"2019/12/24 10:09:54 PM GMT+1","2","4","3","3","3","3","2","4","2","3","4","4","8","5","2","1","3","5","Yes"
"2019/12/24 10:09:55 PM GMT+1","3","3","3","3","5","4","3","3","1","3","5","5","8","3","2","1","5","5","Yes"
"2019/12/24 10:11:02 PM GMT+1","4","6","5","5","7","6","5","5","4","5","5","5","8","5","4","1","5","5","Yes"
"2019/12/24 10:11:50 PM GMT+1","3","4","6","5","4","4","4","6","2","3","7","5","8","3","2","1","4","2","Yes"
"2019/12/24 10:16:27 PM GMT+1","3","6","5","6","6","6","4","4","3","5","7","5","7","5","4","1","2","5","Yes"
"2019/12/24 10:16:53 PM GMT+1","2","4","8","10","2","10","2","6","7","6","9","5","10","1","3","1","7","8","No"
"2019/12/24 10:17:23 PM GMT+1","3","4","5","5","5","6","5","5","4","4","5","5","6","","4","4","3","7","Yes"
"2019/12/24 10:17:28 PM GMT+1","3","3","3","4","5","5","5","5","1","6","7","5","7","4","4","1","1","5","Yes"
"2019/12/24 10:18:58 PM GMT+1","1","5","5","5","5","5","5","5","5","5","5","","7","","5","1","5","3","No"
"2019/12/24 10:19:02 PM GMT+1","4","6","6","5","7","7","7","8","1","6","7","7","8","8","2","1","4","1","Yes"
"2019/12/24 10:20:51 PM GMT+1","2","6","6","7","4","6","5","6","3","5","6","6","9","6","3","1","4","7","No"
"2019/12/24 10:21:52 PM GMT+1","3","5","5","5","4","6","6","6","5","6","7","6","7","5","4","2","3","4","Yes"
"2019/12/24 10:22:21 PM GMT+1","1","4","3","3","3","6","4","3","3","2","7","4","8","6","2","1","1","8","Yes"
"2019/12/24 10:23:01 PM GMT+1","2","3","4","6","4","5","3","2","2","2","3","","6","","3","1","3","6","Yes"
"2019/12/24 10:24:11 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","4","6","1","1","1","1","5","No"
"2019/12/24 10:25:05 PM GMT+1","1","5","5","5","4","5","4","4","2","2","6","5","9","6","1","1","1","4","Yes"
"2019/12/24 10:25:56 PM GMT+1","2","6","5","6","4","5","4","4","3","5","7","7","9","6","2","1","2","8","Yes"
"2019/12/24 10:26:47 PM GMT+1","2","3","2","4","2","4","4","3","2","4","4","4","7","5","1","1","2","5","Yes"
"2019/12/24 10:26:47 PM GMT+1","4","5","4","4","4","6","5","6","4","4","7","6","9","6","3","1","2","7","Yes"
