"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Paul Pogba (optional)","Juan Mata (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job (optional) (be unbiased)"
"2019/12/25 2:18:53 AM GMT+1","4","4","4","4","5","5","5","5","3","4","4","8","8","6","3","1","4","8","Yes"
"2019/12/25 2:18:55 AM GMT+1","2","4","5","6","6","4","5","6","3","4","5","6","7","6","3","1","3","7","Yes"
"2019/12/25 2:19:47 AM GMT+1","2","3","4","4","3","4","4","4","3","3","6","","6","","2","1","2","3","Yes"
"2019/12/25 2:20:55 AM GMT+1","3","5","4","6","4","6","4","3","3","2","6","4","7","5","4","1","5","6","Yes"
"2019/12/25 2:26:27 AM GMT+1","2","4","4","3","4","5","3","4","2","4","3","","7","","2","1","3","4","Yes"
"2019/12/25 2:26:39 AM GMT+1","1","1","1","1","10","1","1","1","1","1","1","","10","","1","1","1","6","No"
"2019/12/25 2:28:00 AM GMT+1","3","3","3","3","2","2","1","1","1","1","1","3","8","3","1","1","1","5","Yes"
"2019/12/25 2:28:59 AM GMT+1","3","3","4","4","4","6","6","4","2","4","6","","","","4","2","4","7","Yes"
"2019/12/25 2:37:22 AM GMT+1","3","4","3","3","3","4","4","4","2","5","7","7","8","5","1","1","3","6","Yes"
"2019/12/25 2:39:40 AM GMT+1","3","4","5","5","2","4","4","4","3","2","3","","8","","1","1","1","7","Yes"
"2019/12/25 2:51:02 AM GMT+1","2","5","5","4","2","5","3","5","3","3","6","5","7","5","3","1","1","8","No"
"2019/12/25 2:51:33 AM GMT+1","3","4","5","5","5","5","4","5","2","4","5","4","6","4","4","2","3","6","Yes"
"2019/12/25 2:52:40 AM GMT+1","4","6","6","5","3","5","3","4","2","3","6","6","8","","4","2","8","7","Yes"
"2019/12/25 2:56:00 AM GMT+1","1","3","2","2","4","5","5","5","1","3","1","","10","","1","1","4","5","Yes"
"2019/12/25 2:57:01 AM GMT+1","2","5","4","5","5","6","4","4","3","4","7","6","8","5","5","4","4","7","Yes"
"2019/12/25 2:59:18 AM GMT+1","4","5","6","6","5","6","5","7","5","6","7","6","8","6","4","2","2","7","Yes"
"2019/12/25 3:04:45 AM GMT+1","4","5","5","5","5","6","5","3","2","4","9","","9","","1","1","3","7",""
"2019/12/25 3:08:26 AM GMT+1","1","1","2","2","2","3","3","3","1","2","2","2","4","1","1","1","1","10","Yes"
"2019/12/25 3:16:45 AM GMT+1","1","4","6","6","5","6","4","5","4","4","7","4","8","6","3","3","8","4","Yes"
"2019/12/25 3:23:24 AM GMT+1","2","2","3","3","4","6","2","2","1","4","4","3","8","4","1","1","2","5",""
"2019/12/25 3:27:42 AM GMT+1","2","4","5","5","4","7","5","4","3","4","5","5","7","3","3","1","2","8","Yes"
"2019/12/25 3:33:24 AM GMT+1","2","3","3","3","2","4","2","3","1","4","3","3","8","2","1","1","1","6",""
"2019/12/25 3:36:16 AM GMT+1","1","6","7","7","4","8","7","7","2","7","6","7","9","","6","1","8","4","Yes"
"2019/12/25 3:36:56 AM GMT+1","4","4","4","4","3","4","2","4","1","2","1","4","7","4","2","1","2","6","Yes"
"2019/12/25 3:40:53 AM GMT+1","4","4","4","3","5","4","5","4","3","4","4","5","6","4","4","4","5","7","Yes"
"2019/12/25 3:42:28 AM GMT+1","1","4","4","4","5","5","4","5","3","4","5","4","6","3","2","1","2","8","Yes"
"2019/12/25 3:49:26 AM GMT+1","2","5","4","4","4","6","4","5","3","4","5","5","8","","4","4","4","5","Yes"
"2019/12/25 3:52:34 AM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","10","1","1","1","1","10","Yes"
"2019/12/25 3:54:24 AM GMT+1","2","4","4","4","3","5","4","3","1","3","5","5","7","3","2","2","1","8","Yes"
"2019/12/25 4:00:36 AM GMT+1","2","2","2","3","5","5","4","1","1","4","6","","10","","2","1","1","10","Yes"
"2019/12/25 4:05:56 AM GMT+1","3","4","6","5","4","5","5","5","1","5","4","4","7","4","3","2","1","6","Yes"
"2019/12/25 4:07:32 AM GMT+1","3","4","5","5","4","4","4","5","4","5","6","5","6","5","2","1","4","5","Yes"
"2019/12/25 4:16:03 AM GMT+1","4","5","4","3","7","5","6","5","1","6","8","","9","","4","3","2","4",""
"2019/12/25 4:36:13 AM GMT+1","1","4","5","4","3","5","5","4","1","4","6","3","8","1","3","1","5","7","Yes"
"2019/12/25 4:38:13 AM GMT+1","3","7","7","6","6","8","4","4","3","3","6","5","8","5","3","3","5","6","Yes"
"2019/12/25 4:47:00 AM GMT+1","2","3","4","4","5","6","4","4","1","4","5","5","8","5","4","1","1","10","Yes"
"2019/12/25 4:47:02 AM GMT+1","2","6","6","6","6","5","7","6","4","5","6","6","8","","4","2","2","6","Yes"
"2019/12/25 4:49:32 AM GMT+1","4","5","4","4","3","5","4","4","4","4","6","6","7","6","4","3","2","4","Yes"
"2019/12/25 4:56:02 AM GMT+1","2","3","3","2","2","4","4","5","2","3","3","4","7","3","1","1","3","5","Yes"
"2019/12/25 4:57:59 AM GMT+1","3","5","7","7","6","6","4","5","5","4","7","6","9","7","3","1","1","6","No"
"2019/12/25 5:01:49 AM GMT+1","3","6","5","6","5","7","5","4","2","4","6","","7","","4","1","3","5","Yes"
"2019/12/25 5:05:31 AM GMT+1","4","5","3","5","5","6","6","6","2","6","5","5","7","4","3","1","6","5","No"
"2019/12/25 5:06:10 AM GMT+1","5","7","7","7","5","6","5","6","4","7","7","6","7","6","4","4","3","8","Yes"
"2019/12/25 5:11:36 AM GMT+1","3","4","4","4","4","5","4","5","3","3","4","4","7","4","2","1","2","6","Yes"
"2019/12/25 5:14:57 AM GMT+1","3","3","4","4","5","4","5","4","2","3","4","5","7","4","1","1","2","3",""
"2019/12/25 5:21:21 AM GMT+1","3","5","4","4","3","4","3","4","3","3","5","5","7","4","3","4","5","7","Yes"
"2019/12/25 5:21:57 AM GMT+1","2","3","5","4","4","6","4","4","2","4","4","6","7","4","2","1","4","8","Yes"
"2019/12/25 5:23:55 AM GMT+1","3","4","3","5","4","6","4","4","1","3","5","5","7","6","2","2","3","6","Yes"
"2019/12/25 5:25:06 AM GMT+1","1","2","2","2","2","3","3","2","1","2","2","2","1","1","1","1","1","9","Yes"
"2019/12/25 5:26:34 AM GMT+1","2","4","4","5","5","6","5","5","2","6","6","6","7","3","2","1","6","8","Yes"
"2019/12/25 5:30:50 AM GMT+1","4","5","4","4","5","7","6","6","2","5","6","6","7","6","2","2","1","6","Yes"
"2019/12/25 5:34:24 AM GMT+1","3","6","6","6","4","5","4","5","4","5","6","5","8","6","4","2","1","7","Yes"
"2019/12/25 5:46:58 AM GMT+1","3","4","5","5","3","5","3","5","1","2","6","4","6","4","4","1","6","6",""
"2019/12/25 5:47:02 AM GMT+1","2","4","4","4","4","6","5","6","4","4","6","6","8","","3","3","3","5","No"
"2019/12/25 5:49:51 AM GMT+1","3","5","5","4","4","5","6","5","3","3","4","6","7","5","2","1","1","8","Yes"
"2019/12/25 6:03:01 AM GMT+1","4","4","5","5","5","8","5","5","4","5","7","6","7","","5","4","5","5","Yes"
"2019/12/25 6:12:44 AM GMT+1","2","5","5","5","4","7","4","5","2","3","6","5","9","5","2","1","2","9","Yes"
"2019/12/25 6:13:34 AM GMT+1","1","5","1","1","1","1","10","1","10","1","1","1","1","10","1","10","10","1","Yes"
"2019/12/25 6:18:05 AM GMT+1","4","5","5","6","4","5","5","5","4","6","7","5","8","6","5","1","6","7","Yes"
"2019/12/25 6:21:38 AM GMT+1","2","5","3","5","3","4","4","6","3","3","5","5","7","","3","1","4","4","Yes"
"2019/12/25 6:27:15 AM GMT+1","3","5","4","6","4","7","5","4","2","5","7","","8","5","4","2","6","7","Yes"
"2019/12/25 6:29:32 AM GMT+1","3","5","5","5","6","7","5","4","5","5","6","6","7","6","3","1","4","7","Yes"
"2019/12/25 6:35:50 AM GMT+1","3","6","5","6","4","5","4","7","7","2","5","5","7","7","4","2","7","6","Yes"
"2019/12/25 6:39:04 AM GMT+1","2","5","6","6","7","5","3","6","2","5","6","5","7","4","1","2","6","5","No"
"2019/12/25 6:40:32 AM GMT+1","3","3","7","6","6","7","3","6","2","1","7","5","8","5","2","1","8","10","Yes"
"2019/12/25 6:44:15 AM GMT+1","3","3","4","4","4","5","6","6","5","5","5","7","7","6","5","3","4","8","Yes"
"2019/12/25 7:01:23 AM GMT+1","3","4","3","4","3","7","4","4","1","6","4","5","8","7","5","3","4","5","Yes"
"2019/12/25 7:02:41 AM GMT+1","4","6","6","6","4","7","5","6","5","5","6","4","6","6","5","3","4","5","Yes"
"2019/12/25 7:10:26 AM GMT+1","4","7","7","7","6","6","7","6","6","7","7","","9","","6","1","5","8",""
"2019/12/25 7:14:29 AM GMT+1","2","5","5","5","4","5","5","4","3","3","5","4","8","","2","1","1","5","Yes"
"2019/12/25 7:17:19 AM GMT+1","4","7","4","4","5","3","3","6","1","5","6","","","","3","1","7","5","Yes"
"2019/12/25 7:20:31 AM GMT+1","4","5","5","5","6","5","4","5","5","5","5","5","8","6","5","2","6","7","Yes"
"2019/12/25 7:22:10 AM GMT+1","2","4","4","4","3","4","4","4","3","3","7","4","8","4","1","1","4","8","Yes"
"2019/12/25 7:31:27 AM GMT+1","1","6","6","4","4","6","2","3","1","3","7","5","8","5","1","1","1","8","Yes"
"2019/12/25 7:32:52 AM GMT+1","3","4","4","6","4","4","3","4","4","6","6","5","9","7","3","2","2","8","Yes"
"2019/12/25 7:42:04 AM GMT+1","3","5","4","6","6","6","4","4","5","4","6","5","8","5","4","1","5","6","Yes"
"2019/12/25 7:54:20 AM GMT+1","3","5","4","5","5","6","5","5","3","5","6","5","7","5","4","1","3","5",""
"2019/12/25 7:57:49 AM GMT+1","2","3","2","4","5","2","3","5","2","6","7","7","10","2","2","1","1","10","No"
"2019/12/25 7:58:31 AM GMT+1","4","4","5","5","6","6","5","6","4","4","5","5","8","5","4","6","5","7","Yes"
"2019/12/25 8:02:47 AM GMT+1","2","4","4","4","4","4","4","4","3","4","6","5","7","5","3","2","2","5","Yes"
"2019/12/25 8:07:01 AM GMT+1","1","5","4","5","5","5","4","3","3","5","5","5","7","5","4","2","5","7","Yes"
"2019/12/25 8:18:10 AM GMT+1","1","2","4","4","2","4","3","3","1","5","3","","6","","2","1","1","10","Yes"
"2019/12/25 8:25:04 AM GMT+1","5","5","6","5","5","6","5","6","3","4","6","6","8","5","4","3","4","9","Yes"
"2019/12/25 8:27:02 AM GMT+1","1","5","5","5","3","5","2","3","1","3","8","","10","1","1","1","2","8","Yes"
"2019/12/25 8:35:00 AM GMT+1","3","4","5","5","3","2","2","3","3","3","3","4","7","5","3","1","5","2","Yes"
"2019/12/25 8:39:10 AM GMT+1","2","3","4","4","3","4","3","4","2","2","6","","8","","3","1","3","7","Yes"
"2019/12/25 8:45:08 AM GMT+1","4","5","5","5","4","6","4","6","3","5","5","5","7","","4","1","4","6",""
"2019/12/25 8:48:23 AM GMT+1","2","4","4","4","5","5","5","5","2","4","4","","8","","2","2","3","7","Yes"
"2019/12/25 9:00:01 AM GMT+1","1","5","5","5","5","5","5","4","6","6","6","","7","","4","1","4","7",""
"2019/12/25 9:10:54 AM GMT+1","2","3","4","3","6","4","4","3","2","3","6","5","7","3","2","2","1","10","Yes"
"2019/12/25 9:16:41 AM GMT+1","4","5","6","5","5","7","5","5","3","5","6","6","8","","3","1","5","7","Yes"
"2019/12/25 9:19:50 AM GMT+1","2","4","3","4","4","5","5","6","3","5","5","","8","","2","1","1","7","Yes"
"2019/12/25 9:28:40 AM GMT+1","1","4","5","5","8","6","6","5","1","5","6","6","8","1","4","1","4","10","Yes"
"2019/12/25 9:43:19 AM GMT+1","4","5","5","5","4","4","3","3","3","3","4","5","7","5","2","1","4","6","Yes"
"2019/12/25 9:45:03 AM GMT+1","3","5","6","5","6","6","5","4","3","4","4","5","7","4","4","2","3","7","Yes"
"2019/12/25 9:46:34 AM GMT+1","4","5","6","5","5","6","5","5","3","4","7","5","8","5","3","1","2","7","Yes"
"2019/12/25 9:49:42 AM GMT+1","1","2","3","3","3","5","3","3","1","2","5","5","7","2","1","1","1","8","Yes"
"2019/12/25 9:53:25 AM GMT+1","1","4","5","6","3","5","5","4","1","4","6","6","7","6","1","1","3","7","No"
"2019/12/25 10:05:46 AM GMT+1","6","5","5","4","5","4","6","4","3","5","7","7","8","5","2","1","5","6","No"
"2019/12/25 10:06:21 AM GMT+1","4","6","6","6","4","6","6","4","4","4","8","","9","5","4","2","7","7","Yes"
"2019/12/25 10:10:59 AM GMT+1","5","5","5","6","6","6","5","5","4","5","6","","7","6","4","4","3","5","Yes"
"2019/12/25 10:28:01 AM GMT+1","1","4","4","4","1","5","5","3","1","5","6","6","7","5","1","1","1","8","Yes"
"2019/12/25 10:35:20 AM GMT+1","3","5","5","6","4","5","5","6","5","4","5","5","9","6","2","1","2","7","Yes"
"2019/12/25 10:42:37 AM GMT+1","1","2","2","2","2","5","4","4","2","2","5","5","7","2","2","1","2","6","Yes"
"2019/12/25 10:44:14 AM GMT+1","2","5","4","4","3","3","3","4","3","4","5","","7","","1","1","1","7","Yes"
"2019/12/25 10:48:13 AM GMT+1","4","6","5","5","5","6","5","5","3","4","6","","7","","3","1","2","6","Yes"
"2019/12/25 10:51:41 AM GMT+1","2","5","5","6","4","5","5","4","3","4","7","5","8","6","3","3","6","7","Yes"
"2019/12/25 11:00:51 AM GMT+1","3","2","3","3","3","4","4","4","2","3","3","4","7","3","2","1","6","5","No"
"2019/12/25 11:03:43 AM GMT+1","5","6","7","6","6","7","5","5","4","4","6","7","7","5","6","5","6","8","No"
"2019/12/25 11:13:03 AM GMT+1","3","4","5","5","4","5","3","5","3","3","8","5","8","2","3","1","6","4","Yes"
"2019/12/25 11:23:53 AM GMT+1","4","6","5","6","4","5","6","5","5","5","5","5","7","6","5","1","9","8","Yes"
"2019/12/25 11:29:53 AM GMT+1","4","4","6","5","4","3","4","6","4","4","6","6","9","4","3","1","3","2","Yes"
"2019/12/25 11:30:43 AM GMT+1","2","4","5","4","3","3","3","5","1","3","5","6","7","5","4","1","5","3","Yes"
"2019/12/25 11:38:44 AM GMT+1","2","3","5","5","4","3","3","2","1","3","6","5","8","6","4","1","2","6","Yes"
"2019/12/25 11:41:34 AM GMT+1","2","4","6","5","5","4","4","5","5","5","5","5","8","7","4","1","5","7","Yes"
"2019/12/25 11:53:24 AM GMT+1","2","4","4","4","3","3","5","5","1","4","7","4","9","3","4","2","3","10","Yes"
"2019/12/25 12:21:08 PM GMT+1","2","2","4","4","2","2","2","6","1","5","6","5","8","5","1","1","10","7","Yes"
"2019/12/25 12:22:10 PM GMT+1","2","5","5","4","5","5","5","5","5","6","5","5","7","5","3","1","3","4","Yes"
"2019/12/25 12:24:50 PM GMT+1","3","4","5","6","6","3","2","5","1","4","7","3","9","7","6","4","2","7","Yes"
"2019/12/25 12:31:31 PM GMT+1","2","4","3","10","10","3","6","5","3","10","1","8","8","4","4","2","10","5","No"
"2019/12/25 12:33:41 PM GMT+1","2","4","5","5","4","6","3","3","3","3","5","5","8","5","1","1","3","6","Yes"
"2019/12/25 12:53:36 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","Yes"
"2019/12/25 1:00:12 PM GMT+1","2","4","5","5","4","6","6","7","5","4","7","5","8","5","3","1","4","8","Yes"
"2019/12/25 1:06:35 PM GMT+1","5","6","6","6","6","5","4","7","5","7","6","","8","","5","1","3","8","Yes"
"2019/12/25 1:13:26 PM GMT+1","4","4","4","4","5","4","5","5","4","4","6","6","8","4","3","2","4","4","Yes"
"2019/12/25 1:40:01 PM GMT+1","3","5","5","5","5","7","6","7","5","5","7","8","9","5","3","1","3","5","Yes"
"2019/12/25 1:43:57 PM GMT+1","2","4","4","2","4","5","3","3","3","4","4","4","6","4","3","1","2","8","Yes"
"2019/12/25 1:44:18 PM GMT+1","4","5","6","5","5","6","6","6","4","5","7","5","8","6","3","1","4","7","Yes"
"2019/12/25 1:46:19 PM GMT+1","3","5","4","4","4","8","5","5","4","6","4","5","7","5","5","2","8","4","Yes"
"2019/12/25 1:46:21 PM GMT+1","4","4","4","4","3","4","5","6","5","6","6","6","7","5","4","3","5","7","Yes"
"2019/12/25 1:55:26 PM GMT+1","2","6","5","4","3","5","4","4","4","4","4","4","6","4","3","2","3","6","Yes"
"2019/12/25 1:59:14 PM GMT+1","3","6","5","5","3","5","5","4","3","4","5","4","7","5","4","2","4","6","Yes"
"2019/12/25 2:04:33 PM GMT+1","3","6","6","6","5","7","5","5","4","5","5","","8","7","3","1","3","5","Yes"
"2019/12/25 2:07:49 PM GMT+1","4","6","6","6","5","5","5","5","3","5","7","6","8","7","2","1","2","6","Yes"
"2019/12/25 2:09:41 PM GMT+1","2","5","7","6","5","5","4","7","3","4","8","","8","","3","3","5","10","No"
"2019/12/25 2:13:23 PM GMT+1","3","4","3","3","4","5","3","4","1","2","1","2","7","2","1","10","1","6","Yes"
"2019/12/25 2:21:30 PM GMT+1","3","5","4","4","6","6","4","4","2","5","4","4","7","5","4","2","6","7","No"
"2019/12/25 2:43:37 PM GMT+1","4","4","4","4","4","5","4","5","3","4","6","","7","","1","1","1","6","Yes"
"2019/12/25 3:02:16 PM GMT+1","1","3","3","2","2","6","5","4","2","3","5","","","","3","1","2","6","No"
"2019/12/25 3:03:25 PM GMT+1","3","4","4","5","5","7","5","5","4","5","6","5","8","6","3","10","7","7","Yes"
"2019/12/25 3:10:40 PM GMT+1","2","5","5","4","3","5","4","4","3","4","4","4","6","3","3","1","4","6","No"
"2019/12/25 3:11:29 PM GMT+1","4","6","4","4","3","7","4","4","1","4","6","5","7","5","3","1","4","5","Yes"
"2019/12/25 3:13:38 PM GMT+1","2","4","4","5","4","5","4","4","2","4","6","4","7","5","4","3","2","6","Yes"
"2019/12/25 3:34:58 PM GMT+1","2","2","3","4","3","3","3","4","2","3","6","5","7","3","3","1","1","6","Yes"
"2019/12/25 4:04:28 PM GMT+1","1","6","6","5","3","4","5","6","3","4","7","5","7","4","3","1","4","7","Yes"
"2019/12/25 5:01:23 PM GMT+1","4","3","4","3","6","6","4","5","2","5","4","5","9","5","1","10","5","2","No"
"2019/12/25 5:19:55 PM GMT+1","2","4","3","3","4","4","4","2","2","3","2","3","5","4","2","1","3","4","No"
"2019/12/25 5:49:12 PM GMT+1","1","3","5","4","5","5","5","6","4","5","5","7","7","5","1","1","5","10","Yes"
"2019/12/25 6:07:25 PM GMT+1","5","7","7","7","6","7","6","6","5","5","8","6","8","6","6","3","7","6","Yes"
"2019/12/25 6:51:26 PM GMT+1","1","3","3","4","3","6","4","4","3","3","6","6","6","5","1","1","1","6","Yes"
