"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Fred","James","Bruno Fernandes","Greenwood","Martial","McTominay (optional)","Chong (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job?"
"2020/02/26 10:15:13 PM GMT+2","7","8","7","7","7","7","7","8","9","8","7","6","6","6","8","8","9","6","Yes"
"2020/02/26 10:16:05 PM GMT+2","7","9","6","6","7","7","7","7","10","8","8","","","","9","10","10","6","Yes"
"2020/02/26 10:16:44 PM GMT+2","9","9","9","7","8","8","7","7","9","8","7","6","6","7","8","8","10","5","Yes"
"2020/02/26 10:17:59 PM GMT+2","8","9","8","8","8","7","7","9","10","9","9","8","4","6","9","9","9","4","Yes"
"2020/02/26 10:18:16 PM GMT+2","6","8","6","5","5","7","6","6","8","6","7","","","","8","9","8","3","Yes"
"2020/02/26 10:19:45 PM GMT+2","6","7","7","4","6","5","6","5","9","6","6","5","4","5","4","7","6","2","Yes"
"2020/02/26 10:26:42 PM GMT+2","7","8","7","6","6","7","8","8","9","8","8","6","7","7","9","9","8","5","Yes"
"2020/02/26 10:29:51 PM GMT+2","6","8","6","6","7","5","7","7","10","7","7","6","4","","7","10","10","6","Yes"
"2020/02/26 10:33:49 PM GMT+2","7","8","8","8","7","7","7","8","9","7","8","","","","8","10","8","6","Yes"
"2020/02/26 10:34:24 PM GMT+2","7","8","8","7","7","8","7","7","8","7","8","","","","8","8","8","4","Yes"
"2020/02/26 10:34:45 PM GMT+2","7","6","6","6","6","8","6","7","9","7","8","6","5","5","8","9","8","4","Yes"
"2020/02/26 10:35:44 PM GMT+2","7","8","8","8","7","7","8","7","9","7","7","6","6","6","8","8","8","7","Yes"
"2020/02/26 10:42:41 PM GMT+2","7","8","7","7","7","7","8","6","9","7","7","6","6","6","8","10","9","7","Yes"
"2020/02/26 10:43:24 PM GMT+2","7","8","7","7","7","8","8","7","10","7","8","","","","7","8","8","7","Yes"
"2020/02/26 10:43:48 PM GMT+2","6","7","7","6","6","6","7","4","9","8","7","6","6","6","7","8","7","4","Yes"
"2020/02/26 10:44:46 PM GMT+2","7","9","9","7","7","7","8","9","9","8","8","6","4","","8","8","9","5","No"
"2020/02/26 10:45:07 PM GMT+2","6","8","8","7","7","6","7","7","9","8","8","7","5","6","7","9","8","6","Yes"
"2020/02/26 10:46:18 PM GMT+2","7","7","7","6","7","7","7","6","8","8","8","6","6","6","9","10","9","6","Yes"
"2020/02/26 10:48:08 PM GMT+2","8","9","8","8","8","8","8","9","10","9","9","8","6","6","9","10","8","6","Yes"
"2020/02/26 10:50:57 PM GMT+2","8","7","8","7","7","8","8","7","9","8","8","6","5","6","8","10","10","4","Yes"
"2020/02/26 10:51:22 PM GMT+2","8","8","8","7","8","8","7","7","8","7","8","","7","","8","8","8","5","Yes"
"2020/02/26 10:51:26 PM GMT+2","7","7","6","5","6","7","6","5","9","8","7","7","6","6","7","10","8","8","No"
"2020/02/26 10:52:02 PM GMT+2","6","8","7","6","7","7","6","8","8","7","7","","","","6","8","7","5","Yes"
"2020/02/26 10:52:39 PM GMT+2","6","7","7","7","7","7","7","7","9","7","7","","","","7","8","6","6","Yes"
"2020/02/26 10:54:31 PM GMT+2","7","7","7","7","6","5","7","6","8","7","6","7","6","6","7","9","7","6","Yes"
"2020/02/26 10:55:23 PM GMT+2","6","8","7","7","7","7","8","8","9","8","8","","","9","8","10","8","5","Yes"
"2020/02/26 10:55:49 PM GMT+2","8","8","8","8","8","8","8","8","9","8","8","6","7","6","8","8","8","6","Yes"
"2020/02/26 10:59:35 PM GMT+2","5","7","7","6","6","5","6","5","8","7","8","6","6","6","7","9","8","4","Yes"
