"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Fred","James","Bruno Fernandes","Greenwood","Martial","McTominay (optional)","Chong (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job?"
"2020/02/27 12:39:55 PM GMT+2","7","8","7","7","8","8","6","8","9","7","7","6","6","6","7","8","7","4","Yes"
"2020/02/27 12:41:30 PM GMT+2","8","9","7","7","7","8","9","8","10","9","8","","","","9","8","9","5","Yes"
"2020/02/27 12:43:32 PM GMT+2","7","7","7","7","7","6","7","7","9","8","7","","","6","8","10","9","6","Yes"
"2020/02/27 12:58:11 PM GMT+2","7","7","8","7","7","7","7","6","9","8","8","","","","8","8","8","5","Yes"
"2020/02/27 12:58:45 PM GMT+2","7","8","7","7","7","7","4","7","9","8","7","6","5","5","8","10","7","6","Yes"
"2020/02/27 1:01:40 PM GMT+2","8","8","8","7","8","8","8","7","9","9","9","8","7","7","8","8","9","5","Yes"
"2020/02/27 1:03:39 PM GMT+2","8","9","8","7","8","9","8","8","9","8","7","7","5","6","8","10","10","4","Yes"
"2020/02/27 1:07:27 PM GMT+2","7","10","8","7","7","7","7","6","10","9","7","6","6","","8","10","8","7","Yes"
"2020/02/27 1:07:30 PM GMT+2","8","9","8","7","8","9","7","8","10","8","8","7","5","6","10","10","8","5","Yes"
"2020/02/27 1:24:04 PM GMT+2","8","9","8","8","8","8","8","7","10","8","7","","","","8","9","8","7","Yes"
"2020/02/27 1:51:35 PM GMT+2","8","9","8","7","7","7","7","8","9","8","7","","","","7","10","7","5","Yes"
"2020/02/27 2:32:42 PM GMT+2","9","9","9","8","8","8","7","7","9","8","8","6","5","5","9","9","9","7","Yes"
"2020/02/27 3:15:32 PM GMT+2","6","8","7","7","6","7","7","6","10","8","8","6","6","5","8","10","7","6","Yes"
"2020/02/27 3:20:49 PM GMT+2","6","8","8","7","7","7","8","7","10","8","8","","","","7","10","8","5","Yes"
"2020/02/27 3:23:02 PM GMT+2","6","8","6","7","7","8","7","9","8","8","7","","","","8","10","10","5","Yes"
"2020/02/27 3:25:20 PM GMT+2","10","8","8","8","7","8","7","6","8","8","7","6","5","7","8","8","9","6","Yes"
"2020/02/27 4:03:21 PM GMT+2","6","7","6","6","6","7","5","8","9","7","7","","","","8","9","8","4","Yes"
"2020/02/27 4:07:34 PM GMT+2","7","7","7","7","7","6","8","7","10","8","9","10","7","7","8","10","9","6","Yes"
"2020/02/27 4:15:22 PM GMT+2","7","7","7","6","7","6","5","4","9","7","7","","","","7","10","7","3","Yes"
"2020/02/27 4:23:47 PM GMT+2","6","8","7","6","7","6","6","8","9","7","9","","","","9","10","10","5","Yes"
"2020/02/27 5:05:35 PM GMT+2","8","8","8","7","6","6","8","7","9","7","7","","","","7","9","7","5","No"
"2020/02/27 5:32:30 PM GMT+2","6","6","7","7","6","5","7","6","9","7","6","5","4","5","7","7","7","4","Yes"
"2020/02/27 5:57:31 PM GMT+2","7","8","8","7","7","7","7","7","10","8","8","","","","9","10","10","3","Yes"
"2020/02/27 5:58:43 PM GMT+2","7","8","9","6","7","7","8","6","9","8","8","6","5","7","7","8","10","6","Yes"
"2020/02/27 7:25:32 PM GMT+2","7","8","7","7","7","7","7","8","9","9","9","7","7","7","8","7","8","4","Yes"
"2020/02/27 8:08:58 PM GMT+2","7","9","8","7","7","8","8","7","10","8","8","","","","8","9","7","6","Yes"
"2020/02/27 8:09:36 PM GMT+2","8","8","9","7","8","7","7","6","10","8","9","7","7","8","8","8","8","6","Yes"
"2020/02/27 9:04:55 PM GMT+2","7","8","7","6","6","7","8","8","8","7","7","","","","7","8","7","5","Yes"
"2020/02/28 12:56:22 AM GMT+2","7","8","8","8","8","6","9","7","10","8","8","","","","8","10","9","4","Yes"
"2020/02/29 1:14:40 AM GMT+2","7","8","7","7","7","8","7","7","10","7","7","7","6","6","8","9","8","4","Yes"
