"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan Bissaka","Fred","McTominay","Rashford","Bruno Fernandes","Daniel James","Martial","Pogba (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Spurs","Did the ref do a good job?"
"2020/06/21 5:24:27 PM GMT+2","2","6","4","6","6","5","6","6","7","4","3","8","7","4","1","3","5","No"
"2020/06/21 5:27:27 PM GMT+2","4","6","6","7","6","5","6","6","8","6","6","9","8","7","4","6","3","No"
"2020/06/21 5:27:47 PM GMT+2","7","8","7","7","7","7","7","6","9","6","6","9","7","8","6","7","5","No"
"2020/06/21 5:27:51 PM GMT+2","4","4","5","4","4","6","6","3","7","2","6","7","6","6","6","7","3","Yes"
"2020/06/21 5:28:23 PM GMT+2","3","3","3","3","6","6","5","6","8","5","5","8","7","7","7","7","5","Yes"
"2020/06/21 5:29:33 PM GMT+2","4","6","5","6","6","5","6","6","7","5","6","7","6","6","5","6","6","No"
"2020/06/21 5:30:12 PM GMT+2","6","6","6","6","6","5","6","6","8","5","4","8","7","6","5","7","5","No"
"2020/06/21 5:30:12 PM GMT+2","4","6","5","5","6","4","5","6","7","5","4","8","7","8","6","7","5","No"
"2020/06/21 5:30:14 PM GMT+2","6","7","5","6","6","6","6","6","8","6","7","9","7","6","4","6","7","No"
"2020/06/21 5:31:06 PM GMT+2","5","5","7","4","4","5","5","3","7","4","3","10","9","3","4","7","3","No"
"2020/06/21 5:31:12 PM GMT+2","5","7","5","6","6","6","7","6","8","6","6","8","7","6","6","7","6","No"
"2020/06/21 5:31:39 PM GMT+2","4","4","4","5","6","6","7","5","6","4","5","8","7","5","6","5","7","No"
"2020/06/21 5:32:22 PM GMT+2","4","7","6","7","7","7","7","5","8","6","5","8","7","6","6","8","6","No"
"2020/06/21 5:32:29 PM GMT+2","6","5","6","6","6","5","7","5","8","5","5","8","6","7","4","6","4","No"
"2020/06/21 5:32:56 PM GMT+2","5","6","5","7","8","6","8","5","7","5","5","8","8","6","6","7","7","No"
"2020/06/21 5:33:04 PM GMT+2","6","8","7","8","8","7","7","6","8","6","6","9","8","7","7","7","5","No"
"2020/06/21 5:33:36 PM GMT+2","3","8","6","7","5","4","6","5","5","5","6","10","8","4","4","6","1","No"
"2020/06/21 5:33:56 PM GMT+2","4","5","5","5","6","5","6","6","8","5","5","8","8","7","5","7","5","No"
"2020/06/21 5:34:12 PM GMT+2","4","6","5","6","5","5","6","5","8","4","6","10","8","7","7","8","3","No"
"2020/06/21 5:34:18 PM GMT+2","3","4","4","5","5","5","8","5","7","5","5","7","6","6","6","6","7","Yes"
"2020/06/21 5:34:40 PM GMT+2","5","4","5","5","4","5","6","4","8","4","3","8","7","6","5","6","3","No"
"2020/06/21 5:35:02 PM GMT+2","4","7","6","6","6","5","8","7","8","5","5","9","8","7","6","7","6","No"
"2020/06/21 5:35:05 PM GMT+2","4","6","6","1","6","6","5","6","7","3","4","8","7","6","5","5","2","Yes"
