"Timestamp","David de Gea","Axel Tuanzebe","Harry Maguire","Victor Lindelof","Ashley Young","Scott McTominay","Paul Pogba","Daniel James","Jesse Lingard","Andreas Pereira","Marcus Rashford","Fred (Optional)","Mason Greenwood (Optional)","Rate performance","Rate final result","Rate Ole","Rate Arsenal","Were you happy with the referee? (Optional)"
"2019/10/02 2:17:26 PM GMT+1","8","5","6","6","5","8","6","7","3","6","4","5","5","6","5","5","6","No"
"2019/10/02 2:17:39 PM GMT+1","7","6","9","6","7","8","8","8","2","5","2","4","7","4","3","3","2","No"
"2019/10/02 2:18:15 PM GMT+1","7","8","8","8","7","10","8","9","5","6","7","","","4","8","7","6",""
"2019/10/02 2:18:22 PM GMT+1","4","4","5","4","2","6","4","6","1","2","2","5","4","2","2","2","4","No"
"2019/10/02 2:19:20 PM GMT+1","8","7","7","6","5","9","7","7","3","5","4","5","","7","5","6","4","No"
"2019/10/02 2:20:12 PM GMT+1","7","6","6","5","4","8","7","6","3","5","3","5","","5","4","3","3","No"
"2019/10/02 2:21:52 PM GMT+1","7","6","7","7","5","8","5","6","2","3","2","5","5","3","2","2","3","No"
"2019/10/02 2:23:21 PM GMT+1","7","6","6","6","5","7","5","7","4","5","4","5","5","6","3","4","6","No"
"2019/10/02 2:25:20 PM GMT+1","6","6","7","6","4","8","7","6","4","5","5","6","6","5","5","4","5","No"
"2019/10/02 2:25:41 PM GMT+1","7","1","5","4","3","7","4","6","3","4","4","5","","4","6","5","5","No"
"2019/10/02 2:25:42 PM GMT+1","6","4","6","6","5","7","4","5","4","4","3","5","5","5","3","4","4","No"
"2019/10/02 2:26:06 PM GMT+1","7","7","7","6","5","7","7","7","4","6","5","6","6","6","5","4","5","No"
"2019/10/02 2:28:11 PM GMT+1","8","6","8","7","4","8","6","7","3","4","5","","","5","4","2","3","No"
"2019/10/02 2:28:39 PM GMT+1","7","7","7","6","4","8","7","7","5","5","2","","","6","6","6","5","No"
"2019/10/02 2:29:19 PM GMT+1","6","6","6","6","5","7","5","4","3","4","4","5","5","6","5","6","5","No"
"2019/10/02 2:29:43 PM GMT+1","8","6","6","6","4","8","4","7","2","1","5","","","3","1","4","4","No"
"2019/10/02 2:29:48 PM GMT+1","7","7","6","6","6","8","6","8","5","6","6","6","6","6","6","6","6","No"
"2019/10/02 2:29:51 PM GMT+1","7","7","6","6","4","7","5","7","4","4","4","","","6","5","5","5","Yes"
"2019/10/02 2:30:50 PM GMT+1","6","6","7","6","2","8","8","6","4","5","5","7","6","6","6","4","4","No"
"2019/10/02 2:31:15 PM GMT+1","5","4","5","4","3","6","4","6","4","3","1","6","6","5","4","5","5","Yes"
"2019/10/02 2:31:18 PM GMT+1","8","7","7","4","3","8","7","7","3","3","4","6","6","3","2","2","6","No"
"2019/10/02 2:31:31 PM GMT+1","6","5","5","5","5","8","5","6","3","6","2","5","5","6","4","5","3","No"
"2019/10/02 2:32:04 PM GMT+1","7","8","7","6","5","7","5","6","3","6","5","4","5","5","2","5","3","No"
"2019/10/02 2:33:53 PM GMT+1","6","6","6","6","4","5","6","5","2","2","2","5","5","4","1","1","5","No"
"2019/10/02 2:36:56 PM GMT+1","7","7","7","7","2","8","6","7","5","5","6","5","5","6","5","5","1","No"
"2019/10/02 2:37:08 PM GMT+1","6","6","5","4","3","7","4","5","3","5","3","4","3","3","2","4","2","No"
"2019/10/02 2:38:36 PM GMT+1","6","7","6","6","4","7","6","8","2","6","2","6","5","4","4","4","4","No"
"2019/10/02 2:39:51 PM GMT+1","6","6","7","5","6","7","5","6","4","4","4","6","5","5","4","5","4","No"
"2019/10/02 2:42:09 PM GMT+1","4","4","6","6","4","7","6","8","1","5","1","5","5","3","5","1","6","No"
"2019/10/02 2:42:29 PM GMT+1","6","7","5","5","4","5","5","6","2","3","3","5","6","5","4","4","6","No"
"2019/10/02 2:42:35 PM GMT+1","7","7","7","6","3","8","6","7","4","6","5","6","6","7","4","6","6","No"
"2019/10/02 2:42:40 PM GMT+1","6","5","6","6","5","7","6","7","4","4","3","4","5","4","3","2","2","No"
"2019/10/02 2:43:08 PM GMT+1","8","7","8","8","6","9","7","7","7","7","7","7","","7","6","7","4","No"
"2019/10/02 2:44:14 PM GMT+1","7","6","6","5","3","7","6","7","3","5","3","4","5","5","4","5","5","No"
"2019/10/02 2:45:28 PM GMT+1","6","7","6","5","5","8","5","5","5","4","4","5","","5","3","4","3","No"
"2019/10/02 2:45:46 PM GMT+1","8","7","7","8","5","7","6","7","2","2","2","6","6","5","3","4","4","No"
"2019/10/02 2:47:08 PM GMT+1","6","3","4","5","2","5","6","5","1","4","1","6","4","2","2","1","2","Yes"
"2019/10/02 2:48:01 PM GMT+1","7","5","6","8","5","8","5","7","3","4","5","6","6","6","5","7","6","No"
"2019/10/02 2:48:17 PM GMT+1","7","6","6","6","6","7","6","6","2","3","3","7","7","6","6","5","5","No"
"2019/10/02 2:48:38 PM GMT+1","7","6","6","6","5","8","4","7","4","5","4","","","6","1","6","4","No"
"2019/10/02 2:51:35 PM GMT+1","6","2","7","4","1","8","7","7","1","6","2","","","4","3","2","5","No"
"2019/10/02 2:52:31 PM GMT+1","6","6","5","4","4","7","5","5","2","4","4","4","4","5","3","4","1","No"
