"Timestamp","David de Gea","Axel Tuanzebe","Harry Maguire","Victor Lindelof","Ashley Young","Scott McTominay","Paul Pogba","Daniel James","Jesse Lingard","Andreas Pereira","Marcus Rashford","Fred (Optional)","Mason Greenwood (Optional)","Rate performance","Rate final result","Rate Ole","Rate Arsenal","Were you happy with the referee? (Optional)"
"2019/10/02 5:23:30 PM GMT+1","5","5","5","4","3","6","6","6","2","4","4","6","5","5","5","5","4","No"
"2019/10/02 5:23:36 PM GMT+1","6","5","5","4","3","6","4","5","4","5","3","5","","5","4","3","4",""
"2019/10/02 5:25:42 PM GMT+1","7","6","8","8","7","8","4","7","2","2","5","","","6","4","4","5","No"
"2019/10/02 5:27:32 PM GMT+1","5","7","5","5","3","7","5","8","7","6","3","3","3","5","3","4","3","No"
"2019/10/02 5:29:10 PM GMT+1","7","6","7","4","4","9","6","7","1","6","3","6","6","7","1","6","1","No"
"2019/10/02 5:34:46 PM GMT+1","7","7","6","6","5","8","7","8","2","6","3","6","5","5","7","5","5","No"
"2019/10/02 5:35:50 PM GMT+1","7","6","6","5","5","7","7","7","4","5","5","5","5","6","5","6","4","No"
"2019/10/02 5:36:18 PM GMT+1","6","5","6","6","5","7","6","7","5","6","5","5","6","6","5","6","6","No"
"2019/10/02 5:38:03 PM GMT+1","8","6","6","7","6","8","6","7","6","7","5","","","6","5","7","5","No"
"2019/10/02 5:38:20 PM GMT+1","8","6","6","6","5","10","7","8","2","9","6","7","4","7","6","4","5","No"
"2019/10/02 5:38:47 PM GMT+1","8","2","7","9","5","10","8","10","7","7","5","5","5","9","4","9","3","No"
"2019/10/02 5:38:51 PM GMT+1","7","5","6","6","6","8","6","7","4","5","4","6","6","4","5","6","5","No"
"2019/10/02 5:38:54 PM GMT+1","7","7","6","7","5","9","6","8","4","8","5","6","7","6","6","6","5","No"
"2019/10/02 5:39:25 PM GMT+1","8","4","7","7","6","8","9","8","6","7","6","","","8","8","8","8","No"
"2019/10/02 5:42:04 PM GMT+1","7","6","7","6","5","9","6","7","5","7","7","","","6","6","8","8","No"
"2019/10/02 5:42:34 PM GMT+1","7","7","5","6","5","7","5","6","5","6","6","6","6","6","5","5","5","No"
"2019/10/02 5:42:41 PM GMT+1","7","5","7","6","5","8","6","7","5","4","4","","","4","5","6","5",""
"2019/10/02 5:42:48 PM GMT+1","7","6","6","6","6","8","3","8","5","7","4","6","6","5","6","6","5","No"
"2019/10/02 5:43:39 PM GMT+1","6","7","8","7","4","8","5","6","5","6","5","","","7","6","6","5","Yes"
"2019/10/02 5:43:48 PM GMT+1","7","5","5","5","5","6","6","6","5","4","3","6","5","4","4","4","4","No"
"2019/10/02 5:45:09 PM GMT+1","6","7","6","6","2","7","5","7","5","6","2","","","5","3","5","5","No"
"2019/10/02 5:46:29 PM GMT+1","7","7","6","6","5","9","7","9","4","8","5","6","6","8","6","6","6","No"
"2019/10/02 5:48:29 PM GMT+1","6","8","5","6","6","9","6","8","5","5","4","8","6","6","4","7","6","No"
"2019/10/02 5:52:38 PM GMT+1","7","7","7","5","7","8","4","8","6","5","4","5","5","5","2","5","4","No"
"2019/10/02 5:54:29 PM GMT+1","7","7","6","6","5","8","6","8","2","4","2","","","5","7","6","6","No"
"2019/10/02 5:54:41 PM GMT+1","6","6","6","5","4","8","6","7","3","4","3","4","5","5","3","4","3","No"
"2019/10/02 5:56:01 PM GMT+1","6","7","6","6","5","8","8","8","3","3","2","5","5","6","3","6","5","Yes"
"2019/10/02 5:57:27 PM GMT+1","7","6","5","5","3","9","5","6","3","7","3","5","5","3","5","3","3","No"
"2019/10/02 5:58:09 PM GMT+1","7","7","8","7","7","9","7","8","6","6","7","7","6","8","5","8","5","No"
"2019/10/02 5:59:29 PM GMT+1","7","6","6","6","7","9","6","7","3","7","4","5","5","6","4","6","5","No"
"2019/10/02 6:00:26 PM GMT+1","7","6","6","6","6","8","6","7","6","7","6","6","6","6","8","6","6","No"
"2019/10/02 6:02:42 PM GMT+1","7","7","7","6","5","6","5","6","2","5","3","4","4","5","4","4","6","No"
"2019/10/02 6:03:36 PM GMT+1","7","7","5","5","4","7","5","6","3","6","4","5","5","5","6","4","6","No"
"2019/10/02 6:05:51 PM GMT+1","6","5","4","6","5","7","5","6","5","5","5","","","6","4","7","5","No"
"2019/10/02 6:07:52 PM GMT+1","7","8","7","8","7","9","8","9","7","8","6","7","8","7","5","8","7","No"
"2019/10/02 6:09:34 PM GMT+1","6","7","6","6","6","8","6","6","3","5","4","","","4","5","5","3","No"
"2019/10/02 6:10:29 PM GMT+1","8","6","8","7","6","8","5","8","3","1","4","2","2","3","1","3","5","No"
"2019/10/02 6:11:34 PM GMT+1","7","6","5","4","6","8","5","7","3","4","2","","","5","4","3","4","No"
"2019/10/02 6:12:20 PM GMT+1","6","7","6","6","6","7","5","6","5","5","6","6","7","4","5","5","5","No"
"2019/10/02 6:14:06 PM GMT+1","7","4","7","5","5","7","6","6","5","4","6","6","","5","6","4","4","No"
"2019/10/02 6:15:26 PM GMT+1","7","6","6","6","5","8","5","7","4","7","5","5","5","3","5","3","3","No"
"2019/10/02 6:19:23 PM GMT+1","7","7","5","7","4","8","6","6","3","6","5","5","","7","7","7","5","No"
"2019/10/02 6:19:48 PM GMT+1","6","7","7","7","6","7","6","8","4","6","5","5","5","6","5","6","7","No"
"2019/10/02 6:21:17 PM GMT+1","8","5","7","9","4","6","5","8","3","6","3","3","","5","6","7","3","No"
"2019/10/02 6:21:20 PM GMT+1","5","4","5","5","5","6","5","6","3","6","4","5","","6","4","6","4","No"
"2019/10/02 6:23:21 PM GMT+1","7","6","7","6","6","8","6","6","5","5","5","5","5","5","5","5","6","No"
"2019/10/02 6:23:23 PM GMT+1","6","5","5","6","6","8","7","8","5","6","5","","","5","7","5","3","No"
"2019/10/02 6:25:15 PM GMT+1","7","6","6","5","5","9","6","7","3","5","4","5","6","5","5","5","5","No"
"2019/10/02 6:27:51 PM GMT+1","6","8","6","5","4","8","6","6","3","5","5","2","6","5","3","6","3","No"
"2019/10/02 6:30:23 PM GMT+1","5","5","5","6","5","6","6","6","4","5","4","4","4","4","4","3","4","No"
"2019/10/02 6:30:40 PM GMT+1","6","7","5","5","4","8","6","6","3","5","4","5","5","4","3","4","5","No"
"2019/10/02 6:33:27 PM GMT+1","6","6","6","6","5","7","6","6","5","5","6","","","5","5","6","5","No"
"2019/10/02 6:34:23 PM GMT+1","6","6","7","6","6","8","6","7","5","5","5","6","","4","2","5","5","No"
"2019/10/02 6:36:24 PM GMT+1","8","7","5","7","3","9","6","8","3","4","4","4","5","3","5","4","3","No"
"2019/10/02 6:37:44 PM GMT+1","8","6","6","6","5","9","6","7","5","6","6","6","5","5","4","6","6","No"
"2019/10/02 6:43:13 PM GMT+1","7","7","6","6","5","8","6","7","2","6","3","6","6","5","6","6","6","No"
"2019/10/02 6:46:30 PM GMT+1","6","6","5","5","5","7","5","6","3","4","3","","","4","4","2","2","No"
"2019/10/02 6:50:39 PM GMT+1","5","6","5","4","3","6","5","6","1","4","4","5","5","5","2","6","6","No"
"2019/10/02 6:54:55 PM GMT+1","7","5","6","6","6","8","2","7","4","10","5","5","","5","5","5","3","No"
"2019/10/02 6:57:11 PM GMT+1","7","8","6","6","6","7","6","8","5","4","4","5","6","7","7","7","8","No"
"2019/10/02 7:13:40 PM GMT+1","8","9","7","5","7","7","7","7","3","5","1","","","3","3","5","1",""
"2019/10/02 7:16:06 PM GMT+1","9","6","7","6","5","8","7","6","5","4","6","7","","6","5","5","5","No"
"2019/10/02 7:17:39 PM GMT+1","9","8","8","8","6","9","6","8","2","5","4","6","5","6","7","7","7","No"
"2019/10/02 7:19:21 PM GMT+1","6","5","5","5","5","7","6","6","4","3","5","6","5","5","5","3","5","Yes"
"2019/10/02 7:20:15 PM GMT+1","7","8","7","7","6","8","7","8","6","7","6","","","7","1","7","1","No"
"2019/10/02 7:20:24 PM GMT+1","6","7","7","6","5","8","6","6","3","6","4","","","5","4","4","5","No"
"2019/10/02 7:21:44 PM GMT+1","6","6","7","6","5","8","6","7","2","5","4","5","6","5","5","4","4","Yes"
"2019/10/02 7:21:48 PM GMT+1","6","6","7","6","5","8","6","7","2","5","4","5","6","5","5","4","4","Yes"
"2019/10/02 7:25:20 PM GMT+1","2","1","2","1","1","5","1","5","1","2","1","2","3","1","1","1","1","No"
"2019/10/02 7:28:46 PM GMT+1","6","6","7","6","4","7","7","6","1","4","3","7","","5","3","6","5","No"
"2019/10/02 7:29:05 PM GMT+1","5","6","6","7","1","8","6","6","2","2","4","5","5","6","6","3","5","No"
"2019/10/02 7:33:00 PM GMT+1","6","6","5","5","4","7","5","5","3","4","4","5","5","5","5","5","5","No"
"2019/10/02 7:33:59 PM GMT+1","6","8","6","5","5","9","4","8","4","6","5","5","4","6","6","6","5","No"
"2019/10/02 7:36:13 PM GMT+1","8","7","7","6","7","9","8","8","5","7","5","7","7","7","7","7","7","No"
"2019/10/02 7:37:48 PM GMT+1","6","7","7","6","5","10","8","8","1","6","2","7","5","7","6","9","7","No"
"2019/10/02 7:38:48 PM GMT+1","7","5","5","5","5","7","6","6","4","5","5","5","5","7","4","7","5","No"
"2019/10/02 7:40:38 PM GMT+1","5","5","5","3","2","8","7","7","2","5","3","","","3","3","7","3",""
"2019/10/02 7:42:01 PM GMT+1","6","7","7","6","6","7","5","5","5","5","4","6","5","5","6","6","4","No"
"2019/10/02 7:44:06 PM GMT+1","6","7","6","7","6","8","5","5","5","6","4","6","7","5","5","6","4","Yes"
"2019/10/02 7:52:34 PM GMT+1","7","6","6","5","3","8","7","7","3","6","1","","","5","1","2","3","No"
"2019/10/02 7:54:24 PM GMT+1","6","8","7","6","5","8","6","7","5","5","5","","","5","5","5","3","No"
"2019/10/02 7:59:57 PM GMT+1","5","6","6","6","3","6","5","4","3","4","4","5","4","5","4","3","5","No"
"2019/10/02 8:00:22 PM GMT+1","7","6","7","6","2","7","7","7","4","6","5","6","6","7","6","6","6","No"
"2019/10/02 8:07:41 PM GMT+1","5","4","4","5","4","5","5","4","10","3","3","4","2","10","5","1","10","Yes"
"2019/10/02 8:10:33 PM GMT+1","7","1","6","2","4","8","6","6","1","1","1","4","5","4","5","1","2","No"
"2019/10/02 8:12:11 PM GMT+1","7","7","6","5","5","7","6","8","5","7","6","","6","6","7","6","5","No"
"2019/10/02 8:12:28 PM GMT+1","5","4","6","5","3","9","4","5","3","4","5","4","5","5","5","5","5","Yes"
"2019/10/02 8:17:12 PM GMT+1","6","7","7","6","6","8","6","7","4","6","6","6","6","5","6","6","4","No"
"2019/10/02 8:17:54 PM GMT+1","7","6","7","6","4","8","6","7","2","5","3","5","5","4","4","4","5","No"
"2019/10/02 8:30:12 PM GMT+1","7","6","7","8","6","9","6","7","3","6","3","6","6","7","6","6","5","No"
"2019/10/02 8:30:51 PM GMT+1","7","7","6","6","5","8","7","6","5","5","4","","","6","3","6","5","No"
"2019/10/02 8:37:22 PM GMT+1","6","6","6","5","5","8","6","7","4","6","5","6","5","5","5","6","5","No"
"2019/10/02 8:38:31 PM GMT+1","7","5","6","5","3","9","6","8","2","4","2","5","5","5","4","5","3","No"
"2019/10/02 8:41:15 PM GMT+1","6","6","7","7","3","8","6","6","3","5","4","5","4","5","4","7","4","No"
"2019/10/02 8:46:50 PM GMT+1","6","8","7","6","5","8","7","5","2","4","6","7","5","4","1","4","6","No"
"2019/10/02 8:50:47 PM GMT+1","7","5","6","7","4","7","6","7","3","6","5","6","5","6","4","4","5","No"
"2019/10/02 8:58:09 PM GMT+1","6","5","6","5","5","8","5","8","5","6","6","5","7","5","5","4","5","No"
"2019/10/02 9:00:20 PM GMT+1","7","5","5","5","4","8","6","6","4","4","3","5","5","3","4","4","4","No"
"2019/10/02 9:01:08 PM GMT+1","5","8","7","7","6","8","3","6","3","4","3","","","6","4","4","4","No"
"2019/10/02 9:05:10 PM GMT+1","5","3","4","3","5","6","5","6","5","5","4","5","5","3","4","2","5","No"
"2019/10/02 9:09:31 PM GMT+1","7","7","6","6","6","8","6","7","4","6","5","7","7","6","5","6","5","No"
"2019/10/02 9:11:41 PM GMT+1","6","7","5","5","3","8","5","7","4","6","3","4","4","6","7","8","6","No"
"2019/10/02 9:19:39 PM GMT+1","6","6","5","5","5","7","6","6","3","5","4","5","5","4","2","4","4","No"
"2019/10/02 9:25:22 PM GMT+1","7","6","6","6","5","8","6","7","4","5","6","6","6","6","5","6","7","Yes"
"2019/10/02 9:26:28 PM GMT+1","7","6","5","5","3","7","6","6","3","5","4","6","","5","4","4","4","No"
"2019/10/02 9:26:54 PM GMT+1","7","6","7","6","5","8","6","9","5","7","4","","","7","8","4","5","No"
"2019/10/02 9:31:38 PM GMT+1","5","4","3","5","6","9","4","4","1","1","2","","","3","4","2","3","Yes"
"2019/10/02 9:32:29 PM GMT+1","7","8","6","5","5","9","7","7","4","5","4","6","6","5","5","4","5","No"
"2019/10/02 9:38:43 PM GMT+1","6","6","5","5","3","7","4","5","2","2","2","4","4","4","5","4","5","No"
"2019/10/02 9:49:11 PM GMT+1","6","5","5","5","5","7","5","6","3","5","4","","","3","4","3","3","No"
"2019/10/02 9:49:36 PM GMT+1","5","5","6","5","5","7","6","5","10","5","5","","","4","4","5","3",""
"2019/10/02 9:51:40 PM GMT+1","4","4","4","4","2","6","5","5","1","5","2","5","5","4","4","3","3","No"
"2019/10/02 9:54:31 PM GMT+1","5","5","5","5","6","6","3","6","1","1","3","5","5","3","3","3","5","Yes"
"2019/10/02 9:58:50 PM GMT+1","6","6","7","7","4","8","5","7","4","7","5","","","7","5","5","5","No"
"2019/10/02 10:00:21 PM GMT+1","8","8","6","6","6","8","4","6","2","4","3","","","5","6","4","4","Yes"
"2019/10/02 10:18:24 PM GMT+1","7","7","7","6","6","8","6","8","6","6","6","6","6","3","3","6","3","No"
"2019/10/02 10:28:05 PM GMT+1","7","5","6","5","5","7","5","7","4","6","4","","","4","5","6","4","No"
"2019/10/02 10:29:20 PM GMT+1","5","2","3","9","9","6","8","9","2","4","2","5","3","4","6","2","5","Yes"
"2019/10/02 10:29:36 PM GMT+1","5","6","6","6","6","7","6","6","5","6","5","6","6","5","3","6","5","No"
"2019/10/02 10:30:12 PM GMT+1","7","7","6","6","3","7","7","6","1","4","1","6","6","5","5","1","6","No"
"2019/10/02 10:35:43 PM GMT+1","6","6","5","5","5","7","5","6","3","4","3","5","5","4","4","4","4","No"
"2019/10/02 10:36:33 PM GMT+1","5","6","5","5","2","7","6","5","1","4","5","3","4","3","4","3","5","No"
"2019/10/02 10:36:40 PM GMT+1","7","10","10","10","10","9","9","10","10","10","10","10","10","10","10","10","1","Yes"
"2019/10/02 10:38:30 PM GMT+1","5","6","7","6","4","7","6","7","4","6","5","","","5","6","4","5","No"
"2019/10/02 10:39:49 PM GMT+1","6","5","4","5","5","6","4","4","1","1","1","","","3","5","4","5","Yes"
"2019/10/02 10:41:18 PM GMT+1","7","6","7","6","6","8","6","7","5","6","5","6","6","6","6","6","6","No"
"2019/10/02 10:42:12 PM GMT+1","7","5","6","6","5","8","6","6","4","6","4","6","5","5","5","5","4","Yes"
"2019/10/02 10:42:48 PM GMT+1","5","6","5","5","3","6","4","7","3","6","3","5","4","3","6","3","5","No"
"2019/10/02 10:48:45 PM GMT+1","6","5","7","7","7","7","6","8","5","5","5","6","6","5","5","5","4","Yes"
"2019/10/02 10:51:30 PM GMT+1","7","7","6","6","3","8","7","7","3","4","4","6","6","5","6","6","6","No"
"2019/10/02 10:53:16 PM GMT+1","5","6","5","5","3","7","3","5","2","2","2","3","3","5","2","2","4","Yes"
"2019/10/02 11:01:55 PM GMT+1","6","7","5","5","2","8","5","6","3","3","3","4","4","3","5","6","3","Yes"
"2019/10/02 11:02:05 PM GMT+1","6","4","5","5","5","7","5","5","2","5","1","5","3","2","2","2","2","Yes"
"2019/10/02 11:05:27 PM GMT+1","6","7","6","6","3","8","5","6","3","6","4","6","6","7","5","6","4","No"
"2019/10/02 11:05:32 PM GMT+1","5","5","6","5","5","8","6","6","4","6","4","","","4","3","5","3","No"
"2019/10/02 11:10:37 PM GMT+1","8","7","7","6","6","7","6","6","4","4","4","3","5","6","3","5","4","No"
"2019/10/02 11:14:52 PM GMT+1","8","7","6","6","3","9","7","8","6","7","3","6","4","5","5","4","3","No"
"2019/10/02 11:15:25 PM GMT+1","7","7","7","6","5","9","6","8","4","6","5","5","5","7","6","7","5","No"
"2019/10/02 11:22:46 PM GMT+1","7","9","7","7","6","9","7","8","3","6","2","9","7","6","4","3","3","No"
"2019/10/02 11:24:07 PM GMT+1","6","6","7","4","7","9","4","5","5","6","4","5","5","4","3","5","5","Yes"
"2019/10/02 11:26:40 PM GMT+1","7","5","5","5","5","8","6","7","4","6","4","","","5","7","5","4","No"
"2019/10/02 11:57:20 PM GMT+1","8","8","8","8","8","8","8","9","6","6","7","6","7","6","6","6","8","Yes"
"2019/10/02 11:59:29 PM GMT+1","8","6","7","8","5","9","7","8","6","5","5","6","5","4","5","5","6","No"
"2019/10/03 12:07:57 AM GMT+1","6","7","5","4","1","7","5","6","1","5","4","6","6","3","3","2","6","No"
"2019/10/03 12:09:55 AM GMT+1","6","6","5","4","5","7","6","8","5","4","5","5","5","5","5","6","5","Yes"
"2019/10/03 12:33:25 AM GMT+1","6","5","6","6","5","7","6","7","4","7","4","6","6","6","5","6","4","No"
"2019/10/03 12:36:29 AM GMT+1","6","6","7","6","3","8","6","5","2","5","3","5","5","5","6","5","5","No"
"2019/10/03 12:45:21 AM GMT+1","4","5","5","4","4","6","4","6","2","2","2","4","4","3","3","2","5",""
"2019/10/03 12:49:21 AM GMT+1","6","5","6","5","3","5","5","7","4","4","5","","","4","1","3","4","No"
"2019/10/03 12:50:32 AM GMT+1","6","6","6","5","6","8","6","7","4","5","4","6","6","4","4","4","4","No"
"2019/10/03 12:51:44 AM GMT+1","6","4","6","4","4","8","3","7","1","2","4","5","5","4","3","1","1","No"
"2019/10/03 12:56:01 AM GMT+1","8","5","7","5","1","9","7","9","3","7","5","8","3","8","2","2","7","No"
"2019/10/03 1:11:15 AM GMT+1","5","7","6","6","6","7","8","7","6","5","6","7","6","6","7","5","7","Yes"
"2019/10/03 1:16:09 AM GMT+1","5","7","5","6","4","7","5","7","2","5","4","","","4","3","6","3","No"
"2019/10/03 1:34:41 AM GMT+1","5","4","5","3","1","8","4","6","1","2","1","3","4","1","3","1","2","No"
"2019/10/03 1:36:51 AM GMT+1","7","7","6","3","2","5","6","7","1","3","3","5","4","4","3","3","4","Yes"
"2019/10/03 1:49:55 AM GMT+1","6","4","6","6","5","7","6","5","4","6","4","","","4","5","5","3","No"
"2019/10/03 2:24:04 AM GMT+1","6","8","6","6","6","8","6","8","6","3","4","5","4","5","4","5","5","No"
"2019/10/03 2:45:59 AM GMT+1","6","6","6","3","6","7","1","7","6","7","6","6","6","8","8","8","2","Yes"
"2019/10/03 3:01:42 AM GMT+1","4","3","3","3","4","5","4","4","2","3","1","3","2","4","8","1","4","No"
"2019/10/03 4:08:15 AM GMT+1","6","6","5","5","4","7","5","6","1","6","5","5","5","5","5","6","5","No"
"2019/10/03 4:08:24 AM GMT+1","6","6","6","5","5","8","6","7","6","6","5","5","6","5","6","5","6","No"
"2019/10/03 5:05:10 AM GMT+1","7","7","7","7","7","8","5","7","4","4","2","2","6","2","3","2","3","No"
"2019/10/03 6:02:29 AM GMT+1","7","4","5","4","3","9","4","8","3","3","3","4","5","4","2","5","1","Yes"
"2019/10/03 6:32:56 AM GMT+1","7","6","5","6","6","9","4","5","5","7","4","6","","6","5","7","4","No"
"2019/10/03 6:34:26 AM GMT+1","5","6","6","6","6","7","7","8","5","6","5","6","6","6","8","7","7","No"
"2019/10/03 6:47:02 AM GMT+1","7","5","7","6","6","8","7","8","4","5","5","6","4","6","4","4","7","Yes"
"2019/10/03 6:48:25 AM GMT+1","9","6","6","6","2","9","4","7","1","3","2","7","7","4","3","2","4","No"
"2019/10/03 7:15:43 AM GMT+1","8","7","8","6","7","7","7","8","4","6","5","7","","6","2","5","5","No"
"2019/10/03 7:17:29 AM GMT+1","7","8","7","7","6","7","6","7","5","6","5","5","5","5","6","6","5","No"
"2019/10/03 7:20:28 AM GMT+1","7","7","7","5","5","7","6","7","3","4","3","5","5","5","7","4","4","No"
"2019/10/03 7:28:27 AM GMT+1","6","7","7","6","4","8","6","6","5","5","4","6","6","5","4","7","5","No"
"2019/10/03 7:52:00 AM GMT+1","7","6","5","5","3","7","5","6","2","2","2","4","3","4","5","5","6","No"
"2019/10/03 8:33:47 AM GMT+1","7","7","7","6","5","8","7","8","4","6","4","5","5","6","5","5","4","No"
"2019/10/03 8:48:06 AM GMT+1","7","6","7","5","5","8","7","9","6","7","5","","","6","6","6","6","No"
"2019/10/03 9:23:53 AM GMT+1","7","1","7","6","9","10","8","7","9","8","6","","","5","3","1","4","No"
"2019/10/03 9:41:35 AM GMT+1","7","6","6","5","4","7","5","6","4","5","5","6","6","5","5","5","5","No"
"2019/10/03 9:52:49 AM GMT+1","9","7","8","7","4","8","7","8","1","1","1","7","6","4","1","1","5","No"
"2019/10/03 10:31:20 AM GMT+1","6","7","6","6","5","6","5","7","4","6","4","6","6","4","4","3","4","No"
"2019/10/03 10:52:42 AM GMT+1","6","7","6","5","2","6","6","5","2","3","2","3","3","4","6","3","5","No"
"2019/10/03 11:03:44 AM GMT+1","7","8","6","6","4","7","5","6","2","3","2","9","5","6","4","10","4","No"
"2019/10/03 11:11:18 AM GMT+1","7","7","8","8","7","9","6","7","5","5","2","","","6","7","3","5","No"
"2019/10/03 11:57:38 AM GMT+1","6","6","6","5","4","7","5","6","4","6","4","","","6","6","6","5","No"
"2019/10/03 12:05:34 PM GMT+1","6","6","6","6","4","8","4","7","5","6","4","5","5","5","4","2","4","No"
"2019/10/03 12:37:43 PM GMT+1","7","7","8","7","4","8","6","7","4","5","4","7","5","6","1","5","5","No"
"2019/10/03 12:58:26 PM GMT+1","7","6","7","5","3","8","6","6","1","6","5","8","7","5","5","2","5","Yes"
"2019/10/03 1:03:25 PM GMT+1","7","7","7","7","7","8","6","7","6","6","6","6","6","6","5","5","5","No"
"2019/10/03 1:13:10 PM GMT+1","5","6","6","4","3","6","3","5","2","4","3","4","","5","6","4","3","No"
"2019/10/03 1:31:12 PM GMT+1","5","5","5","4","3","8","6","7","3","4","3","3","4","3","6","4","7","Yes"
"2019/10/03 1:37:51 PM GMT+1","6","5","6","5","5","8","6","7","4","6","4","6","6","4","3","5","4","No"
"2019/10/03 1:45:11 PM GMT+1","6","6","6","5","5","8","6","7","5","6","4","","","5","4","4","3","No"
"2019/10/03 1:46:52 PM GMT+1","4","4","3","4","3","7","5","7","3","7","3","","","3","2","3","3","Yes"
"2019/10/03 2:18:14 PM GMT+1","7","8","6","5","3","9","6","7","1","6","2","6","6","3","3","2","5","No"
"2019/10/03 3:48:14 PM GMT+1","7","6","5","6","4","6","6","5","4","5","4","5","4","4","5","4","6","No"
"2019/10/03 4:08:31 PM GMT+1","8","8","8","7","6","8","6","9","1","6","2","4","","6","5","7","5","No"
"2019/10/03 4:31:37 PM GMT+1","5","6","4","4","4","7","5","4","4","4","3","5","4","4","10","4","5","No"
"2019/10/03 4:37:03 PM GMT+1","6","5","5","5","4","4","5","7","4","4","3","7","6","5","4","3","5","No"
"2019/10/03 5:23:53 PM GMT+1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Yes"
"2019/10/03 6:16:23 PM GMT+1","7","6","6","5","4","8","5","8","4","5","6","","","6","8","8","5","No"
