"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Man City","Did the ref/VAR do a good job? (optional) (please be unbiased)"
"2019/12/08 2:41:31 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2019/12/08 2:41:47 PM GMT+1","8","7","7","7","9","8","8","9","7","7","7","6","8","9","9","7","Yes"
"2019/12/08 2:41:57 PM GMT+1","8","7","8","8","9","9","9","9","8","9","8","6","10","10","9","4","Yes"
"2019/12/08 2:42:09 PM GMT+1","7","7","8","8","9","8","7","9","7","7","7","","9","9","9","5","Yes"
"2019/12/08 2:42:22 PM GMT+1","9","8","8","9","10","9","8","8","7","8","9","6","9","8","9","3","Yes"
"2019/12/08 2:42:33 PM GMT+1","7","6","7","7","8","9","8","9","7","8","8","6","9","10","9","6","Yes"
"2019/12/08 2:42:38 PM GMT+1","9","9","8","9","10","10","9","10","9","9","10","7","10","10","10","6","Yes"
"2019/12/08 2:42:41 PM GMT+1","7","7","8","8","9","9","8","9","8","9","8","7","9","10","9","7","Yes"
"2019/12/08 2:42:56 PM GMT+1","9","8","8","9","10","10","9","9","8","8","8","7","9","10","10","7","Yes"
"2019/12/08 2:43:02 PM GMT+1","9","8","8","9","10","10","8","9","8","9","8","7","9","9","9","9","Yes"
"2019/12/08 2:43:09 PM GMT+1","8","8","8","8","10","8","8","9","7","7","7","4","10","10","10","1","Yes"
"2019/12/08 2:43:21 PM GMT+1","8","8","8","8","9","8","9","9","8","8","8","7","8","9","9","4","Yes"
"2019/12/08 2:43:25 PM GMT+1","8","6","7","7","9","8","7","8","7","7","8","6","8","10","9","8","Yes"
"2019/12/08 2:44:06 PM GMT+1","8","8","8","8","9","8","8","9","8","8","8","6","10","10","9","9","Yes"
"2019/12/08 2:44:58 PM GMT+1","8","7","9","9","10","8","8","10","9","9","9","7","8","7","9","5","No"
"2019/12/08 2:45:10 PM GMT+1","8","7","7","8","9","8","8","8","7","7","8","6","8","10","9","5","Yes"
"2019/12/08 2:45:19 PM GMT+1","9","8","8","9","10","10","10","9","8","9","10","7","10","10","10","6","Yes"
"2019/12/08 2:45:22 PM GMT+1","6","7","8","8","10","9","9","8","7","8","7","5","9","9","8","5","Yes"
"2019/12/08 2:45:32 PM GMT+1","8","7","7","9","10","8","7","8","7","7","7","6","9","10","9","7","Yes"
"2019/12/08 2:45:41 PM GMT+1","7","10","7","8","10","8","9","10","8","8","9","7","10","10","10","5","Yes"
"2019/12/08 2:45:48 PM GMT+1","8","9","8","9","10","10","9","10","9","10","9","8","9","10","10","7","Yes"
"2019/12/08 2:46:31 PM GMT+1","9","8","8","9","10","10","10","8","7","8","8","5","9","9","9","3","Yes"
"2019/12/08 2:46:41 PM GMT+1","8","8","7","9","10","9","9","9","9","9","9","7","10","8","10","8","Yes"
"2019/12/08 2:46:54 PM GMT+1","8","8","8","8","9","9","9","9","8","8","8","7","10","10","8","5","Yes"
"2019/12/08 2:47:01 PM GMT+1","8","8","8","8","10","9","9","10","8","8","9","10","10","10","10","1","Yes"
"2019/12/08 2:47:14 PM GMT+1","8","6","6","9","10","10","9","10","8","8","8","5","10","9","10","1","No"
"2019/12/08 2:47:30 PM GMT+1","9","8","9","9","10","10","10","10","9","8","9","6","9","10","10","8","Yes"
"2019/12/08 2:48:37 PM GMT+1","9","9","9","9","10","9","9","9","9","9","9","8","9","10","9","5","Yes"
"2019/12/08 2:48:43 PM GMT+1","8","8","7","9","10","8","8","9","8","8","8","5","9","7","9","9","Yes"
"2019/12/08 2:49:21 PM GMT+1","7","7","6","7","9","8","7","9","7","8","8","5","10","8","10","6","Yes"
"2019/12/08 2:50:01 PM GMT+1","8","7","9","9","10","10","10","9","8","8","9","","9","9","10","1","No"
"2019/12/08 2:50:13 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","5","10","10","10","3","Yes"
