"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Ashley Young (in for Shaw)","Mason Greenwood (in for Lingard)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Crystal Palace (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/25 7:18:55 PM GMT+1","2","4","4","4","5","5","6","5","4","7","5","4","2","5","1","5","6","No"
"2019/08/25 7:19:38 PM GMT+1","5","6","8","6","9","6","8","7","4","7","7","3","6","3","1","4","8","No"
"2019/08/25 7:19:42 PM GMT+1","2","4","5","4","5","1","6","2","1","5","6","6","2","3","1","1","5","No"
"2019/08/25 7:19:55 PM GMT+1","8","6","9","7","9","8","10","5","7","9","10","8","5","4","1","7","8","No"
"2019/08/25 7:19:59 PM GMT+1","3","6","6","5","8","4","4","4","2","6","6","6","3","4","1","3","4","No"
"2019/08/25 7:20:19 PM GMT+1","4","5","6","5","5","4","5","2","1","6","5","5","4","2","2","1","8","No"
"2019/08/25 7:20:48 PM GMT+1","6","4","7","5","7","4","7","7","4","5","7","5","5","5","1","3","5","No"
"2019/08/25 7:20:52 PM GMT+1","4","8","7","5","9","7","7","5","4","8","7","6","5","4","1","5","6","Yes"
"2019/08/25 7:21:05 PM GMT+1","4","4","5","5","5","4","5","4","3","6","7","5","4","3","1","3","7","No"
"2019/08/25 7:21:42 PM GMT+1","3","2","8","4","8","4","7","4","1","8","8","6","5","3","1","2","6","No"
"2019/08/25 7:22:11 PM GMT+1","4","5","4","4","7","7","7","6","4","7","7","6","5","5","2","5","7","No"
"2019/08/25 7:22:27 PM GMT+1","3","4","5","3","6","4","6","5","3","6","7","7","5","5","3","4","7","No"
"2019/08/25 7:23:05 PM GMT+1","3","3","4","2","3","5","5","1","2","8","7","1","3","3","1","1","7","Yes"
"2019/08/25 7:23:14 PM GMT+1","5","5","7","5","6","6","7","5","3","7","6","6","5","3","2","4","7","No"
"2019/08/25 7:23:18 PM GMT+1","4","5","5","5","6","6","6","4","3","6","5","4","3","5","1","3","5","No"
"2019/08/25 7:24:23 PM GMT+1","1","1","7","1","5","1","8","4","1","7","9","1","10","1","1","1","4","No"
"2019/08/25 7:24:50 PM GMT+1","3","5","6","4","5","6","6","4","2","6","6","3","4","3","4","6","3","No"
"2019/08/25 7:25:07 PM GMT+1","2","5","4","3","4","3","5","5","4","7","6","4","4","3","1","4","4","No"
"2019/08/25 7:25:30 PM GMT+1","1","5","5","2","7","2","6","3","1","7","6","5","3","4","1","3","5","No"
"2019/08/25 7:25:43 PM GMT+1","6","7","7","7","7","6","8","7","5","8","8","8","5","7","6","7","7","No"
"2019/08/25 7:26:01 PM GMT+1","3","5","5","3","5","4","5","1","1","4","6","6","2","2","1","2","6","Yes"
"2019/08/25 7:26:12 PM GMT+1","5","7","5","4","7","5","8","5","3","7","6","8","8","4","1","5","1","No"
"2019/08/25 7:26:57 PM GMT+1","2","5","4","4","6","6","6","6","7","8","7","6","5","4","1","7","7","No"
"2019/08/25 7:27:34 PM GMT+1","2","3","3","3","5","7","7","7","6","7","6","6","3","5","1","9","4","No"
"2019/08/25 7:27:43 PM GMT+1","3","5","5","3","4","5","6","5","3","7","6","4","2","4","1","3","3","No"
"2019/08/25 7:28:05 PM GMT+1","5","5","6","5","7","8","9","8","6","8","9","6","5","6","1","4","6","No"
"2019/08/25 7:28:53 PM GMT+1","5","8","6","4","7","6","7","6","1","7","7","4","5","6","4","4","8","No"
"2019/08/25 7:29:04 PM GMT+1","5","6","8","6","6","5","5","6","3","6","8","7","3","6","1","4","4","No"
"2019/08/25 7:29:18 PM GMT+1","4","4","5","5","6","5","8","5","4","7","6","6","4","4","1","3","5","No"
"2019/08/25 7:29:43 PM GMT+1","4","4","6","5","6","4","7","5","4","7","5","5","3","3","1","3","7","No"
"2019/08/25 7:29:58 PM GMT+1","3","4","5","4","4","6","8","2","1","7","8","6","4","2","1","2","5","No"
"2019/08/25 7:31:22 PM GMT+1","6","7","6","6","7","6","8","7","6","8","7","7","6","6","4","6","7","No"
"2019/08/25 7:31:58 PM GMT+1","5","5","6","5","6","5","7","5","3","7","8","3","5","5","1","4","7","No"
"2019/08/25 7:32:09 PM GMT+1","3","4","6","4","6","5","5","5","4","6","5","4","4","4","1","4","5","No"
"2019/08/25 7:32:25 PM GMT+1","5","5","6","5","8","7","7","7","6","8","9","7","6","6","1","4","1","No"
"2019/08/25 7:32:58 PM GMT+1","4","5","5","5","5","5","5","5","3","5","5","4","4","4","1","3","7","No"
"2019/08/25 7:34:17 PM GMT+1","5","6","7","5","7","6","6","6","4","7","7","7","6","6","4","6","5","No"
"2019/08/25 7:34:20 PM GMT+1","6","5","6","5","7","6","6","5","3","4","7","5","5","4","3","6","7","No"
"2019/08/25 7:35:13 PM GMT+1","5","6","7","6","6","6","6","5","5","6","6","7","5","6","2","4","5","No"
"2019/08/25 7:35:58 PM GMT+1","3","5","6","4","7","7","6","8","4","7","7","7","4","7","1","5","1","No"
"2019/08/25 7:37:45 PM GMT+1","3","5","5","4","6","7","6","5","4","7","7","5","5","5","1","4","4","No"
"2019/08/25 7:39:06 PM GMT+1","2","5","5","5","7","6","7","4","4","8","5","8","3","3","1","2","3","No"
"2019/08/25 7:40:48 PM GMT+1","4","5","5","3","7","6","8","5","5","6","4","5","2","5","1","5","4","No"
"2019/08/25 7:41:03 PM GMT+1","2","4","5","3","6","5","5","3","3","8","5","4","5","3","2","4","8","No"
"2019/08/25 7:41:07 PM GMT+1","5","6","6","5","6","3","5","4","3","7","7","6","2","5","4","3","8","No"
"2019/08/25 7:41:32 PM GMT+1","6","6","6","6","7","5","7","4","3","7","8","5","6","5","2","4","7","No"
"2019/08/25 7:42:16 PM GMT+1","4","5","7","3","8","5","6","6","2","7","6","4","3","5","1","6","6","No"
"2019/08/25 7:42:19 PM GMT+1","4","5","7","3","8","5","6","6","2","7","6","4","3","5","1","6","6","No"
"2019/08/25 7:45:26 PM GMT+1","6","6","6","6","6","6","6","6","5","7","7","7","4","6","3","3","7","No"
"2019/08/25 7:45:49 PM GMT+1","6","6","6","5","7","6","6","5","5","6","6","5","5","4","1","4","6","No"
"2019/08/25 7:46:18 PM GMT+1","6","8","5","5","7","6","7","6","3","9","7","6","4","4","4","6","8","No"
"2019/08/25 7:47:34 PM GMT+1","4","6","6","5","6","5","6","6","4","7","6","6","5","5","3","4","5","No"
"2019/08/25 7:48:34 PM GMT+1","4","6","6","4","6","6","5","3","1","7","7","4","5","5","1","6","7","No"
"2019/08/25 7:50:02 PM GMT+1","10","5","5","10","5","5","5","10","10","5","5","10","5","9","9","10","8","Yes"
"2019/08/25 7:50:05 PM GMT+1","3","7","5","4","7","6","7","6","4","7","8","7","5","5","2","5","6","No"
"2019/08/25 7:50:36 PM GMT+1","4","5","7","6","4","5","6","4","3","6","6","7","5","4","1","6","5","No"
