"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Ashley Young (in for Shaw)","Mason Greenwood (in for Lingard)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Crystal Palace (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/25 9:17:31 PM GMT+1","4","6","5","5","6","5","7","2","1","6","7","6","5","3","1","1","1","No"
"2019/08/25 9:18:37 PM GMT+1","1","5","5","5","8","5","7","5","4","9","6","6","5","5","2","5","5","No"
"2019/08/25 9:18:51 PM GMT+1","6","7","9","7","9","6","8","7","5","9","8","7","7","7","1","8","5","No"
"2019/08/25 9:21:13 PM GMT+1","4","5","6","4","6","4","6","5","4","6","6","4","5","5","1","5","7","No"
"2019/08/25 9:21:21 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","Yes"
"2019/08/25 9:22:00 PM GMT+1","4","5","6","5","5","5","7","6","3","6","6","4","4","4","4","5","5","No"
"2019/08/25 9:22:20 PM GMT+1","6","5","7","5","8","7","8","7","7","8","7","7","6","8","5","8","7","No"
"2019/08/25 9:22:35 PM GMT+1","3","6","7","6","7","6","7","5","5","7","7","5","5","4","3","5","7","No"
"2019/08/25 9:22:47 PM GMT+1","7","8","7","6","9","6","7","5","5","8","7","8","6","6","5","5","6","No"
"2019/08/25 9:22:57 PM GMT+1","4","4","5","2","5","4","6","3","1","3","4","4","3","3","3","4","5","No"
"2019/08/25 9:23:18 PM GMT+1","4","7","6","6","8","6","8","7","4","9","9","5","5","6","1","6","3","No"
"2019/08/25 9:23:41 PM GMT+1","6","6","6","6","5","5","8","7","3","8","6","6","2","4","2","3","7","No"
"2019/08/25 9:24:23 PM GMT+1","7","5","8","6","7","7","5","3","1","7","6","6","5","3","1","5","3","No"
"2019/08/25 9:25:04 PM GMT+1","3","5","5","5","7","6","6","6","5","6","8","6","5","3","1","6","5","No"
"2019/08/25 9:25:20 PM GMT+1","4","4","5","4","5","5","6","4","2","6","6","5","2","5","2","4","7","No"
"2019/08/25 9:26:27 PM GMT+1","6","6","5","6","7","7","7","6","4","7","6","7","4","7","2","7","2","No"
"2019/08/25 9:28:59 PM GMT+1","4","6","6","5","7","5","6","4","1","7","6","8","4","3","1","4","6","No"
"2019/08/25 9:29:04 PM GMT+1","3","5","6","3","7","5","5","6","4","6","6","6","2","6","1","6","2","No"
"2019/08/25 9:29:04 PM GMT+1","3","6","8","6","7","7","8","7","5","7","7","5","4","6","3","6","8","No"
"2019/08/25 9:30:33 PM GMT+1","6","6","7","6","7","7","6","7","5","7","6","6","4","5","2","7","7","No"
"2019/08/25 9:30:56 PM GMT+1","4","4","5","5","7","5","6","4","2","7","5","5","5","3","1","3","3","No"
"2019/08/25 9:31:19 PM GMT+1","6","7","6","4","6","6","7","4","3","8","6","7","6","5","5","5","3","No"
"2019/08/25 9:31:39 PM GMT+1","4","6","7","4","6","6","6","4","4","7","6","4","5","4","1","5","7","No"
"2019/08/25 9:32:31 PM GMT+1","4","5","5","4","6","5","7","6","2","8","7","6","4","6","1","5","4","No"
"2019/08/25 9:34:15 PM GMT+1","4","5","5","4","5","5","6","6","3","6","6","6","3","3","1","3","8","No"
"2019/08/25 9:34:50 PM GMT+1","5","5","6","3","7","6","6","4","2","8","8","5","4","5","1","6","6","No"
"2019/08/25 9:36:47 PM GMT+1","6","7","6","4","5","5","6","5","3","7","6","4","6","4","4","6","8","Yes"
"2019/08/25 9:39:10 PM GMT+1","4","5","5","4","6","6","7","7","7","8","8","5","4","7","7","6","2","No"
"2019/08/25 9:39:20 PM GMT+1","5","6","6","7","7","6","7","7","7","7","7","8","4","6","4","4","9","No"
"2019/08/25 9:39:52 PM GMT+1","3","6","5","5","8","5","8","6","3","7","6","6","5","4","1","2","8","No"
"2019/08/25 9:41:10 PM GMT+1","3","6","5","5","6","6","9","5","4","7","7","5","5","4","1","7","7","No"
"2019/08/25 9:42:11 PM GMT+1","7","6","6","6","7","7","7","7","6","7","8","6","6","7","4","7","4","No"
"2019/08/25 9:42:41 PM GMT+1","4","5","5","4","7","4","8","6","3","7","6","4","4","4","1","6","7","No"
"2019/08/25 9:43:17 PM GMT+1","6","6","7","6","6","6","6","5","4","8","7","6","6","5","2","3","7","No"
"2019/08/25 9:43:49 PM GMT+1","4","5","8","5","8","8","7","6","5","8","5","7","2","5","2","6","8","No"
"2019/08/25 9:44:11 PM GMT+1","5","4","6","4","6","5","7","6","2","8","8","8","4","5","1","7","5","No"
"2019/08/25 9:44:32 PM GMT+1","3","4","4","3","5","3","6","4","1","7","5","5","5","4","1","2","8","No"
"2019/08/25 9:44:40 PM GMT+1","1","1","1","1","1","1","1","1","1","10","1","1","1","1","1","1","1","No"
"2019/08/25 9:44:57 PM GMT+1","7","7","6","6","7","6","7","7","5","7","8","6","5","6","1","6","4","No"
"2019/08/25 9:46:56 PM GMT+1","6","6","4","7","6","7","8","6","6","7","7","6","5","6","3","5","5","No"
"2019/08/25 9:47:01 PM GMT+1","1","1","2","2","5","2","3","2","1","3","6","4","3","2","1","1","5","No"
"2019/08/25 9:47:42 PM GMT+1","4","4","7","5","7","7","6","6","5","8","7","6","6","5","3","6","4","No"
"2019/08/25 9:48:16 PM GMT+1","1","4","8","7","9","7","10","5","4","8","5","6","4","2","1","4","3","No"
"2019/08/25 9:48:16 PM GMT+1","6","5","6","4","8","5","7","7","2","7","5","4","4","4","2","5","7","No"
"2019/08/25 9:49:42 PM GMT+1","5","5","8","5","7","6","7","5","3","7","6","4","5","5","1","4","6","Yes"
"2019/08/25 9:51:01 PM GMT+1","4","5","5","3","6","7","8","6","2","6","4","5","3","6","1","7","4","No"
"2019/08/25 9:52:05 PM GMT+1","4","5","4","4","5","5","6","5","4","6","5","5","6","5","4","4","6","No"
"2019/08/25 9:52:18 PM GMT+1","4","4","6","5","7","6","6","6","5","8","7","6","5","6","1","4","7","No"
"2019/08/25 9:54:32 PM GMT+1","5","4","5","4","6","5","6","6","4","7","6","6","4","5","1","5","8","No"
"2019/08/25 9:54:33 PM GMT+1","4","5","5","6","6","5","6","5","3","5","6","5","5","4","5","7","5","No"
"2019/08/25 9:54:55 PM GMT+1","5","5","6","4","6","6","7","7","5","6","6","6","5","6","3","5","6","No"
"2019/08/25 9:55:47 PM GMT+1","1","2","5","5","5","5","8","1","1","8","5","5","4","1","1","4","8","No"
"2019/08/25 9:55:47 PM GMT+1","4","6","6","4","7","7","6","7","2","8","7","5","4","4","1","5","3","No"
"2019/08/25 9:55:57 PM GMT+1","3","4","6","5","5","3","6","5","1","4","7","7","4","2","1","3","10","No"
"2019/08/25 9:56:42 PM GMT+1","4","6","6","5","6","7","7","6","3","7","7","7","5","4","2","4","8","No"
"2019/08/25 9:58:36 PM GMT+1","4","5","6","6","7","5","6","5","2","7","8","6","4","4","1","5","7","No"
"2019/08/25 10:01:35 PM GMT+1","3","4","4","4","7","5","6","4","3","6","8","6","4","3","4","2","7","No"
"2019/08/25 10:02:51 PM GMT+1","4","5","7","5","7","8","7","8","4","9","8","7","6","3","2","6","6","No"
"2019/08/25 10:03:02 PM GMT+1","3","4","6","5","6","6","5","4","2","7","6","6","5","5","2","4","7","No"
"2019/08/25 10:03:28 PM GMT+1","5","4","5","5","5","6","6","6","5","6","6","5","5","4","7","8","8","No"
"2019/08/25 10:03:48 PM GMT+1","1","3","5","6","8","2","7","4","1","6","7","4","3","1","1","1","1","No"
"2019/08/25 10:04:05 PM GMT+1","4","5","4","4","6","3","6","5","4","5","6","4","4","3","1","4","6","No"
"2019/08/25 10:06:14 PM GMT+1","5","6","6","5","6","6","7","6","4","8","7","5","5","5","2","6","7","No"
"2019/08/25 10:06:18 PM GMT+1","6","7","7","6","8","7","8","7","7","8","8","7","5","6","5","6","6","No"
"2019/08/25 10:07:59 PM GMT+1","4","7","8","5","9","6","6","7","4","9","7","6","7","7","1","6","7","No"
"2019/08/25 10:08:18 PM GMT+1","4","6","5","4","7","7","7","6","3","7","7","7","5","4","3","3","5","No"
"2019/08/25 10:10:40 PM GMT+1","4","4","4","4","6","5","5","4","4","9","6","5","5","6","1","9","2","No"
"2019/08/25 10:11:21 PM GMT+1","4","4","4","4","6","5","5","4","4","9","6","5","5","6","2","10","2","No"
"2019/08/25 10:11:40 PM GMT+1","3","5","4","4","5","5","5","5","5","6","5","5","3","5","3","3","5","No"
"2019/08/25 10:13:51 PM GMT+1","6","5","7","4","6","7","7","6","5","7","7","6","5","5","3","7","8","No"
"2019/08/25 10:14:05 PM GMT+1","6","6","7","6","6","7","6","8","6","9","7","6","5","6","1","4","7","No"
"2019/08/25 10:14:47 PM GMT+1","5","5","5","5","6","6","6","6","5","7","7","7","4","6","1","7","4","No"
"2019/08/25 10:15:28 PM GMT+1","5","6","6","5","6","5","5","6","3","7","6","5","6","5","3","4","4","No"
"2019/08/25 10:15:32 PM GMT+1","4","6","5","4","6","4","6","5","3","5","5","5","5","3","1","2","6","No"
"2019/08/25 10:18:49 PM GMT+1","3","7","6","4","7","5","6","4","2","6","7","3","3","3","1","3","2","No"
"2019/08/25 10:18:52 PM GMT+1","6","5","6","7","8","7","7","7","5","9","8","5","7","5","2","5","6","No"
"2019/08/25 10:18:53 PM GMT+1","6","7","7","6","7","8","8","5","3","6","8","5","5","5","4","5","4","No"
"2019/08/25 10:19:28 PM GMT+1","5","7","8","8","6","8","5","3","2","9","9","8","7","5","1","4","6","No"
"2019/08/25 10:21:02 PM GMT+1","3","3","5","4","5","5","5","4","4","6","4","5","4","4","1","3","5","No"
"2019/08/25 10:22:45 PM GMT+1","2","1","6","4","5","4","6","5","2","8","7","7","3","4","1","5","6","No"
"2019/08/25 10:22:50 PM GMT+1","3","4","4","5","4","5","7","7","3","6","5","5","3","4","2","3","5","No"
"2019/08/25 10:23:31 PM GMT+1","6","7","7","5","8","5","6","7","7","9","8","6","7","6","1","4","3","No"
"2019/08/25 10:24:27 PM GMT+1","5","8","5","5","6","8","6","8","4","9","9","10","5","4","4","5","10","No"
"2019/08/25 10:25:45 PM GMT+1","2","4","6","4","6","5","5","4","3","6","6","4","4","5","3","3","4","No"
"2019/08/25 10:26:01 PM GMT+1","4","5","5","4","5","3","6","5","3","6","5","5","5","4","1","5","5","No"
"2019/08/25 10:27:42 PM GMT+1","4","5","6","5","7","6","8","5","3","7","7","5","4","5","2","4","4","No"
"2019/08/25 10:28:13 PM GMT+1","3","5","6","4","6","8","7","7","4","6","6","7","5","3","1","4","6","No"
"2019/08/25 10:28:23 PM GMT+1","3","6","4","4","5","5","7","5","4","7","6","6","6","4","3","3","7","No"
"2019/08/25 10:30:06 PM GMT+1","5","5","7","4","4","3","6","4","3","6","7","5","4","4","4","5","4","No"
"2019/08/25 10:33:31 PM GMT+1","6","6","6","4","4","4","4","4","2","8","9","1","10","5","1","1","5","No"
"2019/08/25 10:33:36 PM GMT+1","4","6","5","4","6","5","6","5","3","4","4","4","5","4","1","5","6","No"
"2019/08/25 10:34:50 PM GMT+1","5","6","6","5","6","5","7","7","4","7","8","6","5","6","1","6","1","No"
"2019/08/25 10:37:02 PM GMT+1","5","4","7","5","8","5","8","5","6","8","7","6","2","4","1","4","8","No"
"2019/08/25 10:37:35 PM GMT+1","5","3","1","10","7","5","4","4","3","6","2","2","2","3","2","3","6","No"
"2019/08/25 10:37:35 PM GMT+1","5","5","6","5","5","5","7","7","4","7","8","8","5","6","2","5","3","No"
"2019/08/25 10:38:29 PM GMT+1","4","5","5","5","6","4","6","5","3","6","6","6","4","2","1","1","5","No"
"2019/08/25 10:39:11 PM GMT+1","2","3","4","2","7","2","3","1","1","7","2","3","1","3","2","3","5","No"
"2019/08/25 10:39:46 PM GMT+1","4","3","5","3","6","4","6","5","3","6","5","4","5","4","1","2","6","No"
"2019/08/25 10:41:40 PM GMT+1","4","4","6","3","6","6","6","6","2","6","6","5","4","6","1","2","5","Yes"
"2019/08/25 10:45:18 PM GMT+1","5","4","5","4","6","5","5","5","4","6","6","6","4","4","2","3","3","No"
"2019/08/25 10:49:55 PM GMT+1","6","4","6","5","5","2","7","3","1","6","5","5","7","5","1","3","6","No"
"2019/08/25 10:50:54 PM GMT+1","6","6","6","5","7","7","6","5","2","7","6","5","5","5","1","5","6","No"
"2019/08/25 10:51:21 PM GMT+1","6","6","7","7","7","5","6","6","4","7","8","5","5","5","1","5","5","No"
"2019/08/25 10:52:22 PM GMT+1","4","7","6","5","8","6","7","5","5","8","8","7","6","6","1","5","9","No"
"2019/08/25 10:53:29 PM GMT+1","3","5","3","3","6","6","5","4","4","6","5","5","3","4","1","5","7","No"
"2019/08/25 10:54:01 PM GMT+1","5","5","6","5","7","5","6","6","5","7","7","4","5","3","1","3","5","No"
"2019/08/25 10:54:52 PM GMT+1","5","6","5","5","6","5","7","6","6","8","8","7","5","6","2","5","6","No"
"2019/08/25 10:59:39 PM GMT+1","6","6","7","5","6","7","6","7","4","8","7","5","5","5","1","5","6","No"
"2019/08/25 11:00:30 PM GMT+1","4","6","5","4","7","6","5","6","4","8","7","10","6","4","3","3","7","No"
"2019/08/25 11:01:05 PM GMT+1","5","6","6","5","6","6","6","6","2","6","6","6","5","4","2","4","4","No"
"2019/08/25 11:01:28 PM GMT+1","6","6","6","6","8","7","7","6","6","7","7","5","5","6","3","5","7","No"
"2019/08/25 11:02:18 PM GMT+1","4","5","3","3","5","5","6","4","3","7","6","5","4","5","2","5","3","No"
"2019/08/25 11:02:24 PM GMT+1","3","3","4","6","7","4","6","4","2","3","6","6","3","6","1","2","3","No"
"2019/08/25 11:03:01 PM GMT+1","5","4","5","5","7","6","6","5","4","7","8","5","6","6","5","6","8","No"
"2019/08/25 11:03:08 PM GMT+1","2","3","5","4","6","6","6","4","2","6","6","5","4","3","1","2","7","No"
"2019/08/25 11:03:45 PM GMT+1","4","5","6","4","7","6","6","3","1","6","6","5","3","5","1","4","4","No"
"2019/08/25 11:05:45 PM GMT+1","5","5","6","6","6","6","6","6","4","6","7","6","5","5","1","3","3","No"
"2019/08/25 11:06:34 PM GMT+1","3","4","5","3","5","6","4","4","1","7","7","4","3","3","1","1","8","No"
"2019/08/25 11:09:25 PM GMT+1","4","5","6","5","7","7","6","6","3","8","8","7","1","6","3","6","8","No"
"2019/08/25 11:10:08 PM GMT+1","6","7","7","6","6","7","8","7","4","8","8","6","7","7","1","7","8","No"
"2019/08/25 11:11:03 PM GMT+1","5","6","5","4","6","4","5","6","5","8","7","7","6","5","1","6","4","No"
"2019/08/25 11:11:28 PM GMT+1","3","4","4","4","7","5","8","6","5","8","7","7","6","4","2","4","5","No"
"2019/08/25 11:12:36 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","Yes"
"2019/08/25 11:12:37 PM GMT+1","6","7","8","7","9","8","9","8","4","9","9","6","5","8","3","4","3","No"
"2019/08/25 11:13:20 PM GMT+1","6","5","7","6","6","6","7","7","5","6","7","8","3","6","6","5","5","No"
"2019/08/25 11:14:09 PM GMT+1","5","5","8","6","7","7","5","6","4","7","6","6","6","5","1","3","6","No"
"2019/08/25 11:15:04 PM GMT+1","7","5","6","6","5","8","6","7","6","7","8","6","6","4","5","6","8","No"
"2019/08/25 11:19:43 PM GMT+1","3","5","6","4","7","5","7","7","5","8","7","6","5","6","1","7","5","No"
"2019/08/25 11:23:33 PM GMT+1","4","7","5","5","6","5","6","5","4","6","8","4","5","5","1","4","4","No"
"2019/08/25 11:23:59 PM GMT+1","4","6","7","5","7","7","6","6","5","7","7","6","6","6","6","6","7","No"
"2019/08/25 11:26:01 PM GMT+1","4","6","5","4","5","5","6","4","1","5","5","4","2","3","1","2","7","Yes"
"2019/08/25 11:26:01 PM GMT+1","4","7","6","6","5","7","8","6","3","7","6","7","6","6","1","5","4","No"
"2019/08/25 11:28:36 PM GMT+1","6","5","7","4","8","7","8","6","5","8","7","8","3","6","2","6","7","No"
"2019/08/25 11:29:05 PM GMT+1","3","5","5","4","6","6","6","7","4","7","7","5","4","5","1","4","7","No"
"2019/08/25 11:30:31 PM GMT+1","2","3","3","4","5","4","3","3","2","4","6","3","3","3","2","3","3","No"
"2019/08/25 11:31:25 PM GMT+1","4","6","5","5","5","4","4","2","2","5","6","3","3","3","1","2","7","Yes"
"2019/08/25 11:32:48 PM GMT+1","3","3","4","4","3","5","4","2","1","7","7","4","2","3","1","3","2","No"
"2019/08/25 11:35:20 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","1","10","Yes"
"2019/08/25 11:36:03 PM GMT+1","1","4","4","7","5","4","4","2","1","3","8","3","1","5","1","1","8","Yes"
"2019/08/25 11:36:04 PM GMT+1","2","3","4","2","3","2","4","3","1","5","5","1","4","1","1","1","5","No"
"2019/08/25 11:37:02 PM GMT+1","6","6","7","5","6","5","6","6","5","7","7","6","4","6","3","5","3","No"
"2019/08/25 11:37:09 PM GMT+1","4","4","3","3","5","4","4","4","3","4","4","3","4","1","1","2","3","No"
"2019/08/25 11:37:49 PM GMT+1","5","6","5","5","7","6","6","6","5","6","6","7","5","5","3","4","5","No"
"2019/08/25 11:38:02 PM GMT+1","6","7","7","6","8","7","9","9","6","8","8","8","6","8","1","7","1","No"
"2019/08/25 11:38:15 PM GMT+1","5","6","6","6","7","7","8","6","5","7","9","6","6","6","3","7","6","No"
"2019/08/25 11:39:17 PM GMT+1","3","5","5","3","6","4","3","5","4","7","5","6","4","3","2","4","3","No"
"2019/08/25 11:39:56 PM GMT+1","4","6","7","5","7","5","7","6","4","8","8","6","6","6","1","7","9","No"
"2019/08/25 11:42:00 PM GMT+1","4","4","6","4","7","5","6","2","3","6","7","6","3","3","2","5","7","No"
"2019/08/25 11:43:07 PM GMT+1","3","6","5","4","6","5","7","5","5","7","7","6","5","4","1","6","7","No"
"2019/08/25 11:43:44 PM GMT+1","4","6","6","4","5","5","6","3","1","7","6","5","5","3","7","4","7","No"
"2019/08/25 11:44:37 PM GMT+1","5","5","6","5","6","7","7","6","3","7","6","6","6","5","3","5","7","No"
"2019/08/25 11:44:57 PM GMT+1","4","3","4","1","2","2","5","2","1","7","5","2","3","2","1","1","6","Yes"
"2019/08/25 11:45:06 PM GMT+1","4","6","7","7","8","7","6","6","2","7","8","5","3","6","1","6","3","No"
"2019/08/25 11:46:08 PM GMT+1","5","5","6","6","5","5","6","4","2","7","5","5","4","3","5","3","7","No"
"2019/08/25 11:46:45 PM GMT+1","3","5","6","4","7","6","7","8","5","8","7","6","4","5","3","7","7","No"
"2019/08/25 11:47:14 PM GMT+1","6","6","6","5","6","6","7","6","5","7","7","7","6","6","2","6","7","No"
"2019/08/25 11:47:29 PM GMT+1","2","6","6","5","6","6","6","5","2","7","6","5","4","6","1","4","2","No"
"2019/08/25 11:48:05 PM GMT+1","3","5","6","4","6","5","5","3","5","6","6","6","7","4","2","2","5","No"
"2019/08/25 11:49:50 PM GMT+1","2","4","6","2","9","9","5","5","2","7","6","8","5","5","1","4","6","No"
"2019/08/25 11:49:56 PM GMT+1","6","6","6","6","7","6","6","6","5","7","6","6","5","6","3","3","4","No"
"2019/08/25 11:50:50 PM GMT+1","6","6","5","3","8","7","5","4","3","6","5","6","2","4","1","2","6","No"
"2019/08/25 11:54:35 PM GMT+1","4","5","7","6","8","8","9","6","5","7","8","6","5","7","2","5","4","No"
"2019/08/25 11:55:01 PM GMT+1","6","4","6","5","6","7","7","5","5","7","5","4","5","5","1","6","6","No"
"2019/08/25 11:57:43 PM GMT+1","4","6","7","6","8","6","7","6","5","8","7","7","5","6","3","6","4","No"
"2019/08/26 12:00:57 AM GMT+1","4","5","5","4","7","6","7","7","4","8","6","7","4","4","1","4","6","No"
"2019/08/26 12:01:00 AM GMT+1","5","7","7","5","9","8","8","7","6","8","6","6","4","6","3","5","4","No"
"2019/08/26 12:01:07 AM GMT+1","4","5","5","3","5","5","6","6","2","7","6","2","3","5","1","5","6","No"
"2019/08/26 12:02:16 AM GMT+1","3","4","3","3","6","6","7","5","4","7","7","5","5","6","4","6","7","No"
"2019/08/26 12:04:44 AM GMT+1","5","4","6","6","6","5","8","5","4","7","6","5","7","5","5","6","8","No"
"2019/08/26 12:05:11 AM GMT+1","2","4","3","3","4","5","5","4","2","6","4","5","2","3","1","2","8","No"
"2019/08/26 12:07:13 AM GMT+1","1","1","3","2","2","9","2","2","10","5","2","10","10","2","1","1","7","Yes"
"2019/08/26 12:08:04 AM GMT+1","5","6","6","6","6","3","5","2","4","7","6","6","6","5","1","7","4","No"
"2019/08/26 12:10:30 AM GMT+1","1","1","5","5","10","6","7","5","1","10","5","10","5","1","1","6","1","No"
"2019/08/26 12:11:55 AM GMT+1","3","5","5","4","6","5","4","6","3","6","6","5","2","3","1","4","7","No"
"2019/08/26 12:11:58 AM GMT+1","6","5","5","5","7","7","7","6","6","7","7","7","6","5","2","5","7","No"
"2019/08/26 12:17:13 AM GMT+1","4","4","5","5","7","6","5","4","2","6","5","4","3","4","1","5","6","No"
"2019/08/26 12:21:10 AM GMT+1","5","7","6","6","7","7","7","6","5","7","7","7","7","7","1","7","7","No"
"2019/08/26 12:23:16 AM GMT+1","5","5","6","6","6","6","7","6","5","7","6","6","6","4","1","5","5","No"
"2019/08/26 12:24:50 AM GMT+1","3","6","6","4","7","3","8","5","3","6","5","8","3","4","1","6","6","No"
"2019/08/26 12:24:54 AM GMT+1","5","6","7","5","7","7","7","7","5","6","7","6","6","7","1","7","3","No"
"2019/08/26 12:25:10 AM GMT+1","4","6","5","4","5","5","6","2","2","6","4","4","3","2","1","3","8","No"
"2019/08/26 12:26:24 AM GMT+1","4","6","7","5","7","5","7","6","4","6","7","6","5","5","2","5","7","No"
"2019/08/26 12:28:20 AM GMT+1","4","5","7","6","7","7","7","6","4","8","7","5","5","5","4","6","6","No"
"2019/08/26 12:29:00 AM GMT+1","5","7","7","6","9","9","7","7","1","9","9","7","1","6","1","2","8","No"
"2019/08/26 12:30:17 AM GMT+1","4","5","6","4","6","7","6","6","5","7","7","5","6","5","1","3","9","No"
"2019/08/26 12:31:09 AM GMT+1","1","5","7","5","8","9","6","6","1","9","8","6","5","8","1","9","8","No"
"2019/08/26 12:32:13 AM GMT+1","3","5","4","4","6","5","7","7","6","7","8","6","5","4","2","7","6","No"
"2019/08/26 12:32:40 AM GMT+1","2","7","5","4","6","8","3","6","6","7","7","6","4","6","2","6","2","No"
"2019/08/26 12:33:34 AM GMT+1","5","6","6","5","6","7","6","5","4","6","6","5","6","5","3","5","6","No"
"2019/08/26 12:34:04 AM GMT+1","3","5","5","5","5","3","5","6","5","6","6","6","3","6","1","6","3","No"
"2019/08/26 12:34:19 AM GMT+1","2","2","4","3","5","5","5","3","1","6","5","2","5","3","1","1","3","No"
"2019/08/26 12:34:45 AM GMT+1","3","4","5","4","5","4","4","4","3","5","5","6","6","3","3","5","6","No"
"2019/08/26 12:37:31 AM GMT+1","3","2","5","6","7","7","7","6","1","7","7","2","2","7","2","1","5","No"
"2019/08/26 12:39:19 AM GMT+1","3","6","6","5","7","6","7","6","5","7","7","6","6","6","1","5","5","No"
"2019/08/26 12:39:48 AM GMT+1","6","7","6","6","7","7","6","5","4","7","7","7","5","6","4","6","8","No"
"2019/08/26 12:40:13 AM GMT+1","4","5","4","4","6","5","6","6","5","7","6","6","6","5","3","5","7","No"
"2019/08/26 12:41:23 AM GMT+1","4","4","6","6","7","5","8","6","5","6","7","6","6","5","4","4","6","No"
"2019/08/26 12:45:24 AM GMT+1","8","9","8","6","9","8","9","8","10","10","10","10","6","6","1","8","4","No"
"2019/08/26 12:45:42 AM GMT+1","6","5","7","5","6","6","7","7","3","7","7","6","5","6","1","6","4","No"
"2019/08/26 12:47:47 AM GMT+1","1","6","6","6","6","6","8","4","4","6","5","5","5","6","1","7","3","No"
"2019/08/26 12:50:09 AM GMT+1","3","5","6","6","7","5","7","5","4","7","6","6","5","4","5","4","6","No"
"2019/08/26 12:51:24 AM GMT+1","3","6","7","7","8","7","4","4","3","8","5","7","7","5","2","7","8","No"
"2019/08/26 1:01:07 AM GMT+1","5","6","6","6","7","5","7","4","5","8","7","7","5","7","1","7","4","No"
"2019/08/26 1:01:46 AM GMT+1","5","5","5","5","6","5","6","6","4","7","6","5","5","4","1","4","7",""
"2019/08/26 1:02:12 AM GMT+1","2","5","5","4","6","5","6","5","4","6","6","5","5","5","1","5","5","No"
"2019/08/26 1:04:50 AM GMT+1","4","4","6","5","5","6","6","5","3","5","6","5","5","5","5","4","6","No"
"2019/08/26 1:10:53 AM GMT+1","6","4","6","5","9","6","7","7","4","8","6","4","2","4","4","5","7","No"
"2019/08/26 1:14:21 AM GMT+1","5","3","5","4","7","6","5","6","5","6","5","6","5","5","1","3","5","No"
"2019/08/26 1:15:05 AM GMT+1","1","5","5","3","5","5","6","5","5","6","5","6","2","3","1","3","6","No"
"2019/08/26 1:21:08 AM GMT+1","4","5","5","6","6","6","7","3","3","7","6","5","5","3","1","6","2","No"
"2019/08/26 1:21:49 AM GMT+1","6","1","5","4","7","7","6","7","6","8","7","5","7","6","1","5","8","No"
"2019/08/26 1:25:14 AM GMT+1","2","4","6","4","7","7","5","6","1","7","7","8","5","6","1","6","4","No"
"2019/08/26 1:26:06 AM GMT+1","2","6","7","6","6","8","6","1","1","8","8","5","4","4","1","4","4","No"
"2019/08/26 1:28:57 AM GMT+1","4","4","5","4","6","6","8","7","6","7","6","5","4","5","1","5","1","No"
"2019/08/26 1:30:30 AM GMT+1","5","5","6","6","7","6","7","5","4","8","7","6","6","6","4","6","8","No"
"2019/08/26 1:34:48 AM GMT+1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","No"
"2019/08/26 1:39:51 AM GMT+1","5","6","6","6","6","7","7","6","7","7","7","6","6","6","4","6","6","No"
"2019/08/26 1:45:26 AM GMT+1","6","6","7","6","7","7","6","6","6","7","6","6","5","6","1","6","5","No"
"2019/08/26 1:46:13 AM GMT+1","3","5","7","5","6","5","6","5","3","7","7","6","5","4","1","4","6","No"
"2019/08/26 1:46:17 AM GMT+1","4","5","5","4","7","6","6","3","3","7","7","5","5","3","8","5","7","No"
"2019/08/26 1:48:56 AM GMT+1","4","5","4","3","6","5","6","5","5","7","6","6","5","3","1","2","5","No"
"2019/08/26 1:54:59 AM GMT+1","5","6","5","5","7","5","6","6","4","6","7","6","6","3","1","4","5","No"
"2019/08/26 1:57:39 AM GMT+1","4","5","3","3","8","7","5","8","5","9","7","8","4","5","2","8","3","No"
"2019/08/26 1:58:33 AM GMT+1","5","6","6","5","6","6","7","6","4","7","7","7","5","5","1","4","3","No"
"2019/08/26 2:00:19 AM GMT+1","5","6","6","5","6","7","5","5","3","8","7","7","5","6","4","6","8","No"
"2019/08/26 2:01:45 AM GMT+1","5","5","8","1","5","5","5","2","4","8","6","5","5","3","1","2","5","Yes"
"2019/08/26 2:07:41 AM GMT+1","3","2","5","5","7","6","8","6","3","7","7","5","5","5","3","4","6","No"
"2019/08/26 2:08:35 AM GMT+1","1","1","4","4","6","8","5","3","4","7","5","3","3","1","1","1","3","No"
"2019/08/26 2:10:17 AM GMT+1","3","6","5","4","5","3","7","2","2","6","5","5","4","3","3","3","5","No"
"2019/08/26 2:11:15 AM GMT+1","4","5","5","4","5","7","6","6","4","8","7","5","5","5","1","5","8","No"
"2019/08/26 2:12:22 AM GMT+1","5","5","5","6","6","6","3","6","3","8","7","7","5","5","1","7","9",""
"2019/08/26 2:13:37 AM GMT+1","1","3","5","2","5","3","3","3","3","5","3","2","2","3","3","2","7","No"
"2019/08/26 2:20:43 AM GMT+1","6","7","8","5","9","10","6","7","4","8","9","8","9","6","1","5","7","No"
