"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Nemanja Matic","Fred","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Arsenal","Did the ref/VAR do a good job? (optional) be unbiased please"
"2020/01/02 9:28:58 PM GMT+1","5","1","5","4","5","6","7","2","1","4","5","","","3","2","10","8","Yes"
"2020/01/02 9:28:59 PM GMT+1","5","2","5","6","8","7","7","7","1","6","6","7","7","2","1","2","5","Yes"
"2020/01/02 9:29:06 PM GMT+1","5","3","3","3","5","6","6","4","1","4","6","","","3","3","3","9","Yes"
"2020/01/02 9:29:08 PM GMT+1","4","4","4","5","5","5","7","5","3","5","6","5","5","3","3","5","8","Yes"
"2020/01/02 9:29:17 PM GMT+1","6","3","3","3","4","5","5","5","2","4","4","","7","4","1","1","7","Yes"
"2020/01/02 9:29:20 PM GMT+1","4","3","6","4","5","5","7","7","4","6","5","5","6","5","4","7","6","Yes"
"2020/01/02 9:30:23 PM GMT+1","4","2","3","4","6","5","6","5","1","4","6","","","2","2","2","8","Yes"
"2020/01/02 9:30:53 PM GMT+1","5","2","3","4","4","5","6","3","2","3","4","3","4","1","1","2","6","Yes"
"2020/01/02 9:31:34 PM GMT+1","5","1","6","5","5","4","7","5","3","4","6","5","6","3","1","5","7","Yes"
"2020/01/02 9:31:50 PM GMT+1","4","4","5","4","5","6","5","4","3","4","5","","6","4","5","6","7","Yes"
"2020/01/02 9:32:04 PM GMT+1","6","5","4","5","5","6","6","5","4","4","5","6","5","4","1","4","7","Yes"
"2020/01/02 9:32:46 PM GMT+1","3","2","3","3","4","5","6","3","1","2","5","3","6","2","2","2","6","Yes"
"2020/01/02 9:33:07 PM GMT+1","6","3","4","5","6","7","4","4","2","4","6","5","5","2","1","2","9","Yes"
"2020/01/02 9:33:17 PM GMT+1","6","4","5","6","6","6","5","5","3","5","6","7","6","4","3","1","7","Yes"
