"Timestamp","De Gea","Williams","Maguire","Lindelof","Fosu Mensah","Matic","Pogba","Bruno","Rashford","Greenwood","Martial","Wan Bissaka","Team Performance","Final Result","Ole","West Ham","Did the ref do a good job?"
"2020/07/24 10:55:19 PM GMT+2","6","5","6","6","6","4","4","4","5","7","7","5","5","4","5","5","Yes"
"2020/07/24 10:56:34 PM GMT+2","8","6","7","8","4","5","3","5","6","8","7","7","7","4","8","4","Yes"
"2020/07/24 10:56:39 PM GMT+2","6","3","5","6","5","6","5","5","5","7","6","6","5","6","5","7","Yes"
"2020/07/24 10:56:40 PM GMT+2","4","3","6","5","3","5","3","4","3","7","5","7","4","2","3","4","Yes"
"2020/07/24 10:58:16 PM GMT+2","7","4","6","7","4","5","4","6","4","7","6","5","4","5","3","6","Yes"
"2020/07/24 10:58:48 PM GMT+2","8","5","6","6","4","6","4","4","5","8","7","8","5","4","3","6","Yes"
"2020/07/24 10:59:30 PM GMT+2","7","6","6","7","5","7","5","5","6","8","7","7","5","7","6","6","Yes"
"2020/07/24 11:00:32 PM GMT+2","6","5","7","7","5","6","5","5","5","7","6","","6","4","5","",""
"2020/07/24 11:00:52 PM GMT+2","6","4","5","6","5","5","3","6","6","7","6","6","5","4","5","6","No"
"2020/07/24 11:00:56 PM GMT+2","7","4","6","7","5","6","1","5","3","7","6","6","4","2","5","7","Yes"
"2020/07/24 11:02:42 PM GMT+2","7","4","6","6","5","6","4","6","5","7","6","8","5","5","6","6","Yes"
"2020/07/24 11:03:35 PM GMT+2","8","4","6","6","5","7","7","6","5","8","6","8","6","6","5","7","Yes"
"2020/07/24 11:03:41 PM GMT+2","7","4","7","5","5","6","5","5","5","7","5","7","5","5","4","8","Yes"
"2020/07/24 11:03:49 PM GMT+2","7","2","9","7","5","6","4","5","4","7","6","8","6","5","5","5","Yes"
"2020/07/24 11:04:32 PM GMT+2","7","4","6","6","4","6","6","5","4","7","6","6","5","6","5","4","Yes"
"2020/07/24 11:05:05 PM GMT+2","7","4","5","5","5","3","4","6","3","7","7","6","4","3","6","5","Yes"
"2020/07/24 11:06:16 PM GMT+2","1","1","1","1","1","1","1","1","1","1","1","1","3","3","5","6","Yes"
"2020/07/24 11:06:20 PM GMT+2","6","4","5","5","1","4","3","5","5","8","7","5","4","4","5","6","Yes"
"2020/07/24 11:09:22 PM GMT+2","6","5","5","5","4","4","4","5","4","6","6","5","1","","5","8","No"
"2020/07/24 11:09:54 PM GMT+2","8","4","7","6","3","7","6","6","4","8","6","7","4","4","7","9","Yes"
"2020/07/24 11:10:40 PM GMT+2","8","6","8","10","8","4","5","6","4","9","9","3","5","3","3","6","No"
"2020/07/24 11:11:02 PM GMT+2","7","5","6","6","5","5","6","5","5","7","7","6","6","5","5","5","Yes"
"2020/07/24 11:11:03 PM GMT+2","6","6","6","7","5","6","4","6","5","7","7","7","5","4","5","5","No"
"2020/07/24 11:11:57 PM GMT+2","7","4","5","5","4","5","5","4","4","6","7","4","4","4","3","5","Yes"
"2020/07/24 11:13:39 PM GMT+2","8","5","6","6","5","6","5","6","6","8","7","7","6","6","6","6","No"
"2020/07/24 11:14:00 PM GMT+2","9","3","7","4","5","7","5","5","5","8","7","8","6","4","7","8","Yes"
"2020/07/24 11:14:34 PM GMT+2","7","5","5","6","6","5","5","5","5","8","6","7","5","5","6","8","Yes"
"2020/07/24 11:15:27 PM GMT+2","6","3","5","6","3","5","2","2","4","7","6","6","4","4","2","4","Yes"
"2020/07/24 11:16:26 PM GMT+2","6","3","4","5","4","3","5","6","5","7","7","5","5","5","5","5","No"
"2020/07/24 11:16:47 PM GMT+2","6","5","5","6","5","5","7","6","6","8","8","6","5","3","8","3","Yes"
"2020/07/24 11:17:34 PM GMT+2","8","7","6","6","7","7","6","6","5","9","7","8","7","6","5","8","Yes"
"2020/07/24 11:18:22 PM GMT+2","7","6","7","6","6","6","5","7","8","9","7","7","7","3","6","8","Yes"
"2020/07/24 11:18:51 PM GMT+2","6","4","2","4","2","4","2","3","2","6","7","6","3","1","4","7","No"
"2020/07/24 11:18:53 PM GMT+2","6","3","6","6","6","5","4","5","5","7","6","6","6","5","6","7","Yes"
"2020/07/24 11:19:00 PM GMT+2","5","3","5","5","4","3","4","6","3","6","5","6","5","7","3","6","Yes"
"2020/07/24 11:20:35 PM GMT+2","7","6","7","7","6","3","5","7","7","8","6","6","5","4","5","6","No"
"2020/07/24 11:21:03 PM GMT+2","7","5","9","8","6","7","5","6","6","8","8","6","6","7","8","6","Yes"
"2020/07/24 11:21:50 PM GMT+2","6","4","6","6","4","5","5","8","4","8","7","6","4","3","4","1","No"
"2020/07/24 11:22:47 PM GMT+2","8","5","6","7","5","5","6","6","6","8","8","7","6","4","6","4","No"
"2020/07/24 11:22:52 PM GMT+2","6","4","6","6","3","4","4","4","5","6","6","6","4","3","4","6","Yes"
"2020/07/24 11:23:04 PM GMT+2","8","6","6","6","5","4","6","6","6","9","8","8","6","5","3","6","No"
"2020/07/24 11:23:48 PM GMT+2","7","5","6","8","4","5","6","6","7","8","8","7","3","1","3","8","Yes"
"2020/07/24 11:23:50 PM GMT+2","7","5","6","6","7","6","4","6","4","8","8","7","6","7","6","7","No"
"2020/07/24 11:23:56 PM GMT+2","6","6","7","7","4","4","4","4","5","7","6","6","5","4","5","7","Yes"
"2020/07/24 11:25:07 PM GMT+2","5","5","4","4","4","6","6","6","5","8","7","6","6","3","5","7","No"
