"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Team Performance","Final Result","Ole","Everton","Did the ref/VAR do a good job? (optional) (try to be unbiased)"
"2019/12/18 9:45:27 AM GMT+1","9","7","6","6","7","7","5","6","6","5","4","9","6","7","8","5","No"
"2019/12/18 9:53:52 AM GMT+1","8","7","8","8","9","7","8","9","7","8","6","9","8","3","8","6","No"
"2019/12/18 10:03:21 AM GMT+1","6","6","6","6","8","7","6","6","4","6","6","8","6","5","7","5","No"
"2019/12/18 10:09:11 AM GMT+1","6","6","7","7","7","8","6","5","5","6","6","7","5","4","6","6","No"
"2019/12/18 10:13:31 AM GMT+1","5","6","6","6","7","8","6","6","5","6","6","9","6","6","6","6","No"
"2019/12/18 10:24:50 AM GMT+1","1","4","1","10","9","2","9","9","6","10","1","8","6","5","10","3","No"
"2019/12/18 10:29:47 AM GMT+1","6","7","7","7","6","8","8","6","5","8","6","9","6","6","7","6","No"
"2019/12/18 10:31:27 AM GMT+1","6","6","6","6","8","7","7","7","6","7","6","7","6","6","6","7","No"
"2019/12/18 10:39:50 AM GMT+1","7","7","6","6","7","7","7","6","5","6","5","7","6","5","8","6","No"
"2019/12/18 10:41:33 AM GMT+1","5","5","6","5","7","6","6","6","4","5","5","9","5","5","6","6","Yes"
"2019/12/18 10:48:36 AM GMT+1","4","7","7","7","7","7","7","6","7","7","7","8","5","4","6","7","No"
"2019/12/18 10:51:01 AM GMT+1","6","6","6","6","8","6","4","4","2","7","4","9","6","3","4","8",""
"2019/12/18 10:52:41 AM GMT+1","6","7","7","7","8","6","6","4","5","7","3","10","6","2","7","1","No"
"2019/12/18 11:12:05 AM GMT+1","6","7","8","8","7","7","6","6","7","6","6","9","6","3","8","4","No"
"2019/12/18 11:22:53 AM GMT+1","7","7","7","6","8","8","5","5","5","6","5","8","7","5","7","7","No"
"2019/12/18 11:31:01 AM GMT+1","6","6","6","7","8","6","6","6","6","7","5","7","6","5","5","5","No"
"2019/12/18 11:36:54 AM GMT+1","5","5","4","5","6","5","5","3","3","3","2","7","3","2","3","4","No"
"2019/12/18 11:55:30 AM GMT+1","5","6","6","6","7","7","6","6","6","4","5","8","6","3","5","7","No"
"2019/12/18 11:58:31 AM GMT+1","6","5","7","7","9","7","6","6","5","6","6","10","6","2","7","4","No"
"2019/12/18 12:44:47 PM GMT+1","6","5","6","6","7","7","7","6","2","7","7","8","4","4","3","6","No"
"2019/12/18 12:45:03 PM GMT+1","6","6","7","5","8","6","6","6","5","6","5","7","5","3","4","5","No"
"2019/12/18 12:53:09 PM GMT+1","6","6","5","6","7","6","6","6","7","6","5","9","5","5","6","5","No"
"2019/12/18 1:32:57 PM GMT+1","7","6","6","8","9","6","7","6","5","8","4","9","5","5","4","7","No"
"2019/12/18 1:39:11 PM GMT+1","5","6","6","5","7","6","5","3","3","5","5","8","5","5","5","6","No"
"2019/12/18 1:39:23 PM GMT+1","5","8","5","8","6","8","7","6","6","5","7","8","7","4","6","6","No"
"2019/12/18 1:51:38 PM GMT+1","4","7","6","6","6","7","6","5","4","5","5","8","7","5","7","2","Yes"
"2019/12/18 1:51:56 PM GMT+1","7","4","5","6","10","8","6","3","1","3","5","8","3","1","1","8","No"
"2019/12/18 2:04:12 PM GMT+1","6","5","5","6","8","7","6","6","4","7","6","10","5","6","7","4",""
"2019/12/18 2:04:54 PM GMT+1","4","5","6","7","6","9","8","6","7","8","4","9","7","7","8","8","No"
"2019/12/18 2:20:51 PM GMT+1","6","7","7","7","8","7","6","6","6","7","6","8","6","6","6","7","No"
"2019/12/18 2:43:26 PM GMT+1","5","6","6","6","6","6","7","7","6","6","7","8","6","5","6","6","Yes"
"2019/12/18 2:57:51 PM GMT+1","6","7","6","7","8","8","7","7","7","6","6","8","6","6","6","6","Yes"
"2019/12/18 3:08:08 PM GMT+1","5","5","7","7","7","7","7","6","6","5","4","7","7","5","7","4","No"
"2019/12/18 3:26:32 PM GMT+1","5","4","5","4","5","5","5","5","5","6","5","6","5","5","5","6","No"
"2019/12/18 3:46:49 PM GMT+1","6","5","5","7","7","6","6","7","6","6","4","7","5","4","7","6","Yes"
"2019/12/18 3:51:07 PM GMT+1","6","6","6","7","6","6","6","6","6","7","6","7","5","4","5","5","No"
"2019/12/18 4:12:40 PM GMT+1","6","5","5","5","7","7","5","5","3","5","5","9","3","3","2","7","No"
"2019/12/18 4:30:12 PM GMT+1","4","5","6","5","7","6","5","4","4","4","4","7","5","5","3","6","No"
"2019/12/18 4:52:14 PM GMT+1","3","3","3","3","3","4","4","6","3","4","4","7","4","1","4","4","No"
"2019/12/18 5:48:22 PM GMT+1","8","7","7","4","9","6","7","5","5","9","4","9","6","6","6","6","No"
"2019/12/18 5:55:09 PM GMT+1","8","7","7","6","8","8","5","5","3","6","4","9","5","3","6","7","No"
"2019/12/18 6:41:33 PM GMT+1","6","6","6","7","8","7","6","6","6","6","6","9","7","2","6","5","No"
"2019/12/18 6:45:45 PM GMT+1","7","6","7","8","8","8","7","7","5","7","6","8","6","4","5","6","No"
"2019/12/18 7:16:10 PM GMT+1","4","5","6","6","7","5","6","5","5","6","4","","4","3","4","8","No"
"2019/12/18 7:39:07 PM GMT+1","5","5","6","6","8","7","6","6","6","7","5","8","6","4","6","8","No"
