"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Matic","McTominay","Bruno Fernandes","Greenwood","Martial","Ighalo (optional)","Mata (optional)","Team Performance","Final Result","Ole","Everton","Did the ref do a good job?"
"2020/03/02 6:57:17 PM GMT+2","3","6","8","6","6","7","8","6","8","6","5","5","6","6","6","6","6","No"
"2020/03/02 6:59:20 PM GMT+2","5","7","7","5","6","6","5","5","7","4","4","4","5","5","6","7","7","No"
"2020/03/02 6:59:21 PM GMT+2","2","8","8","5","6","8","8","6","8","5","6","","","7","7","8","9","No"
"2020/03/02 7:00:13 PM GMT+2","7","7","9","6","7","7","7","7","8","6","6","6","6","6","3","6","8","No"
"2020/03/02 7:01:21 PM GMT+2","4","7","8","7","7","7","7","7","8","6","5","6","6","7","6","7","7","No"
"2020/03/02 7:04:05 PM GMT+2","3","5","3","3","4","6","5","5","7","5","4","4","4","5","7","4","6","No"
"2020/03/02 7:04:37 PM GMT+2","6","7","8","7","6","6","8","7","8","5","5","6","6","6","7","6","7","No"
"2020/03/02 7:05:23 PM GMT+2","4","8","8","7","7","7","7","7","8","7","4","6","","7","7","7","7","No"
"2020/03/02 7:05:25 PM GMT+2","2","6","7","7","6","6","6","6","7","4","3","","","4","7","4","7","Yes"
"2020/03/02 7:06:11 PM GMT+2","3","5","5","5","5","7","7","6","9","6","6","6","6","5","4","6","7","No"
"2020/03/02 7:06:24 PM GMT+2","5","8","9","8","6","9","8","6","7","6","5","7","6","6","4","4","7","No"
"2020/03/02 7:06:49 PM GMT+2","7","9","10","6","7","7","8","6","8","5","5","5","5","7","8","6","6","No"
"2020/03/02 7:07:49 PM GMT+2","3","7","7","6","6","7","8","8","8","6","6","6","7","5","4","6","7","No"
"2020/03/02 7:08:35 PM GMT+2","5","8","9","6","6","7","8","7","7","6","6","6","6","7","5","6","7","No"
"2020/03/02 7:08:43 PM GMT+2","6","7","10","8","8","8","9","9","9","7","7","8","7","8","6","8","8","No"
"2020/03/02 7:10:10 PM GMT+2","5","6","8","6","6","6","7","5","8","6","5","","","5","3","5","6","No"
"2020/03/02 7:10:37 PM GMT+2","3","4","8","6","4","6","9","5","7","3","3","6","6","4","7","7","7","No"
