"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Rashford","Bruno","Greenwood","Martial","Pereira","McTominay","Williams","Team Performance","Final Result","Ole","Brighton","Did the ref do a good job?"
"2020/07/01 7:19:30 PM GMT+2","8","8","8","8","9","8","9","7","10","9","7","5","5","5","9","10","10","10","Yes"
"2020/07/01 7:19:33 PM GMT+2","8","8","8","8","8","8","9","6","9","8","6","5","6","6","8","10","10","7","Yes"
"2020/07/01 7:19:37 PM GMT+2","8","8","7","7","8","9","10","6","7","8","6","5","6","7","8","9","10","6","Yes"
"2020/07/01 7:19:52 PM GMT+2","9","9","7","7","7","9","10","6","10","8","5","6","5","6","8","10","10","5","Yes"
"2020/07/01 7:19:58 PM GMT+2","8","8","9","8","9","9","9","7","10","9","8","6","6","7","9","9","9","5","Yes"
"2020/07/01 7:20:22 PM GMT+2","8","8","7","7","9","8","9","7","9","9","7","7","7","7","10","10","10","4","Yes"
"2020/07/01 7:20:22 PM GMT+2","7","7","7","7","7","8","8","6","8","9","6","6","6","7","9","8","8","2","Yes"
"2020/07/01 7:20:31 PM GMT+2","8","9","8","9","8","8","9","6","10","10","5","5","5","5","9","10","9","2","Yes"
"2020/07/01 7:20:46 PM GMT+2","7","8","8","7","9","8","9","6","9","9","6","5","6","7","9","10","8","4","Yes"
"2020/07/01 7:20:52 PM GMT+2","8","7","8","7","7","7","8","6","9","9","6","5","6","7","8","8","9","6","Yes"
"2020/07/01 7:21:25 PM GMT+2","7","8","7","7","8","7","9","6","10","9","6","5","5","7","10","10","9","4","Yes"
"2020/07/01 7:21:41 PM GMT+2","8","7","8","8","9","9","10","6","10","10","7","5","6","7","9","10","10","4","No"
"2020/07/01 7:22:05 PM GMT+2","8","8","7","7","7","8","8","6","9","8","7","7","7","7","9","9","10","4","Yes"
"2020/07/01 7:22:07 PM GMT+2","8","7","8","8","9","9","10","7","10","9","8","6","6","6","10","10","9","7",""
"2020/07/01 7:22:19 PM GMT+2","8","8","7","7","7","8","9","6","9","9","6","","","","8","10","10","5","Yes"
