"Timestamp","De Gea","Williams","Maguire","Jones","AWB","Matic","Fred","James","Pereira","Mata","Martial","Greenwood (optional)","Lingard (optional)","Shaw (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref do a good job? (optional)","Did VAR do a good job? (optional)"
"2020/01/25 8:07:38 PM GMT+1","6","7","5","5","7","6","7","5","1","5","3","4","1","3","2","1","1","8","Yes","Yes"
"2020/01/25 8:30:27 PM GMT+1","5","5","3","6","6","7","6","3","3","3","3","3","2","3","2","1","3","5","Yes","Yes"
"2020/01/25 8:47:18 PM GMT+1","7","5","5","6","6","7","4","5","2","5","3","6","2","6","5","1","7","7","Yes","Yes"
"2020/01/25 9:27:19 PM GMT+1","7","7","6","6","8","7","7","6","5","6","6","","","","5","1","6","9","",""
"2020/01/25 9:35:37 PM GMT+1","5","6","4","4","7","5","6","4","3","5","2","5","5","5","2","1","3","4","No","No"
"2020/01/25 10:08:14 PM GMT+1","4","3","1","3","5","7","6","4","2","4","2","6","4","3","2","2","2","6","",""
"2020/01/25 10:13:13 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","No","No"
"2020/01/25 10:15:45 PM GMT+1","6","5","3","6","6","7","6","5","3","5","3","","","","3","1","1","6","",""
"2020/01/25 10:26:14 PM GMT+1","5","6","4","6","5","5","7","4","4","5","5","5","5","5","3","1","3","8","Yes","Yes"
"2020/01/25 10:29:42 PM GMT+1","4","4","3","1","4","3","7","2","1","2","4","","1","","1","1","2","7","",""
"2020/01/25 10:31:29 PM GMT+1","3","4","3","3","4","3","5","2","3","3","3","4","2","3","2","4","2","7","No","No"
"2020/01/25 10:53:28 PM GMT+1","5","6","4","5","7","5","5","6","5","6","5","7","5","5","4","3","4","9","Yes","Yes"
"2020/01/25 11:09:40 PM GMT+1","3","4","3","2","4","3","7","2","1","2","2","","","","2","1","3","6","No","Yes"
"2020/01/25 11:27:53 PM GMT+1","7","6","5","6","6","3","7","7","2","3","2","4","4","6","2","3","4","8","Yes","Yes"
"2020/01/25 11:42:03 PM GMT+1","5","6","6","6","6","6","6","5","4","4","3","","","","3","1","1","6","No","No"
"2020/01/26 12:04:10 AM GMT+1","3","5","3","4","4","5","6","4","1","4","3","","","","2","1","3","7","No","Yes"
"2020/01/26 12:07:37 AM GMT+1","5","7","4","5","8","5","6","5","1","7","4","5","1","6","1","1","5","5","Yes","Yes"
"2020/01/26 12:16:12 AM GMT+1","6","6","4","4","6","5","6","4","2","5","4","5","4","5","2","2","3","6","Yes","Yes"
"2020/01/26 12:30:45 AM GMT+1","2","5","2","2","3","5","6","6","2","4","2","5","2","2","1","1","2","7","Yes","Yes"
"2020/01/26 12:36:01 AM GMT+1","3","3","1","2","3","3","5","3","1","2","2","3","1","1","1","1","1","5","Yes","Yes"
"2020/01/26 12:38:50 AM GMT+1","5","5","4","6","5","5","5","5","3","3","4","","","","1","1","1","7","Yes","Yes"
"2020/01/26 12:43:30 AM GMT+1","4","5","2","4","6","5","7","4","1","3","2","5","1","3","2","1","2","5","No","Yes"
"2020/01/26 12:59:10 AM GMT+1","5","6","6","5","7","6","6","6","5","5","5","","","","5","2","5","6","Yes",""
"2020/01/26 2:15:22 AM GMT+1","6","6","4","5","5","5","6","4","4","5","4","6","5","5","4","1","4","6","Yes","No"
"2020/01/26 2:52:24 AM GMT+1","1","10","1","1","5","7","7","1","1","1","1","6","1","1","1","1","1","1","No","No"
"2020/01/26 3:21:44 AM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","Yes","Yes"
"2020/01/26 4:29:33 AM GMT+1","4","5","4","5","7","5","7","4","3","4","4","","","","2","1","2","7","No","No"
"2020/01/26 5:04:34 AM GMT+1","6","7","6","5","7","7","6","6","3","6","4","5","5","5","4","2","4","7","Yes","Yes"
"2020/01/26 5:19:50 AM GMT+1","5","5","4","7","6","6","5","4","4","4","4","","","","4","3","4","5","No","Yes"
"2020/01/26 5:21:43 AM GMT+1","1","1","1","3","2","4","4","3","1","1","1","3","2","3","1","1","1","8","Yes","Yes"
"2020/01/26 7:21:09 AM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Yes","Yes"
"2020/01/26 7:31:57 AM GMT+1","5","6","6","6","8","6","7","6","6","6","7","7","","","6","3","6","5","No","No"
"2020/01/26 8:38:54 AM GMT+1","5","5","4","5","5","6","5","4","5","4","3","4","5","5","4","1","5","6","",""
"2020/01/26 8:49:05 AM GMT+1","6","5","4","4","5","6","6","5","1","2","2","5","1","4","2","3","2","8","Yes","Yes"
"2020/01/26 8:55:01 AM GMT+1","4","6","5","6","5","7","7","5","1","6","5","6","","","3","1","3","8","Yes",""
"2020/01/26 9:30:01 AM GMT+1","6","5","4","5","6","5","6","4","3","4","3","","","","3","1","1","5","",""
"2020/01/26 9:58:08 AM GMT+1","6","6","2","5","5","6","7","5","5","5","3","5","4","5","1","1","2","7","Yes","Yes"
"2020/01/26 10:24:50 AM GMT+1","5","6","3","5","5","4","5","6","3","5","4","","","","4","1","4","6","Yes","Yes"
"2020/01/26 11:03:44 AM GMT+1","5","6","3","4","6","4","6","4","2","3","4","4","3","3","2","2","3","8","Yes","Yes"
"2020/01/26 11:25:41 AM GMT+1","5","5","4","6","5","6","6","5","4","4","4","5","5","5","3","2","4","5","Yes","Yes"
"2020/01/26 11:29:56 AM GMT+1","1","5","1","4","1","6","7","2","1","5","2","","1","","1","1","1","6","Yes","Yes"
"2020/01/26 12:45:09 PM GMT+1","7","9","6","8","8","7","8","7","4","6","5","7","1","7","5","8","5","8","Yes","Yes"
"2020/01/26 12:49:23 PM GMT+1","8","7","4","6","6","5","6","3","2","4","3","","","","2","1","5","5","Yes","Yes"
"2020/01/26 12:52:17 PM GMT+1","5","6","4","5","4","4","3","3","2","3","2","","","","1","1","1","5","Yes","Yes"
"2020/01/26 12:52:41 PM GMT+1","6","5","5","7","8","5","5","3","2","4","3","4","1","2","2","1","5","8","Yes","Yes"
"2020/01/26 2:58:57 PM GMT+1","6","7","7","6","6","5","8","7","3","6","5","6","4","7","6","5","8","6","No","No"
"2020/01/26 3:40:43 PM GMT+1","4","5","4","4","5","5","5","5","5","4","4","","","","4","2","3","9","No","No"
"2020/01/26 3:45:29 PM GMT+1","5","5","4","4","6","4","4","5","4","5","5","","","","4","4","5","6","No","No"
"2020/01/27 2:11:21 AM GMT+1","4","5","4","4","4","6","6","4","4","4","4","","","","4","3","5","7","No","No"
"2020/01/27 11:28:38 AM GMT+1","5","5","4","5","5","6","5","4","1","2","4","6","1","4","3","1","5","5","Yes","Yes"
