"Timestamp","De Gea","Williams","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Lingard","Team Performance","Final Result","Ole","Leicester","Did the ref do a good job?"
"2020/07/27 11:10:18 PM GMT+2","9","7","7","8","7","8","7","7","8","7","7","10","7","10","10","6","No"
"2020/07/27 11:10:50 PM GMT+2","8","9","7","6","8","8","6","7","9","8","8","10","7","10","8","6","Yes"
"2020/07/27 11:11:21 PM GMT+2","6","6","7","9","7","7","6","6","7","6","7","8","6","10","7","5","Yes"
"2020/07/27 11:12:53 PM GMT+2","6","5","6","8","6","7","6","6","6","6","7","10","6","10","7","5","Yes"
"2020/07/27 11:14:42 PM GMT+2","5","4","6","8","7","5","6","5","7","6","5","10","9","9","10","7","Yes"
"2020/07/27 11:14:53 PM GMT+2","7","7","7","7","7","7","8","8","8","9","9","10","7","10","7","7","Yes"
"2020/07/27 11:15:19 PM GMT+2","9","7","8","9","7","6","6","7","7","7","7","10","7","10","8","5","Yes"
"2020/07/27 11:15:21 PM GMT+2","7","6","6","8","6","8","7","5","6","6","7","10","6","10","7","6","Yes"
"2020/07/27 11:16:06 PM GMT+2","6","6","7","9","8","4","5","4","7","7","6","10","6","10","7","7","Yes"
"2020/07/27 11:16:15 PM GMT+2","7","5","8","10","7","7","7","5","8","6","8","10","7","10","10","3","No"
"2020/07/27 11:17:31 PM GMT+2","7","5","5","8","6","4","6","5","4","7","5","10","6","10","6","5","No"
"2020/07/27 11:17:46 PM GMT+2","7","6","6","8","6","6","6","6","5","5","7","6","5","8","5","4","Yes"
"2020/07/27 11:18:05 PM GMT+2","7","5","6","7","6","5","6","6","6","6","7","6","6","10","6","5","Yes"
"2020/07/27 11:18:13 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2020/07/27 11:18:22 PM GMT+2","8","6","6","9","7","5","6","7","6","6","6","6","6","7","6","3","Yes"
"2020/07/27 11:19:26 PM GMT+2","6","5","6","7","5","6","6","6","6","6","6","6","6","8","7","6","No"
"2020/07/27 11:19:27 PM GMT+2","7","9","6","10","2","4","4","3","4","8","9","10","6","10","3","7","No"
"2020/07/27 11:19:34 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","No"
"2020/07/27 11:19:45 PM GMT+2","8","6","7","8","8","7","8","7","8","7","8","10","8","9","9","6","Yes"
"2020/07/27 11:19:53 PM GMT+2","4","7","7","10","7","8","8","6","7","7","8","10","8","10","9","5","Yes"
"2020/07/27 11:19:55 PM GMT+2","8","6","8","10","8","6","10","9","7","6","7","10","10","10","10","10","Yes"
"2020/07/27 11:19:56 PM GMT+2","8","7","7","9","7","7","7","7","8","8","8","10","8","10","8","8","Yes"
"2020/07/27 11:20:24 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2020/07/27 11:20:47 PM GMT+2","7","6","7","6","6","7","6","7","7","6","7","7","7","10","10","6","Yes"
"2020/07/27 11:21:12 PM GMT+2","7","5","5","9","7","6","6","6","7","6","7","10","7","8","7","7","Yes"
"2020/07/27 11:21:44 PM GMT+2","7","7","7","9","6","6","8","6","7","8","8","10","7","10","8","7","Yes"
"2020/07/27 11:24:51 PM GMT+2","9","8","9","10","9","8","8","8","8","8","9","10","10","10","10","1","Yes"
"2020/07/27 11:25:00 PM GMT+2","8","6","7","8","7","8","7","7","7","8","8","10","9","10","10","7","Yes"
"2020/07/27 11:25:07 PM GMT+2","7","7","8","10","7","7","7","6","7","8","7","10","7","10","9","7","Yes"
"2020/07/27 11:25:09 PM GMT+2","7","7","8","9","8","7","7","7","8","7","7","10","8","10","10","7","Yes"
"2020/07/27 11:25:11 PM GMT+2","6","6","6","8","7","8","7","5","6","6","7","10","7","10","7","6","Yes"
"2020/07/27 11:26:33 PM GMT+2","10","7","9","9","7","6","7","6","9","8","8","10","9","10","7","6","Yes"
"2020/07/27 11:26:40 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","No"
"2020/07/27 11:28:53 PM GMT+2","7","8","7","9","8","7","7","7","7","6","9","9","7","10","7","4","Yes"
"2020/07/27 11:29:06 PM GMT+2","6","6","7","9","7","6","6","6","6","8","7","9","6","9","7","6","Yes"
"2020/07/27 11:29:41 PM GMT+2","6","7","5","9","7","6","6","6","6","7","6","10","6","10","7","2","No"
"2020/07/27 11:29:54 PM GMT+2","5","7","7","7","6","5","6","4","5","5","6","10","6","10","6","4","Yes"
"2020/07/27 11:30:22 PM GMT+2","7","7","7","9","7","7","7","6","6","7","7","10","7","8","7","4","Yes"
"2020/07/27 11:31:22 PM GMT+2","7","7","6","8","8","7","8","3","5","7","6","7","6","9","8","7","No"
"2020/07/27 11:31:41 PM GMT+2","6","7","7","8","7","7","6","5","5","6","7","10","6","10","8","4","Yes"
"2020/07/27 11:31:51 PM GMT+2","8","8","9","10","9","9","9","9","9","9","9","10","7","9","8","7","Yes"
"2020/07/27 11:32:18 PM GMT+2","7","6","6","7","6","7","7","6","6","5","7","7","6","8","8","4","No"
"2020/07/27 11:32:42 PM GMT+2","9","9","10","10","10","9","10","9","10","10","10","10","10","10","10","1","Yes"
"2020/07/27 11:32:50 PM GMT+2","8","7","8","8","8","9","7","8","8","9","9","10","10","10","10","7","Yes"
"2020/07/27 11:33:30 PM GMT+2","6","7","7","9","5","6","6","6","5","7","8","8","6","10","6","7","Yes"
"2020/07/27 11:34:09 PM GMT+2","7","6","7","8","6","6","6","5","6","7","6","10","6","6","8","6","Yes"
"2020/07/27 11:34:32 PM GMT+2","8","6","7","9","8","8","8","7","7","7","8","10","10","10","10","1","Yes"
"2020/07/27 11:34:45 PM GMT+2","7","5","5","8","7","6","5","5","6","6","7","10","8","10","10","5","No"
"2020/07/27 11:34:53 PM GMT+2","6","5","8","8","6","5","3","7","8","5","8","10","7","8","10","10","No"
"2020/07/27 11:34:58 PM GMT+2","8","9","9","10","9","9","9","9","9","9","9","10","9","10","9","7","Yes"
"2020/07/27 11:35:59 PM GMT+2","8","7","8","9","8","7","7","6","8","9","9","7","7","10","8","6","Yes"
"2020/07/27 11:36:26 PM GMT+2","7","7","7","8","7","7","6","6","5","7","7","7","6","8","6","7","Yes"
"2020/07/27 11:36:32 PM GMT+2","7","6","6","8","6","7","6","6","7","6","7","7","7","8","7","5","Yes"
"2020/07/27 11:36:43 PM GMT+2","6","5","6","8","7","6","7","5","6","6","5","10","7","10","8","6","Yes"
"2020/07/27 11:37:13 PM GMT+2","5","6","4","8","5","5","5","4","6","6","7","10","7","10","6","4","Yes"
"2020/07/27 11:37:14 PM GMT+2","6","7","6","7","7","7","6","6","7","6","7","8","7","10","8","5","Yes"
"2020/07/27 11:37:38 PM GMT+2","8","7","6","9","7","8","8","7","7","6","8","10","7","10","10","5","Yes"
"2020/07/27 11:37:52 PM GMT+2","6","7","7","9","7","9","6","6","7","6","7","7","6","10","10","8","Yes"
"2020/07/27 11:39:13 PM GMT+2","9","8","9","9","9","10","10","8","9","8","10","10","10","10","10","9","Yes"
"2020/07/27 11:39:14 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2020/07/27 11:39:57 PM GMT+2","7","6","6","8","6","6","6","6","7","7","7","10","8","10","8","4","No"
"2020/07/27 11:40:33 PM GMT+2","8","8","7","9","7","6","7","6","6","5","6","10","7","10","10","4","No"
"2020/07/27 11:40:44 PM GMT+2","7","7","7","10","7","8","7","6","7","7","9","8","7","10","8","7","No"
"2020/07/27 11:41:07 PM GMT+2","5","6","6","9","6","5","7","4","6","5","6","10","7","10","8","3","Yes"
"2020/07/27 11:41:42 PM GMT+2","7","8","7","9","7","7","7","7","8","7","7","8","7","10","10","6","Yes"
"2020/07/27 11:43:54 PM GMT+2","5","6","7","9","7","8","7","7","8","7","8","10","8","10","8","8","Yes"
"2020/07/27 11:44:05 PM GMT+2","8","7","6","9","7","6","8","6","6","6","7","7","8","10","10","5","No"
"2020/07/27 11:44:12 PM GMT+2","8","7","8","10","8","8","7","7","6","7","8","8","7","10","9","5","Yes"
"2020/07/27 11:45:13 PM GMT+2","6","7","7","8","7","7","6","6","7","6","7","7","7","10","8","6","Yes"
"2020/07/27 11:45:23 PM GMT+2","10","9","10","10","10","10","10","9","10","10","10","10","10","10","10","5","Yes"
"2020/07/27 11:45:41 PM GMT+2","7","6","6","8","7","7","7","6","6","6","7","10","9","10","9","6","Yes"
"2020/07/27 11:46:08 PM GMT+2","7","5","7","8","7","7","8","6","7","6","7","9","8","10","10","6","Yes"
"2020/07/27 11:47:11 PM GMT+2","8","7","8","7","8","6","6","6","6","6","7","10","8","8","7","6","Yes"
"2020/07/27 11:47:22 PM GMT+2","9","8","9","9","10","8","7","8","6","8","6","10","10","10","10","5","Yes"
"2020/07/27 11:47:32 PM GMT+2","7","6","7","8","6","7","6","6","6","7","8","7","7","10","7","3","No"
"2020/07/27 11:48:48 PM GMT+2","6","6","7","8","7","6","7","7","8","7","8","10","7","10","7","5","No"
"2020/07/27 11:49:03 PM GMT+2","7","8","8","9","8","7","7","6","7","7","8","10","8","10","7","6","Yes"
"2020/07/27 11:49:17 PM GMT+2","8","6","7","9","7","7","7","6","8","7","8","10","8","10","10","5","Yes"
"2020/07/27 11:49:38 PM GMT+2","6","6","8","8","7","6","6","1","6","6","7","7","7","10","7","5","Yes"
"2020/07/27 11:50:19 PM GMT+2","7","6","6","9","7","7","7","7","7","7","7","10","10","10","10","5","No"
"2020/07/27 11:52:01 PM GMT+2","6","7","7","9","9","8","8","8","9","8","8","10","7","10","10","4","Yes"
"2020/07/27 11:53:10 PM GMT+2","5","7","7","8","6","6","7","7","5","6","6","10","6","8","6","6","Yes"
"2020/07/27 11:53:31 PM GMT+2","8","6","5","8","6","7","7","6","5","5","7","10","8","10","10","2","No"
"2020/07/27 11:53:53 PM GMT+2","7","7","7","9","7","7","7","7","7","7","7","9","8","10","7","5","Yes"
"2020/07/27 11:54:39 PM GMT+2","7","7","8","8","7","5","7","7","7","6","7","10","7","9","9","4","No"
"2020/07/27 11:55:20 PM GMT+2","7","6","6","8","6","6","6","6","6","6","6","10","7","10","7","6","Yes"
"2020/07/27 11:55:29 PM GMT+2","6","6","7","8","6","6","6","6","7","6","6","8","8","10","8","5","Yes"
"2020/07/27 11:55:36 PM GMT+2","5","6","5","6","5","5","5","6","5","5","6","8","6","10","7","6","Yes"
"2020/07/27 11:56:50 PM GMT+2","5","5","6","8","6","6","5","6","7","7","7","10","5","10","7","5","Yes"
"2020/07/27 11:58:16 PM GMT+2","7","6","7","8","6","7","6","6","7","6","7","8","8","10","8","6","Yes"
"2020/07/27 11:58:19 PM GMT+2","5","7","7","8","7","7","7","5","6","6","7","7","6","8","7","6","Yes"
"2020/07/27 11:59:22 PM GMT+2","7","8","7","7","8","7","8","8","8","7","7","8","8","10","7","6","Yes"
"2020/07/27 11:59:59 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","3","Yes"
"2020/07/28 12:00:02 AM GMT+2","7","6","6","8","7","7","7","7","6","6","7","8","7","10","8","4","Yes"
"2020/07/28 12:01:22 AM GMT+2","5","4","8","7","5","7","5","4","6","5","6","7","6","10","7","5","Yes"
"2020/07/28 12:03:18 AM GMT+2","5","4","6","6","6","5","6","5","7","5","7","10","5","10","6","3","Yes"
"2020/07/28 12:03:40 AM GMT+2","6","6","8","8","7","6","8","7","9","7","7","10","10","10","10","1","No"
"2020/07/28 12:04:39 AM GMT+2","7","7","8","9","8","9","8","7","8","7","8","9","8","10","10","8","No"
"2020/07/28 12:04:54 AM GMT+2","7","7","7","8","7","7","7","6","7","6","8","7","7","10","8","4","Yes"
"2020/07/28 12:05:05 AM GMT+2","5","7","7","9","6","6","6","5","6","7","7","7","5","10","7","7","Yes"
"2020/07/28 12:05:45 AM GMT+2","6","6","5","6","6","6","6","5","7","6","6","6","6","6","6","5",""
"2020/07/28 12:06:13 AM GMT+2","5","7","7","7","6","7","7","4","6","6","6","6","7","10","7","8","Yes"
"2020/07/28 12:07:10 AM GMT+2","5","6","7","9","6","5","4","6","6","7","7","10","6","8","7","3","Yes"
"2020/07/28 12:07:55 AM GMT+2","6","6","6","7","4","7","6","4","3","6","7","","5","8","6","6","Yes"
"2020/07/28 12:08:39 AM GMT+2","9","8","8","9","9","8","8","9","8","8","9","10","10","10","10","1","Yes"
"2020/07/28 12:11:16 AM GMT+2","5","6","9","10","7","7","7","6","5","5","7","8","6","10","10","6","No"
"2020/07/28 12:11:25 AM GMT+2","7","6","6","9","6","5","7","3","2","6","8","8","5","10","6","5","Yes"
"2020/07/28 12:12:43 AM GMT+2","7","7","6","8","7","5","7","7","6","7","7","10","7","9","9","6","No"
"2020/07/28 12:13:00 AM GMT+2","6","5","7","8","7","7","8","6","6","7","7","10","7","10","8","5","Yes"
"2020/07/28 12:13:53 AM GMT+2","7","7","8","9","8","8","8","6","6","7","7","10","9","10","9","5","No"
"2020/07/28 12:14:24 AM GMT+2","6","7","8","10","8","7","7","5","6","7","8","9","7","10","8","6","Yes"
"2020/07/28 12:15:01 AM GMT+2","3","6","6","7","6","7","7","6","6","7","7","10","6","10","8","8","No"
"2020/07/28 12:16:54 AM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2020/07/28 12:19:47 AM GMT+2","8","6","6","8","7","6","6","5","7","6","9","10","6","10","10","8","No"
"2020/07/28 12:22:19 AM GMT+2","7","8","8","10","8","7","7","6","8","6","7","10","10","10","10","4","Yes"
"2020/07/28 12:22:31 AM GMT+2","7","6","8","9","7","5","8","6","8","7","9","10","7","10","7","4","Yes"
"2020/07/28 12:22:33 AM GMT+2","8","8","8","10","9","7","7","6","7","7","9","10","8","10","10","7","Yes"
"2020/07/28 12:23:20 AM GMT+2","7","7","8","10","7","7","7","6","7","5","7","10","8","10","10","5","Yes"
"2020/07/28 12:23:20 AM GMT+2","6","6","6","8","8","7","9","6","7","7","7","10","8","10","8","5","Yes"
"2020/07/28 12:24:19 AM GMT+2","6","5","7","8","6","7","6","8","6","6","8","10","7","10","9","3","No"
"2020/07/28 12:24:23 AM GMT+2","8","8","8","8","8","8","8","9","9","9","9","8","10","10","10","1","Yes"
"2020/07/28 12:24:25 AM GMT+2","6","7","6","8","6","6","6","5","5","5","7","8","7","10","10","6","Yes"
"2020/07/28 12:25:08 AM GMT+2","6","7","6","8","5","6","7","6","6","7","7","7","6","8","6","6","Yes"
"2020/07/28 12:25:44 AM GMT+2","8","8","8","8","8","6","7","7","5","7","7","8","9","10","9","4","No"
"2020/07/28 12:26:01 AM GMT+2","8","7","8","9","7","8","7","6","8","7","7","10","8","10","9","7","Yes"
"2020/07/28 12:27:29 AM GMT+2","7","5","7","8","6","6","6","6","7","6","6","7","6","10","7","6","Yes"
"2020/07/28 12:30:30 AM GMT+2","6","7","7","8","6","7","6","6","5","5","7","10","5","10","8","5","Yes"
"2020/07/28 12:32:21 AM GMT+2","6","6","7","8","7","7","7","6","8","6","6","10","7","10","10","5","Yes"
"2020/07/28 12:32:58 AM GMT+2","6","6","6","7","6","7","6","6","7","6","7","10","6","10","7","5","Yes"
"2020/07/28 12:33:22 AM GMT+2","8","8","6","9","7","7","7","8","8","9","9","9","8","10","10","6","Yes"
"2020/07/28 12:34:37 AM GMT+2","7","7","7","8","7","7","7","6","6","6","6","10","7","10","7","6","Yes"
"2020/07/28 12:34:41 AM GMT+2","9","7","8","9","9","8","8","8","8","7","8","1","7","10","8","7","Yes"
"2020/07/28 12:36:00 AM GMT+2","8","8","8","8","8","8","8","8","8","9","8","10","7","9","10","6","No"
"2020/07/28 12:36:59 AM GMT+2","6","8","7","8","7","8","8","7","6","6","6","9","9","10","9","6","Yes"
"2020/07/28 12:37:00 AM GMT+2","6","6","7","9","7","7","7","6","7","6","8","7","7","8","9","6","Yes"
"2020/07/28 12:38:14 AM GMT+2","8","9","5","10","7","7","7","8","10","7","7","8","7","10","10","1","Yes"
"2020/07/28 12:38:53 AM GMT+2","6","7","7","9","6","7","5","5","6","6","7","8","6","8","8","5","Yes"
"2020/07/28 12:42:49 AM GMT+2","4","5","5","7","5","5","5","6","7","6","8","10","6","10","10","6","Yes"
"2020/07/28 12:43:07 AM GMT+2","6","6","6","8","7","7","5","7","6","6","8","10","7","10","6","6","No"
"2020/07/28 12:43:34 AM GMT+2","7","7","8","7","7","7","7","8","8","7","8","8","8","10","8","6","No"
"2020/07/28 12:44:07 AM GMT+2","8","8","8","9","9","7","8","9","7","7","8","10","7","7","10","7","No"
"2020/07/28 12:46:25 AM GMT+2","9","8","9","10","9","8","7","7","8","7","8","9","8","10","9","8","Yes"
"2020/07/28 12:46:35 AM GMT+2","7","5","6","8","6","7","7","5","7","6","7","6","6","10","9","4","No"
"2020/07/28 12:47:53 AM GMT+2","7","7","8","9","8","7","7","7","6","6","8","10","6","9","9","4","Yes"
"2020/07/28 12:47:54 AM GMT+2","7","7","7","8","7","7","6","6","7","7","7","7","6","10","10","4","Yes"
"2020/07/28 12:48:05 AM GMT+2","8","7","7","8","7","6","6","6","7","6","9","10","7","10","10","3","Yes"
"2020/07/28 12:49:57 AM GMT+2","6","8","7","6","7","5","8","4","6","7","7","10","6","10","8","6","Yes"
"2020/07/28 12:51:12 AM GMT+2","5","7","6","7","6","6","6","6","8","7","7","10","7","6","6","10","Yes"
"2020/07/28 12:51:42 AM GMT+2","7","7","7","8","7","7","8","6","7","7","8","10","7","10","10","1","Yes"
"2020/07/28 12:52:38 AM GMT+2","7","7","7","8","8","7","7","8","7","9","7","8","7","8","7","6","Yes"
"2020/07/28 12:53:33 AM GMT+2","6","6","5","5","5","5","6","5","6","5","5","10","6","10","6","8","Yes"
"2020/07/28 12:54:59 AM GMT+2","7","6","6","7","8","6","7","5","9","9","7","10","6","10","10","7","Yes"
"2020/07/28 12:55:26 AM GMT+2","7","7","8","9","7","6","7","7","7","8","8","10","6","10","7","5","No"
"2020/07/28 12:55:53 AM GMT+2","7","8","7","9","8","7","7","6","8","7","7","10","10","10","10","1","Yes"
"2020/07/28 12:57:44 AM GMT+2","7","7","8","8","9","7","8","7","7","7","9","10","10","10","9","5","Yes"
"2020/07/28 1:02:33 AM GMT+2","8","7","8","8","9","8","8","7","8","8","9","10","8","10","10","4","Yes"
"2020/07/28 1:03:36 AM GMT+2","7","7","8","9","8","8","8","7","7","7","8","7","7","10","10","7","Yes"
"2020/07/28 1:06:28 AM GMT+2","6","5","5","7","6","7","6","6","8","5","9","6","6","10","6","6","Yes"
"2020/07/28 1:07:38 AM GMT+2","7","7","7","8","7","6","6","7","7","6","8","10","7","10","10","5","Yes"
"2020/07/28 1:07:48 AM GMT+2","8","7","7","9","7","7","7","7","8","7","8","8","8","9","9","2","Yes"
"2020/07/28 1:09:19 AM GMT+2","7","7","8","9","8","7","8","7","7","7","8","10","8","10","9","6","Yes"
"2020/07/28 1:09:30 AM GMT+2","7","5","8","7","8","6","6","5","6","6","7","4","7","8","7","4","Yes"
"2020/07/28 1:09:45 AM GMT+2","8","6","7","9","7","8","7","8","8","7","8","10","7","10","7","6","Yes"
"2020/07/28 1:10:10 AM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2020/07/28 1:12:52 AM GMT+2","6","6","7","7","6","5","6","7","6","6","6","10","7","10","10","8","Yes"
"2020/07/28 1:14:03 AM GMT+2","7","7","8","8","9","7","6","7","7","7","7","10","7","9","8","5","Yes"
"2020/07/28 1:14:39 AM GMT+2","6","6","5","6","6","5","5","4","6","6","7","8","5","8","6","7","No"
"2020/07/28 1:14:40 AM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","5","Yes"
"2020/07/28 1:15:54 AM GMT+2","7","8","6","8","6","7","7","6","6","6","7","10","8","8","8","6","Yes"
"2020/07/28 1:18:31 AM GMT+2","6","5","7","7","7","5","6","6","6","6","6","8","6","8","7","6","No"
"2020/07/28 1:28:47 AM GMT+2","7","7","7","8","8","7","6","6","7","6","6","10","7","10","10","4","Yes"
"2020/07/28 1:29:47 AM GMT+2","7","7","7","8","7","7","7","7","7","7","7","8","7","8","7","6","No"
"2020/07/28 1:31:22 AM GMT+2","6","6","5","9","6","6","5","5","6","5","7","8","7","10","9","6","Yes"
"2020/07/28 1:36:11 AM GMT+2","7","7","8","9","6","6","8","7","7","7","8","10","7","10","8","5","No"
"2020/07/28 1:38:59 AM GMT+2","7","6","8","9","7","7","7","7","7","8","7","10","7","10","7","1","Yes"
"2020/07/28 1:43:12 AM GMT+2","7","6","7","9","7","5","6","5","5","6","6","8","6","9","2","5","Yes"
"2020/07/28 1:44:01 AM GMT+2","7","5","6","8","8","7","6","5","7","6","8","10","8","10","10","1","Yes"
"2020/07/28 1:46:23 AM GMT+2","7","3","5","8","6","3","5","4","5","6","6","1","6","5","5","3","Yes"
"2020/07/28 1:46:25 AM GMT+2","7","7","7","8","7","7","7","7","8","7","7","10","6","10","8","4","Yes"
"2020/07/28 1:47:20 AM GMT+2","7","8","6","8","7","6","7","6","6","6","7","10","7","10","8","7","Yes"
"2020/07/28 1:48:48 AM GMT+2","7","8","7","9","7","7","8","6","8","7","8","10","7","10","9","6","Yes"
"2020/07/28 1:51:16 AM GMT+2","8","7","8","10","6","9","8","7","6","10","9","9","7","10","10","8","Yes"
"2020/07/28 1:52:16 AM GMT+2","7","6","8","9","6","6","6","5","4","6","5","7","6","8","7","6","No"
"2020/07/28 1:56:40 AM GMT+2","7","7","6","7","7","6","7","6","6","6","7","10","6","8","7","6","No"
"2020/07/28 1:57:44 AM GMT+2","6","6","6","6","7","6","6","6","7","6","8","7","6","10","7","5","Yes"
"2020/07/28 1:58:14 AM GMT+2","6","6","6","6","5","5","5","5","6","7","6","10","6","7","7","5","Yes"
"2020/07/28 1:59:51 AM GMT+2","6","8","8","9","7","8","7","5","4","5","6","10","7","10","7","3","Yes"
"2020/07/28 2:06:13 AM GMT+2","6","6","7","9","8","6","5","6","6","7","7","8","4","9","7","5","Yes"
"2020/07/28 2:08:23 AM GMT+2","7","7","8","9","6","7","8","7","8","6","8","10","8","9","10","7","Yes"
"2020/07/28 2:08:39 AM GMT+2","6","10","10","10","10","6","10","10","10","10","10","8","9","10","10","1","No"
"2020/07/28 2:13:02 AM GMT+2","7","6","7","10","5","5","7","8","7","6","9","7","9","10","7","9","Yes"
"2020/07/28 2:13:27 AM GMT+2","6","8","7","9","8","6","5","4","6","5","5","8","7","10","5","5","No"
"2020/07/28 2:18:57 AM GMT+2","6","6","8","8","7","8","8","7","8","7","8","10","7","9","7","6","Yes"
"2020/07/28 2:23:38 AM GMT+2","7","7","7","8","6","6","6","8","7","7","8","10","7","10","8","5","Yes"
"2020/07/28 2:28:42 AM GMT+2","7","6","7","8","7","7","6","6","7","8","8","8","7","10","8","8","Yes"
"2020/07/28 2:32:04 AM GMT+2","7","6","8","7","7","6","6","6","6","6","7","7","7","8","9","3","Yes"
"2020/07/28 2:32:28 AM GMT+2","7","7","8","9","8","6","6","6","5","8","8","10","6","10","10","7","No"
"2020/07/28 2:33:20 AM GMT+2","6","6","6","6","6","7","7","6","7","6","6","7","7","6","6","5","Yes"
"2020/07/28 2:35:41 AM GMT+2","7","7","8","8","7","9","5","6","7","7","8","10","9","10","10","8","Yes"
"2020/07/28 2:42:43 AM GMT+2","7","7","9","9","8","8","7","7","10","7","7","10","10","10","10","1","Yes"
"2020/07/28 2:43:47 AM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","5","10","10","1","Yes"
"2020/07/28 2:48:58 AM GMT+2","5","5","5","7","6","5","5","1","5","6","6","8","4","10","6","6","Yes"
"2020/07/28 2:49:03 AM GMT+2","4","5","4","8","6","8","7","7","6","6","7","7","7","10","8","7","Yes"
"2020/07/28 2:49:05 AM GMT+2","7","8","7","8","6","6","6","6","6","7","7","10","6","10","9","6","Yes"
"2020/07/28 2:55:56 AM GMT+2","7","7","6","8","6","7","9","8","9","7","8","10","8","10","9","5","Yes"
"2020/07/28 2:58:35 AM GMT+2","6","7","7","8","7","7","6","7","7","8","8","10","7","7","7","6","Yes"
"2020/07/28 3:02:27 AM GMT+2","6","6","7","8","7","6","7","6","8","7","8","10","6","8","7","5","Yes"
"2020/07/28 3:02:52 AM GMT+2","5","6","6","7","6","6","6","5","5","6","8","7","5","8","5","4","Yes"
"2020/07/28 3:03:05 AM GMT+2","6","6","6","8","6","6","6","6","6","7","6","7","6","7","7","6","No"
"2020/07/28 3:04:41 AM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2020/07/28 3:06:46 AM GMT+2","8","8","7","10","8","9","8","7","6","6","7","10","7","9","9","8","Yes"
"2020/07/28 3:07:21 AM GMT+2","6","6","5","8","6","6","8","6","7","6","7","10","6","9","7","5","Yes"
"2020/07/28 3:07:22 AM GMT+2","6","6","5","7","6","6","5","6","6","6","7","6","6","10","6","6","Yes"
"2020/07/28 3:09:10 AM GMT+2","5","6","6","7","6","6","6","5","6","5","6","7","5","8","8","4","Yes"
"2020/07/28 3:11:24 AM GMT+2","6","8","7","9","7","7","8","6","7","7","7","8","7","8","8","7","Yes"
"2020/07/28 3:15:37 AM GMT+2","6","6","7","8","7","7","6","6","6","6","8","8","6","10","7","5","No"
"2020/07/28 3:18:18 AM GMT+2","7","6","7","9","7","6","6","7","7","6","7","7","7","10","7","5","Yes"
"2020/07/28 3:23:13 AM GMT+2","7","6","7","7","8","6","6","6","7","7","7","9","5","10","6","7","Yes"
"2020/07/28 3:24:36 AM GMT+2","7","5","6","7","7","6","6","5","7","5","7","9","6","8","10","4","Yes"
"2020/07/28 3:29:31 AM GMT+2","7","6","6","8","7","8","8","6","7","7","8","10","9","9","7","6","No"
"2020/07/28 3:30:15 AM GMT+2","7","7","7","9","7","6","6","5","4","5","6","7","6","9","5","6","No"
"2020/07/28 3:31:02 AM GMT+2","7","8","9","9","9","7","8","6","9","7","7","10","8","10","10","6","No"
"2020/07/28 3:31:54 AM GMT+2","6","8","7","9","8","6","7","7","8","8","7","8","8","9","8","8","Yes"
"2020/07/28 3:33:03 AM GMT+2","8","6","7","7","6","7","8","8","7","6","8","10","7","10","8","7","Yes"
"2020/07/28 3:39:41 AM GMT+2","7","8","7","7","7","7","7","6","7","7","8","8","7","9","6","4","Yes"
"2020/07/28 3:43:40 AM GMT+2","6","8","7","8","6","5","5","5","7","6","7","8","7","10","8","5","Yes"
"2020/07/28 3:47:07 AM GMT+2","8","7","7","8","9","7","8","8","9","7","8","10","10","10","10","7","Yes"
"2020/07/28 3:48:47 AM GMT+2","8","5","7","9","7","6","6","8","7","8","9","10","7","10","7","5","Yes"
"2020/07/28 3:50:30 AM GMT+2","8","6","8","8","7","8","8","8","10","10","10","10","10","10","10","1","No"
"2020/07/28 3:52:40 AM GMT+2","3","5","4","8","4","7","4","5","5","3","5","1","4","5","3","3","Yes"
"2020/07/28 3:59:50 AM GMT+2","6","8","8","10","8","6","6","7","6","5","6","8","7","10","9","6","Yes"
"2020/07/28 4:00:18 AM GMT+2","7","7","7","9","7","7","7","7","7","8","8","10","7","7","7","4","Yes"
"2020/07/28 4:00:35 AM GMT+2","4","5","6","7","5","6","6","5","5","6","6","8","7","10","7","6","No"
"2020/07/28 4:04:47 AM GMT+2","7","6","7","8","7","7","8","8","9","8","7","10","9","10","9","3","Yes"
"2020/07/28 4:10:54 AM GMT+2","9","7","7","10","10","9","8","7","8","8","9","10","9","10","10","9","Yes"
"2020/07/28 4:15:04 AM GMT+2","7","4","7","8","6","5","5","5","5","6","6","8","4","10","5","7","Yes"
"2020/07/28 4:21:22 AM GMT+2","7","6","6","7","6","7","6","6","6","7","7","7","6","10","8","5","Yes"
