"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard (sub for Pereira/optional)","Nemanja Matic (sub for Mata/optional)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Southampton (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/31 11:27:39 PM GMT+1","6","6","6","5","6","5","6","5","6","7","5","","","6","5","5","6",""
"2019/08/31 11:29:12 PM GMT+1","6","4","5","2","7","4","4","1","6","7","2","","","4","1","4","7","Yes"
"2019/08/31 11:30:50 PM GMT+1","5","6","6","4","8","5","6","1","5","9","3","1","6","4","1","3","5","Yes"
"2019/08/31 11:33:41 PM GMT+1","8","8","7","6","8","7","7","6","8","9","4","6","7","7","6","7","7",""
"2019/08/31 11:36:49 PM GMT+1","6","7","7","6","7","6","3","4","6","8","4","4","5","5","2","5","5","Yes"
"2019/08/31 11:37:04 PM GMT+1","2","6","9","7","9","9","3","6","5","9","2","2","6","5","2","6","2","Yes"
"2019/08/31 11:45:56 PM GMT+1","7","5","6","4","9","7","8","3","8","10","3","4","5","4","2","6","7","Yes"
"2019/08/31 11:46:09 PM GMT+1","7","7","5","4","5","5","3","4","9","8","3","3","2","3","3","3","6","Yes"
"2019/08/31 11:48:57 PM GMT+1","7","6","8","4","8","7","6","4","8","9","6","5","5","5","1","7","8","Yes"
"2019/08/31 11:49:04 PM GMT+1","6","6","6","5","7","7","5","4","6","9","3","3","3","5","1","5","6","Yes"
"2019/08/31 11:52:36 PM GMT+1","5","7","6","6","8","8","3","2","6","8","4","6","4","5","3","5","5","Yes"
"2019/09/01 12:00:21 AM GMT+1","6","3","7","6","6","4","6","5","5","8","4","3","3","5","4","5","6","Yes"
"2019/09/01 12:00:42 AM GMT+1","4","5","6","5","7","5","6","4","6","7","3","2","5","5","3","5","6","Yes"
"2019/09/01 12:07:00 AM GMT+1","5","5","6","5","8","5","4","1","6","8","1","2","3","4","1","2","5","Yes"
"2019/09/01 12:11:39 AM GMT+1","6","6","6","5","7","6","6","5","5","8","6","","","4","2","2","5","Yes"
"2019/09/01 12:12:57 AM GMT+1","8","9","7","8","8","6","5","3","9","10","5","1","7","7","6","7","6","Yes"
"2019/09/01 12:13:44 AM GMT+1","6","6","8","4","6","6","5","3","7","8","4","6","6","7","3","7","6","Yes"
"2019/09/01 12:14:23 AM GMT+1","5","5","7","4","8","8","4","6","6","9","4","","","4","4","4","7",""
"2019/09/01 12:23:03 AM GMT+1","5","5","5","2","7","7","1","4","7","9","2","2","2","4","1","6","3","No"
"2019/09/01 12:23:58 AM GMT+1","6","4","5","5","7","5","5","2","6","8","5","4","4","5","2","5","4","No"
"2019/09/01 12:26:51 AM GMT+1","6","5","5","3","5","4","5","4","6","6","1","1","5","5","1","6","6",""
"2019/09/01 12:30:44 AM GMT+1","7","7","7","6","8","6","5","6","6","8","5","5","5","6","5","6","6","Yes"
"2019/09/01 12:32:03 AM GMT+1","6","5","5","4","8","3","6","3","6","8","3","1","5","2","1","1","5","Yes"
"2019/09/01 12:33:45 AM GMT+1","6","7","7","5","8","6","5","5","6","8","5","8","6","6","5","6","7","No"
"2019/09/01 12:34:28 AM GMT+1","8","8","8","5","8","7","6","6","7","9","6","","","6","1","7","2","Yes"
"2019/09/01 12:39:00 AM GMT+1","6","5","7","4","8","5","6","4","6","8","5","5","5","6","5","6","6","Yes"
"2019/09/01 12:40:06 AM GMT+1","7","6","7","5","7","5","5","5","8","9","5","5","6","5","4","8","4","Yes"
"2019/09/01 12:42:21 AM GMT+1","6","7","6","3","7","5","4","3","7","8","3","5","5","4","3","3","7","Yes"
"2019/09/01 12:43:19 AM GMT+1","5","6","6","2","7","8","2","4","7","8","3","5","6","4","3","6","6","Yes"
"2019/09/01 12:45:48 AM GMT+1","6","6","6","3","7","7","4","5","7","8","5","5","5","6","4","6","6","Yes"
"2019/09/01 12:46:59 AM GMT+1","4","7","7","5","9","8","7","2","9","10","2","1","6","4","3","4","7","Yes"
"2019/09/01 12:47:57 AM GMT+1","6","3","7","1","9","7","7","3","4","8","4","1","4","5","1","5","6","Yes"
"2019/09/01 12:51:01 AM GMT+1","5","5","6","5","7","6","5","5","6","8","4","","","4","3","4","5","Yes"
"2019/09/01 12:51:32 AM GMT+1","6","6","6","5","7","7","6","6","6","9","6","5","6","6","3","5","7","Yes"
"2019/09/01 12:54:17 AM GMT+1","9","9","9","9","9","9","9","9","9","9","9","","","8","3","3","7","Yes"
"2019/09/01 12:55:38 AM GMT+1","7","6","6","4","7","6","4","5","6","8","4","","","4","4","4","8","Yes"
"2019/09/01 12:55:40 AM GMT+1","6","6","8","3","9","8","4","3","6","9","5","4","6","2","2","2","7","Yes"
"2019/09/01 1:01:54 AM GMT+1","5","6","5","4","8","8","6","4","6","8","4","3","3","5","6","6","7","Yes"
"2019/09/01 1:09:08 AM GMT+1","6","6","6","5","7","6","5","4","6","8","4","5","6","4","3","5","6","Yes"
"2019/09/01 1:09:13 AM GMT+1","5","8","4","2","4","8","3","3","6","6","3","3","3","4","3","7","5","No"
"2019/09/01 1:10:46 AM GMT+1","5","5","5","5","6","3","5","3","5","7","2","3","4","4","4","3","7","Yes"
"2019/09/01 1:11:34 AM GMT+1","7","8","8","6","9","9","8","7","8","9","5","4","5","5","5","5","6","Yes"
"2019/09/01 1:12:30 AM GMT+1","8","7","8","8","9","8","8","6","8","10","3","6","6","7","2","8","8","Yes"
"2019/09/01 1:17:44 AM GMT+1","6","6","7","4","8","6","7","4","7","9","4","1","5","5","3","6","4","Yes"
"2019/09/01 1:19:27 AM GMT+1","6","7","7","4","8","6","6","4","7","9","4","1","4","5","5","4","8","Yes"
"2019/09/01 1:19:39 AM GMT+1","6","6","6","4","7","7","4","2","8","8","4","5","5","4","4","4","4","Yes"
"2019/09/01 1:21:32 AM GMT+1","5","6","7","5","8","7","6","5","7","8","4","3","5","4","2","4","7","Yes"
"2019/09/01 1:21:49 AM GMT+1","7","6","7","5","8","5","6","4","7","7","4","2","5","3","3","1","5","Yes"
"2019/09/01 1:22:26 AM GMT+1","6","6","7","4","8","6","7","5","7","6","3","3","6","6","3","7","6","Yes"
"2019/09/01 1:24:37 AM GMT+1","6","7","7","6","9","6","5","5","8","8","5","","","5","5","6","4","Yes"
"2019/09/01 1:27:42 AM GMT+1","6","6","6","4","7","5","5","4","6","8","3","3","4","5","1","5","5","Yes"
"2019/09/01 1:30:24 AM GMT+1","5","7","7","5","8","6","7","5","8","8","1","4","5","5","4","5","8","Yes"
"2019/09/01 1:30:26 AM GMT+1","6","6","7","5","7","6","6","5","6","8","5","5","6","7","4","6","5",""
"2019/09/01 1:34:04 AM GMT+1","8","6","10","9","5","6","4","7","7","9","4","4","4","6","3","4","6","No"
"2019/09/01 1:35:04 AM GMT+1","7","6","6","4","7","5","4","4","7","8","5","5","5","5","5","3","7","Yes"
"2019/09/01 1:36:09 AM GMT+1","5","6","6","4","7","5","5","4","5","7","4","4","5","4","2","3","7",""
"2019/09/01 1:37:07 AM GMT+1","3","5","5","4","6","7","6","5","7","7","5","5","5","5","4","4","5","Yes"
"2019/09/01 1:38:28 AM GMT+1","6","5","6","4","7","5","4","5","6","9","3","3","4","3","3","5","6","Yes"
"2019/09/01 2:01:45 AM GMT+1","5","5","5","4","6","5","4","2","7","6","4","3","4","5","1","3","3","Yes"
"2019/09/01 2:05:52 AM GMT+1","7","6","7","5","7","6","7","5","7","8","5","6","6","6","6","7","5","Yes"
"2019/09/01 2:08:12 AM GMT+1","7","6","6","5","8","5","5","4","5","7","4","4","5","4","1","3","6","No"
"2019/09/01 2:17:24 AM GMT+1","8","7","8","6","10","9","7","5","7","8","6","4","5","6","1","6","2","Yes"
"2019/09/01 2:20:23 AM GMT+1","6","5","5","3","7","6","2","4","4","8","4","3","6","1","1","5","7","Yes"
"2019/09/01 2:21:10 AM GMT+1","6","5","6","2","6","8","4","5","6","8","1","4","4","2","5","4","4","No"
"2019/09/01 2:26:17 AM GMT+1","5","6","6","5","7","6","3","2","6","7","4","3","5","3","1","2","6","Yes"
"2019/09/01 2:28:28 AM GMT+1","7","6","6","4","7","6","6","5","7","7","4","5","5","6","5","4","5","Yes"
"2019/09/01 2:29:56 AM GMT+1","3","5","6","5","8","7","4","5","5","8","4","","","4","2","4","7","Yes"
"2019/09/01 2:30:17 AM GMT+1","6","7","6","5","7","6","4","5","7","9","3","4","3","4","6","6","6","Yes"
"2019/09/01 2:35:19 AM GMT+1","6","7","7","5","8","6","5","3","7","8","5","3","7","6","3","7","6","Yes"
"2019/09/01 2:39:14 AM GMT+1","3","5","5","5","8","7","4","4","5","7","3","5","4","5","1","5","1","Yes"
"2019/09/01 2:43:26 AM GMT+1","3","4","5","5","5","5","9","2","7","9","1","1","2","4","1","1","5","Yes"
"2019/09/01 2:48:05 AM GMT+1","6","6","6","5","7","5","5","5","5","7","4","5","5","5","4","5","6","No"
"2019/09/01 2:49:32 AM GMT+1","7","6","8","6","7","8","7","5","5","9","4","3","5","7","2","7","6","Yes"
"2019/09/01 3:06:47 AM GMT+1","7","2","6","3","8","5","4","4","6","9","1","4","5","3","1","1","8","Yes"
"2019/09/01 3:06:54 AM GMT+1","7","4","7","5","7","7","5","4","4","8","5","4","6","5","2","5","3","Yes"
"2019/09/01 3:07:17 AM GMT+1","5","5","7","2","7","6","3","5","6","8","3","3","4","3","1","8","5","Yes"
"2019/09/01 3:10:15 AM GMT+1","6","6","6","4","7","6","5","5","5","8","4","6","5","5","4","5","5","Yes"
"2019/09/01 3:21:08 AM GMT+1","6","6","5","4","5","4","3","4","5","7","3","5","6","4","2","4","5","Yes"
"2019/09/01 3:23:37 AM GMT+1","6","7","6","5","6","6","6","4","5","7","4","5","5","5","4","2","5","Yes"
"2019/09/01 3:23:53 AM GMT+1","6","5","6","6","7","6","6","3","6","8","4","4","5","5","3","4","7","No"
"2019/09/01 3:28:20 AM GMT+1","7","7","6","2","7","6","4","5","6","8","4","3","4","6","3","6","5","Yes"
"2019/09/01 3:30:40 AM GMT+1","6","4","6","4","7","6","5","4","7","7","4","6","5","4","5","5","7","Yes"
"2019/09/01 3:37:57 AM GMT+1","6","6","7","5","7","7","4","3","6","7","4","3","6","5","2","3","4","Yes"
"2019/09/01 3:39:57 AM GMT+1","6","8","7","5","8","7","5","5","5","9","4","","","4","2","4","4","Yes"
"2019/09/01 3:40:04 AM GMT+1","7","6","7","5","9","8","7","5","6","9","7","6","","7","5","7","6",""
"2019/09/01 3:46:01 AM GMT+1","6","7","6","7","8","8","7","4","7","9","5","3","5","4","3","3","6","Yes"
"2019/09/01 3:46:14 AM GMT+1","5","4","6","6","5","7","5","2","4","8","6","1","3","4","4","4","5","Yes"
"2019/09/01 3:46:58 AM GMT+1","5","5","5","5","6","5","5","4","4","6","4","3","3","4","1","5","5","Yes"
"2019/09/01 3:47:19 AM GMT+1","4","6","5","2","7","4","2","2","4","6","4","4","4","4","4","2","4","Yes"
"2019/09/01 3:48:20 AM GMT+1","6","6","7","4","8","6","6","1","6","9","1","2","4","4","2","3","6","Yes"
"2019/09/01 4:04:17 AM GMT+1","6","8","7","5","7","6","6","5","5","8","5","4","6","3","2","5","6",""
"2019/09/01 4:09:45 AM GMT+1","8","6","5","5","5","7","4","5","4","7","6","5","7","4","1","6","5","No"
"2019/09/01 4:12:57 AM GMT+1","5","6","6","5","7","6","6","5","6","8","5","6","6","4","2","6","7","Yes"
"2019/09/01 4:15:27 AM GMT+1","2","3","3","1","3","3","3","2","3","5","1","1","1","2","1","1","10","No"
"2019/09/01 4:16:08 AM GMT+1","5","6","8","3","7","6","3","1","5","8","1","1","5","3","1","3","6","No"
"2019/09/01 4:17:54 AM GMT+1","7","7","7","5","8","7","8","5","7","8","4","4","6","6","5","7","7","Yes"
"2019/09/01 4:20:18 AM GMT+1","6","6","7","5","7","7","5","4","7","8","4","5","5","5","4","5","8","Yes"
"2019/09/01 4:21:34 AM GMT+1","7","8","7","6","8","6","5","5","7","9","4","4","6","5","5","5","5","Yes"
"2019/09/01 4:23:09 AM GMT+1","7","7","6","6","7","6","6","5","7","8","5","5","6","6","4","6","7","Yes"
"2019/09/01 4:24:50 AM GMT+1","6","7","7","4","7","4","6","2","8","9","2","2","3","4","2","2","6","Yes"
"2019/09/01 4:30:23 AM GMT+1","6","6","6","5","7","7","6","5","7","9","1","1","5","6","3","5","1","No"
"2019/09/01 4:35:46 AM GMT+1","6","5","6","6","7","5","6","5","6","8","5","5","6","6","5","7","6","Yes"
"2019/09/01 4:39:16 AM GMT+1","6","4","7","5","9","7","6","4","6","10","3","","","5","1","4","6","No"
"2019/09/01 4:40:03 AM GMT+1","4","4","4","1","6","4","3","1","4","7","1","1","2","1","1","1","4","Yes"
"2019/09/01 4:58:54 AM GMT+1","6","4","4","3","8","7","3","4","7","8","3","","","4","3","4","6","No"
"2019/09/01 5:12:46 AM GMT+1","7","7","8","7","8","8","6","4","8","9","6","7","6","7","3","6","7","Yes"
"2019/09/01 5:14:44 AM GMT+1","6","6","5","3","7","6","6","4","8","9","3","3","4","2","4","4","7","Yes"
"2019/09/01 5:19:57 AM GMT+1","7","7","7","4","7","7","3","5","6","8","2","5","8","4","4","5","6","Yes"
"2019/09/01 5:23:02 AM GMT+1","6","6","6","3","6","4","3","4","7","7","2","1","3","3","3","5","6","Yes"
"2019/09/01 5:33:37 AM GMT+1","6","5","6","3","7","6","3","3","6","7","2","4","6","4","2","6","5","Yes"
"2019/09/01 5:39:47 AM GMT+1","4","6","6","4","5","5","6","2","6","9","2","4","4","5","1","4","7","Yes"
"2019/09/01 5:44:01 AM GMT+1","7","7","7","5","8","6","4","3","6","8","1","1","6","5","1","5","6","Yes"
"2019/09/01 5:57:38 AM GMT+1","6","5","7","5","8","8","7","2","7","7","2","4","5","4","4","3","7","Yes"
"2019/09/01 6:00:50 AM GMT+1","8","7","7","5","7","4","5","4","4","9","1","","","5","5","7","3","Yes"
"2019/09/01 6:01:10 AM GMT+1","5","6","8","8","10","8","7","6","6","10","5","3","4","6","2","6","5","Yes"
"2019/09/01 6:06:03 AM GMT+1","6","6","6","6","7","6","5","2","7","8","3","","","5","4","5","7","Yes"
"2019/09/01 6:08:23 AM GMT+1","6","6","7","5","7","7","6","4","6","7","3","4","6","3","1","3","6","Yes"
"2019/09/01 6:10:14 AM GMT+1","6","5","6","5","7","5","4","4","6","8","4","1","4","5","4","4","5","Yes"
"2019/09/01 6:13:12 AM GMT+1","6","6","5","5","7","5","4","5","6","6","4","4","5","6","4","6","6","Yes"
"2019/09/01 6:17:47 AM GMT+1","7","6","6","4","8","6","5","4","5","9","1","","","7","6","5","6","Yes"
"2019/09/01 6:19:00 AM GMT+1","6","6","6","5","7","6","5","3","6","7","3","4","4","6","4","6","7","No"
"2019/09/01 6:21:26 AM GMT+1","7","7","7","6","7","6","6","6","7","8","4","","","5","6","6","8",""
"2019/09/01 6:23:03 AM GMT+1","5","6","6","4","7","6","4","3","6","8","4","5","6","4","1","6","6","Yes"
"2019/09/01 6:26:13 AM GMT+1","7","7","6","5","8","8","1","4","7","9","3","5","4","1","1","4","7","Yes"
"2019/09/01 6:27:00 AM GMT+1","6","4","5","3","7","2","5","2","5","7","3","2","4","5","3","5","6","Yes"
"2019/09/01 6:27:31 AM GMT+1","6","5","7","5","7","7","5","4","6","7","3","3","5","6","4","6","5","Yes"
"2019/09/01 6:31:53 AM GMT+1","3","8","6","6","7","5","6","5","5","7","1","4","4","2","1","1","6","Yes"
"2019/09/01 6:35:06 AM GMT+1","7","5","6","4","7","5","3","4","6","8","3","1","4","4","1","3","5","Yes"
"2019/09/01 6:35:39 AM GMT+1","8","6","8","5","8","7","6","3","7","10","4","3","3","4","1","4","7","Yes"
"2019/09/01 6:37:56 AM GMT+1","6","7","7","4","6","5","5","4","7","8","4","","","5","4","5","7","No"
"2019/09/01 6:38:08 AM GMT+1","5","5","5","1","5","4","1","1","2","6","1","1","1","3","3","1","6","Yes"
"2019/09/01 6:38:39 AM GMT+1","6","7","6","5","8","8","6","3","7","8","5","","6","6","4","7","6","Yes"
"2019/09/01 6:39:22 AM GMT+1","4","6","6","4","6","6","4","3","5","7","4","","","4","4","4","5","Yes"
"2019/09/01 6:41:25 AM GMT+1","7","7","6","4","7","5","5","6","6","8","6","4","6","5","3","4","5","Yes"
"2019/09/01 7:03:04 AM GMT+1","8","7","6","4","6","7","5","6","8","9","7","8","8","6","4","6","8","Yes"
"2019/09/01 7:04:09 AM GMT+1","3","7","7","6","8","9","5","6","7","10","2","5","4","5","1","6","7","No"
"2019/09/01 7:04:37 AM GMT+1","6","6","6","4","7","5","6","1","6","8","1","2","5","5","3","4","6","Yes"
"2019/09/01 7:04:45 AM GMT+1","6","7","6","6","8","7","4","5","6","7","4","5","6","5","2","4","4","Yes"
"2019/09/01 7:16:40 AM GMT+1","6","6","6","4","8","6","5","5","5","9","4","4","5","6","4","4","8","Yes"
"2019/09/01 7:16:42 AM GMT+1","6","5","6","3","7","5","4","3","6","8","3","4","5","2","2","4","7","Yes"
"2019/09/01 7:20:10 AM GMT+1","6","6","6","4","7","6","5","3","7","8","4","3","6","5","3","5","3","Yes"
"2019/09/01 7:25:42 AM GMT+1","5","6","5","3","8","6","3","2","5","8","3","3","5","4","3","3","3","Yes"
"2019/09/01 7:27:02 AM GMT+1","7","7","6","4","7","6","5","6","6","8","5","4","5","5","4","5","6","Yes"
"2019/09/01 7:32:27 AM GMT+1","8","8","8","6","8","8","4","4","7","8","4","","","4","5","6","8","Yes"
"2019/09/01 7:35:42 AM GMT+1","7","2","7","5","7","7","7","1","2","7","1","1","3","1","1","3","5","Yes"
"2019/09/01 7:35:52 AM GMT+1","7","5","7","6","7","6","6","4","6","8","5","4","3","5","5","6","6","Yes"
"2019/09/01 7:39:27 AM GMT+1","6","4","5","3","7","5","5","4","4","8","4","4","3","2","1","1","4","No"
"2019/09/01 7:39:52 AM GMT+1","6","6","6","5","6","6","3","5","4","7","4","3","3","5","3","2","5","Yes"
"2019/09/01 7:41:30 AM GMT+1","7","6","7","5","8","6","6","5","6","8","6","5","5","5","5","6","6","Yes"
"2019/09/01 7:44:25 AM GMT+1","7","7","8","8","8","7","5","3","7","7","6","","","7","5","5","4","Yes"
"2019/09/01 7:47:08 AM GMT+1","7","5","7","6","8","5","5","3","7","8","6","5","6","4","5","5","7","Yes"
"2019/09/01 7:48:54 AM GMT+1","6","6","6","5","7","6","6","1","6","8","2","2","5","6","4","5","4","Yes"
"2019/09/01 7:50:39 AM GMT+1","5","6","5","5","7","6","5","4","5","7","5","4","5","5","2","3","10","Yes"
"2019/09/01 8:03:21 AM GMT+1","7","7","7","6","7","7","5","5","7","8","2","2","3","5","2","4","6","Yes"
"2019/09/01 8:04:23 AM GMT+1","8","7","7","4","8","7","6","5","6","8","3","4","5","5","5","7","4","Yes"
"2019/09/01 8:07:17 AM GMT+1","6","4","6","5","7","5","4","5","6","9","5","4","4","7","6","8","6","No"
"2019/09/01 8:07:47 AM GMT+1","7","7","7","6","9","8","6","4","5","10","6","3","3","4","1","5","6","No"
"2019/09/01 8:09:32 AM GMT+1","7","5","5","2","5","4","3","2","2","8","3","","","3","4","2","6","Yes"
"2019/09/01 8:09:39 AM GMT+1","5","4","5","4","7","6","5","4","6","8","4","4","5","3","7","4","5","Yes"
"2019/09/01 8:11:16 AM GMT+1","7","7","5","5","8","7","5","4","7","9","5","4","","6","5","5","7","No"
"2019/09/01 8:14:11 AM GMT+1","6","4","5","1","6","5","1","1","5","7","1","1","1","1","1","1","9","No"
"2019/09/01 8:17:44 AM GMT+1","5","5","7","2","7","5","4","2","6","8","1","1","3","2","2","3","6","No"
"2019/09/01 8:22:04 AM GMT+1","7","7","8","8","10","8","6","5","6","10","5","4","6","6","4","6","7","Yes"
"2019/09/01 8:26:49 AM GMT+1","6","6","7","4","6","5","6","3","6","8","3","2","4","4","4","4","5","Yes"
"2019/09/01 8:27:00 AM GMT+1","6","8","7","6","7","7","6","6","7","8","6","7","7","6","4","6","5","No"
"2019/09/01 8:30:11 AM GMT+1","3","4","4","3","8","4","3","3","7","9","4","2","3","4","3","7","7","Yes"
"2019/09/01 8:30:12 AM GMT+1","4","7","6","6","7","6","6","4","6","10","6","5","5","6","3","8","5","Yes"
"2019/09/01 8:32:47 AM GMT+1","7","5","7","6","7","8","2","2","4","8","4","4","6","3","3","3","4","Yes"
"2019/09/01 8:33:37 AM GMT+1","5","5","7","7","9","8","5","6","7","9","5","5","5","5","1","7","5","No"
"2019/09/01 8:33:46 AM GMT+1","7","6","6","4","7","4","5","2","6","8","1","3","4","4","3","5","4","Yes"
"2019/09/01 8:34:37 AM GMT+1","6","6","6","4","6","6","5","4","5","9","1","5","","3","1","2","5","No"
"2019/09/01 8:35:54 AM GMT+1","7","9","9","6","10","7","7","8","7","9","6","7","8","8","10","10","10","No"
"2019/09/01 8:40:10 AM GMT+1","7","6","7","6","8","7","4","5","6","8","7","5","5","7","4","7","6","Yes"
"2019/09/01 8:41:01 AM GMT+1","7","6","7","6","8","5","5","2","7","8","4","2","5","5","4","5","7","Yes"
"2019/09/01 8:43:20 AM GMT+1","7","5","6","5","8","7","7","5","6","8","4","3","3","5","3","4","5","Yes"
"2019/09/01 8:53:57 AM GMT+1","10","7","5","5","6","7","7","5","7","8","6","5","6","8","1","7","7","Yes"
"2019/09/01 8:54:26 AM GMT+1","3","4","6","3","8","7","4","5","6","8","4","2","3","5","3","2","5","Yes"
"2019/09/01 8:55:23 AM GMT+1","6","6","6","6","6","6","6","5","6","7","4","4","5","5","4","4","6","Yes"
"2019/09/01 9:00:34 AM GMT+1","6","6","7","7","8","8","6","6","7","9","7","5","6","6","4","5","7","Yes"
"2019/09/01 9:01:50 AM GMT+1","6","6","6","6","7","5","5","5","5","8","5","5","5","5","5","5","5","Yes"
"2019/09/01 9:07:40 AM GMT+1","6","6","6","5","6","6","5","5","6","8","5","6","6","5","1","3","6","Yes"
"2019/09/01 9:08:10 AM GMT+1","5","6","5","4","7","4","2","2","5","8","3","3","5","3","1","1","4","Yes"
"2019/09/01 9:09:44 AM GMT+1","7","4","5","6","8","6","5","1","5","9","4","5","6","6","1","8","4","Yes"
"2019/09/01 9:16:05 AM GMT+1","6","6","6","4","8","7","5","3","6","9","1","1","5","2","1","5","4","Yes"
"2019/09/01 9:18:30 AM GMT+1","7","7","7","5","8","7","5","5","7","8","5","5","5","6","5","6","8","Yes"
"2019/09/01 9:22:22 AM GMT+1","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","Yes"
"2019/09/01 9:25:06 AM GMT+1","6","6","6","3","7","5","5","3","6","7","2","2","3","2","2","4","6","Yes"
"2019/09/01 9:25:21 AM GMT+1","7","4","6","6","6","7","6","4","4","7","5","","","5","1","5","6","Yes"
"2019/09/01 9:34:47 AM GMT+1","6","6","7","5","7","7","6","5","6","8","5","4","3","4","5","5","6","Yes"
"2019/09/01 9:42:07 AM GMT+1","4","4","5","3","7","4","5","1","5","8","4","1","3","4","3","1","5","Yes"
"2019/09/01 9:42:48 AM GMT+1","6","6","6","6","7","6","6","4","6","8","5","5","5","5","1","5","6","No"
"2019/09/01 9:46:35 AM GMT+1","5","4","7","4","7","6","4","4","4","8","4","4","3","5","3","6","5","Yes"
"2019/09/01 9:59:18 AM GMT+1","7","6","7","5","7","7","4","4","6","7","4","4","5","5","4","4","6","No"
"2019/09/01 10:01:03 AM GMT+1","7","6","7","5","7","7","4","4","6","7","4","4","5","5","4","4","6","No"
"2019/09/01 10:04:14 AM GMT+1","6","5","6","4","7","4","6","2","5","7","4","5","5","5","3","5","6","Yes"
"2019/09/01 10:06:34 AM GMT+1","5","7","7","6","8","7","4","4","6","9","5","3","7","6","2","7","6","Yes"
"2019/09/01 10:11:08 AM GMT+1","5","5","5","4","6","5","5","5","5","7","2","2","4","4","2","1","5","No"
"2019/09/01 10:11:49 AM GMT+1","5","7","6","7","8","8","7","8","9","9","8","7","5","5","3","7","7","Yes"
"2019/09/01 10:13:56 AM GMT+1","6","6","7","7","7","7","6","5","7","8","5","5","6","6","4","7","6","Yes"
"2019/09/01 10:14:34 AM GMT+1","6","6","5","4","7","5","4","3","4","8","2","1","1","4","3","2","5","Yes"
"2019/09/01 10:28:43 AM GMT+1","5","1","1","10","10","7","6","5","8","10","2","4","2","5","2","7","3","No"
"2019/09/01 10:28:44 AM GMT+1","5","5","1","10","6","6","5","4","6","7","2","2","1","5","4","6","8",""
"2019/09/01 10:37:57 AM GMT+1","6","3","5","4","6","4","4","3","4","7","2","2","2","3","3","3","5",""
"2019/09/01 10:38:00 AM GMT+1","7","3","7","7","10","7","7","4","6","9","6","4","3","4","1","6","7","No"
"2019/09/01 10:50:34 AM GMT+1","6","5","6","5","8","5","5","5","6","8","2","3","5","6","1","4","4","No"
"2019/09/01 10:57:33 AM GMT+1","5","3","6","3","7","5","4","4","5","7","3","1","3","4","2","2","6","No"
"2019/09/01 10:59:14 AM GMT+1","6","4","5","5","6","5","4","4","4","7","3","1","5","4","1","3","5","Yes"
"2019/09/01 11:03:44 AM GMT+1","7","5","6","5","7","6","4","2","6","7","1","1","5","4","2","6","6","Yes"
"2019/09/01 11:05:58 AM GMT+1","6","6","6","6","7","7","7","5","7","9","2","","","5","3","3","4","Yes"
"2019/09/01 11:07:53 AM GMT+1","8","6","6","5","9","6","4","4","7","8","4","3","6","6","3","6","6","Yes"
"2019/09/01 11:10:59 AM GMT+1","6","6","6","5","7","5","6","4","6","8","2","3","5","6","2","3","3","Yes"
"2019/09/01 11:11:07 AM GMT+1","7","8","7","6","7","6","3","2","8","9","2","4","6","3","5","5","8","Yes"
"2019/09/01 11:12:51 AM GMT+1","7","10","7","7","10","7","7","3","7","10","5","5","7","7","4","7","8","Yes"
"2019/09/01 11:18:22 AM GMT+1","6","6","7","6","8","6","5","5","6","9","5","","","6","5","6","7","Yes"
"2019/09/01 11:23:50 AM GMT+1","6","3","6","5","6","6","6","6","7","7","2","2","5","5","2","6","6","Yes"
"2019/09/01 11:27:49 AM GMT+1","5","5","6","4","7","6","5","4","4","8","4","5","3","4","4","4","5","No"
"2019/09/01 11:29:04 AM GMT+1","6","6","6","6","6","6","5","4","6","7","5","3","4","5","4","4","4","Yes"
"2019/09/01 11:29:21 AM GMT+1","6","10","7","3","9","6","5","4","7","10","1","5","6","5","1","5","7","Yes"
"2019/09/01 11:36:47 AM GMT+1","6","6","6","5","6","7","5","5","6","7","5","6","6","5","3","6","6","Yes"
"2019/09/01 11:37:36 AM GMT+1","6","5","6","5","6","5","6","4","6","7","6","6","7","5","1","5","7","Yes"
"2019/09/01 11:40:00 AM GMT+1","5","5","5","5","6","5","4","5","5","7","4","5","5","5","2","5","5","Yes"
"2019/09/01 11:40:58 AM GMT+1","4","6","6","2","10","6","5","2","6","10","1","","","4","1","4","10","Yes"
"2019/09/01 11:42:15 AM GMT+1","4","5","5","2","6","4","4","4","7","8","3","","","2","1","2","7","Yes"
"2019/09/01 11:44:07 AM GMT+1","6","3","4","4","7","3","7","4","5","7","5","1","5","3","2","2","5","No"
"2019/09/01 11:51:38 AM GMT+1","5","5","5","4","6","5","5","3","6","8","3","3","2","2","2","3","6","Yes"
"2019/09/01 11:51:44 AM GMT+1","6","7","6","4","6","6","5","4","7","8","5","4","4","5","4","4","6","No"
"2019/09/01 11:54:09 AM GMT+1","7","7","8","4","8","8","4","3","7","8","4","3","3","5","5","6","7","Yes"
"2019/09/01 11:58:46 AM GMT+1","5","6","6","5","7","7","6","4","6","8","4","5","5","5","1","5","8","Yes"
