"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Bailly","Fred","James","Team Performance","Final Result","Ole","Bournemouth","Did the ref do a good job?"
"2020/07/07 4:48:59 PM GMT+2","5","8","5","6","8","9","9","9","10","10","9","6","8","7","9","10","10","7","No"
"2020/07/07 4:49:44 PM GMT+2","1","7","1","6","6","4","9","8","10","10","10","6","10","8","7","10","9","5","Yes"
"2020/07/07 4:50:17 PM GMT+2","4","7","3","7","7","5","8","7","10","10","9","3","7","7","7","8","8","6","Yes"
"2020/07/07 4:50:22 PM GMT+2","5","8","6","8","9","8","8","7","9","10","8","5","8","7","8","8","9","4","Yes"
"2020/07/07 4:50:26 PM GMT+2","6","7","6","6","7","5","8","7","9","10","8","6","8","7","8","8","8","5","No"
"2020/07/07 4:50:55 PM GMT+2","5","7","5","7","8","7","7","8","9","10","8","6","7","6","8","8","10","5","No"
"2020/07/07 4:51:11 PM GMT+2","4","8","7","6","7","8","9","8","10","10","9","4","6","7","7","8","9","6","Yes"
"2020/07/07 4:51:26 PM GMT+2","4","7","5","7","8","9","8","8","9","10","9","4","7","7","8","10","9","6","Yes"
"2020/07/07 4:51:32 PM GMT+2","6","8","5","7","9","10","10","9","10","10","9","8","8","8","9","9","8","2","No"
"2020/07/07 4:51:54 PM GMT+2","6","8","5","6","7","7","9","7","9","10","8","6","7","","8","9","9","8","No"
"2020/07/07 4:52:54 PM GMT+2","4","7","4","7","7","6","8","8","9","10","8","6","7","7","8","9","8","6","No"
"2020/07/07 4:53:00 PM GMT+2","5","8","5","7","7","6","8","7","9","10","9","4","7","6","8","8","8","5","No"
"2020/07/07 4:53:05 PM GMT+2","5","7","3","7","7","6","7","7","9","9","8","7","7","6","8","8","9","7","Yes"
"2020/07/07 4:53:21 PM GMT+2","5","8","5","6","7","8","8","7","8","9","8","5","7","6","7","7","8","6","No"
"2020/07/07 4:53:25 PM GMT+2","3","7","5","6","9","9","8","7","10","10","8","5","7","6","9","10","10","3","Yes"
"2020/07/07 4:53:41 PM GMT+2","8","8","6","6","8","9","9","9","9","10","9","5","8","8","8","9","9","8","Yes"
"2020/07/07 4:53:46 PM GMT+2","5","7","5","6","7","8","9","8","9","10","9","7","7","6","8","7","9","6","No"
"2020/07/07 4:54:53 PM GMT+2","7","8","7","7","7","8","8","6","9","10","7","7","6","6","8","9","9","6","No"
"2020/07/07 4:55:22 PM GMT+2","2","8","7","8","8","8","8","7","9","10","8","8","8","7","9","10","10","6","Yes"
"2020/07/07 4:55:26 PM GMT+2","5","7","6","7","7","7","8","8","9","10","9","5","6","6","8","10","8","4","Yes"
"2020/07/07 4:56:10 PM GMT+2","7","8","6","7","8","9","9","8","9","10","9","6","7","7","8","8","8","7","No"
"2020/07/07 4:56:43 PM GMT+2","7","8","5","6","8","9","9","8","9","10","9","7","8","6","8","8","9","4","No"
