"Timestamp","David de Gea","Marcos Rojo","Harry Maguire","Victor Lindelof","Ashley Young","Aaron Wan-Bissaka","Fred","Scott McTominay","Andreas Pereira","Marcus Rashford","Daniel James","Team performance","Final result","Rate Ole (only this match)","Rate Liverpool (only this match)","Were you happy with the ref's performance? (optional)"
"2019/10/21 12:40:59 PM GMT+1","6","5","8","6","5","8","7","7","8","8","9","8","6","7","4","Yes"
"2019/10/21 12:41:16 PM GMT+1","7","6","7","7","6","8","8","7","9","9","9","8","5","8","4","Yes"
"2019/10/21 12:41:21 PM GMT+1","5","3","6","4","3","5","4","4","6","6","7","6","5","6","3","Yes"
"2019/10/21 12:41:38 PM GMT+1","7","7","7","6","7","7","7","7","8","8","7","8","7","8","5","Yes"
"2019/10/21 12:42:09 PM GMT+1","7","5","7","7","6","6","6","7","8","7","8","8","5","6","4","Yes"
"2019/10/21 12:42:20 PM GMT+1","7","5","7","6","5","7","6","7","7","8","9","8","7","6","4","Yes"
"2019/10/21 12:42:40 PM GMT+1","6","6","6","6","5","6","6","6","4","7","7","6","6","6","4","No"
"2019/10/21 12:43:04 PM GMT+1","6","5","6","6","5","7","6","7","8","7","9","8","7","9","3","No"
"2019/10/21 12:43:05 PM GMT+1","6","6","8","7","6","7","6","7","8","9","9","9","7","9","5","Yes"
"2019/10/21 12:43:15 PM GMT+1","9","6","7","7","6","8","7","7","8","9","10","7","5","9","2","No"
"2019/10/21 12:43:39 PM GMT+1","8","5","7","8","6","6","7","8","9","9","9","7","6","6","4","Yes"
"2019/10/21 12:43:57 PM GMT+1","6","6","7","6","6","7","7","6","7","9","8","8","6","8","4","Yes"
"2019/10/21 12:44:00 PM GMT+1","5","6","6","6","6","7","7","6","7","7","7","6","6","6","4","Yes"
"2019/10/21 12:44:06 PM GMT+1","8","2","7","6","7","8","5","5","8","8","9","7","6","4","2","Yes"
"2019/10/21 12:44:14 PM GMT+1","7","5","7","6","6","7","6","6","7","8","7","7","8","9","4","Yes"
"2019/10/21 12:44:53 PM GMT+1","8","4","6","6","5","8","7","7","6","7","8","7","6","5","2","Yes"
"2019/10/21 12:44:56 PM GMT+1","7","7","7","5","6","7","6","6","8","8","8","7","8","7","5","Yes"
"2019/10/21 12:45:17 PM GMT+1","7","6","7","7","7","7","6","6","6","8","8","7","5","7","4",""
"2019/10/21 12:45:38 PM GMT+1","7","6","7","7","6","8","6","6","7","8","8","7","7","7","4","Yes"
"2019/10/21 12:45:39 PM GMT+1","7","5","7","4","5","6","4","5","7","7","7","7","3","7","7",""
"2019/10/21 12:46:12 PM GMT+1","7","5","8","7","6","7","4","7","6","8","8","7","7","9","1","Yes"
"2019/10/21 12:46:23 PM GMT+1","6","5","6","5","6","9","6","8","6","9","8","8","7","8","3","No"
"2019/10/21 12:46:43 PM GMT+1","8","7","7","6","3","7","5","6","8","8","8","7","5","7","1","Yes"
"2019/10/21 12:47:08 PM GMT+1","8","6","7","6","4","7","6","7","7","8","8","6","6","7","4","Yes"
"2019/10/21 12:47:24 PM GMT+1","8","5","7","5","5","7","6","8","7","8","8","7","7","7","3","No"
"2019/10/21 12:47:25 PM GMT+1","7","6","7","6","6","6","8","7","7","9","8","8","6","8","4","Yes"
"2019/10/21 12:47:37 PM GMT+1","6","7","7","4","7","7","5","4","6","8","9","7","8","7","1","No"
"2019/10/21 12:47:42 PM GMT+1","8","5","8","7","8","9","8","9","9","10","9","8","6","9","6","Yes"
"2019/10/21 12:47:47 PM GMT+1","6","6","7","7","6","7","8","8","8","8","9","7","6","7","7","Yes"
"2019/10/21 12:48:02 PM GMT+1","8","7","7","6","7","8","7","7","8","9","9","8","3","9","6","Yes"
"2019/10/21 12:48:05 PM GMT+1","7","6","7","7","8","6","6","7","7","8","8","9","7","10","3","Yes"
"2019/10/21 12:48:06 PM GMT+1","5","3","3","1","1","6","1","1","6","1","1","1","1","1","4","No"
"2019/10/21 12:48:22 PM GMT+1","5","4","7","7","4","8","5","5","8","8","8","8","7","9","2","Yes"
"2019/10/21 12:48:24 PM GMT+1","7","5","7","6","5","7","7","7","8","9","8","8","6","8","5","No"
"2019/10/21 12:48:38 PM GMT+1","9","4","8","7","7","9","6","7","8","9","9","8","6","8","6","Yes"
"2019/10/21 12:49:17 PM GMT+1","6","5","6","6","5","7","6","6","8","8","8","8","8","8","4","Yes"
"2019/10/21 12:49:24 PM GMT+1","7","6","6","5","6","6","6","6","6","6","6","7","4","8","4","Yes"
"2019/10/21 12:49:25 PM GMT+1","9","6","9","9","7","9","9","9","9","10","9","9","7","10","5","Yes"
"2019/10/21 12:50:17 PM GMT+1","7","5","7","8","5","6","7","7","8","7","7","8","8","9","6","Yes"
"2019/10/21 12:50:26 PM GMT+1","9","6","8","7","5","8","5","7","7","8","9","8","9","7","6","Yes"
"2019/10/21 12:50:56 PM GMT+1","7","6","8","8","7","8","6","6","7","7","8","8","6","9","5","Yes"
"2019/10/21 12:51:07 PM GMT+1","6","7","8","7","7","7","8","7","7","9","10","8","8","10","3","Yes"
"2019/10/21 12:51:40 PM GMT+1","7","2","8","2","3","6","2","8","7","8","8","7","6","6","3","Yes"
"2019/10/21 12:52:21 PM GMT+1","9","4","7","8","5","8","6","8","9","9","10","8","8","9","4","Yes"
"2019/10/21 12:52:43 PM GMT+1","7","6","7","5","5","6","5","5","8","7","8","7","6","6","3","Yes"
"2019/10/21 12:52:52 PM GMT+1","8","3","7","7","8","8","8","7","8","8","9","8","5","7","5",""
"2019/10/21 12:53:14 PM GMT+1","7","6","8","7","7","8","8","8","8","10","9","9","5","10","5","Yes"
"2019/10/21 12:53:39 PM GMT+1","8","5","6","5","7","7","6","7","9","9","9","8","7","8","5","Yes"
"2019/10/21 12:54:46 PM GMT+1","7","6","7","6","6","7","5","6","5","8","7","8","9","6","7","Yes"
"2019/10/21 12:54:56 PM GMT+1","7","5","7","6","6","7","6","7","8","9","8","8","7","8","4","Yes"
"2019/10/21 12:55:09 PM GMT+1","6","4","6","6","6","7","8","7","9","7","8","7","8","6","5","Yes"
"2019/10/21 12:55:45 PM GMT+1","7","6","7","7","8","8","5","7","8","8","8","8","5","8","5","Yes"
"2019/10/21 12:55:46 PM GMT+1","6","5","7","5","5","5","5","6","8","8","9","8","6","6","5","Yes"
"2019/10/21 12:56:14 PM GMT+1","7","6","6","5","5","6","7","8","7","7","7","8","5","9","3","Yes"
"2019/10/21 12:56:35 PM GMT+1","6","5","6","6","6","7","7","6","7","7","6","7","7","6","7","Yes"
"2019/10/21 12:56:58 PM GMT+1","7","6","6","6","6","7","6","6","7","7","8","6","6","6","5","Yes"
"2019/10/21 12:57:08 PM GMT+1","8","6","8","8","6","8","9","9","10","9","10","8","8","9","5","Yes"
