"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Pereira","Daniel James","Bruno Fernandes ❤️ ","Mata","Martial","Greenwood (optional)","Team Performance","Final Result","Ole","Wolves","Did the ref/VAR do a good job?"
"2020/02/03 7:36:49 PM GMT+1","6","6","6","6","6","6","3","3","7","5","3","4","4","3","4","5","Yes"
"2020/02/03 7:36:59 PM GMT+1","8","7","8","7","7","10","4","5","9","6","4","4","4","3","2","7","No"
"2020/02/03 7:37:06 PM GMT+1","7","6","7","6","7","7","3","4","6","6","3","","6","4","1","8","Yes"
"2020/02/03 7:37:19 PM GMT+1","9","6","7","6","6","8","2","4","7","6","2","4","4","2","4","5","Yes"
"2020/02/03 7:37:27 PM GMT+1","8","6","9","7","7","7","2","4","8","4","5","5","5","5","5","7","Yes"
"2020/02/03 7:37:38 PM GMT+1","8","7","7","7","8","7","6","6","7","7","7","8","6","1","8","7","Yes"
"2020/02/03 7:38:50 PM GMT+1","8","5","7","7","8","8","5","5","8","6","4","","5","6","4","6","Yes"
"2020/02/03 7:39:07 PM GMT+1","9","8","8","8","7","7","3","6","9","7","1","6","1","1","1","5","Yes"
"2020/02/03 7:39:18 PM GMT+1","8","6","7","6","6","6","1","5","7","7","1","","5","1","1","5","Yes"
"2020/02/03 7:39:27 PM GMT+1","8","8","8","7","7","7","4","5","6","6","5","","5","3","4","7","Yes"
"2020/02/03 7:39:30 PM GMT+1","8","7","8","7","6","7","1","3","8","5","3","4","5","4","5","7","Yes"
"2020/02/03 7:40:00 PM GMT+1","8","8","8","8","9","10","2","5","10","8","5","8","5","7","4","5","Yes"
"2020/02/03 7:40:03 PM GMT+1","7","7","7","7","7","8","1","1","8","7","9","7","6","2","4","5","Yes"
"2020/02/03 7:40:50 PM GMT+1","7","7","7","7","7","7","4","5","7","7","5","6","5","4","3","6","Yes"
"2020/02/03 7:43:25 PM GMT+1","8","9","8","8","10","6","4","5","6","5","5","5","6","5","4","6",""
"2020/02/03 7:43:39 PM GMT+1","8","6","8","8","4","8","3","6","10","7","6","7","8","7","10","1","No"
"2020/02/03 7:44:03 PM GMT+1","8","7","7","7","8","8","2","6","8","7","6","6","7","6","3","9","No"
"2020/02/03 7:45:20 PM GMT+1","10","10","10","10","10","10","10","10","10","8","8","8","8","7","9","6","No"
"2020/02/03 7:45:38 PM GMT+1","8","7","7","6","9","7","4","5","7","6","5","5","5","7","4","8","Yes"
"2020/02/03 7:46:01 PM GMT+1","8","8","8","7","8","7","4","5","7","5","4","6","5","6","5","7","Yes"
